wavelength,Back_IriPulf,Belly_IriPulf,Breast_IriPulf,Crissum_IriPulf,Crown_IriPulf,DorTail_IriPulf,Patch10_IriPulf,Patch11_IriPulf,Rump_IriPulf,Throat_IriPulf,WingTip_IriPulf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-27.7777777778,-12.5,-73.6111111111,68.0555555555,25.0,2.7777777778,-11.1111111111,47.2222222222,-27.5,0.0,25.0
179.16,-44.4445555555,-38.0952222222,-85.714111111,-11.111,-19.0476666668,-53.9683333333,-58.7303333333,14.2855555556,-40.6349333333,-28.5714444445,-14.2856666667
179.54,22.2221111111,18.5184444444,1.85166666667,79.6296666667,22.2222222223,40.7407777778,55.5555555556,88.8889999999,58.5185333333,37.037,9.25944444443
179.93,46.0316666667,50.7937777778,43.6507777778,69.8412222222,41.2696666667,55.5555555556,60.3174444445,82.5396666667,80.3174444444,58.7302222222,45.238
180.31,-14.7147777779,-9.90999999999,-51.3514444443,84.084,-37.237111111,-4.50455555557,-2.7027777778,86.4864444445,-3.60364444433,-0.00011111111,3.00288888888
180.69,-16.8351111112,-9.09099999997,-67.340111111,92.5925555556,-51.1784444444,-15.4883333333,-9.76411111111,102.356777778,-15.892311111,-9.0908888889,8.75422222222
181.07,-95.2380000001,-81.7460000001,-242.063333333,72.2224444443,-250.0,-115.079333333,-129.364888889,119.841222222,-122.222133333,-119.047777778,-72.2222222223
181.45,548.888888888,568.888888888,966.666666668,206.666666667,1113.33333333,615.555555556,755.555555555,-2.2222222221,735.555555554,682.222222221,491.111111111
181.83,314.141444444,357.575666667,513.131333333,215.151222222,622.222111112,378.787777778,446.464666667,87.8786666667,464.040533333,445.454555556,309.090888889
182.21,156.666555556,170.370333333,243.703555556,124.814777778,278.518555556,184.814777778,203.703666667,86.2963333333,230.0,215.925777778,152.592666667
182.59,106.383111111,125.295555556,166.903111111,86.0521111112,189.834555555,120.331222222,130.732777778,69.2672222222,156.690333333,146.808444444,107.092333333
182.97,91.6143333332,113.626888889,148.427666666,64.9894444444,161.425666667,102.515555555,107.966666667,51.7818888889,134.633133333,122.432,92.4527777778
183.35,82.6923333335,100.854777778,135.683777778,49.7864444445,148.717888889,89.9571111111,89.1025555556,29.2735555556,127.393244444,111.538444444,73.7180000001
183.73,79.5322222221,100.292444444,155.847888889,31.8712222222,173.976666667,94.152,91.5205555555,3.21644444443,135.380133333,128.947444445,73.6841111111
184.11,77.7777777778,124.074111111,195.185111111,27.7777777777,216.666666667,119.629666667,109.259333333,-13.3333333333,160.222377778,151.851777778,82.5923333335
184.49,83.3333333333,122.222333333,177.469111111,45.0617777777,199.691333333,104.938222222,107.716,-2.46933333332,143.333288889,152.469222222,83.6419999999
