wavelength,Back_SpoInam,Belly_SpoInam,Breast_SpoInam,Crissum_SpoInam,Crown_SpoInam,DorTail_SpoInam,Patch10_SpoInam,Rump_SpoInam,Throat_SpoInam,WingTip_SpoInam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,42.2222222222,-33.9393939394,95.0,6.66666666667,93.3333333333,60.0,100.0,90.0,16.6666666667,33.3333333333
179.16,72.7777777778,29.0909090909,135.0,-6.66666666667,43.3333333333,110.0,140.0,70.0,-40.0,63.3333333333
179.54,64.5297777778,8.85787878787,84.6155,41.0256666667,74.3586666667,143.59,146.154,117.948666667,71.7946666667,43.5896666667
179.93,-13.8887777778,-20.3461212121,42.8575,2.381,45.238,121.429,121.429,111.905,33.3333333333,-11.9046666667
180.31,-50.7531666667,-90.4467272727,89.8305,-62.1466666667,21.4686666667,102.26,103.39,80.226,-32.2033333333,-40.113
180.69,-43.3823333333,-80.0801818182,91.912,-36.7643333333,33.8233333333,106.373,108.824,87.2553333333,-18.6273333333,-30.392
181.07,-86.3638333333,-126.501606061,90.0,-60.6063333333,23.0303333333,116.363666667,109.091,86.6666666667,-41.212,-72.1213333333
181.45,-113.675388889,-149.650363636,71.154,-76.9226666667,23.718,116.025333333,105.769,92.3076666667,-41.0256666667,-87.8206666667
181.83,-262.007444444,-292.961787879,67.742,-192.473,-11.828,118.279333333,96.774,80.645,-122.580666667,-196.774333333
182.21,-333.838166667,-372.038424242,115.909,-245.454333333,1.51533333333,113.636333333,100.0,77.2726666667,-150.000333333,-234.848333333
182.59,-299.242444444,-301.652606061,136.364,-131.818333333,30.303,119.697333333,95.455,103.030666667,-106.060333333,-189.394
182.97,-867.361111111,-975.757575758,243.75,-425.0,-29.1666666667,100.0,50.0,141.666666667,-366.666666667,-595.833333333
183.35,-1822.22222222,-2059.09090909,450.0,-1058.33333333,8.33333333333,-150.0,-400.0,-91.6666666667,-791.666666667,-1325.0
183.73,3230.55555556,4128.78787879,-750.0,1700.0,-450.0,-116.666666667,350.0,-400.0,1200.0,2200.0
184.11,1363.33333333,1875.15151515,90.0,773.333333333,13.3333333333,46.6666666667,100.0,-73.3333333333,546.666666667,1026.66666667
184.49,2264.81488889,3177.7780303,333.333,1477.778,77.7776666667,-133.333333333,-100.0,-211.111,900.000333333,1733.33333333
184.87,355.072277778,427.404212121,108.6955,279.710333333,49.2753333333,57.9713333333,56.522,39.1306666667,181.159333333,289.854666667
185.25,309.953888889,370.833333333,66.6665,266.666666667,44.4443333333,65.2776666667,58.333,47.222,155.555666667,259.722333333
185.63,204.861111111,268.465909091,40.625,173.958333333,36.4583333333,29.1666666667,21.875,18.75,89.5833333333,191.666666667
