wavelength,Back_IriPulm,Belly_IriPulm,Breast_IriPulm,Crissum_IriPulm,Crown_IriPulm,DorTail_IriPulm,Patch10_IriPulm,Patch11_IriPulm,Rump_IriPulm,Throat_IriPulm,WingTip_IriPulm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,39.9999999999,9.16666666666,15.8333333333,21.6666666667,60.8333333334,18.7500000001,25.0,-41.6666666667,28.3333333333,33.3333333333,28.3333333333
179.16,5.71433333334,6.66666659999e-05,14.2856,-10.4760666667,49.5238666666,-30.4762,20.0,-25.7142666667,9.52379999999,42.8571999999,-11.4284666667
179.54,72.2222,100.0,93.3333999999,76.6666666667,138.888866667,23.3334000001,88.8889333333,52.2221333333,92.2222666666,87.7777333333,91.1111333333
179.93,55.238,60.4761333333,59.5239333333,70.4760666667,81.9048,48.5714666667,84.2858,62.3809333333,76.1904666667,63.3334,55.7143333333
180.31,56.2161999999,54.4144,51.8919333333,82.1620666666,131.1712,7.11713333326,94.2342666666,23.7838666666,77.2973333333,95.1352000001,39.6396666666
180.69,65.0504666665,61.2121333333,56.1615999999,98.9898666666,159.393866667,7.27266666666,112.525333333,18.1819333333,89.4949333333,113.737466667,48.2827333333
181.07,49.5238000001,60.4761333335,29.9999333333,150.952333333,277.619066667,-79.0476999999,179.047666667,-20.0000000001,118.5714,182.380933333,29.5237333333
181.45,209.333333333,178.666666667,316.0,-82.6666666668,-365.333333333,508.000000001,-86.6666666667,377.333333333,46.6666666668,-137.333333333,248.0
181.83,189.090933333,215.151466667,263.636333333,70.9089999999,-24.2424666666,325.7577,63.6363333334,278.181733334,133.3332,56.9697333333,222.424266667
182.21,110.000066667,129.333266667,131.5556,72.6666666666,36.4445999999,162.111066667,82.2222666667,154.888866667,101.111066667,60.8888666667,122.666666667
182.59,69.7872666667,94.4679333333,89.3617333333,59.149,35.8864666667,108.6525,63.9715333334,109.6454,79.1488666667,52.3404000001,87.8013333333
182.97,53.7105999999,86.1634666666,73.9622666666,52.3272000001,32.2012,96.5409333333,48.8050000001,95.3459999999,64.1509333333,45.7862,75.8490666667
183.35,35.7691999999,70.1281999999,59.7434666666,41.9231333334,16.1539333333,81.2821999999,33.0769333334,87.9488000001,46.5386,35.0,56.7948666668
183.73,22.4562666666,65.6140666667,49.1228666667,25.0876666667,-6.14046666667,74.2983333335,14.7368,100.526333333,31.9298,17.8946666667,39.1228
184.11,25.1111999999,72.2221333334,55.7777333333,23.3334,-13.1110666667,77.1112000001,13.3333333334,133.777866667,34.0000666667,8.22226666674,39.3334000001
184.49,35.1852000001,82.9632000001,61.8518666666,35.9259333333,8.70366666665,82.1293999999,28.7036666667,130.185333333,58.3334,34.6295333333,52.7777999999
184.87,35.7407999999,90.9258000001,60.1851999999,43.7036666666,13.5185333333,88.4259,34.6297333334,133.703666667,61.8518000001,40.1852666667,56.8518666667
185.25,25.6565999999,99.798,43.4342000001,35.1516,-6.0606,81.2122333333,29.0909333333,137.979666667,55.3535333334,30.9090666666,50.3029333333
185.63,-64.6666666667,59.6666666667,-46.0,-49.0000000001,-127.333333333,29.5,-71.3333333332,122.0,-22.0000000001,-52.6666666667,-19.3333333334
186.01,-134.074,4.81480000006,-129.259266667,-137.407333333,-214.444466667,-41.1111999999,-133.703733333,70.0000000001,-88.5185999999,-135.925933333,-92.5924666666
186.39,-179.333333333,-50.9999999998,-161.0,-183.666666667,-240.666666667,-78.3333333333,-177.666666667,11.6666666667,-129.666666667,-173.333333333,-137.666666667
186.77,-136.388866667,-28.0555999999,-122.499933333,-158.6112,-188.055533333,-57.0832666667,-143.611,17.2222666667,-109.166666667,-158.055466667,-105.000066667
187.15,-136.0606,-29.0909333333,-120.303066667,-170.303066667,-203.9394,-76.5151999999,-137.2728,25.4545333334,-115.4546,-186.363733333,-116.060533333
187.53,-90.2777333332,17.5,-75.0000000001,-125.5556,-146.388866667,-41.2500666667,-85.8332,52.5000666668,-61.9444000001,-141.389,-70.5555333333
