wavelength,Back_TanRufm,Belly_TanRufm,Breast_TanRufm,Crissum_TanRufm,Crown_TanRufm,DorTail_TanRufm,Patch10_TanRufm,Patch11_TanRufm,Patch12_TanRufm,Patch13_TanRufm,Patch14_TanRufm,Rump_TanRufm,Throat_TanRufm,WingTip_TanRufm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,81.5475833333,106.211065217,81.5475833333,73.8095833333,94.0476666669,94.6428333334,79.1665833333,86.9047500001,105.95225,102.380833333,79.1665000001,96.4284166667,86.3096666667,79.7617475489
179.16,154.629666667,170.652184783,129.629583333,118.518583333,137.037083333,159.259416666,141.66675,122.222166667,150.0,148.148166667,126.851833333,145.370333333,133.3335,158.061034314
179.54,102.564166667,110.395746377,87.1794166667,51.923,89.1025000001,102.564083333,91.6667500001,80.1282500001,89.7439166666,102.56425,83.9743333333,86.5383333333,83.9741666667,112.726102941
179.93,68.1373333333,87.3615760869,66.6666666667,56.86275,75.00025,68.6274166666,62.7450833333,57.3529166667,78.9216666667,66.6665833334,63.2352500001,56.8625833333,61.76475,69.3193137255
180.31,88.6598333333,120.611134058,88.8316666667,89.7765833334,86.3400833333,119.243916667,88.7458333334,79.8110833333,99.3127499999,99.0550833332,90.2919999999,90.1201666666,86.3400833333,103.183573529
180.69,97.1381666667,126.866373189,96.9696666664,96.0434166665,91.8349999998,127.777916667,98.4848333333,84.4276666666,103.282916667,104.377,100.926166667,96.04375,93.0135833332,110.01189951
181.07,98.0701666666,126.807782609,102.017583333,103.421,95.6140833332,132.543916667,100.70175,82.807,99.6491666668,104.73675,106.052666667,99.6491666666,94.7367500001,119.089159314
181.45,87.5439166667,118.150257246,95.9648333334,99.3859999998,89.2981666668,122.807166667,93.3334166667,74.2981666666,89.0351666666,95.6139999999,99.3860833331,92.0175833334,86.4035833333,109.295651961
181.83,88.7639999999,121.116253623,99.7191666665,107.584083333,93.3519999999,126.779083333,95.0374166666,73.6890833333,89.5130833334,95.7865000001,102.153666667,95.1311666668,86.0489166668,108.671933823
182.21,95.4456666667,127.569974638,103.973083333,116.376083333,99.22475,138.469,102.906916667,79.4575,96.5114999999,104.457333333,110.368166667,99.9999166668,93.02325,118.861183823
182.59,96.5200833335,118.828684783,104.395583333,107.14275,99.9084166666,132.4175,99.7254166666,73.3516666667,95.7875833332,102.380916666,108.333416667,93.8644999999,89.4689166665,113.458916667
182.97,111.078333333,128.04340942,115.882333333,110.882333334,109.117583333,143.529333333,111.1765,82.1569999999,103.725416667,110.490166667,120.588166667,102.549,99.3137500001,126.560031863
183.35,122.25475,134.952996377,125.0,116.372666667,121.960833333,151.4705,121.960666667,90.2939166667,113.823583333,116.2745,127.058833333,110.980333333,110.0,137.410514706
183.73,122.839333333,136.299003623,121.502083333,115.226333333,125.822916666,147.22225,122.119333333,89.9178333333,112.654333333,109.773666667,124.691333333,105.452583334,109.0535,132.721980392
184.11,102.0175,114.950474638,104.824583333,93.2455833333,103.772,121.929833333,102.28075,74.91225,96.6665833334,87.3683333333,101.052583333,88.3332500001,91.6667499999,108.753754902
184.49,88.7427499999,96.8727644929,93.1286666667,83.7719166667,89.2545000001,104.093666667,87.7924166667,68.348,88.1579166667,75.7310833333,85.81875,77.7778333334,80.2631666667,94.005852941
184.87,77.60425,86.4358586959,81.0548333334,76.1070833333,81.0547500001,90.49475,73.9584166667,60.3515833333,81.185,66.2109166667,74.1537500001,68.94525,70.05225,82.906389706
