wavelength,Back_TiaObsf,Belly_TiaObsf,Breast_TiaObsf,Crissum_TiaObsf,Crown_TiaObsf,DorTail_TiaObsf,Rump_TiaObsf,Throat_TiaObsf,WingTip_TiaObsf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,59.9998666666,31.1111999999,200.0,66.6666666667,88.8888666665,87.1429000001,206.666666667,104.444466667,124.444466667
179.16,16.6666666667,130.0,-273.333333333,-9.99999999992,-33.3333333331,67.3809523809,-220.0,-141.666666667,-126.666666667
179.54,118.333333333,95.0000000001,203.333333333,120.0,80.0000000001,74.8809523809,208.333333333,183.333333333,150.0
179.93,75.7576,188.4848,-228.485,-15.1516,-18.1818666668,110.389561905,-252.121066667,-148.1818,-166.666733333
180.31,68.4848666666,193.333333333,-262.424266666,-43.0303999997,-28.4849333333,99.2641761907,-300.0,-159.0909,-207.878733333
180.69,80.0000666666,193.888866667,-207.777733333,-35.5555333332,11.1110666666,112.023809524,-237.7778,-136.389033333,-155.000066667
181.07,1426.66666667,2506.66666667,-1546.66666667,-100.000000001,453.333333333,1356.19047619,-2540.0,-1053.33333333,-1533.33333333
181.45,-273.333266667,-390.000066667,241.111133333,5.5555333334,-33.3332666667,-226.984038095,468.889,138.888866667,284.444333333
181.83,-102.592666667,-136.2962,62.2220666667,-21.4814666667,-21.1112,-96.4020523808,139.6296,35.9258333333,80.3702666667
182.21,-84.9273999999,-107.536266667,40.2896666666,-24.0580666666,-26.3768,-87.3500000001,99.1304000001,12.7535666667,58.8404666666
182.59,-39.5000000001,-31.6666666667,35.8333333335,6.3333333334,-7.16666666665,-33.8333333333,71.1666666666,15.75,51.3333333333
182.97,-11.2728,-4.24233333334,37.8181333334,20.8484666667,4.84839999999,-11.9826476191,61.0909333333,22.4241333333,47.1514666667
183.35,-3.89746666667,10.6666666667,40.7177333333,26.1538666667,7.69226666668,-8.32240476192,57.3332666667,24.4102,45.7437333333
183.73,-31.5788666667,-10.8772,22.8069333333,4.4444,-13.2164666667,-32.4726952381,41.0528,6.90066666668,31.3450666667
