wavelength,Back_XenConf,Belly_XenConf,Breast_XenConf,Crissum_XenConf,Crown_XenConf,DorTail_XenConf,Rump_XenConf,Throat_XenConf,WingTip_XenConf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,79.7619999999,52.3809999999,35.1190833333,48.8096666667,27.3811666667,48.8095833333,23.809625,47.0237916667,82.14275
179.16,391.666666667,366.666666667,195.833333333,400.0,325.0,475.0,437.5,445.833333332,700.0
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-30.5554999999,-83.3334166667,-43.7500833333,-24.9999166667,-43.0555833333,-33.3333333333,-68.7500416667,-43.7499166667,-1.38891666668
180.31,63.3619999999,2.15516666666,45.9767916667,44.684,34.48275,40.8045833333,40.73275,31.3937916668,100.574833333
180.69,59.8888333333,9.33316666664,48.38875,45.3333333333,38.6665833333,38.0,41.6665,32.2220416668,89.0000000001
181.07,52.169,-3.65291666667,44.2922083333,42.5799166667,33.3333333333,25.685,35.0455833333,23.8584583332,82.5340000001
181.45,44.6875,-13.125,42.9166666667,41.4583333333,30.2083333333,19.0625,27.4479166667,14.0104166667,77.1874999999
181.83,36.85575,-11.5979166667,35.4380416667,40.03425,26.4605,15.8075,23.3676666667,16.6236666667,66.4089166667
182.21,39.84825,-2.72725000002,38.7120416667,39.7726666666,30.1515,20.5301666667,29.7727916667,20.7577916667,65.68175
182.59,42.9315833333,-0.446583333325,38.6904166667,41.741,31.771,22.5446666667,32.9242083333,26.52525,64.8065
182.97,26.6355833333,-22.19625,20.132375,26.0904166667,13.55125,1.55750000002,13.8626666667,11.8769583333,47.6635
183.35,22.5284166667,-18.0790833333,18.1143333333,21.0451666667,12.5,-0.423666666667,11.935,4.13129166667,45.4096666667
183.73,19.8011666667,-27.4463333333,14.5642083334,14.7553333333,6.57491666666,-7.18641666667,5.84870833334,-4.28133333332,42.737
184.11,14.2105,-37.1051666667,15.526375,9.38591666667,1.92983333333,-13.1579166667,3.59654166666,-9.16658333333,37.3684166667
184.49,15.8804166667,-26.57225,17.3349166667,14.2295,6.21058333333,-4.48124999998,7.90095833333,-2.00491666667,39.6224166667
184.87,18.6320833333,-24.6069166667,17.3349583333,16.9811666667,8.33341666667,-0.157416666684,10.2200833333,1.454375,43.6319166667
185.25,21.7105833333,-14.6199166667,24.3055,19.66375,13.9619166667,9.06433333334,19.29825,8.22370833332,47.4414166667
185.63,27.0,-2.66666666666,23.0,20.3333333333,17.4666666667,14.9333333333,24.5,15.0333333333,45.1333333333
186.01,29.2988333333,3.30691666668,27.3147083333,17.8570833333,19.7089166667,19.6429166667,29.6627916667,15.5092083333,44.0474166667
186.39,23.9584166667,-7.21158333333,21.1137916667,12.7404166667,12.98075,8.41358333333,25.160125,6.450375,37.3396666667
186.77,19.967,-12.6239166667,17.82175,11.1385833333,9.07591666665,5.52808333334,17.9867916667,0.824958333325,33.2506666667
187.15,25.7861666667,-4.55975,20.7153333333,14.6224166667,12.8930833333,10.5345833333,24.999875,6.367875,35.5345
187.53,21.8469166667,-9.60966666668,13.4383333333,9.985,4.50474999998,3.00300000001,17.7552083333,4.05429166668,27.6279166667
187.91,9.96733333335,-23.44775,-2.001625,-1.55241666667,-2.45091666667,-11.2744166667,6.74020833333,-10.1715833333,17.48375
188.29,23.13975,-11.2350833333,4.53883333333,8.18449999997,8.55658333334,-2.08324999999,13.09525,4.09225,30.2084166667
188.67,25.4250833333,-13.5204166667,-0.80791666665,5.95225,3.40125,-10.0340833334,13.0102083333,5.6125,25.3400833333
189.05,19.98225,-20.96775,-8.46762500002,0.358416666657,-6.54133333333,-18.45875,6.72037499999,4.79383333332,20.8781666666
189.43,22.4804166667,-24.2249166667,-18.7499583334,-4.65116666668,-10.1744166666,-24.32175,-1.79262500001,4.409,17.92625
189.81,16.6666666667,-33.3334166667,-23.5795416667,-12.5,-15.1515,-31.5341666667,-10.037875,-0.141958333332,10.3220833333
190.19,16.8804166666,-38.2479166666,-31.2500833334,-13.0340833333,-15.27775,-35.36325,-15.972125,2.564,7.58541666665
190.57,19.2071666667,-34.04475,-31.85975,-11.1789166667,-13.3130833333,-24.49175,-15.7012083333,8.333375,9.04483333333
190.95,9.06849999999,-52.206,-57.4142083333,-32.3528333333,-31.7401666667,-43.5049166666,-35.1715416667,-2.08329166667,-6.74016666667
191.33,20.4429166667,-54.9479166667,-49.283875,-29.8175833333,-26.5623333333,-38.8020833334,-37.1744166667,10.4167916667,-5.46841666667
191.71,32.9860833333,-39.4675833333,-33.449125,-15.8564166667,-11.92125,-13.6574166666,-23.2061666666,22.8009166667,4.051
192.09,41.1765833334,-16.37275,-13.0882916667,-0.19608333335,-8.13724999999,8.72558333332,-6.37254166666,38.08825,9.60791666667
192.47,42.1940833334,-18.8819166667,-12.9219583334,2.637,-10.4430833333,14.4514166667,-7.43666666667,34.3354166667,6.96216666665
192.85,44.56025,-27.7779166667,-11.51625,2.31491666667,-10.3008333333,11.6899166667,-10.5903333333,35.7060833333,7.17608333333
193.23,42.2515,-47.0760833333,-24.122625,-13.0115833333,-23.9765833333,2.04658333332,-27.0468333334,25.7309583333,-12.4268333334
193.61,30.0595,-63.54175,-33.7054166667,-10.7141666667,-34.0775,0.892833333325,-34.5983333333,12.7231666667,-23.8095833333
193.99,21.37675,-83.5144166666,-44.8369166666,-18.1159999999,-46.9202499999,-5.79708333325,-50.1811666667,5.34420833332,-40.03625
194.37,3.87608333342,-100.775166667,-56.68625,-21.3180000001,-71.5115833334,-24.8063333334,-65.2132083334,-9.20566666675,-54.4574166667
194.75,10.2380000001,-110.476083333,-57.6190000001,-21.9048333333,-88.8095000001,-31.6667500001,-83.5713333333,-4.40483333325,-56.6665833333
195.13,35.8974166667,-43.4295,-11.5385,24.6795833333,-24.3590833334,9.1345,-21.955125,25.9617916667,-7.05125
195.51,27.77775,-38.1945000001,-21.441,36.9793333333,-34.8957499999,12.6736666667,-21.1805833333,17.6214583333,-4.6875
195.89,42.7083333333,-25.6250000001,-6.45833333334,58.9583333334,-18.1250000001,23.9583333333,-5.3125,20.8333333332,-7.08333333333
196.27,84.8765833333,-25.3086666666,-4.47541666667,105.555583333,0.9259166666,53.7035833333,13.4257500001,26.6976666668,3.3950833335
196.65,97.9166666664,-61.9791666666,-48.6979166667,145.833333334,-23.9583333336,59.8958333335,-10.1562499999,2.34375,-22.3958333332
197.03,83.3332500002,-135.416666666,-167.013875,149.305666667,-89.58325,65.2778333334,-82.9860833335,-82.63875,-135.416666667
197.40,114.393916667,-109.09075,-201.136333333,190.1515,-49.9999166665,123.484666667,-60.2274583332,-70.8332916668,-89.3940833332
197.78,-304.166666667,287.500000002,516.666666667,-383.333333334,145.833333334,-254.166666667,152.083333333,271.875,337.500000002
198.16,-3.43149999992,72.3038333334,100.245083333,-8.33333333335,61.0295,4.41191666668,56.0049583333,85.0490416667,77.9411666666
198.54,-10.2272499999,56.6287500001,83.9014999999,-7.38641666665,32.0078333333,-7.38658333333,35.2271666666,61.837125,61.93175
