wavelength,Back_EmbYpif,Belly_EmbYpif,Breast_EmbYpif,Crissum_EmbYpif,Crown_EmbYpif,DorTail_EmbYpif,Patch10_EmbYpif,Patch11_EmbYpif,Rump_EmbYpif,Throat_EmbYpif,WingTip_EmbYpif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,101.851777778,194.444333333,97.2223333333,102.777833333,129.166666667,106.578991228,113.888833333,172.222166667,125.0,211.111166667,113.888833334
179.16,135.185185185,125.0,133.333333333,-4.1666666667,108.333333333,3.2894736842,133.333333333,91.6666666665,100.0,41.6666666667,-66.6666666667
179.54,42.4074074074,63.3333333333,56.6666666667,91.6666666665,18.3333333333,68.8596491229,63.3333333333,41.6666666667,60.0,48.3333333333,83.3333333333
179.93,46.2962962961,-87.5000000002,0.0,-4.1666666667,-25.0,29.3859649123,41.6666666667,8.33333333335,-20.8333333335,-41.6666666667,0.0
180.31,83.6861296295,159.523833333,116.666666666,86.111,108.9285,74.9582105264,108.333333333,123.8095,121.825333333,142.460333333,53.1745
180.69,79.096037037,138.418166667,103.107166666,85.5933333333,100.564833333,79.6311491227,98.87,108.757166666,113.276833333,128.813666667,57.0621666667
181.07,64.2525740741,122.916666666,90.4761666667,69.3453333333,88.3929166665,64.3014912281,84.5238333333,90.1786666667,101.1905,111.012,42.2618333333
181.45,49.2726111111,110.714166667,75.2974999999,61.3098333333,75.2974166668,56.4536052631,62.2023333333,80.3571666667,90.4763333333,104.464333333,43.75
181.83,52.1296111111,110.833333333,75.0,64.9998333333,75.4166666667,61.3012192982,65.0,82.4998333334,98.6109999999,111.666666667,57.7776666667
182.21,56.8462962963,113.888666667,79.2928333333,63.1313333333,76.0099166666,60.1544298246,65.9091666667,86.3635,99.7476666669,102.778,55.5556666667
182.59,64.7621296296,164.285833333,82.3811666667,72.857,110.47625,67.895,79.9998333333,121.904833333,162.381,139.523666667,62.3808333333
182.97,81.1889444444,159.649333333,90.3510000002,96.9299999998,110.08775,86.1495701756,85.9648333331,121.052833333,155.701833333,161.403333333,75.8771666667
183.35,65.5671296296,157.8125,87.5,76.0416666665,118.229166667,75.7949561405,72.9166666667,130.208333333,162.5,189.0625,68.2291666667
183.73,49.567962963,134.4445,60.5556666668,65.0,107.777916667,70.9357894738,38.8888333334,116.666666667,145.5555,190.555833333,69.4446666667
184.11,66.0300925926,146.354166667,96.8749999999,82.8124999999,121.354166667,104.6875,55.7291666667,117.708333333,178.125,211.979166667,107.8125
184.49,71.4286111112,163.095166667,113.690333333,76.1903333335,121.130833333,115.350798246,62.5,122.024,183.9285,242.261833334,130.952333334
184.87,-57.4074074075,-750.0,-305.5555,-111.111166666,-497.22225,-416.37427193,-33.333166667,-566.666833333,-1011.11116667,-1594.44433334,-755.5555
185.25,-79.398148148,-268.75,-231.25,-85.4166666665,-180.208333333,-165.021929825,-91.6666666667,-193.75,-391.666666667,-604.166666666,-370.833333333
