wavelength,Back_IncOrtm,Belly_IncOrtm,Breast_IncOrtm,Crissum_IncOrtm,Crown_IncOrtm,DorTail_IncOrtm,Patch10_IncOrtm,Patch11_IncOrtm,Rump_IncOrtm,Throat_IncOrtm,WingTip_IncOrtm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-33.3333333333,-308.333333333,-216.666666667,-225.0,-225.0,-216.666666667,116.666666667,66.6666666668,-408.333333333,-100.0,-408.333333333
179.16,44.4443333333,-100.000083333,-22.2222499999,27.777666667,2.77766666665,52.77775,91.6665833333,99.9999166666,-91.66675,5.55541666675,-13.889
179.54,758.333333334,533.333333333,333.333333333,441.666666667,725.0,324.999999999,850.000000001,824.999999999,591.666666667,425.0,641.666666667
179.93,-87.5000000001,66.6666666666,-24.9999999998,12.4999999999,-175.0,20.8333333332,-175.0,-262.5,-120.833333333,-100.0,-91.6666666665
180.31,-226.666666667,74.1666666667,-91.6666666667,-242.5,-225.833333333,-122.5,-464.166666667,-287.5,14.9999999999,-39.1666666667,-159.166666667
180.69,-1545.83333333,166.666666668,-829.166666668,-1604.16666667,-1554.16666667,-891.666666667,-2829.16666667,-1883.33333333,-212.499999999,-491.666666668,-1141.66666667
181.07,-1169.44433334,-41.6666666667,-799.999916667,-1441.66666667,-1241.66666667,-827.777749999,-2194.44441667,-1455.55541667,-402.77775,-430.555416667,-1061.11116667
181.45,-434.375,-41.6666666666,-333.333333333,-540.625000001,-464.583333333,-279.166666667,-808.333333334,-501.041666667,-160.416666667,-148.958333333,-409.375
181.83,-96.1538333333,16.3461666667,-87.8205833333,-148.07675,-116.346083333,-67.6283333333,-209.93575,-117.628166667,-19.8719166667,-18.2692500001,-93.2693333334
182.21,-73.2760000002,21.8391666667,-79.8850833334,-131.322,-97.7010833334,-59.4826666667,-173.850583333,-81.8965833334,-11.4943333333,-0.8620833335,-81.32175
182.59,-92.0290000003,13.7681666667,-112.681166667,-159.420166666,-114.49275,-76.0869166667,-216.304333333,-92.39125,-13.7681666667,-2.5362500001,-125.0
182.97,-36.3888333335,43.33325,-65.0000833333,-87.7779166666,-56.1112500002,-10.2778333333,-125.833333333,-39.1665833333,26.9445,37.2221666665,-58.33325
183.35,-48.8505,41.3793333333,-80.4598333334,-90.8045,-72.1265,-14.0804166667,-140.517166667,-48.2759166667,17.816,17.5286666666,-64.3678333333
183.73,-65.6666666668,41.3333333333,-103.333333333,-93.6666666666,-98.6666666668,-34.6666666669,-164.333333333,-71.0,16.3333333333,23.3333333334,-84.6666666666
184.11,-20.5729166666,47.9166666667,-61.9791666667,-34.8958333333,-50.5208333332,-7.8125,-91.6666666667,-38.0208333333,25.5208333333,39.3229166667,-53.125
184.49,-27.0833333332,60.8333333333,-143.333333334,-60.0,-100.833333333,-34.5833333332,-145.833333333,-93.3333333332,12.5,31.6666666667,-106.666666667
184.87,-3.15308333325,39.6396666666,-74.3243333334,-18.2431666666,-38.7387500002,-14.6394999999,-65.3153333333,-34.0089166667,10.5855,36.4866666666,-52.0270833333
185.25,-36.5385000002,21.47425,-133.333333333,-39.4231666667,-84.6152499999,-51.9230000001,-106.730666667,-63.1410833335,-16.98725,16.6666666666,-99.6795833334
185.63,-52.3333333333,3.66666666666,-156.333333334,-59.3333333333,-119.333333333,-88.6666666667,-126.666666667,-93.3333333334,-49.0,4.66666666675,-130.0
186.01,-69.4444166668,-13.2715833333,-170.987666667,-66.0494166666,-122.530916667,-107.09875,-139.81475,-100.925666667,-54.01225,-20.3703333333,-142.90125
186.39,-65.9315,-26.9609166667,-155.147083333,-59.804,-90.9313333332,-93.1371666667,-118.382333333,-94.1176666665,-41.6665833334,-32.1077500001,-118.137333333
186.77,-74.7473333333,-46.4647499999,-170.707166667,-78.0304166667,-112.878833333,-116.414166667,-134.848583333,-110.858583333,-47.2223333334,-49.4949166666,-136.111
187.15,-30.3459166667,-20.9119166667,-100.78625,-36.3206666667,-66.8239166666,-72.3270833334,-77.2011666666,-64.6225833333,-17.7674166667,-25.1572500001,-82.0753333335
187.53,-52.2222500001,-47.4073333334,-136.4815,-53.3333333334,-94.2592500002,-110.926,-95.5557500001,-92.0370833333,-37.5925833333,-42.2222500001,-114.444416667
187.91,-100.78125,-110.15625,-227.34375,-114.0625,-162.239583333,-184.635416667,-163.28125,-152.864583333,-88.5416666667,-104.166666667,-205.46875
188.29,-245.0,-247.5,-440.833333333,-271.25,-328.75,-391.25,-344.583333333,-304.166666667,-205.416666666,-252.916666667,-397.083333333
188.67,-469.642916667,-455.357166667,-702.976166667,-486.90475,-564.880916667,-675.0,-594.642833334,-509.523666667,-378.5715,-470.23825,-658.928666667
189.05,-1000.0,-1008.33333333,-1476.19066667,-1054.76183334,-1219.04741667,-1460.71433333,-1271.42858333,-1122.61891667,-794.047583333,-1114.28575,-1404.76191667
189.43,-286.9565,-300.7245,-446.37675,-312.681166667,-363.405833333,-434.782666667,-377.173916667,-331.52175,-231.884166667,-332.246166667,-418.840583333
189.81,-177.546166667,-193.9815,-301.388833333,-206.713,-227.77775,-276.38875,-244.212833333,-204.861083333,-145.37025,-224.999916666,-266.203833333
190.19,-251.0,-281.333333333,-439.666666667,-307.333333333,-322.666666667,-405.0,-347.666666666,-287.666666667,-215.0,-314.333333333,-394.666666667
190.57,-202.678416667,-230.357166667,-357.440583333,-261.011833334,-285.119083333,-347.619,-295.535833333,-225.595416667,-175.0,-253.869166667,-334.821416666
190.95,-121.09925,-134.574416667,-208.688,-161.524916666,-165.78,-211.170333333,-172.695,-131.737583333,-112.766,-151.773166667,-198.04975
191.33,-108.496833333,-116.013,-187.581666667,-148.039166667,-139.869333333,-183.333333333,-148.366083333,-108.33325,-106.04575,-131.372583333,-179.411666666
191.71,-39.6585833333,-49.0963333333,-90.1606666667,-71.58625,-63.3532500001,-85.7429166668,-71.2851666668,-40.1605,-44.0764166667,-59.5381666667,-88.2530833333
192.09,-25.9259166667,-30.4011666668,-65.8179166667,-50.6173333334,-45.4475,-64.3519166666,-52.3919166666,-27.6235833333,-30.9414166667,-37.5770833334,-60.95675
192.47,-6.51633333332,-11.0275,-39.1604166667,-28.0074166667,-20.7393333333,-35.7143333333,-27.13025,-7.26816666666,-12.03,-15.3508333333,-35.2756666667
192.85,2.77766666668,-4.02508333334,-29.1384166666,-17.857,-9.69383333334,-24.1495833333,-14.5123333333,3.23133333332,-4.30833333332,-7.59641666665,-25.7935833333
193.23,8.49558333333,2.92199999999,-24.5670833333,-10.7143333333,-5.57366666666,-19.8593333334,-8.38733333333,10.1731666667,-0.486999999993,-2.05616666667,-19.37225
193.61,13.5685,7.63883333332,-22.062,-5.02149999998,-2.24366666667,-17.4679166666,-1.86958333335,14.6900833333,4.22008333334,2.19008333334,-15.4915
193.99,17.0335,10.2725833333,-13.99375,-0.157249999983,4.03566666667,-15.5660833333,3.1970833333,19.4443333333,6.55141666666,6.91816666668,-12.15925
194.37,16.7700833333,9.10975000002,-13.2505,-1.13875000001,3.57133333332,-17.5983333333,3.20908333332,17.9606666667,3.83016666667,4.089,-14.0271666667
194.75,15.676,3.67133333334,-19.2890833333,-5.71108333333,0.58266666665,-27.27275,0.05825,13.2285833334,-4.31241666667,-1.3985,-24.126
195.13,16.6665,2.64216666665,-26.1516666667,-5.96199999999,-2.16799999999,-32.9945833333,-0.40666666665,11.5855,-8.60441666666,-4.87808333332,-31.8428333333
195.51,8.56274999999,-11.3150833333,-37.844,-16.9725,-14.2200833333,-52.2171666666,-11.7736666666,1.52900000001,-20.9481666667,-18.578,-47.0182499999
195.89,0.25,-20.4166666666,-46.25,-26.3333333333,-23.6666666667,-68.75,-19.9166666667,-9.33333333333,-31.0,-29.1666666667,-60.9166666667
196.27,8.08083333333,-17.9293333332,-37.7104166667,-22.8114166667,-16.1615833333,-63.6362500001,-9.00675,-2.52508333333,-26.4308333333,-26.0101666667,-58.5857500001
196.65,2.25683333332,-29.6007500001,-49.566,-31.1630833333,-26.6494166667,-74.5660833334,-14.40975,-12.8471666667,-35.15625,-36.632,-67.7950833333
197.03,-6.29625,-40.9260000001,-62.5,-41.7591666667,-37.87025,-91.1110833333,-21.6666666667,-27.4999166667,-44.7221666666,-47.6853333333,-83.6110833333
197.40,-15.5489166667,-62.60175,-78.7602499999,-55.6910000001,-53.3535833333,-110.061,-31.4023333333,-41.0569166667,-58.5365,-59.1463333333,-106.9105
197.78,-23.6110833333,-75.1069166666,-87.5001666668,-65.2776666667,-59.4018333334,-119.017083333,-38.7820833333,-52.5640833333,-63.2476666666,-67.2006666667,-120.619666667
198.16,-39.785,-107.52675,-121.370916667,-94.3548333333,-95.1612500002,-156.585916667,-64.1129166667,-88.9785,-86.2902500001,-99.3280833334,-165.457
198.54,-25.505,-86.6159999999,-100.757583333,-71.9695833333,-84.8484166666,-135.606083333,-48.2323333334,-71.4646666667,-63.3838333333,-78.53525,-141.287916667
198.92,-22.8571666666,-71.1906666667,-92.3810000001,-62.3808333333,-80.0000833333,-127.976166667,-40.2381666668,-57.0238333333,-50.5951666667,-73.0951666667,-125.357083333
199.30,-17.1233333333,-62.4428333333,-78.7671666667,-53.3105,-68.2649166667,-115.753416667,-33.5615833334,-40.8675,-36.073,-61.3013333334,-113.356166667
199.68,-23.58975,-69.7435,-89.9998333333,-60.3846666668,-77.564,-130.128166667,-42.0513333333,-45.0,-37.1796666667,-73.8460833333,-130.897416667
200.06,-46.875,-112.84725,-148.263916667,-100.1735,-114.236,-190.451416667,-68.7500000001,-72.0486666666,-64.9306666666,-115.798416667,-188.020833333
200.44,-105.555416667,-189.39375,-249.242333333,-180.808083333,-200.252583334,-306.313,-138.636333333,-131.313,-120.454666667,-206.060666667,-306.313083333
