wavelength,Back_IncOrtm,Belly_IncOrtm,Breast_IncOrtm,Crissum_IncOrtm,Crown_IncOrtm,DorTail_IncOrtm,Patch10_IncOrtm,Patch11_IncOrtm,Rump_IncOrtm,Throat_IncOrtm,WingTip_IncOrtm
200.82,-143.26925,-260.256416667,-308.01275,-239.423,-269.230833333,-410.2565,-197.436,-158.974333333,-162.499916667,-267.628166667,-408.9745
201.19,-59.4960833334,-139.728583333,-157.36425,-126.3565,-134.302333333,-226.162916666,-98.4494166667,-65.5039166667,-76.1627499999,-134.883666667,-219.767333333
201.57,-36.7645833334,-99.8365833334,-112.41825,-102.777833333,-87.5817499999,-181.372666667,-72.549,-37.0915,-49.183,-107.189666667,-176.143833333
201.95,-5.30291666665,-44.6969166667,-50.4328333333,-50.7575,-34.0909166667,-102.48925,-32.0347499999,4.00441666667,-16.2339166666,-54.762,-97.4025833334
202.33,-7.72358333334,-41.6665833333,-48.0691666667,-45.2236666666,-26.2194166667,-98.5773333333,-25.20325,14.7358333333,-20.12175,-49.2888333334,-90.8534999999
202.71,-25.2136666666,-60.1495833333,-65.4914166666,-66.1325000001,-35.8974166667,-114.95725,-40.2777500001,1.81616666665,-38.5685833333,-67.94875,-109.508666667
203.09,-32.6131666667,-70.1644999999,-68.6215,-71.6048333333,-36.0083333333,-111.008083333,-42.1810000001,-4.83525,-37.963,-70.782,-110.699666667
203.47,-43.7763333334,-81.0127500001,-79.5358333332,-84.0716666668,-44.4093333333,-129.535916667,-52.0043333334,-21.2025,-52.6370833333,-81.5401666666,-125.7385
203.85,-39.1473333333,-72.5776666666,-73.2557500001,-73.2558333335,-36.9185,-117.53875,-43.7984166667,-18.7015833334,-51.4535833333,-70.1550833333,-108.914916667
204.22,-34.2233333333,-60.4368333334,-60.5987499999,-58.41425,-28.8834166666,-99.1909166667,-37.0549999999,-15.8575833334,-44.3364166667,-56.9580000001,-90.534
204.60,-31.6514166667,-58.2568333334,-56.269,-52.82875,-25.9938333333,-94.3424999999,-34.7859166666,-14.83175,-42.584,-53.1345833333,-81.422
204.98,-37.9716666667,-63.4435000001,-62.3429166666,-58.8838333333,-31.6824166667,-100.786,-39.0722500001,-21.14775,-50.1573333333,-58.8049999999,-84.9842499999
205.36,-52.34075,-76.2171666666,-75.2809166666,-71.0673333333,-42.884,-118.07125,-47.37825,-26.311,-63.2958333333,-74.6254166666,-101.59175
205.74,-56.9923333333,-79.5019999999,-75.6704166666,-72.7970833333,-51.24525,-118.007666667,-47.03075,-32.2796666667,-67.8160833333,-74.2338333334,-100.6705
206.12,-112.575666667,-153.636416667,-144.090916667,-138.18175,-111.96975,-208.48475,-88.9392499998,-87.8786666668,-133.636333333,-131.666583333,-181.06075
206.50,-77.8571666666,-109.642833333,-101.547583333,-97.3810000001,-80.7142499999,-154.16675,-57.2619166667,-65.9524166666,-91.1903333334,-85.8334166667,-127.02375
206.87,-71.8135,-111.519583333,-99.6323333334,-90.0734166668,-80.6372499999,-150.3675,-56.7401666666,-61.2746666665,-90.9314166667,-80.0245,-125.980416667
207.25,-56.6015833333,-92.6407499999,-85.1731666667,-73.2685,-70.2380833333,-130.5195,-54.0042500002,-55.08675,-82.2510833333,-65.3680000001,-106.818166667
207.63,-53.5255833333,-90.2777499998,-80.6625000002,-66.5597500001,-66.98725,-120.192333333,-51.3890000001,-48.6110833333,-77.3504166668,-62.6069166668,-95.4059999999
208.01,-60.2477500001,-101.351166667,-89.4145833332,-79.2793333332,-78.1530833334,-136.036,-57.6576666668,-52.8151666667,-85.6980833333,-68.80625,-104.954916667
208.39,-68.4079999999,-105.099666667,-92.4128333333,-84.7014166667,-88.6816666668,-148.01,-64.3034166667,-54.3531666666,-92.4128333332,-73.2587499999,-114.676583333
208.77,-73.14825,-108.201,-99.8676666667,-89.2857500001,-95.3703333332,-162.301666667,-66.1375833333,-57.6720833333,-95.8995000001,-76.0580833333,-121.29625
209.14,-59.1434166666,-84.3748333332,-82.4075833333,-70.4860833333,-74.18975,-138.888916667,-51.7361666667,-48.4953333333,-75.9258333334,-64.5834166666,-100.694416667
209.52,-70.34625,-100.86575,-93.0735833335,-84.4155,-82.03475,-150.0,-69.3724166667,-66.8830833335,-89.5021666667,-77.922,-111.039
209.90,-72.1516666667,-103.27,-94.9365833333,-85.9704166667,-79.3249166666,-146.202583333,-74.7891666668,-66.7723333335,-89.7679999999,-82.8059999999,-111.075833333
210.28,-56.2943333333,-77.7480833333,-71.6311666666,-63.9185,-58.5994166667,-116.75525,-58.422,-46.8084166666,-68.1738333333,-64.0070000001,-84.3970833335
210.66,-72.3214166667,-93.3531666666,-89.6825,-82.1429166667,-74.60325,-136.60725,-73.8094999999,-56.4485000001,-86.3095000002,-85.2182500001,-104.761916667
211.03,-83.8745833333,-104.978416666,-98.7014166667,-98.48475,-84.4154999999,-158.333333333,-78.7879166667,-69.6971666665,-97.8355000001,-98.5931666666,-113.52825
211.41,-98.5159166666,-119.178083333,-108.105,-114.840333333,-89.8401666666,-174.771666667,-84.13225,-81.3925833333,-108.675833333,-111.643916667,-125.684916667
211.79,-82.1285833334,-100.502,-96.7871666668,-102.911666667,-76.004,-152.710666667,-71.9879166667,-65.4618333332,-91.7671666666,-95.0801666666,-109.03625
212.17,-95.7239166668,-112.829,-108.771916667,-118.859833333,-91.7764166666,-167.544,-85.7456666667,-77.1928333333,-103.83775,-112.609666667,-125.109666667
212.55,-92.8239999999,-115.625,-110.995333333,-120.601833333,-87.3841666666,-172.5695,-83.33325,-74.1898333333,-106.36575,-115.162,-122.5695
212.92,-68.1726666666,-90.4618333331,-80.8233333333,-92.0682499999,-62.3495833333,-133.93575,-61.2449166667,-50.8031666667,-81.4256666667,-83.7349166667,-93.7750833334
213.30,-62.9166666666,-87.5,-79.0625000001,-90.1041666666,-57.7083333333,-131.875,-56.8750000001,-45.1041666667,-79.2708333334,-74.7916666667,-90.3125000001
213.68,-47.5490833333,-67.353,-63.8235000001,-70.7844166667,-45.29425,-114.11775,-39.4117499999,-29.4116666667,-62.0587499999,-55.0980833333,-75.6864166667
214.06,-37.6470833333,-54.31375,-53.6275,-58.3334166667,-34.6078333334,-109.117583334,-25.7843333333,-19.902,-49.8039166667,-43.6274166668,-61.7645833333
214.44,-43.1818333333,-62.0129166666,-57.1428333333,-66.01725,-35.7141666667,-121.103916666,-27.3809999999,-22.9436666667,-52.5974999999,-53.4630833333,-67.9653333333
214.81,-34.936,-52.6710833333,-42.8418333334,-57.5855,-19.2308333333,-111.431583334,-22.6495833333,-18.6965833333,-40.8119166666,-43.9104166667,-56.624
215.19,-35.3376666667,-47.99575,-39.2405,-52.3208333334,-15.2953333333,-104.852333333,-26.05475,-14.3460833333,-35.654,-38.1856666667,-52.7426666667
215.57,-48.4848333333,-65.5303333333,-55.0503333334,-61.8686666667,-29.0405,-127.398916667,-39.8990833334,-16.7929166667,-50.7575833333,-50.63125,-62.2475833334
215.95,-42.3076666667,-63.8460833333,-43.718,-53.2051666667,-22.8205,-120.128333333,-29.1025833333,-13.5896666667,-46.0255000001,-50.6410833334,-57.3078333334
216.32,-40.423,-61.6914999999,-35.0745833333,-47.5123333333,-16.791,-114.925416667,-24.6269166667,-15.5471666667,-45.7710833333,-50.6217500001,-61.5671666667
216.70,-45.3281666667,-68.6869999999,-40.53025,-53.4090833334,-20.9595833333,-121.08575,-23.7375,-21.96975,-46.8434999999,-57.1970833333,-69.4445833334
217.08,-75.4631666667,-99.84575,-67.7470833333,-85.6481666668,-40.5864166667,-164.969083334,-44.59875,-49.3828333333,-68.9815833333,-96.1419166667,-103.549333333
217.46,-92.7305833334,-115.425583333,-73.9360833332,-105.319083333,-50.1773333333,-182.97875,-57.6240833332,-67.9078333332,-81.5604166665,-115.957416667,-125.177333333
217.83,-75.3623333334,-87.4999166667,-60.6885,-87.8623333333,-28.0796666667,-161.594416667,-42.93475,-47.6447500001,-67.9349166666,-102.53625,-107.789916667
218.21,-93.5897500001,-105.983083333,-80.3420000002,-115.171,-32.4785,-185.68375,-54.9144166667,-54.0600000002,-98.5043333333,-117.521333333,-136.5385
218.59,-100.213666667,-113.03425,-86.5384166668,-122.649666667,-49.5726666667,-189.7435,-61.7521666667,-58.1196666665,-113.034,-122.0085,-143.8035
218.97,-122.311916667,-148.387083333,-114.516083333,-150.26875,-78.4946666667,-229.032333334,-73.6559999999,-75.5374999998,-157.795666667,-151.344,-182.795583333
219.34,-74.7916666667,-100.625,-78.7499999999,-101.666666667,-49.1666666667,-161.458333334,-40.8333333332,-47.2916666666,-121.666666667,-106.458333333,-128.75
219.72,-32.1666666667,-54.3333333333,-42.9999999999,-71.4999999998,-13.0,-114.0,-13.5,-23.3333333333,-83.5000000001,-66.1666666668,-90.0000000002
220.10,-103.333333333,-126.666666667,-105.47625,-150.0,-72.3810833333,-216.428416667,-79.04775,-82.1428333334,-169.76175,-144.285833333,-177.619083333
220.47,-109.31375,-125.245166667,-113.9705,-147.058833333,-76.7156666668,-214.21575,-83.3333333334,-84.5586666666,-165.196166667,-140.68625,-162.00975
220.85,-107.432416667,-114.864666667,-105.855833334,-136.036,-77.0270000001,-194.144083333,-94.5944166667,-90.3153333332,-158.783916667,-128.6035,-150.6755
221.23,-150.0,-149.73125,-148.92475,-178.763416667,-116.129,-251.075333333,-142.20425,-127.419333333,-228.22575,-163.978416667,-215.860083333
221.61,-116.666666667,-113.889,-118.65075,-136.111,-92.2619166667,-190.6745,-113.492,-97.6191666668,-177.182583333,-135.714416667,-162.500083333
221.98,-186.979166667,-195.052083333,-189.0625,-225.0,-159.635416667,-286.979166667,-191.145833333,-166.40625,-259.895833334,-211.71875,-242.447916667
222.36,-168.958333334,-176.666666667,-170.416666667,-197.291666667,-159.166666667,-251.875,-184.791666667,-163.958333333,-214.375,-197.708333333,-213.75
222.74,-241.666666667,-261.66675,-262.777833333,-291.11125,-233.611083334,-365.555583333,-273.333333333,-251.666583334,-306.388916667,-296.9445,-314.444583334
223.11,-259.375,-268.489583333,-278.90625,-306.770833333,-249.21875,-380.46875,-293.489583333,-259.114583333,-303.90625,-309.895833333,-334.375
223.49,-355.0,-355.333333333,-370.666666667,-416.0,-333.666666667,-509.666666667,-397.333333333,-351.0,-396.666666666,-419.666666667,-461.333333333
223.87,-315.47625,-298.21425,-326.190416667,-363.988,-302.678666667,-449.107166667,-360.119,-305.95225,-334.523833333,-368.750166667,-408.631083333
224.24,-164.815,-149.074166666,-181.296333333,-195.925833333,-155.370333333,-252.037,-195.185166667,-164.074166667,-177.777833333,-200.555583334,-230.000083333
224.62,-129.01225,-121.759333333,-146.141833333,-162.963,-121.75925,-210.030833333,-158.024666667,-128.703583333,-143.0555,-162.5,-191.358
225.00,-99.5025,-97.7611666666,-117.164166667,-135.074666667,-95.3980833334,-165.04975,-124.005083333,-101.61675,-111.194,-132.587083333,-153.109416667
225.38,-70.9401666667,-72.9700833333,-92.3075,-101.709333333,-70.2990833333,-127.02975,-91.5596666666,-71.2606666667,-76.3888333334,-103.84625,-115.705083333
225.75,-87.0646666665,-91.2935000001,-116.417916667,-122.885583333,-86.9404166667,-154.228916666,-111.691416667,-85.0746666668,-91.5421666667,-125.0,-141.044666667
226.13,-64.1865833333,-70.0396666667,-90.6745833334,-89.08725,-68.3530833333,-116.964333333,-83.0356666668,-64.1866666667,-68.6507500001,-99.4047500001,-105.15875
226.51,-52.4660833333,-56.2075,-71.8539166667,-71.2585,-48.8095833333,-94.1326666666,-64.20075,-47.0236666667,-56.3775833333,-79.8470000001,-84.8639166669
226.88,-30.314,-32.367,-44.3840833333,-44.686,-26.44925,-58.1521666666,-39.6135833334,-25.0604166667,-32.7898333333,-48.0675833333,-53.2609166667
227.26,-19.868,-23.5264166667,-31.4531666667,-31.809,-16.057,-42.9879166667,-28.2013333334,-12.6525,-20.7316666667,-36.4836666667,-37.3983333333
227.64,-12.2223333333,-15.76925,-22.1368333333,-22.9486666667,-8.24791666667,-31.8803333333,-19.31625,-2.47866666667,-10.9829166667,-27.5213333333,-24.23075
228.01,-11.80875,-15.91925,-20.0298333333,-20.1045833333,-6.12841666667,-28.3259166666,-16.7413333333,0.298833333343,-10.2765,-24.0283333333,-20.32875
228.39,-12.1031666667,-15.9390833333,-18.1216666667,-20.8333333333,-6.87841666666,-24.8676666667,-15.6085,1.05833333333,-9.52391666666,-21.3955,-18.1878333333
228.76,-9.76108333333,-12.4708333333,-14.8895,-17.4825833333,-4.86608333333,-20.0759166667,-12.84975,3.38000000001,-6.75991666666,-18.2985,-14.1025833333
229.14,-10.4030833333,-12.2278333333,-13.6438333333,-16.8028333333,-5.44675,-19.5260833333,-12.7179166667,3.40425000001,-6.97183333332,-18.3823333334,-12.854
229.52,-10.6060833333,-11.4899166667,-12.42425,-17.3485833333,-4.54541666667,-18.384,-12.3484166667,2.7525,-7.44941666666,-18.5101666667,-11.2879166667
229.89,-9.05999999998,-9.78650000001,-9.71833333334,-14.80475,-3.11075,-15.3724166667,-10.51325,4.10974999999,-5.76758333335,-15.0318333333,-8.94641666667
230.27,-9.75191666666,-9.13125,-9.5745,-15.647,-3.0585,-16.2899166667,-10.6383333333,4.25541666666,-6.51591666667,-14.7385833334,-10.5938333333
230.65,-10.337,-9.94983333335,-11.3388333333,-17.3495833333,-4.50825,-18.0326666666,-11.7031666667,3.96183333333,-8.10566666668,-16.3935,-12.2266666667
231.02,-13.5269166667,-13.0310833333,-14.80175,-19.9953333333,-7.6015,-22.0726666667,-15.3445833333,2.59683333334,-10.85925,-18.98,-15.1321666667
231.40,-13.7128333333,-12.3439166667,-16.21025,-20.62925,-8.50124999999,-23.03075,-15.9940833333,1.41699999999,-11.5753333333,-19.09225,-15.4899166667
231.78,-14.3745,-12.8461666667,-17.33525,-20.86925,-9.24083333335,-21.82425,-16.7384166667,-0.453666666675,-12.8224166666,-18.8395833333,-17.1203333333
232.15,-14.0108333333,-12.3781666667,-16.7639166667,-21.0525833334,-9.235,-20.5165,-15.765,-0.462999999993,-11.3548333333,-18.6404166667,-17.64125
232.53,-11.0145833333,-8.33341666667,-14.8309166667,-17.488,-6.715,-18.6230833333,-13.0918333333,1.08683333334,-9.61349999999,-16.0386666667,-15.6763333333
232.90,-10.5908333333,-7.68508333333,-14.8174166667,-16.64275,-6.62816666666,-18.2036666667,-12.536,-0.16825000001,-9.75016666668,-15.4659166666,-15.3458333333
233.28,-9.404,-6.72725000001,-14.2923333333,-14.3621666667,-6.09883333333,-16.5968333333,-12.2671666667,1.04741666668,-8.42649999999,-13.8965833333,-15.4794166667
233.66,-6.32275000001,-5.00458333334,-11.4165833333,-11.3049166667,-4.24491666667,-14.276,-10.2769166667,3.08300000001,-5.89816666666,-10.6121666667,-13.1145
234.03,-2.09983333333,-0.459333333342,-7.41475000001,-6.97716666665,0.04375,-9.66758333333,-5.75241666669,7.78658333335,-0.699749999999,-7.56766666666,-8.42075000002
234.41,0.254583333333,2.31133333333,-4.81333333334,-4.26208333333,3.28666666667,-6.12808333333,-3.011,10.8566666667,2.31133333333,-4.21958333334,-4.30458333334
234.78,1.60325,2.85033333332,-2.96908333333,-2.47425,3.939,-4.69133333334,-1.56375,11.61925,3.40466666667,-3.20658333332,-3.10766666667
235.16,3.13666666667,4.74299999999,-0.207999999992,-1.02050000001,4.87541666667,-2.56999999999,-0.132333333333,12.4718333333,4.44075,-1.9275,-1.58725
235.54,3.82016666667,4.993,1.155,-0.26658333334,5.47258333333,-1.56350000001,0.390833333333,12.5089166666,5.11725,-1.3505,-0.461916666667
235.91,3.75783333333,4.1755,0.365500000007,-1.096,4.7495,-2.81833333333,-0.348083333331,12.1954166667,5.02791666667,-2.36608333333,-0.156416666665
236.29,5.02016666666,5.53891666668,1.12116666667,0.10049999999,5.73958333334,-1.38883333334,1.30525,12.5669166667,5.55541666667,-1.43908333334,1.70691666667
236.66,5.1715,4.87475000001,0.839833333342,-0.39525,5.73108333333,-0.741083333325,1.13633333334,12.2363333333,5.96183333333,-1.58108333333,2.76675
237.04,4.64816666666,4.59833333332,-0.116166666657,-1.39449999999,5.41175,-1.72650000001,0.315416666668,12.5165,5.39516666667,-1.84258333333,2.35725
237.41,4.54533333333,5.17124999999,-0.477666666674,-1.89391666667,5.86291666667,-1.53149999999,1.23516666667,12.7470833333,5.15491666667,-1.35041666668,3.32666666667
237.79,3.77891666668,4.40591666667,-1.43566666666,-3.03633333333,4.736,-2.07908333333,1.13858333333,11.9636666667,4.05941666667,-2.14516666666,3.28375
238.17,-0.0168333333325,-0.26775,-6.27508333333,-7.46316666667,0.301333333332,-6.978,-3.31333333333,7.63058333334,-0.68625,-6.25833333333,-0.886749999998
238.54,-1.84825,-2.98316666667,-8.20374999999,-9.38725,-2.675,-8.65758333334,-5.62591666667,5.31775,-3.43716666666,-8.23608333334,-3.01558333333
238.92,-3.11733333333,-3.54016666667,-8.91291666666,-10.1505,-4.16666666666,-8.69375,-6.82950000001,4.37041666667,-4.43291666667,-7.75366666667,-3.05441666667
239.29,-3.2595,-3.67249999999,-9.27741666667,-9.63124999999,-4.04133333334,-8.14166666667,-7.28633333334,4.41016666667,-4.91166666667,-7.75816666667,-3.20058333333
239.67,-4.29083333334,-4.18049999999,-9.74066666668,-9.83716666667,-4.41516666666,-7.56075,-7.91933333334,4.26316666667,-5.712,-8.29191666666,-3.51833333333
240.04,-2.995,-2.43116666667,-7.94483333333,-7.25558333334,-3.39608333333,-5.57641666666,-6.39091666667,5.82708333333,-4.549,-6.45358333334,-2.13033333333
240.42,-3.88675,-3.00175,-8.03091666666,-7.16858333334,-4.1555,-5.84666666667,-7.58283333333,5.813,-5.04033333333,-6.86591666666,-3.05783333333
240.79,-3.71675,-2.34283333333,-6.81099999999,-6.14875000001,-3.55883333333,-5.28866666668,-6.91975,6.75183333334,-4.58691666667,-6.16833333333,-2.75783333334
241.17,-3.09483333333,-2.10933333333,-5.61033333333,-5.12633333334,-3.0515,-4.27908333334,-6.08575,7.56408333334,-3.6135,-5.45475,-1.95366666667
