wavelength,Back_IdiBraf,Belly_IdiBraf,Breast_IdiBraf,Crissum_IdiBraf,Crown_IdiBraf,DorTail_IdiBraf,Rump_IdiBraf,Throat_IdiBraf,WingTip_IdiBraf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,91.6666666668,65.4760833334,82.1429166668,128.5715,59.5237500002,55.9525,90.4762500001,45.238,73.8094999999
179.16,-57.4072499999,-59.2590833333,-52.778,-36.1110833333,-59.2591666667,-64.8147500001,-58.3333333333,-75.0000833333,-35.1852499999
179.54,141.666666667,191.666666667,150.0,79.1666666665,141.666666667,175.0,8.33333333342,233.333333333,95.8333333335
179.93,101.388833333,154.16675,102.77775,124.999916667,138.889,130.5555,55.5555,129.166666667,94.4444166668
180.31,231.770833333,344.791666666,303.645833334,218.75,320.833333334,319.791666666,227.604166667,404.166666667,276.5625
180.69,160.0575,231.034416666,203.735583333,156.321833333,216.954083334,210.344916667,155.172333333,256.609166667,192.241416667
181.07,139.047666667,198.8095,179.999916667,143.5715,180.000083333,173.571333333,131.190583333,205.7145,164.761916667
181.45,87.5815,129.41175,117.320333333,96.0785,116.013,106.699166667,81.86275,128.431333333,108.66
181.83,95.0981666668,152.205916667,143.382333333,121.0785,140.441166667,118.872416667,88.9705833333,154.902,133.333333333
182.21,76.0100833332,128.28275,130.0505,109.848333333,121.969583333,96.7171666668,78.0304166667,138.131416667,111.868583333
182.59,35.8333333333,108.333333333,98.0556666667,87.7776666666,98.8889166667,80.2778333332,60.5554166667,115.000083333,73.6110833332
182.97,64.8374999998,118.0895,110.365833334,107.92675,118.0895,106.503916667,80.6910833334,125.406416667,93.0895000001
183.35,85.9999999999,129.0,124.166666667,126.166666667,130.666666667,124.333333333,98.9999999999,140.5,113.333333333
183.73,71.9363333333,93.8725833334,89.0932500001,97.549,102.450916667,91.5439166668,74.3871666667,102.573666667,81.4951666665
184.11,73.0323333332,88.88875,82.7545833333,94.4445833332,99.5370833333,92.1296666667,74.4214166667,98.2639999999,81.3659166667
184.49,79.04425,86.0294166667,85.1714166667,99.5096666668,92.4019166667,91.2990000001,70.3430833333,99.8773333334,82.5979166667
184.87,68.3961666666,76.8866666667,79.0880833333,94.0253333334,84.1195000001,88.8365000001,61.7925833334,100.47175,77.6729999999
185.25,80.5555833334,81.9445,86.1110833334,111.979166667,102.257,104.166583333,74.4790833333,120.833166667,92.7082499998
185.63,79.3103333333,80.7470833333,82.7586666666,111.92525,99.8564166665,105.316083333,75.0,117.816083333,94.1090833333
186.01,78.76,82.0120833332,78.7601666667,99.2885833333,92.17475,97.2560833333,77.5405833333,106.808833333,88.3130833333
186.39,100.747916667,97.97025,92.6282499998,117.948666667,108.974333333,113.99575,99.8930833333,130.876166667,108.3335
186.77,127.139666667,111.4865,116.77925,143.806416667,129.166666667,133.558666667,120.383,153.040583333,134.4595
187.15,123.383083333,101.61675,118.034833333,144.527416667,124.875666667,129.726333333,123.01,146.26875,132.089666667
187.53,129.464166667,101.636833333,128.869083333,154.166583334,130.95225,137.648916667,136.756,155.9525,149.256
187.91,173.541666667,128.958333334,177.291666667,204.375,173.75,184.375,187.5,213.333333333,213.333333333
188.29,181.5475,139.285833333,197.817333333,214.087416666,181.34925,194.0475,203.174666667,226.587416666,233.33325
