wavelength,Back_OryAngf,Belly_OryAngf,Breast_OryAngf,Crissum_OryAngf,Crown_OryAngf,DorTail_OryAngf,Rump_OryAngf,Throat_OryAngf,WingTip_OryAngf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,453.333333333,730.0,973.333333333,953.333333334,813.333333333,753.333333333,673.333333333,246.666666667,866.666666667
179.16,144.444466667,12.2221333333,17.7778666667,-11.1111666667,-6.6666,88.8887999999,53.3331999999,264.444333333,98.8889666667
179.54,93.3332666668,57.4074333333,42.9629333333,49.9998333333,80.7407333333,99.2594000001,62.9630666666,138.5186,50.3703000001
179.93,80.0000000001,-7.77773333334,-62.2222,12.2222666666,104.4444,151.111,102.2224,264.444466667,34.4444999999
180.31,334.285733333,538.0951,670.476,608.095399999,411.4286,226.666666667,413.3334,-28.5714666666,492.857233333
180.69,-2286.66666667,-3736.66666667,-4540.0,-4083.33333333,-2926.66666667,-1453.33333333,-2926.66666667,406.666666667,-3436.66666667
181.07,477.7778,708.333233333,791.110999999,692.2224,572.222133333,306.666600001,554.444466667,-8.88886666674,586.1111
181.45,229.259266667,292.7778,330.370466667,279.6296,234.074133333,157.037,254.444333333,65.1852,268.703666667
181.83,151.515133333,181.9193,196.1618,171.212233333,144.242333333,112.525133333,156.161533333,64.6464000001,153.838333333
182.21,135.333333333,159.666666667,162.333333333,153.916666667,132.0,113.166666667,141.0,68.1666666666,133.333333333
182.59,152.533333333,181.466666667,179.2,177.466666667,141.866666667,121.6,158.133333333,45.3333333333,144.933333333
182.97,179.555533333,253.333233333,226.666733333,238.000066667,188.4446,172.888866667,221.333266667,19.1110666665,185.7778
183.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183.73,-152.2222,-277.7778,-248.888933333,-289.444433333,-71.1110666666,-106.666733333,-284.444533333,266.666466667,-98.3334999999
184.11,-304.0,-290.0,-317.333333333,-409.333333333,-106.666666667,-185.333333333,-364.0,301.333333333,-240.666666667
184.49,-227.619,-213.8094,-245.714466667,-340.476266667,-43.8094666669,-106.666666667,-244.761866667,193.333333333,-199.523766667
184.87,436.666666666,438.333333333,486.666666667,689.166666667,108.333333333,238.333333333,524.999999999,-336.666666667,398.333333333
185.25,-42.8570666667,-20.4760333333,-57.1428666667,-186.666766667,167.618933333,73.3334666667,-107.619133333,400.9524,-45.2381333335
185.63,64.7619333333,84.0476999999,71.1904666667,34.0476666666,115.238,88.8094666666,52.1427999999,167.619,70.7142666667
186.01,72.5491333333,90.6863666667,75.6863333334,54.5097999999,107.647,86.0784666667,59.0197333333,142.745266667,65.1962
