wavelength,Back_DolFrim,Belly_DolFrim,Breast_DolFrim,Crissum_DolFrim,Crown_DolFrim,DorTail_DolFrim,Patch10_DolFrim,Rump_DolFrim,Throat_DolFrim,WingTip_DolFrim
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,375.0,214.583333333,295.833333334,441.666666666,154.166666666,204.166666666,133.333333333,333.333333333,308.333333334,304.166666666
179.54,88.4614999998,46.795,102.564166667,89.7436666667,42.3078333334,78.2053333333,19.2306666667,82.0511666667,94.8718333333,78.2051666667
179.93,13.3333333334,5.0,30.0,-20.0,11.6666666666,-28.3333333333,-51.6666666667,23.3333333333,11.6666666666,36.6666666667
180.31,445.238166666,320.833583333,569.047833333,253.5715,121.4285,298.809666667,57.1426666665,476.190333334,460.7145,388.095333333
180.69,530.555666666,445.83325,744.444666667,345.833333333,186.111,391.666666666,98.6109999999,619.444666666,609.722333334,458.333333333
181.07,227.222333333,220.555833334,344.4445,156.111333333,139.999833333,183.889,81.6665000001,284.444333333,266.666833333,197.222166667
181.45,173.931666667,179.914583333,270.9405,107.6925,117.094,158.1195,71.3675000002,224.786333333,212.820666667,144.017
181.83,203.535333333,224.242583333,304.040333334,111.616,146.969833333,185.3535,106.060833333,274.7475,245.454666666,172.727166667
182.21,321.739,369.565083333,483.333333334,194.203,246.376666667,318.840666666,215.2175,411.594166666,373.1885,273.913
182.59,317.948666667,360.576916666,466.6665,185.897333334,268.5895,307.051166667,249.358833333,363.4615,374.359166667,261.5385
182.97,498.958333333,553.645833333,757.291666667,310.416666666,438.541666666,479.166666666,371.875,557.291666667,597.916666667,341.666666667
183.35,332.666666667,377.666666666,506.0,228.666666666,278.666666666,338.666666666,252.0,390.666666667,397.333333333,262.666666667
183.73,375.438666667,458.772,586.842,264.035,296.490833334,365.7895,265.7895,447.368166666,471.052666667,306.140333333
184.11,233.3335,294.872,391.0255,185.897666667,199.358833334,253.205,173.717833333,293.589833333,315.3845,214.7435
184.49,171.3675,201.923,249.145166667,140.5985,156.8375,176.068333333,124.786166667,200.427166666,213.675333334,152.564
184.87,143.560666667,158.143916666,193.181666667,101.894166667,121.211833333,144.697166667,93.1816666667,150.7575,160.606,128.787833333
185.25,238.095166667,242.460416667,308.73,150.793666667,177.777833333,252.381,119.8415,238.888833333,250.793666667,232.539666667
185.63,242.307666666,258.9745,391.025666667,132.051333333,216.6665,314.102666666,110.256333333,256.410166667,292.307833333,306.410333334
186.01,-197.619166667,-189.285666667,-523.809333334,45.2383333335,-192.857333333,-366.666666667,83.3331666665,-183.333333333,-316.666666666,-319.047666667
186.39,-250.0,62.5,-1166.66666667,425.0,-216.666666667,-883.333333331,875.0,-299.999999998,-775.000000001,-549.999999998
186.77,16.666666667,116.145833333,-1.0416666665,104.166666667,55.2083333335,-43.75,180.208333334,10.4166666665,-4.16666666665,-15.625
187.15,5.8823333335,146.078416667,77.451,141.1765,89.2156666665,23.5295,182.352833333,69.6076666668,50.9805,-15.6865
187.53,14.6463333331,97.2223333335,65.6566666666,86.3636666667,53.0305,32.8283333333,108.586,76.7676666667,38.8888333334,19.6968333333
