wavelength,Back_PhrPlef,Belly_PhrPlef,Breast_PhrPlef,Crissum_PhrPlef,Crown_PhrPlef,DorTail_PhrPlef,Rump_PhrPlef,Throat_PhrPlef,WingTip_PhrPlef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,250.0,362.5,354.166666667,233.333333333,350.0,216.666666667,191.666666666,445.833333333,300.0
179.16,-21.9696666666,-21.9696666666,-34.8483333333,-4.54541666667,-34.09075,-16.6666666667,2.27283333333,-37.87875,-37.8785833334
179.54,51.1905,51.7856666667,42.2621666666,51.1903333333,22.0238333333,58.9285833333,59.5239166667,37.4999166667,64.28575
179.93,100.0,89.5833333333,122.916666667,131.25,62.5000000001,189.583333333,118.75,43.7500000001,147.916666667
180.31,12.0614166667,3.94741666667,-2.19308333333,28.0702500001,-58.1139166667,74.1226666666,48.0264166666,-71.4914166665,16.886
180.69,6.3952499999,3.10083333335,9.68999999999,34.8838333333,-53.10075,73.4496666666,46.8991666666,-62.5968333333,25.19375
181.07,27.1929999999,26.9006666667,37.2805,52.7778333333,-19.0058333333,84.5029166667,63.15775,-22.5145833333,49.1227499999
181.45,39.79875,40.2299166666,56.60925,65.2299166667,-8.76441666667,96.9828333333,74.1378333333,-10.6321666667,67.2412500001
181.83,20.6140000001,24.3421666667,55.4825833333,62.28075,-42.9825833334,114.47375,75.0000833333,-60.3069166666,59.42975
182.21,-30.9139166668,-19.0861666666,19.3549166667,24.1935000001,-105.914,68.8171666667,32.527,-131.45175,21.5055
182.59,-40.1041666668,-29.9479166666,16.40625,17.4479166667,-105.989583333,47.3958333334,24.2187499999,-132.552083333,10.4166666667
182.97,-72.3214166667,-43.1546666666,7.14275000002,18.45225,-127.381,29.4641666667,17.5594166666,-146.130916667,10.7143333333
183.35,-132.985916667,-90.2778333333,-37.8471666667,-8.68058333332,-183.680583333,-15.6251666668,-26.0416666667,-202.083416667,-11.1111666667
183.73,-230.729166667,-172.916666667,-93.7500000001,-29.1666666666,-305.729166667,-78.6458333334,-79.6875,-334.895833333,-52.0833333333
184.11,-161.111083333,-108.333416667,-53.5713333333,5.1587500001,-231.746,-58.7301666666,-63.0952500001,-219.047666667,-28.1744166666
