wavelength,Back_GeoDiff,Belly_GeoDiff,Breast_GeoDiff,Crissum_GeoDiff,Crown_GeoDiff,DorTail_GeoDiff,Patch10_GeoDiff,Rump_GeoDiff,Throat_GeoDiff,WingTip_GeoDiff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-81.6666666667,-60.0,-48.3333333333,-73.3333333334,3.33333333334,-63.3333333333,-99.9999999999,-43.3333333333,3.3333333334,-73.3333333333
179.16,93.3333333334,197.7778,275.555533333,162.222266667,200.0,170.0001,262.222266667,159.999866667,199.999933333,126.666666667
179.54,-48.1482,-48.8887333333,-60.7408,-70.3702,-65.9259333333,-72.2223666667,-57.7777333333,-51.1111333333,-61.4814666666,6.66666666667
179.93,-135.0,-156.666666667,-190.0,-165.0,-181.666666667,-165.0,-136.666666667,-146.666666667,-136.666666667,-133.333333333
180.31,-3.0302,8.33333333332,-21.2122,-0.151466666659,-12.8788,-3.40910000001,-5.7576,17.5756666667,-17.2727333333,60.7576000001
180.69,-2.26193333332,6.90473333335,-17.0238,-5.23813333335,-10.5953333334,-0.000100000006,-1.42853333334,17.738,-15.4762,48.2142
181.07,-5.17239999998,1.26440000002,-16.322,-6.55179999999,-5.63226666668,-3.27576666667,-13.5632666667,17.1264666667,-14.2528,47.0116
181.45,5.55560000002,13.6361333333,-3.93933333334,2.42406666667,5.35353333333,12.6766,1.31319999998,20.303,-3.43433333333,49.1919333333
181.83,7.61919999999,17.7380666667,-1.54753333336,8.8096,7.50006666668,19.9405,2.73813333332,25.7143333333,-4.16673333334,50.8334000001
182.21,-11.6279333334,4.80626666667,-17.0542,-6.35653333333,-6.51159999999,5.65896666668,-23.2557333333,13.0230666667,-32.8681333333,51.6279333333
182.59,-27.2726666667,-17.1213333333,-43.1817999999,-34.2424,-39.394,-23.0302666667,-60.9092,-15.1514666667,-64.2424,19.8484
182.97,-145.714266667,-104.761866667,-168.888866667,-130.7936,-181.587266667,-123.016033333,-195.872933333,-102.539666667,-220.3174,-43.4920000001
183.35,-392.727266667,-335.757466667,-455.757466667,-412.727333333,-484.2424,-419.090866667,-524.242466667,-347.272666667,-518.7878,-246.060733333
183.73,2770.0,2653.33333333,3076.66666667,3043.33333333,3426.66666667,2918.33333333,3560.0,2683.33333333,3536.66666667,2023.33333333
184.11,895.833333333,878.333333334,922.499999999,998.333333333,1067.5,968.750000001,1094.16666667,912.5,1111.66666666,723.333333333
184.49,945.333333333,932.666666667,963.333333335,992.666666667,1057.33333334,998.666666667,1134.0,1006.66666667,1123.33333333,810.666666667
184.87,368.571466667,360.952466667,377.857133333,387.618933333,422.619066667,387.3808,455.714066667,413.333266667,441.904666667,325.0
