wavelength,Back_DigLafm,Belly_DigLafm,Breast_DigLafm,Crissum_DigLafm,Crown_DigLafm,DorTail_DigLafm,Patch10_DigLafm,Rump_DigLafm,Throat_DigLafm,WingTip_DigLafm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,71.1110333333,58.8889333333,64.4442666667,52.7776,38.0158095239,59.8765444445,46.1111333333,64.4444666667,67.2222,45.5554666667
179.16,-173.333333333,-316.666666667,-39.9999999999,-306.666666667,-523.809523809,34.0740740741,-153.333333333,-146.666666667,-240.0,-53.3333333334
179.54,-536.666666667,-813.333333333,-580.0,-693.333333333,-720.952380953,-490.740740741,-760.000000001,-493.333333333,-573.333333333,-360.0
179.93,5.18516666666,17.4073666667,37.0370666667,-7.40733333333,17.2485428571,27.4485481481,21.4814666667,-1.48153333333,19.2593333334,5.92593333334
180.31,105.370433333,59.0740999999,160.000066666,8.51860000014,8.3067904762,115.823096296,-5.18506666667,27.4073999999,131.4816,92.5926000001
180.69,91.1111333334,34.1667000001,141.388933333,7.22213333334,3.80953333324,111.990833333,2.50013333333,33.0555333333,117.222133333,76.1112
181.07,77.7083333333,-13.5416666665,143.333333333,-44.1666666668,-55.6547619047,115.787037037,-39.5833333335,-11.2499999999,117.083333333,74.5833333335
181.45,113.1579,35.2631666666,163.157933333,17.5438000001,7.51884761906,132.534044444,-0.7016666666,24.5614666667,144.9124,100.350733333
181.83,188.888933333,87.1112000001,256.888933333,50.2221333331,57.2063238097,202.839466667,39.111,67.9999333333,218.666666667,141.333266667
182.21,412.777666666,110.555566667,566.666799999,47.7777999999,57.1428857142,446.111111111,-12.2222666666,112.222066667,514.4444,294.4442
182.59,-351.111066667,-6.1110333334,-540.000066667,-14.4446666667,28.730047619,-445.55552963,71.1112000001,-115.555466667,-438.8888,-303.3334
182.97,-782.222233333,-68.8888666659,-1204.44446667,-144.4444,-41.9046952382,-981.604888889,57.7777333332,-393.3332,-928.888933334,-602.2222
183.35,-32.4,70.8000000001,-91.7333333333,56.2666666667,48.7619047619,-42.8888888889,63.7333333333,-3.4666666666,-51.7333333333,-4.80000000007
183.73,-30.4761333333,87.4603666668,-94.6031999999,90.1586666667,69.6146380953,-37.2486296296,84.4445333334,-11.7459333334,-59.6824666667,10.4762666666
184.11,-121.212133333,112.7271,-201.818,133.3334,100.346209524,-147.070685185,110.909,-90.3030666665,-169.697,-7.87886666672
184.49,-40.9523333333,68.5714666668,-69.5239999999,93.0158666667,61.4059333334,-63.4920555556,103.492,-20.9524666667,-52.0632666667,29.5236666666
184.87,3.1111,50.8148999999,-5.48146666666,61.9259333333,45.2275619048,0.9464814815,73.7778,12.8891333333,1.33340000001,34.6666666667
185.25,3.5713,36.5476999999,-14.7618666667,46.7856666666,30.6802857143,-3.00928518518,60.7142666667,5.95240000002,-4.88086666666,24.5237333333
185.63,17.2140333333,45.2239,2.587,60.1989999999,41.8336,15.7821518519,67.8608666667,17.9104666667,12.2388666667,33.3332666667
186.01,11.3542666667,36.3540333333,-3.43733333333,53.8541999999,35.8481428571,8.11927407406,63.5416666667,11.6666,3.85419999999,23.8542666667
186.39,-4.56133333334,22.3976666667,-21.1696,40.1169999999,25.6474285714,-3.87261851851,53.8012,-4.91226666666,-9.59073333333,11.4618666667
186.77,10.7143,30.1427,-5.52380000001,46.0953333333,31.9591714286,12.4973037037,56.381,13.4285999999,4.95233333334,22.1904
187.15,15.3640333333,31.0728,4.06133333335,39.8466666667,30.4980857143,20.1829740741,50.9580666667,19.6936,9.9616,20.6129333333
187.53,3.33333333333,21.25,-5.00000000001,29.0,17.619047619,9.11574074075,40.5,11.0833333333,-2.41666666665,10.5833333333
187.91,15.7646666667,32.7058666667,6.90193333333,36.1567333333,27.0812761905,22.8583185185,50.0393333333,25.2548666666,7.76466666666,19.5294666667
188.29,21.2644,32.6052666667,9.88519999999,37.6244,28.7794190476,27.1009777778,48.3524666667,26.7432666667,10.0384,20.8428666667
188.67,19.9998666667,34.0871666667,7.38086666666,36.746,22.1088,24.9029481482,40.7143333333,21.6666,7.46033333333,18.0952666667
189.05,-9.66666666666,10.3333333333,-32.6666666667,16.9333333333,-6.99047619048,-2.46666666666,27.2,-12.0,-30.8,-12.4000000001
189.43,0.063033333334,19.0565333333,-18.4906,27.9246666667,-2.62358095238,10.2166037037,36.3523333333,-5.91206666666,-19.7485333333,0.25166666666
189.81,-9.08493333327,12.6143666667,-25.3596,15.5556,-20.4856190476,-1.51055555555,27.7123333333,-16.6011999999,-35.1634666667,-8.10460000007
190.19,-11.7073666666,20.3252666667,-25.0406666667,20.8130000001,-28.0604190476,4.54376666667,27.8049333333,-17.7236,-43.2520666667,-7.64239999993
190.57,-6.06666666665,18.4666666667,-14.0,17.8666666667,-29.6380952382,3.45185185184,19.8666666667,-19.0666666667,-34.4000000001,-5.73333333339
190.95,-102.753633333,-50.2897666667,-105.2174,-63.4781333333,-160.124295238,-103.204481482,-55.9419333333,-134.203066667,-161.1594,-85.7970666666
191.33,-1134.44446667,-793.333300001,-1180.0,-866.666533333,-1733.33339048,-1174.07405926,-931.1112,-1511.11106667,-1688.88886667,-984.444399999
191.71,372.4242,320.606033333,426.060466667,345.454733334,579.220819047,415.420985185,372.1214,512.121266667,573.333333332,384.242466667
192.09,249.305666667,232.499966667,284.444466667,235.833333333,352.658771429,282.777862963,253.333466667,315.0,350.0,255.833466667
192.47,214.949533334,186.969766667,234.949533333,208.282733333,286.69547619,239.584703704,209.494866667,260.606066667,277.575733333,217.373733333
192.85,261.839166667,229.9999,272.643733333,257.471333333,337.339885714,278.084325926,255.1724,300.9196,340.459666667,268.2758
193.23,433.137233333,398.235233333,431.764733333,443.5294,585.658247619,468.954237037,447.843133334,489.411933333,581.176333333,462.745133334
