wavelength,Back_DigVenf,Belly_DigVenf,Breast_DigVenf,Crissum_DigVenf,Crown_DigVenf,DorTail_DigVenf,Patch10_DigVenf,Rump_DigVenf,Throat_DigVenf,WingTip_DigVenf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,193.75,185.037878788,150.0,200.0,193.75,196.875,200.0,260.416666667,108.333333333,187.5
179.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.54,-200.0,-475.757575757,266.666666667,-200.0,-600.0,25.0,-533.333333334,-683.333333335,-800.0,-200.0
179.93,-2.08333333335,55.8712121212,8.33333333335,-2.08333333334,8.33333333335,33.3333333333,29.1666666667,29.1666666667,54.1666666667,22.9166666667
180.31,88.0206666667,96.6383333332,72.3953333333,96.0938333335,111.588583333,80.4688333335,135.156166667,148.4375,91.4061666665,126.302166666
180.69,88.6473333333,94.7957727275,73.1886666665,104.5895,114.492666666,91.7875,138.164166667,148.792166667,93.4781666665,135.748666667
181.07,75.9493333333,84.4839848485,65.8226666667,90.7171666667,101.47675,79.1139166665,124.6835,124.683333333,91.35,121.519166667
181.45,63.8888333334,74.7643787879,59.8148333334,86.4815,88.7961666667,76.8516666665,109.259166667,106.666666667,78.5185,106.111166666
181.83,61.4678333334,63.6087424242,62.3853333334,79.358,77.3699166667,70.3365,95.7188333332,95.7185,62.0795,96.789
182.21,68.73,62.4097727273,65.8731666667,82.8573333333,85.15875,71.1114166667,101.111166666,103.968166667,64.2853333335,105.079333334
182.59,70.0,57.648090909,70.0,78.4128333333,87.3016666667,68.5715,101.587333333,99.0478333334,63.3333333335,100.476
182.97,74.011,64.7788939394,71.4688333334,83.6158333333,90.8896666667,72.0341666666,106.497,100.423666667,69.9151666665,101.836166667
183.35,63.889,59.5029848485,65.205,74.5611666666,79.5321666666,60.1606666667,98.3916666666,91.3743333331,69.7368333335,92.8363333332
183.73,64.0275,63.2701818182,69.7223333334,68.8886666667,75.8331666667,55.7638333334,94.5831666665,90.8333333333,68.333,90.8331666666
184.11,71.4285,71.5295,81.1113333334,70.3173333334,80.3968333333,53.4125833333,101.904666666,94.7619999998,68.4123333335,100.158666667
184.49,81.0036666667,84.4086969697,93.0108333335,83.8708333333,90.3225,59.49825,109.498,107.347666667,70.43,112.3655
184.87,96.3203333335,99.6261818182,108.658,91.342,106.277,54.8700833333,128.571333333,120.346166667,83.5496666665,122.510833334
185.25,101.5625,101.6335,124.2185,88.8019999998,118.22925,44.6618333334,138.541666666,129.1665,87.5,129.427
185.63,125.988666666,129.507075757,150.847666667,110.452166667,151.836416667,59.6046666666,171.1865,156.497166666,125.423666666,164.689166667
186.01,166.260166667,198.410803031,200.406333333,152.439,217.073083333,81.0975,241.869833333,203.6585,184.552666666,231.707166667
186.39,174.123,219.338121212,208.333166667,177.6315,230.044,90.5701666665,271.052833333,205.701833333,213.596833334,246.929833333
186.77,154.321,183.389484848,184.568,151.852,195.679,94.753,222.222166667,171.913666667,181.79,205.864166667
187.15,117.413,136.295651515,149.751333333,123.631833333,151.865666667,59.9501666666,170.398,126.1195,150.994833333,163.183833333
187.53,113.426,128.114378788,145.602,125.0,148.26375,57.5230833334,159.490833333,124.537,148.611333333,157.8705
187.91,120.833333334,138.494424243,151.5625,134.374833333,159.114666666,55.3385,176.302333333,130.2085,156.770833333,172.656333333
188.29,109.282833334,118.296939394,120.886333334,113.924,141.455916667,54.2193333333,150.633,115.401166667,144.936833334,151.687666666
188.67,102.1505,109.254030303,110.931666667,96.7741666666,130.286666667,56.27225,137.8135,103.584,132.616333333,136.379833333
189.05,97.8963333335,98.6322272729,104.369,93.0419999999,120.631083334,53.55975,131.23,100.323666667,123.301,126.375333334
189.43,102.102166667,99.1672727273,101.051166667,98.4983333334,114.639666667,56.3061666667,130.180166666,97.8978333334,112.612833333,126.426666666
189.81,95.8746666665,92.2743787878,99.1748333333,88.284,102.31025,42.1618333333,125.742666666,82.5083333333,109.736166666,116.1715
190.19,84.4635,74.4352272727,88.4181666666,76.9775,86.0875,36.229,108.333333333,71.1866666666,92.5141666666,99.1525000001
190.57,89.3938333335,79.0081818182,97.1213333333,80.3028333334,89.01525,34.3938333334,114.394,75.1516666667,94.2426666666,102.424166667
190.95,86.9496666668,79.5883636364,93.7106666666,84.2765,87.3428333333,31.6823333333,114.308166667,77.5156666667,101.100833333,104.245166667
191.33,101.212166667,90.8539545454,98.6365,93.0303333335,97.9544999999,48.485,121.515166666,83.3331666667,111.060833333,115.303166667
191.71,118.367333333,95.3462575757,102.551166667,98.129,108.588583333,51.7005833333,136.3945,87.4148333333,117.006833333,124.659833333
192.09,120.333333333,97.4545454545,105.5,103.5,108.166666667,56.9166666667,134.833333333,89.3333333333,114.0,120.833333333
192.47,123.782833333,106.452333334,116.666666666,117.790166667,113.951416667,60.76775,143.820333333,95.3183333335,108.426833333,125.093666666
192.85,132.520333333,110.366075757,126.829166666,133.536666666,124.085333334,57.1138333334,154.471666666,106.9105,113.618166667,132.317
193.23,103.3335,90.014378788,103.8095,107.3015,100.23825,45.3969166667,118.571666667,81.4286666667,93.3333333333,107.142833333
193.61,91.8920000002,81.0947272727,94.5945,97.7478333335,95.0451666669,42.868,107.357333333,71.9218333334,91.1415,97.1473333333
193.99,83.8798333334,74.9878484849,85.3823333334,94.1259999998,90.3004166666,41.3935833334,97.9506666667,68.0325,81.9673333334,90.7103333334
194.37,85.7141666667,73.0248333333,90.1786666667,94.7914999999,93.3779166665,37.7231666667,101.934666666,68.75,83.0355,92.5596666669
194.75,77.8645,59.3748787879,80.4685,84.2445,85.0910833334,36.45825,87.6303333333,61.198,74.7393333334,83.3333333333
195.13,81.5635,50.831409091,79.9406666667,80.6786666667,84.1446666667,28.4658333333,87.7581666667,54.4248333333,70.0588333334,75.8113333334
195.51,91.146,53.8037121212,89.0623333333,82.9861666669,87.0660000002,18.2291666667,93.5765,58.3333333333,67.0136666666,73.2638333334
195.89,92.517,67.0223030303,85.5443333333,86.9046666667,89.3707499999,24.2349166667,93.3673333333,60.5443333334,67.5168333334,75.0001666667
196.27,89.3618333334,62.7659090909,77.6598333334,78.3685000001,86.4360833334,19.7695,91.4895,49.8228333333,63.8296666666,73.2266666667
196.65,88.828,55.6941363636,74.359,72.894,84.5239999999,20.5131666667,88.6446666666,45.0548333333,68.3148333334,65.7511666666
197.03,92.4885,46.4575757576,60.094,65.7278333334,80.8685833331,14.9061666667,85.6808333333,30.7513333334,69.7185,56.573
197.40,112.424166667,60.8266515151,65.758,73.3333333331,89.6969166669,17.5756666667,98.4846666666,33.0303333333,79.0908333334,60.909
197.78,124.4185,68.604530303,62.0158333333,72.8683333335,88.3721666669,8.72083333333,106.201333333,24.4186666665,103.875833333,54.6513333333
198.16,130.666666667,72.4545454546,74.6666666667,83.0,93.1666666665,31.6666666667,105.333333334,41.3333333335,108.333333333,66.6666666667
198.54,170.833333333,82.239030303,64.3516666667,87.9630000002,97.2221666666,31.7129166667,109.722333333,26.8518333335,124.536833333,61.111
198.92,177.957,72.3850454545,28.4945,70.9676666667,88.4408333335,24.7311666667,86.5591666667,15.5913333335,111.827666667,39.2475000001
199.30,151.724166666,63.6885151517,10.9196666665,37.3563333332,60.3448333333,-8.04608333335,37.9311666667,-8.6208333335,72.9886666667,20.1148333333
199.68,98.3333333331,-13.3838333333,-31.6665,-4.4445,19.4444166668,-28.3331666666,-11.1111666667,-45.0,25.5553333333,-33.3333333333
200.06,79.4573333335,-10.0072575757,15.116,3.10083333335,20.54275,-0.19383333335,1.163,-17.0543333335,44.1861666666,-8.13966666665
200.44,69.3798333335,-18.0057878788,11.2401666667,-7.7516666667,7.9455,12.597,-17.442,-31.3954999998,54.2636666666,-28.6821666666
200.82,77.0371666665,-20.9429242424,18.1483333333,-1.4815,10.7405833333,10.55575,-13.7035,-35.1851666667,48.5186666666,-21.1111666666
201.19,49.7075,-26.3954393939,16.6666666666,-4.38616666665,-2.77783333335,3.94741666665,-20.1756666666,-42.6901666665,33.9178333334,-20.4676666667
201.57,27.2728333333,-48.0441212122,3.93933333335,-29.0908333333,-24.2424166666,-15.4545,-44.8483333333,-63.6363333335,10.6063333333,-48.1816666667
201.95,4.71016666665,-95.5203030302,-13.0436666667,-49.6376666667,-63.0433333332,-47.1014166666,-86.9565,-96.0143333333,-26.0868333334,-86.9566666665
202.33,-99.3333333332,-288.545454545,-152.666666666,-215.333333333,-229.333333334,-194.666666667,-279.333333333,-276.666666667,-174.0,-281.333333333
202.71,-218.518333333,-449.915909091,-303.704,-332.4075,-341.203583333,-316.666666666,-440.740666667,-420.370333333,-288.888833333,-437.962833333
203.09,-288.095166667,-533.225242425,-346.4285,-408.333333334,-449.40475,-391.071416666,-542.857,-559.523666667,-399.999666667,-523.809333334
203.47,-4750.0,-8445.45454546,-5916.66666666,-6300.0,-7091.66666665,-5575.0,-8233.33333335,-8800.0,-7450.0,-8050.0
203.85,783.3335,1242.92927273,1036.111,1144.4445,1163.88891667,804.166666667,1377.77783333,1455.5555,1172.222,1261.11116666
204.22,475.641166666,652.330848485,637.179333333,680.769333333,664.743666666,460.256583333,773.077,829.487333333,717.9485,716.6665
204.60,306.249833333,420.32819697,417.361333333,411.111,413.541666666,309.722166667,475.6945,504.861333333,470.139,425.000166667
204.98,284.8485,342.148757575,351.514833334,351.010166667,380.0505,287.62625,405.5555,406.565833333,391.414,367.676833333
205.36,212.847166667,253.977287879,268.750166666,265.625166667,277.604166667,212.152916667,299.3055,303.125,294.097166667,275.347166667
205.74,198.809666666,237.662272728,257.440166666,237.499833334,260.416666667,182.291833333,276.785666666,282.4405,268.452333334,250.595166667
206.12,222.222,267.409348485,296.405333334,281.372666666,283.49675,189.21575,312.418,321.241833334,305.882166666,282.679666666
206.50,169.675833334,202.714681818,221.296333334,206.250166667,211.574,133.101666666,227.546166666,243.055666666,213.426166666,202.546
206.87,187.5,225.267181818,233.088166667,225.980333333,240.563583333,144.485416666,251.2255,272.548833333,237.254833334,225.980333333
207.25,205.238166666,244.610287879,255.237833334,249.761833333,258.690666666,163.809416666,270.476166666,291.6665,250.952166667,247.856833333
207.63,253.161,301.123060606,310.0575,314.0805,320.689833334,206.034333334,338.793166666,356.034333334,287.931,307.4715
208.01,234.506833333,265.642227273,275.117333333,273.474166667,286.502333334,198.709,301.408333333,311.972,256.807666666,276.525833334
208.39,192.9555,220.040409091,221.134333333,218.213,224.484666667,162.715,242.7835,243.470833333,203.608,222.336666666
208.77,222.222333333,254.581590909,258.928666667,255.555333333,255.853083334,184.821583333,281.944333334,269.841333334,231.150666667,258.928666667
209.14,211.985,247.906227273,247.003666666,237.827333334,231.554166667,165.355833334,266.292166667,261.985,222.8465,245.505666667
209.52,222.633666667,254.265015151,255.761333334,252.057333333,250.514416667,171.296166666,278.8065,276.3375,243.6215,258.436166667
209.90,211.628,239.287969697,241.278833334,244.767333333,238.566166667,167.9265,265.504,261.627833334,232.751833334,246.7055
210.28,176.548666666,192.276712121,200.1475,196.165166666,201.401166666,150.958666666,220.354,212.9795,198.082333334,202.802333334
210.66,232.906166666,256.876318181,267.5215,262.820666667,269.551416667,200.854833333,303.632666666,281.624166667,284.615166667,280.128333333
211.03,282.7685,319.620030303,334.463166667,329.660833334,328.1075,241.807916667,374.5765,348.022666666,350.565,341.525333334
