wavelength,Back_DigVenf,Belly_DigVenf,Breast_DigVenf,Crissum_DigVenf,Crown_DigVenf,DorTail_DigVenf,Patch10_DigVenf,Rump_DigVenf,Throat_DigVenf,WingTip_DigVenf
211.41,283.636333333,324.848484848,331.515,332.727333333,332.12125,237.727166667,375.151333334,353.6365,359.090833333,350.0
211.79,245.4545,282.208409091,283.838333333,279.293,287.626333333,205.808,308.585833333,297.979833333,314.899,293.939333333
212.17,267.222333333,303.030287879,306.667,299.722166667,312.500083333,211.110916667,332.5,320.277833333,351.666666666,319.166666667
212.55,286.309666667,312.662530303,330.654666667,304.762,336.012,215.9225,341.0715,330.0595,363.690333334,333.333333333
212.92,216.877666667,229.555136364,246.835166666,218.565333333,253.37575,167.510583333,244.514833334,250.843833333,272.785,243.249166667
213.30,239.6135,257.861196969,297.101666666,256.521666667,292.512166667,189.492916667,279.468666667,276.3285,307.970833333,276.328666667
213.68,237.2145,251.037772727,286.073166667,245.434,281.164416667,182.077583334,281.278666667,261.415666667,287.214333334,270.319666666
214.06,268.817166666,287.023378788,329.032,273.118166667,321.50525,201.478666667,320.9675,295.967833333,334.139666666,300.806333333
214.44,369.1055,411.344954546,466.666833333,392.2765,446.747916667,260.975583334,455.284666667,420.325333333,453.658666667,415.853666667
214.81,272.807,298.857,337.134333333,299.122833333,331.432666666,189.181333333,333.625666667,309.649166666,322.806666666,298.245833333
215.19,255.645,262.927636363,312.365666667,269.892333333,308.198833333,180.913833334,310.752833334,276.344166666,287.3655,277.957
215.57,262.365333333,258.528818182,313.441,262.903333333,310.618083333,184.811916666,314.784833334,270.161166666,296.236666667,279.300833334
215.95,351.894,330.785257575,425.757666666,347.727333334,396.969666667,224.242583334,429.924166667,350.757666667,390.5305,371.212166667
216.32,353.876166667,358.033666667,444.573833334,365.8915,403.68225,241.8605,444.961333334,375.193666667,400.775333334,381.783
216.70,723.333333333,739.242424242,920.0,772.5,849.583333333,521.666666666,939.166666667,805.833333333,875.833333333,818.333333333
217.08,-2263.88883333,-2385.60587879,-2922.22233334,-2466.66666667,-2656.94433334,-1663.889,-3086.111,-2602.77783333,-2702.77766666,-2641.66666666
217.46,7783.33333334,7610.6060606,9208.33333334,7733.33333333,8545.83333334,5704.16666666,9875.00000001,8525.0,8600.0,8575.0
217.83,7433.33333334,7696.21212121,9116.66666666,7600.0,8266.66666666,5716.66666666,9550.0,8350.0,8683.33333334,8358.33333333
218.21,-4744.44433334,-5108.58574242,-6033.33333334,-5055.5555,-5261.111,-3650.0,-6127.77766666,-5394.4445,-5650.0,-5450.00016667
218.59,2983.33333334,3115.45454545,3683.33333334,3196.66666666,3203.33333334,2181.66666666,3666.66666666,3303.33333333,3606.66666666,3436.66666667
218.97,-1473.33333333,-1517.42424243,-1825.0,-1521.66666667,-1513.33333334,-1098.33333333,-1783.33333334,-1618.33333333,-1753.33333334,-1738.33333333
219.34,3040.0,3269.09090909,3730.0,3190.0,3101.66666666,2313.33333334,3750.0,3456.66666666,3760.0,3623.33333334
219.72,1269.44416667,1370.83321212,1591.6665,1370.8335,1277.08316667,947.916666667,1566.66666666,1426.38866667,1462.5,1516.6665
220.10,387.916666666,425.833333334,483.75,434.583333334,400.625,311.041666666,465.833333334,446.25,426.25,464.583333334
220.47,304.666666667,334.06060606,382.666666666,341.333333334,317.666666667,251.666666667,366.666666666,348.0,329.333333334,367.666666666
220.85,246.491333333,280.143681818,311.696,276.9005,249.122916667,202.631916666,293.567333334,287.719333334,261.111166667,298.245666667
221.23,200.746333333,232.99389394,253.980166666,232.3385,203.85575,161.318083333,238.308333334,236.318333333,227.612166667,246.2685
221.61,215.476166667,256.709833334,271.428666667,248.8095,222.17275,172.91675,260.119,258.928833333,252.6785,266.369166667
221.98,279.924,316.666651515,353.03,310.227333334,283.14375,225.568333333,328.787666667,331.818333333,317.803333334,344.318
222.36,271.2765,300.677015151,332.978833334,295.390333333,273.581416666,222.340583334,313.1205,312.765833334,308.156333334,337.588666666
222.74,400.000166667,433.939363636,463.333333334,417.222333334,397.22225,322.777833333,461.111166667,450.5555,451.666666667,490.5555
223.11,272.727,303.06469697,308.712,289.394,285.416666667,230.87125,310.606,302.273,316.288,326.136333334
223.49,384.9465,414.467378788,436.0215,386.559,402.688416666,319.354916667,419.354833333,406.451666666,427.956833334,453.225666666
223.87,1136.66666666,1183.33333333,1250.0,1121.66666666,1173.33333333,957.5,1211.66666666,1221.66666667,1356.66666666,1330.0
224.24,-784.523833334,-771.10380303,-850.000333334,-716.6665,-783.333583333,-591.666666666,-838.0955,-829.762,-1005.95266667,-909.524
224.62,-230.740833333,-218.653166666,-242.962833333,-197.407666667,-223.333333333,-146.4815,-238.148,-234.074166666,-281.8515,-263.703833334
225.00,-298.717833333,-267.210712121,-306.8375,-258.547166667,-288.247833334,-190.812,-307.692333333,-291.880333334,-364.102666666,-324.786333334
225.38,-305.0,-239.242424242,-309.583333334,-241.666666666,-290.0,-186.875,-305.0,-278.333333333,-350.416666666,-317.083333334
225.75,-326.388833333,-253.577530303,-332.407333333,-282.8705,-302.777583333,-184.95375,-329.1665,-312.963,-370.370166666,-353.703833334
226.13,-415.476166667,-325.378636364,-419.642666667,-365.476333333,-382.44025,-220.238166667,-402.976166666,-400.595166667,-479.166666666,-436.309333333
226.51,-777.083333333,-602.651515152,-778.125,-689.583333333,-681.770833333,-430.208333334,-719.791666667,-762.5,-854.166666667,-762.5
226.88,-1086.36366667,-882.093742424,-1093.93966667,-942.424166668,-951.515250001,-611.363416667,-1016.66683333,-1081.81816667,-1148.48483334,-1053.03033334
227.26,-680.392,-551.604090909,-712.745,-595.097833334,-600.000083334,-379.902,-651.960833333,-724.510166667,-752.941166667,-679.411666666
227.64,-667.647,-506.417151515,-682.352833334,-636.274666667,-591.1765,-368.627333334,-666.666666667,-740.196166666,-760.784166667,-668.6275
228.01,-5950.0,-4602.27272727,-6183.33333334,-5625.0,-5525.0,-3437.5,-6050.0,-6650.0,-6625.0,-5933.33333333
228.39,1947.22216667,1603.78787878,2144.44433334,2027.778,1873.61116666,1248.61108333,2088.88883334,2225.0,2169.44433334,1991.66683334
228.76,519.697,427.823575758,593.182,568.181666666,510.227083333,379.5455,575.0,639.394,600.757666666,558.333166667
229.14,721.4285,594.156015152,832.142666666,769.047666666,708.333166667,532.738166666,820.238,880.9525,811.904666667,760.714333333
229.52,1900.0,1726.66666667,2296.66666666,2223.33333334,1846.66666666,1553.33333334,2240.0,2420.0,2143.33333334,2016.66666667
229.89,1502.381,1380.08665152,1859.52366666,1695.238,1452.381,1328.57133333,1726.19033333,1752.381,1666.66666666,1452.38116666
230.27,-1725.00016667,-1612.62643939,-2161.111,-1963.88883334,-1598.61116666,-1636.111,-2019.4445,-1966.66666667,-1852.7775,-1691.66683333
230.65,-521.929666666,-492.185151516,-630.701833333,-569.298333334,-501.31575,-516.228083333,-636.842,-601.754166666,-580.701833333,-548.2455
231.02,-392.753666667,-352.766954545,-507.246333334,-458.6955,-378.985583334,-427.536333334,-480.435,-457.971,-457.971,-428.261
231.40,-228.378333333,-175.921363636,-292.792666666,-264.4145,-204.729833334,-240.540583334,-272.072,-245.045,-226.126333333,-242.792833333
231.78,-229.629666667,-194.149909091,-294.444333334,-264.351833333,-208.101916667,-251.620166667,-264.351833333,-252.314666666,-226.389166666,-237.5
232.15,-219.369333333,-194.348696969,-263.062833334,-243.243333333,-199.099083334,-245.945916667,-258.558333333,-244.144,-210.360666667,-221.621666667
232.53,-181.111333333,-154.713954546,-205.185,-171.851833333,-164.25925,-205.926,-205.555666667,-214.074,-153.703666666,-181.111333333
232.90,-154.717166667,-123.041712121,-168.239,-138.050166667,-133.648,-171.06925,-172.956166667,-170.754666667,-137.421166666,-143.081833334
233.28,-148.563166667,-115.412909091,-143.965166667,-134.770166667,-133.764416667,-153.879166666,-164.655,-169.540166667,-134.769833334,-137.068833334
233.66,-176.415,-135.1915,-155.031833334,-158.4905,-159.591166667,-175.943333333,-191.824,-198.742166667,-164.779833333,-164.4655
234.03,-129.569833333,-87.7322878789,-106.7205,-114.785,-117.742,-127.150833334,-145.161166666,-146.236666667,-115.591333333,-127.957
234.41,-131.356,-86.723242424,-97.7401666665,-121.1865,-118.785166667,-119.773916666,-147.175166666,-155.932166667,-129.661333334,-124.293833334
234.78,-105.291,-62.1692121212,-83.8628333335,-107.936666667,-90.873,-91.93125,-123.545166667,-125.926166666,-108.465666667,-94.18
235.16,-147.272666667,-103.719,-124.848333333,-149.090833334,-136.515,-128.333333334,-169.696833333,-168.484833333,-150.000166666,-130.0
235.54,-143.7855,-106.240424242,-112.994166666,-140.960333333,-135.310666666,-124.71725,-166.666666666,-168.9265,-161.016833334,-126.836166667
235.91,-104.761833333,-73.8961212121,-87.6186666667,-104.999833333,-100.000083333,-88.5713333333,-128.333166667,-123.333333334,-126.9045,-93.5715000001
236.29,-87.1796666667,-54.7591515152,-79.487,-90.1709999998,-78.73925,-71.04675,-104.059833333,-98.0768333334,-109.615666667,-81.6241666665
236.66,-74.6031666666,-50.2707575757,-70.4368333333,-79.3651666666,-67.16275,-58.53175,-93.4525,-78.3731666666,-103.373333333,-73.2141666667
237.04,-74.3293333334,-55.2246060606,-68.5823333333,-74.7126666666,-68.4864166667,-60.0574166666,-86.3983333333,-75.2875,-102.490666667,-75.2873333334
237.41,-62.0565,-47.0342575758,-69.1488333333,-65.6026666666,-59.7519166667,-57.3580833334,-76.0638333333,-69.5033333333,-96.8086666665,-73.7588333333
237.79,-58.1698333333,-45.4397727273,-62.9085,-56.8626666667,-60.0490833333,-51.3888333334,-67.4838333334,-63.2353333333,-92.8105,-70.915
238.17,-66.6666666667,-58.3256969697,-65.32,-63.2995,-69.6971666666,-62.7106666666,-72.8956666667,-77.4410000001,-102.862,-79.9663333333
238.54,-49.7051666667,-40.2922272727,-55.4573333334,-48.5248333334,-57.1535,-49.4838333333,-55.0148333333,-56.0471666667,-74.3363333333,-64.602
238.92,-54.5976666666,-45.3892121212,-64.3678333334,-55.891,-65.0144166666,-55.5316666666,-59.339,-64.6551666667,-74.4255,-69.9711666667
239.29,-47.0053333333,-42.4007575757,-58.5938333334,-50.521,-58.7893333334,-48.633,-53.7761666667,-59.5051666667,-70.0523333333,-62.2396666666
239.67,-52.2728333333,-50.9413181818,-67.5505,-63.1313333333,-66.4775,-54.798,-60.101,-63.2575,-70.707,-65.4038333333
240.04,-52.1991666667,-52.7566969697,-63.3101666667,-61.9213333333,-63.889,-53.29875,-58.4491666667,-62.037,-64.9305,-63.5415
240.42,-37.5905,-43.165530303,-46.6485,-48.5508333333,-48.59575,-40.0816666667,-45.7426666666,-46.0143333333,-47.7356666666,-47.4638333333
240.79,-32.4031666667,-36.6102424243,-38.3721666667,-42.0156666666,-42.79075,-34.30225,-40.1551666667,-37.5968333334,-40.155,-40.0001666667
241.17,-23.5898333334,-26.6842424243,-29.3591666667,-34.1025,-31.8589166667,-24.0063333333,-31.5385,-26.4101666667,-28.7823333333,-28.5896666667
241.54,-21.9883333333,-25.7258181819,-28.4208333334,-33.6258333334,-27.9823333333,-21.725,-29.2983333333,-21.9885,-24.0933333334,-25.0293333333
241.92,-18.236,-23.1012424242,-25.974,-31.4393333333,-23.4305833334,-17.47825,-26.6233333334,-19.3181666667,-18.3978333334,-19.6428333333
242.29,-12.932,-18.8990303031,-23.6695,-26.8906666666,-18.6741666667,-12.4183333333,-21.5686666666,-13.5855,-15.6861666666,-14.3793333334
242.67,-15.3498333333,-23.6396666667,-25.4768333334,-28.565,-20.5268333333,-14.1006666666,-22.7975,-16.4396666667,-20.2545,-16.712
243.05,-14.7401666667,-24.0835757576,-22.7598333334,-26.7921666666,-19.35475,-12.6791666667,-21.55,-14.4711666667,-19.1305,-15.0538333333
243.42,-11.4373333334,-18.5067575758,-17.432,-22.7465,-15.3273333334,-8.39716666667,-16.6666666667,-10.9268333333,-14.413,-10.7993333333
243.80,-7.16533333333,-12.2941212121,-11.7576666667,-15.9935,-9.83758333335,-2.96916666667,-11.7971666667,-5.66133333333,-10.0156666667,-6.05683333333
244.17,-4.33183333333,-6.4878030303,-7.08533333333,-11.8575,-6.11258333333,0.789166666665,-7.92949999998,-2.12916666667,-6.09383333334,-2.53333333333
244.55,-3.612,-4.21698484848,-6.22283333334,-10.2288333333,-4.63166666666,2.62858333333,-5.82983333333,-1.7525,-5.007,-0.78666666667
244.92,-3.7,-3.51212121212,-5.8,-10.8,-4.23333333334,3.48333333334,-4.43333333333,-2.6,-5.6,0.333333333335
245.30,-1.7735,-2.58003030303,-3.63916666666,-8.31833333334,-2.691,4.95408333334,-2.477,-1.254,-3.9755,1.95716666667
245.67,-0.027,-2.26277272728,-2.19166666667,-6.35816666666,-1.71791666667,6.23658333334,-0.64916666667,0.2435,-3.5985,3.67966666667
246.05,1.07916666667,-0.752227272727,-0.623166666666,-4.6765,-0.407583333332,6.60675,0.6955,2.1105,-2.8295,4.91616666667
246.42,2.5845,0.640772727273,1.8395,-2.71583333333,1.37966666667,7.98291666666,2.71566666667,3.48216666667,-0.503333333335,6.461
246.79,4.69683333334,3.0161060606,3.666,-0.277333333333,3.84458333333,9.64116666665,4.34016666667,5.72733333333,2.00183333334,8.06583333334
247.17,5.71583333333,4.95512121212,5.35983333334,1.49566666667,5.21741666666,10.2653333334,5.62683333334,7.069,2.93816666667,9.04566666665
247.54,5.58316666667,4.54081818182,4.63883333334,1.98816666667,5.71566666666,10.1144166666,5.56666666667,7.60433333333,2.33616666667,8.64833333333
247.92,5.53366666666,3.49798484848,3.89,1.38366666666,5.18375,9.57016666665,5.53366666667,6.85216666667,0.9115,8.15416666666
248.29,4.42616666667,1.56375757576,2.432,-0.291500000002,3.75308333334,7.94425,4.3775,5.38266666667,-0.875166666666,6.631
248.67,4.04016666667,0.928575757575,1.87366666666,-0.896000000001,3.08733333333,7.16008333333,4.08916666667,4.9365,-1.32,6.67966666667
249.04,5.74433333333,2.24471212121,2.59733333333,0.366333333335,4.1045,8.00866666667,5.22816666667,6.04416666667,-0.05,7.5925
249.42,5.96716666667,2.52724242424,2.52266666666,0.5915,4.26241666667,7.933,5.63683333333,6.00216666666,0.87,7.846
249.79,6.1445,3.81277272728,2.77783333333,1.21383333333,4.69116666666,7.77233333334,6.218,5.84983333333,1.69266666667,7.45033333333
250.17,6.40716666667,3.4145,2.53533333334,2.064,5.2085,7.99916666666,6.64316666666,5.68,2.22083333333,6.938
250.54,5.30983333333,2.47062121212,1.3485,0.96933333333,4.83566666667,7.13208333334,5.71,4.53,0.990333333335,5.85733333334
250.92,3.52383333333,1.36216666666,0.554333333333,-0.4875,3.39091666667,5.81783333333,4.25533333333,2.48216666667,-0.266,5.05316666666
251.29,2.30683333334,-0.76846969697,-1.648,-2.58933333333,2.10683333334,4.77883333334,2.54233333333,1.12983333333,-1.05916666667,3.50766666667
251.66,3.788,0.03125757576,-0.928666666666,-2.56583333333,2.99375,4.33766666667,3.5435,1.75966666667,1.2955,4.22783333333
252.04,3.83866666667,0.21393939394,-0.841833333335,-1.9565,3.86316666667,4.185,3.49183333333,1.88216666667,3.1205,4.60616666667
252.41,3.7995,-0.230090909095,-1.77316666667,-1.7225,3.53341666667,4.53408333334,3.34333333333,2.153,3.67283333333,5.06583333333
252.79,2.491,-1.71354545454,-2.95316666667,-3.44116666667,2.70916666667,3.58241666666,1.69483333334,0.385166666665,2.15716666666,3.15883333334
253.16,-0.186333333335,-4.12442424243,-5.03183333334,-6.0435,1.86358333333,1.74375,0.2395,-1.33116666667,1.33083333333,1.51766666666
253.54,-2.21866666666,-7.2429848485,-7.2935,-8.87383333335,0.568333333335,0.24975,-1.47,-3.16133333333,-1.6915,-0.776499999999
253.91,-2.18983333334,-8.1160151515,-7.082,-9.12950000001,0.952833333331,0.967083333335,-1.73483333333,-3.29916666667,-1.76316666667,-0.654
254.28,-1.84233333333,-8.10960606059,-7.4555,-9.90216666666,1.48241666667,0.77725,-1.35283333333,-2.936,-1.7555,-0.834833333333
254.66,0.1155,-5.58256060604,-6.21033333333,-7.88566666667,2.36858333334,1.92083333334,0.57766666667,-1.12666666667,-0.0868333333335,1.24216666666
255.03,0.909333333335,-4.79348484848,-6.90883333334,-7.788,1.90908333334,2.21208333334,1.182,-0.39416666667,0.212333333335,1.27283333333
255.41,2.24316666667,-2.1211969697,-4.79733333333,-4.486,3.75391666667,4.65741666667,3.33333333333,1.27716666667,2.67916666667,3.61366666666
