wavelength,Back_TanVitm,Belly_TanVitm,Breast_TanVitm,Crissum_TanVitm,Crown_TanVitm,DorTail_TanVitm,Patch10_TanVitm,Patch11_TanVitm,Rump_TanVitm,Throat_TanVitm,WingTip_TanVitm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,61.0256,37.9488,61.0256666667,46.1538,77.9486666666,47.6922,52.3075333333,73.3334666667,44.1024666667,44.6152666667,24.6154
179.16,2.85713333332,53.3334,47.6191333333,23.8094,23.8094666667,29.5238666667,-0.95233333334,58.0953333333,11.4286,52.3808,-55.2382666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,11.4286666667,44.7618666667,47.1428000001,24.7618666667,28.7302000001,13.492,34.1269999999,111.4286,36.0318,49.6824666667,-27.3017333333
180.69,5.13906666668,40.5556,42.4999333333,28.3332666667,22.639,12.0832,30.2776666666,109.4446,36.9444666666,40.6944666667,-30.2778666667
181.07,2.37046666667,52.8889333333,41.4814666666,34.2223333333,8.7408,13.4815333333,36.5927333334,117.629466667,43.9999333333,42.0740666667,-28.1482
181.45,10.2438666667,49.5934666667,49.7561333334,36.7478666667,4.22753333333,12.3578,45.8536666666,128.292733333,57.3984666667,46.0161333333,-25.2031999999
181.83,19.1836,48.0273333333,57.1428666667,61.4966666667,9.52379999998,22.5850666667,61.2243999999,118.775533334,68.0272666667,51.9728666667,-7.34699999999
182.21,22.6983999999,45.2381333333,55.0793333334,63.3334666666,-2.69839999999,19.6826,65.0793999999,134.127066667,61.9048666667,45.8729333333,-19.6825999999
182.59,5.05746666668,32.6436666666,36.7815333332,62.7587333333,-25.5171999999,-10.8044666667,80.4596666667,168.7356,59.3103333334,38.3908,-48.9655333333
182.97,24.2424666666,53.3333999999,70.6059999998,99.091,-27.8788000001,-29.0908666667,112.7272,237.272733333,86.9695999999,65.1515333334,-41.8181999999
183.35,23.3334,50.6666666666,48.0000666667,72.6665333333,-14.2222,-16.2222666667,81.7778,177.3334,63.3332666668,41.9999999999,-24.6665333331
183.73,33.5087999999,51.0527333333,46.8420666667,70.1755333333,9.64913333332,3.50873333333,78.9473333333,160.3508,67.7192000001,42.2806666667,-17.0176666667
184.11,42.0635333333,59.2063333333,53.9682666667,75.2380666667,15.0794,20.3173999999,92.6983333333,151.1112,84.4443333333,47.3015333333,-8.4126666667
184.49,28.6364000001,45.3031333333,44.9999333335,76.3636666665,7.7274,14.8485333334,78.1818666665,136.212133333,73.9392000001,37.5756666667,-13.3331333333
184.87,29.0666666667,36.1333333333,38.2666666667,60.4000000001,-0.666666666674,12.4,67.7333333333,109.6,58.9333333334,35.0666666667,-9.46666666666
185.25,15.0666666667,18.9333333333,27.0666666666,46.6666666667,-10.6666666667,-1.73333333334,58.1333333333,87.2000000001,44.7999999999,25.8666666667,-15.0666666667
185.63,12.6028,21.5524,17.2603333333,40.8219333333,2.37439999999,3.19626666668,45.4794666667,64.3834666667,31.3242666667,19.3608,-1.46113333335
186.01,3.68159999999,12.8358,10.6468,23.184,-6.26866666666,-8.3582,33.7312666667,63.1840666667,22.2886666667,7.96013333333,-7.86073333333
186.39,12.9218,22.0576,18.8476,29.1358,1.81073333334,5.43206666666,43.0452666667,59.3414666666,34.3208666667,19.8353333333,7.90120000002
186.77,21.4068,29.7247333333,30.5198,31.6207333333,12.5382666667,14.6788666667,45.5044666667,56.3912666667,39.9388,20.9174666667,18.1651333333
187.15,15.6863333333,25.3222,25.8264666667,28.2912,10.5881333333,15.4623333333,42.7450666667,52.6051333333,35.4622666667,17.479,17.4790666666
187.53,13.0382666667,21.9468666667,22.4188666667,27.1976,7.84660000001,12.3894,40.7669333333,47.2566,33.3924,13.2153333333,14.8671333333
187.91,15.2098666667,24.7407333333,24.9877333333,24.6418666667,11.1604,13.9752,40.1975333333,40.5926,33.284,16.6913333333,19.7038
