wavelength,Back_SalMalf,Belly_SalMalf,Breast_SalMalf,Crissum_SalMalf,Crown_SalMalf,DorTail_SalMalf,Patch10_SalMalf,Patch11_SalMalf,Rump_SalMalf,Throat_SalMalf,WingTip_SalMalf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,25.0,41.6666666667,300.0,208.333333333,300.0,-37.5,74.9999999999,308.333333333,125.0,225.0,191.666666667
179.16,-145.833333333,-170.833333334,-204.166666667,-254.166666667,-133.333333333,-208.333333333,-200.0,-195.833333334,-137.5,-129.166666667,-166.666666667
179.54,-208.333333334,141.666666667,183.333333333,225.0,233.333333333,-320.833333334,0.0,16.6666666665,-16.6666666665,25.0,166.666666666
179.93,-87.4999999999,154.166666667,87.4999999999,154.166666667,120.833333333,-81.25,20.8333333333,20.8333333335,108.333333333,87.5,187.5
180.31,92.6829999999,-35.3658333333,-39.0243333334,-57.3168333333,-64.2275,86.3818333334,-44.7153333333,-42.2761666666,12.6018333333,-16.26,-56.9105
180.69,85.8491666665,-20.4401666667,-27.9875,-41.1946666667,-55.6603333333,90.5661666667,-31.1323333333,-35.5346666666,13.522,-11.0061666666,-42.7673333333
181.07,67.7213333333,-9.9155,-13.502,-28.4808333333,-30.169,57.17325,-19.1981666667,-20.2533333333,14.346,2.1095,-24.4725
181.45,72.3528333334,0.78416666665,-1.37266666665,-13.9215,-25.6861666666,71.86275,-10.7845,-11.3725,18.2351666666,13.3331666666,-12.9411666667
181.83,58.9621666667,2.9873333333,4.87433333335,-7.23266666669,-18.0816666667,54.3241666667,-7.54733333332,-9.59100000002,11.3208333334,11.7925,-8.17633333334
182.21,54.386,3.9475,7.60250000002,-3.80133333332,-13.4501666667,50.585,-3.21633333333,-9.79533333331,11.2575,11.1113333333,-7.16383333333
182.59,55.1886666667,0.78616666665,-1.1005,-10.3773333333,-15.0943333334,54.0883333334,-8.17599999999,-15.0943333334,8.49050000002,8.176,-5.503
182.97,48.9195,-4.16666666665,-2.77766666665,-21.9135,-17.2838333333,48.071,-7.56199999999,-16.8208333333,0.771666666665,3.85816666665,-10.1851666666
183.35,34.5485,-19.2708333333,-19.0971666667,-39.9306666666,-28.8193333333,35.156,-21.8748333333,-31.5971666667,-17.5348333333,-3.993,-32.1181666666
183.73,33.5271666667,-24.031,-24.2246666667,-43.4105,-29.845,33.9145,-24.8061666667,-40.1165,-25.1938333333,-7.1705,-42.6356666666
184.11,39.3225,-42.4481666667,-37.2398333333,-74.74,-52.0836666667,17.8384166666,-49.7398333333,-67.1876666667,-44.0106666666,-23.698,-66.667
184.49,31.1688333333,-42.6408333333,-22.5106666667,-63.6365,-41.342,8.9825,-36.3636666667,-55.4113333334,-37.6623333333,-15.368,-53.6795
184.87,33.547,-41.2393333333,-13.8888333333,-54.0598333333,-33.9745,4.3805,-30.5555,-51.2821666666,-31.4101666667,-2.1365,-47.436
185.25,44.9735,-54.2326666668,1.32283333333,-51.058,-31.2166666667,10.8466666667,-29.3653333333,-55.0263333333,-31.2168333334,10.3176666666,-58.2011666666
185.63,53.409,-99.6211666666,-14.394,-104.5455,-43.5605,-20.0756666666,-59.4698333333,-87.5,-54.1665,-4.92416666665,-106.4395
186.01,78.5711666667,-160.714333333,-20.2381666666,-192.262166667,-69.0473333333,-38.3929166666,-97.0236666665,-149.4045,-90.4760000001,-7.143,-167.857333333
186.39,92.5924999998,-158.642166667,-5.5555,-173.456833334,-68.5181666667,-43.2100833333,-109.876333333,-160.4935,-80.2468333333,13.58,-153.086333333
186.77,77.9570000002,-153.763333333,1.0751666667,-145.161333334,-63.9781666667,-38.1721666666,-97.8496666668,-149.999833333,-73.1181666665,4.30083333335,-137.6345
187.15,96.6664999999,-117.619,41.9048333333,-76.6668333335,-42.8568333333,-0.476,-68.0953333333,-117.142666667,-47.6190000002,50.0001666667,-96.1905
187.53,107.5,-94.1666666667,59.5833333335,-42.9166666667,-25.8333333333,2.70833333335,-53.3333333333,-91.6666666668,-27.0833333334,71.2500000001,-64.1666666667
187.91,94.4445,-78.4723333333,55.9028333335,-34.7221666667,-16.6666666667,3.12466666665,-43.0556666667,-73.2638333335,-18.4028333333,65.278,-53.8195
188.29,85.0,-80.9999999998,55.6666666667,-25.0,-9.66666666665,13.6666666667,-51.6666666667,-69.6666666669,-23.6666666666,63.3333333333,-47.0
188.67,110.606,-62.8786666665,83.3331666667,-2.6515,14.7725,47.7270833334,-49.2425,-43.9393333333,-12.1213333333,92.4243333334,-32.9545
189.05,124.404833333,-128.5715,105.952333333,-44.643,19.0475,51.1905833333,-92.8573333333,-80.3571666667,-35.7143333335,120.833166667,-69.6428333333
189.43,80.7291666667,-110.9375,70.3124999999,-52.0833333335,10.4166666667,44.7916666667,-98.4375000001,-70.3124999998,-48.9583333332,81.2500000001,-69.7916666667
189.81,86.9791666667,-85.4166666665,86.4583333335,-5.2083333333,16.6666666667,79.4270833335,-83.3333333332,-63.5416666668,-39.5833333335,100.0,-55.7291666667
190.19,81.4286666667,-82.8571666667,86.1905000001,42.3809999999,43.8095,78.3335,-70.4759999999,-30.0001666666,-10.0001666666,107.619166667,-52.8571666667
190.57,75.2251666667,-79.2791666667,90.9911666667,41.8916666666,64.865,90.0901666665,-58.5586666666,0.45066666665,4.05416666665,120.27,-49.099
190.95,97.6190000002,-61.9048333335,128.095166667,63.8096666667,120.476333334,111.190666667,-34.762,48.0955,42.3810000002,174.762,-30.9523333333
191.33,103.846,-81.4103333335,178.205166666,69.8716666668,193.589833333,120.19225,-20.5128333334,79.4873333333,60.2565,241.025833334,-40.3843333333
191.71,110.606,-67.4240000002,210.606,78.0305,267.424333333,150.000333334,15.1513333335,120.454666667,77.2728333335,273.485,-28.0303333334
192.09,173.333333334,-463.333333335,756.666666667,173.333333333,1100.0,568.333333333,-70.0,513.333333335,220.0,933.333333331,-263.333333333
192.47,-683.333333332,-3300.0,2250.0,-283.333333335,4166.66666666,1641.66666667,-583.333333335,1400.0,333.333333335,4316.66666666,-2300.0
192.85,344.444333333,1166.66666667,-722.222,72.222333335,-1305.55583333,-341.666916666,183.333500001,-383.333499998,-161.111166667,-1605.55583333,811.111
193.23,433.333333333,950.000000001,-408.333333333,83.333333333,-991.666666667,-12.5,316.666666665,-233.333333333,29.166666667,-1037.5,808.333333333
193.61,152.777666667,304.1665,-179.166666667,27.7778333335,-331.9445,-25.0001666667,15.2776666665,-102.777833334,-13.889,-370.833333333,218.0555
193.99,211.111166666,394.444333333,-183.333333334,106.944333333,-366.6665,61.8054166666,13.889,-127.777666667,-19.4445,-361.111166667,254.166833333
194.37,120.666666667,198.666666666,-80.6666666668,95.3333333332,-176.0,66.0,10.6666666665,-58.6666666665,9.33333333335,-172.0,123.333333333
194.75,93.8403333334,124.637666667,-17.7536666667,85.5073333334,-69.2031666667,76.9926666665,36.9563333331,-3.6235,38.0433333333,-73.5506666667,81.5218333334
195.13,111.4585,124.3055,-6.59716666665,94.0969999998,-41.3195,84.0278333335,50.3471666669,13.5415,55.5555,-59.375,94.7916666667
195.51,119.607666667,124.509833333,3.5948333333,97.7125,-20.915,84.15,60.7845000002,22.2223333333,59.1503333334,-46.405,94.1176666666
195.89,135.4545,133.03,10.3031666667,111.212333333,-0.606,100.606083334,76.6668333333,37.2726666667,70.3031666667,-26.9696666666,103.030333334
196.27,168.803333334,165.3845,3.84616666665,145.299166667,-4.2735,133.119583334,87.6068333335,51.2821666667,93.1625,-61.9658333333,116.2395
196.65,145.416666667,132.083333333,-29.1666666667,115.416666667,-38.3333333333,115.625,67.0833333332,25.4166666667,61.6666666665,-75.0,95.8333333335
197.03,142.683166667,126.016166666,-36.9919999998,126.016333334,-46.3413333334,118.902583333,57.7236666665,21.545,59.7561666665,-62.195,90.2438333333
