wavelength,Back_LoxPorm,Belly_LoxPorm,Breast_LoxPorm,Crissum_LoxPorm,Crown_LoxPorm,DorTail_LoxPorm,Rump_LoxPorm,Throat_LoxPorm,WingTip_LoxPorm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.16,2.22213333331,4.44433333336,18.5184,22.9630666667,10.3703333333,17.0370666667,41.4814,18.5184,39.2592666667
179.54,10.3030666666,-4.84853333332,6.06046666668,3.6364,0.606000000014,27.8787333333,40.0,7.27273333335,45.4544666667
179.93,42.6666666667,33.3333333333,18.6666666667,36.0,26.6666666667,36.0,74.6666666666,29.3333333333,64.0
180.31,29.2957333333,29.953,40.0,39.6245333333,49.6712,69.4835333334,75.9623999999,40.0938666667,71.5493333333
180.69,35.7576,34.4697333333,43.8635333333,39.3938666667,51.5151333333,69.6212666667,71.4394,40.8333333333,71.8181333333
181.07,46.6,43.2666666667,49.9333333333,46.2666666667,55.6666666667,73.6666666666,75.1333333333,49.0666666667,78.0000000001
181.45,44.5333333333,41.3333333333,48.2666666667,44.3333333333,55.0,72.1333333333,74.3333333333,46.4666666667,75.4666666666
181.83,42.7660666667,40.6382666667,47.0212,43.2624666667,55.2483333333,70.5674,71.844,46.3830666667,73.6879333334
182.21,36.1685333333,36.8583333333,46.4368,40.613,53.8697333333,68.2758666667,67.7396,45.3640666667,72.184
182.59,39.3056666667,40.2778,46.8055333333,42.6388666667,50.2777333333,62.9861333333,66.3889333333,46.4583333333,70.5555333333
182.97,34.2296666667,38.2633333333,39.6638666667,34.8458666667,42.577,51.9888,58.8795333333,38.9916,61.5126
183.35,33.3816666667,33.9614666667,37.488,29.6619333333,36.4736,44.6376,52.3671333333,32.9951333333,56.1352666667
183.73,33.4299333333,35.314,37.9710666667,30.1932666667,37.1014,42.4155333333,51.0144,34.2512,56.1837333333
184.11,25.6368,27.5338666667,30.1898,25.0406,30.8942,37.2357333333,45.7995333333,32.5746,52.1950666667
184.49,22.4043333333,27.9782,26.7213333333,22.9508,29.6720666667,32.4044,41.3114,34.153,50.6557333333
184.87,17.37,27.7675333333,25.3824,21.8960666667,29.113,29.6024,43.731,38.1650666667,53.3333333334
185.25,3.63626666667,18.9393333333,15.3029333333,7.95446666667,19.2423333333,17.5000666667,36.0606,30.3029333333,48.6364666667
185.63,10.0392666667,26.1176666667,24.0784666667,9.72533333332,24.1569333333,21.7255333333,40.7843333333,37.2549333333,56.3135333333
186.01,14.0,32.4166666667,33.8333333333,13.5833333333,30.6666666667,24.5833333333,47.4166666667,41.4166666667,64.5
186.39,26.2281333333,37.6316666667,42.8946666667,12.807,33.8597333333,28.9473333333,52.193,46.9298666667,72.9824666666
186.77,-3.2704,14.9686,29.6856666667,-25.5346,9.81153333333,1.00633333332,30.5660666667,29.3081333333,67.9245333334
187.15,-618.333333333,-316.666666666,-80.0,-831.666666667,-445.000000001,-541.666666667,-210.000000001,-110.0,270.0
187.53,140.256466666,75.8975333334,61.7948666667,171.538466667,105.641,122.8204,86.4102666665,50.5126666667,10.2564666667
187.91,102.105333333,59.6492000001,50.1754,123.157733333,73.5089333335,84.0350666666,63.8596000001,38.9474,24.2104
188.29,76.5714666668,28.9524,18.2857333333,107.047666667,45.9047333334,60.7619333333,35.6189999999,22.0952666667,-5.9048
188.67,55.5555333333,29.7221333333,16.8056666667,84.3055333334,41.25,49.8611333333,29.4443999999,25.2778666667,-0.27766666666
189.05,46.1224,22.3129333333,10.8843333333,71.8368,33.3333333333,49.7958666667,24.898,19.7278,0.95233333336
189.43,44.3938666667,13.6364,1.51513333335,64.9998666666,22.4243333333,50.4544666667,19.5455333333,10.1515333333,-2.87879999999
189.81,46.5432666667,18.0246666667,11.2346666667,53.0863333334,22.963,46.2964666667,29.1358,11.9753333333,8.14813333335
190.19,54.3790666667,20.2614666667,23.1373333333,61.6992666667,28.3660666667,49.0195999999,42.2222666668,7.32033333334,18.8234
190.57,72.2013333334,30.1888,38.2389333333,67.7988000001,38.4904666666,64.2768000001,60.0000666666,21.3837333333,34.717
190.95,47.852,-8.59253333334,7.11126666666,37.1851333333,-2.07413333332,35.5554666667,30.5186666666,-15.2592,7.85186666665
191.33,22.7272666666,-96.3635999999,-74.2424666667,3.9394,-93.6362666667,8.78786666668,-16.0605333333,-110.605933333,-71.8181333333
191.71,-5.96493333342,-154.0352,-131.929733333,-53.3333333334,-154.385866667,-17.5438666667,-63.5088000001,-172.631533333,-125.263333333
192.09,-33.9683333333,-158.095333333,-136.507866667,-66.9840666667,-147.301533333,-20.0001333333,-69.2064666667,-180.952333333,-137.4604
192.47,12.2222666667,-64.8149333333,-44.4445333333,-8.70366666665,-56.6668,30.5556,3.51833333339,-80.3702666667,-43.3333333333
192.85,20.6668,-87.5556666666,-46.6665333333,-8.22226666666,-66.4444000001,47.5555333333,13.3333333332,-103.333266667,-42.6665333333
193.23,48.0702666667,-47.3684666667,-11.4033333333,19.2982666667,-28.5965333334,54.3859999999,40.7017333333,-60.3509333333,-10.5264
193.61,38.8616666667,-60.4877333333,-19.3494,10.0813333333,-31.5447999999,43.252,35.2845999999,-65.5283999999,-21.3008666667
193.99,38.9629333333,-53.037,-14.2221333333,12.2962,-23.4072666667,50.8148666667,38.3704666667,-54.9630666667,-15.2592666667
194.37,36.4102666666,-37.6922666667,-11.6666,9.87186666667,-20.5128666666,53.5897333334,36.1537333333,-38.5898,-9.61533333335
194.75,31.4585333333,-29.0622666667,-7.2914,6.35440000001,-20.7288666667,40.9377333334,27.6043333333,-31.2496666667,-2.60399999999
195.13,40.2222666667,1.40746666667,16.074,23.3334,5.92599999999,48.8148666667,37.6296,-3.77780000001,21.6295333333
195.51,45.9106,14.6390666666,29.7594666667,32.7835333333,19.4502,55.6013333333,47.7662666667,8.04119999999,34.433
195.89,56.4212,28.1404,40.2806666667,42.8770666667,32.2104666667,65.1929333333,59.8596,16.0702,43.2982666667
196.27,72.258,42.3657333333,52.9748666667,57.2759333334,46.6667333333,77.8495333334,77.0609333333,30.5376,58.1362
196.65,69.4623333333,43.1541333333,51.8996666667,54.767,44.3728000001,75.1971333333,76.2724666667,31.4694666667,58.6379333333
197.03,56.5797333333,38.4347333333,44.4636666667,43.0144666667,38.145,61.1593333333,63.9999333333,29.0436,50.7826
197.40,46.2962,35.9788,40.0,37.3015333333,34.3387333333,57.1957333333,58.0952,25.9259333333,47.0898666667
197.78,44.3809333333,43.8572,44.9523333333,37.4762,38.9048,57.7142666667,59.8094666667,30.7142666667,50.2856
198.16,43.6708,45.1056,47.8903333333,38.4387333333,39.2827333333,57.5948666667,60.1266,33.2489333333,53.7975333333
198.54,43.8920666667,43.5838,47.7840666667,38.6897333333,40.7707333333,57.2254,58.7284,34.8749333333,53.2176666667
198.92,45.4405333333,42.7586666666,49.0422,40.6131333333,40.9195333333,57.8159333333,60.2682,35.3639333334,54.7127333333
199.30,45.3876,42.093,48.2169333333,38.8372,40.2713333333,58.2171333333,61.2791333333,34.9613333333,52.2092
199.68,45.263,41.2982,46.0350666667,37.4736666667,38.8071333333,58.3158,59.9998666666,34.5262666667,49.3684
200.06,41.4852666667,40.0000666666,43.7996666667,34.6114666667,35.1295333333,57.6165333333,57.9274666667,32.6772,48.2210666667
200.44,40.2985333333,38.5406666667,43.4825333333,32.9352666667,33.665,57.0481333333,55.655,31.6418,47.0646
200.82,38.6734,36.0884,42.8231333334,31.6326,32.9251333333,56.1566,53.7754666667,29.6258,46.5645333333
201.19,40.4710666667,37.0288666667,43.9854666667,33.0796666667,32.0289333333,59.2390666667,57.4274666667,31.1593333333,48.3332666667
