wavelength,Back_ButMonm,Belly_ButMonm,Breast_ButMonm,Crissum_ButMonm,Crown_ButMonm,DorTail_ButMonm,Patch10_ButMonm,Patch11_ButMonm,Patch12_ButMonm,Patch13_ButMonm,Rump_ButMonm,Throat_ButMonm,WingTip_ButMonm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,62.2222666667,53.3332666667,-13.3332666667,54.4444666667,55.5556666666,16.6666666667,26.6667333333,51.1111333333,55.5555999999,37.7778666666,33.3333333333,46.6664666667,44.4443333333
179.16,40.0000000001,80.0,-140.0,40.0,93.3333333332,-133.333333333,40.0000000001,-6.6666666668,-46.6666666666,-39.9999999999,-39.9999999999,80.0,-40.0000000001
179.54,32.3811333334,8.5714,29.5237333333,24.2857,-5.71426666666,21.4285833333,33.3334666667,27.6190666667,25.7143333333,25.7143333333,9.5238,14.2856666667,12.381
179.93,39.2592666667,30.3703333333,48.1480666667,30.3703666667,22.9629333333,48.14825,33.3333333333,35.5553333333,24.4444,38.5184666667,20.0,30.3704,31.8516
180.31,17.8570666667,-3.80946666667,51.9047333334,8.09523333333,-23.3332666667,53.5714166666,27.8572,14.7618666667,13.0954,27.1427999999,5.9524,3.80959999999,19.7619333333
180.69,18.2795333333,-3.44086666667,49.6774,7.09683333334,-22.1506,52.4194166666,26.0215333333,15.914,15.0538,26.8818,5.59153333334,4.94633333331,17.8494
181.07,2.91666666666,-21.875,27.7083333333,-11.1458333333,-41.4583333333,34.6354166667,10.4166666667,-0.416666666674,4.58333333332,11.875,-11.0416666666,-9.79166666664,-0.208333333354
181.45,7.74766666667,-16.7568666667,22.8828666666,-5.76586666666,-31.892,34.2341666667,15.3152666667,2.34233333333,8.28826666667,12.2523333333,-7.92793333335,-5.22533333334,3.0632
181.83,1.96080000001,-18.2353333333,20.5882,-10.2942,-33.5294666667,35.7843333333,15.6862666667,-1.17646666666,5.09793333333,11.5686,-8.82353333332,-5.68626666666,5.68619999999
182.21,-14.4,-41.0666666667,6.13333333336,-31.2,-61.0666666667,24.3333333333,7.46666666667,-15.7333333333,-6.13333333332,0.79999999992,-18.6666666667,-21.3333333334,-8.53333333334
