wavelength,Back_SpoAlbm,Belly_SpoAlbm,Breast_SpoAlbm,Crissum_SpoAlbm,Crown_SpoAlbm,DorTail_SpoAlbm,Patch10_SpoAlbm,Patch11_SpoAlbm,Rump_SpoAlbm,Throat_SpoAlbm,WingTip_SpoAlbm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,355.82010582,170.0,248.484848485,163.333333333,316.666666667,108.431372549,223.333333333,353.333333333,253.333333333,344.814814815,333.333333333
179.16,31.2168952381,38.8888666667,21.8687575757,18.8889333333,8.88893333332,51.7647058824,37.2222,14.9999333334,33.3333333333,24.3827111111,8.3334
179.54,73.0423280423,125.0,83.8636363637,99.9999999999,73.3333333333,79.4607843137,64.1666666667,10.8333333333,89.9999999999,53.2407407407,60.8333333333
179.93,-177.777777778,-586.666666667,-103.03030303,-280.0,-160.0,12.156862745,-506.666666667,-40.0,-260.0,154.814814815,20.0
180.31,18.4545968254,54.5911333333,-0.52612121212,21.8867333333,0.377399999928,25.2238588236,27.7987333333,-14.5911999999,19.4969333334,-32.6904222223,-6.03780000008
180.69,22.5523291005,52.5424666667,3.67746060604,28.8135333333,3.05086666673,31.9175490197,28.5876666667,-9.49166666667,24.8586000001,-30.4457703703,-7.57060000006
181.07,40.367026455,56.0174,19.8976606061,38.355,19.9134,40.0000431372,39.8269333333,11.8615333333,40.6926,-7.60939999998,11.169
181.45,39.8841375661,52.7027333333,14.5209393939,39.4594666667,21.1712,37.1117568627,31.9819333333,12.1622666667,36.8468666667,-14.9451259259,9.45946666666
181.83,30.7170550265,38.421,4.78469090909,34.1227333333,10.1754666667,33.0803411765,26.2281333334,13.6843333333,33.5965333333,-19.902562963,4.21053333333
182.21,22.7476116402,33.4939333333,6.05352121212,31.4858666667,4.41766666667,28.2258156863,21.9277333333,9.71880000002,28.5942666667,-20.0713777778,7.22893333334
182.59,23.4202857143,32.8206,7.33483636363,34.359,1.53839999999,30.6887450981,23.5043333333,4.70093333332,25.1280666666,-23.2382592593,7.94880000001
182.97,27.1065396825,34.8771333333,13.4545575758,32.7016666667,7.57879999999,35.2610862745,26.2456666667,14.1753333333,28.5614,-10.6979111111,19.5790666667
183.35,34.3427396825,42.4182,25.3773818182,42.6796666667,17.3202666667,46.8511058824,34.1829333333,27.0588,35.3595333333,2.01143703705,34.5098666667
183.73,32.0991534391,42.3052666666,24.1744363636,40.8722,19.3146,43.5918,32.1495333333,32.0248666667,37.7568666667,4.47894074074,35.8878
184.11,25.7686719577,37.6507333333,23.9191636364,36.2538,15.8094666667,39.4584509804,26.6030666667,26.6031333333,36.0,0.3316,30.9205333333
184.49,28.5843216931,40.8804666667,30.503060606,41.2578,17.673,37.066227451,29.0564666667,27.7987333333,39.1824666667,6.11458518517,36.9181333333
184.87,25.2139259259,42.5694,28.0935090909,40.139,12.2916,33.9297019608,27.2917333333,25.1389333333,34.0972,-0.58643703704,40.7639333333
185.25,24.1488624339,45.4349333333,29.3676969697,40.1449333333,12.174,36.9906901961,25.8694666667,29.7102000001,31.5942,1.89206666666,49.0580666667
185.63,12.3318402116,41.7074,25.6097575758,37.3982666667,1.70720000002,26.2601803922,23.0893333333,21.7885333332,27.1544,-6.13373333331,45.9348
186.01,1.54215555556,34.4117333333,15.4189393939,21.7646666667,-12.2548,12.4107019608,10.6862666667,8.52940000006,10.4902666667,-23.0609851852,40.0
186.39,7.60493333331,30.8444,15.3615333333,23.3779333333,-7.64446666668,14.148972549,4.88886666668,9.51106666674,9.51113333334,-16.5530666667,33.7777333333
186.77,2.31666243387,29.7619333333,13.8816060606,20.6349333333,-5.0,12.2407921569,2.46026666666,9.76200000008,10.7142666667,-14.8235555556,29.4444666667
187.15,7.08335978836,30.2880666667,21.7583757576,30.9464666667,-2.05746666666,17.4629882353,6.91360000001,15.8025333334,11.1111333333,-9.88574074074,28.4774
187.53,16.0383492063,31.2244666667,25.9554424242,34.6258,8.09519999998,20.9563686275,13.2652666667,21.3605333333,21.4965333334,1.32287407407,31.7006666667
187.91,18.9624613757,31.5044,29.6165636364,36.7552,11.0325333333,23.7827137255,18.1120666667,22.301,24.6018666667,8.81691111112,31.6224
188.29,35.28454709,46.7837333333,45.4704787879,54.0936,25.7896666667,38.3592823529,37.1344666667,40.4094666667,38.1287333333,26.972162963,47.3684666667
188.67,27.5661756614,39.1666,38.4090545454,47.7223333333,22.4444666667,35.3726156863,31.5556,37.8333333333,31.2778,23.1295777778,39.1666
189.05,29.214210582,41.6789333333,42.9495272727,49.4816,27.7531333333,37.0718901961,35.8024,45.4815333333,37.9752666667,30.8532,40.5926
189.43,22.4890751323,38.4344,39.0541575758,45.5554666667,24.4948666667,29.9138784314,34.6969333333,41.6666,35.9090666667,25.6844814815,32.0202
