wavelength,Back_SchMelf,Belly_SchMelf,Breast_SchMelf,Crissum_SchMelf,Crown_SchMelf,DorTail_SchMelf,Rump_SchMelf,Throat_SchMelf,WingTip_SchMelf
203.85,-176.4,-147.333333333,-211.066666667,-220.8,-195.2,-189.333333333,-212.816666667,-222.0,-224.8
204.22,-207.4242,-173.9394,-244.848533333,-256.2122,-237.575733333,-213.484833333,-249.431825,-263.181833333,-263.181933333
204.60,-274.0952,-241.1428,-332.952466667,-339.428466667,-320.952466667,-290.5714,-333.309633333,-354.666733334,-362.857166667
204.98,-275.0476,-237.142733333,-336.381,-343.238133333,-328.190466667,-299.5238,-344.047583333,-353.047666667,-368.381
205.36,-204.6512,-168.8372,-261.5504,-258.294733333,-251.162933333,-231.1628,-265.445625,-264.8062,-292.790766667
205.74,-149.3082,-118.113133333,-188.930933333,-187.1698,-186.2894,-164.150966667,-195.50325,-193.207566667,-220.691733333
206.12,-220.317533334,-173.333333333,-255.714333333,-253.333333333,-254.6032,-227.698333333,-269.166708334,-262.698466667,-302.380933333
206.50,-274.629666667,-208.7038,-308.703733333,-291.111133333,-313.518533333,-277.6851,-314.074208333,-317.592733333,-362.222133333
206.87,-267.619,-201.142933333,-307.047533333,-285.142866667,-324.000066666,-277.333366667,-311.690383333,-320.380833333,-373.6191
207.25,-261.818066667,-190.101,-305.4546,-281.0102,-333.535333333,-263.939333333,-311.691858333,-321.9193,-382.9293
207.63,-251.397866667,-170.537733333,-291.398,-267.0968,-329.8924,-232.1506,-292.66125,-314.408566667,-375.591266667
208.01,-375.333333333,-259.0,-427.666666667,-393.333333333,-505.333333333,-342.833333334,-418.958333333,-479.833333333,-563.333333333
208.39,-623.888866667,-455.555466667,-717.777733333,-657.777866666,-833.333399999,-581.111,-699.305499999,-810.277733334,-938.889000001
208.77,-788.148133333,-574.074000001,-871.111,-796.296399999,-1019.2592,-715.925933334,-871.388783333,-1015.18523333,-1144.81486667
209.14,-800.740800001,-621.481666668,-871.111066667,-800.0,-997.777866667,-714.814766666,-857.222316666,-1052.22223333,-1138.51826667
209.52,1052.5,855.000000001,1092.5,1026.66666667,1248.33333333,918.333333334,1053.33333333,1308.33333333,1340.83333333
209.90,407.2222,330.555533333,406.388933333,391.111,451.944333333,367.083266667,379.236133334,484.722266667,482.5
210.28,332.184,277.931066667,347.356266667,320.23,380.689666667,305.517133333,311.034408333,397.0116,398.505566667
210.66,266.491133333,226.1404,279.649066667,263.508733333,295.614066667,247.192933333,250.000075,313.2456,309.649166667
211.03,236.3264,199.591933333,237.415,230.204266667,242.585066667,216.6667,217.210966667,269.251666667,256.8708
211.41,218.305066667,189.1526,214.915333333,213.220266667,208.474533333,206.497066667,196.920825,242.8246,227.7967
211.79,207.1568,181.372533333,200.9804,202.255,195.196133333,200.000066666,188.602866667,230.049033333,213.3333
212.17,229.687466667,202.708333333,223.749866667,224.895733333,214.5832,224.6873,213.840975,250.885233334,236.718733333
212.55,251.8888,221.889,248.3334,241.1112,233.000066667,247.3889,227.874941667,269.5556,259.055466667
