wavelength,Back_TacDelf,Belly_TacDelf,Breast_TacDelf,Crissum_TacDelf,Crown_TacDelf,DorTail_TacDelf,Rump_TacDelf,Throat_TacDelf,WingTip_TacDelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,40.8519244445,57.7776666667,57.5,50.5553333333,31.1110666667,46.3889,48.33332,45.2468392593,22.2221333333
179.16,-107.703555556,-73.3333333334,-35.5557,-37.7777999999,-126.666733334,-39.9999000001,-85.33338,-29.9751874073,-175.555733333
179.54,-4.58122222222,-3.58969999999,-2.82056666666,14.8718666667,6.15386666666,-1.28206666666,0.25656,1.6694874074,-21.0256666667
179.93,132.555555556,64.1666666667,9.1666666668,93.3333333335,136.666666667,64.1666666667,99.8333333333,89.7777777779,126.666666667
180.31,-91.688888889,-49.6666666668,12.6666666668,-36.9999999998,-102.0,-16.1666666667,-37.7333333333,-93.0148148149,-217.333333333
180.69,-22.7842977779,-8.33329999999,32.5490333333,5.29413333328,-30.1960666668,7.3529333334,5.03919333334,-33.7559955555,-102.941133333
181.07,-21.1250000001,-12.5,35.2083333334,16.2500000001,-22.7083333333,11.9791666666,13.4791666667,-26.4583333333,-84.5833333333
181.45,-49.5078533333,-29.0476333333,6.90476666666,-9.99973333328,-49.0474666667,-15.2381666667,-14.7379666668,-53.4074777779,-122.381
181.83,-52.7407155557,-19.2594333334,59.4443999999,6.29626666674,-70.3705333332,-1.29643333346,10.7408133334,-72.4443948147,-167.037
182.21,21.2380355555,29.5237666665,68.2144333333,41.6666000001,7.85720000014,44.6428333333,55.7142666669,-5.84653777786,-60.9525333334
182.59,-29.264848889,-72.5642333333,27.9486666668,3.077,-78.9743333332,12.3076333333,32.3589133333,-96.6724125924,-216.923
182.97,69.1624044445,5.25643333326,80.6409999999,81.5385333333,22.5640000001,66.7949000001,92.7179266669,20.9173962963,-33.3333333333
183.35,54.8148977778,-28.4722,58.8889333333,75.2778000001,2.49999999986,41.2500000001,79.2777866666,-3.3302148148,-54.1667333333
183.73,52.6018488889,20.9722666666,61.0416333333,65.4168666668,21.6666,41.6666000001,67.5554666666,20.160471111,2.361
184.11,38.1577466667,28.0645666667,58.2798,45.4837333333,14.8386666667,30.6988666666,61.8924933333,19.7348681482,14.8388
184.49,28.2079466667,20.5673000001,51.5604,51.4892666667,-9.078,17.7304333333,61.9715066665,9.39630148154,6.80846666668
184.87,17.9828311111,10.9402333333,52.2221,60.8547333333,-32.9914,12.5640666667,60.3759800001,-2.1899562963,-7.00853333332
185.25,24.9206400001,-6.90486666666,75.5953,72.3809333333,-66.1905999999,20.9523666667,78.619,-13.9604081483,-25.9523333333
185.63,51.5555555556,18.3333333333,88.7500000001,88.1666666667,-15.3333333333,53.25,93.8833333334,15.4388888888,19.8333333333
186.01,36.2714755555,10.6479333333,68.7037000001,84.4443333333,-37.5925333335,43.4260333334,84.9629466667,-5.38886,8.14826666666
186.39,12.3796355556,-9.79159999999,41.7360333333,62.9167333333,-52.639,17.1526999999,53.3472000001,-15.8209177778,-6.6666
186.77,18.9697955555,8.13133333332,39.2930333333,58.4850666667,-31.3129999999,23.2828,49.8788133333,-2.79912296295,10.5051333333
187.15,4.62064,5.47186666667,20.0000333333,53.4591333333,-54.3394666666,8.80513333332,43.1320466666,-20.6135844444,0.88046666666
187.53,23.4626577778,32.2388,34.0796333333,62.0896,-24.1791333334,29.9502,50.9651933333,6.79704296296,24.1791333333
187.91,28.4646133333,37.9293999999,38.5858666667,72.5252,-11.2120666666,37.6767999999,57.0807666667,12.711542963,38.1818666667
188.29,25.5663644444,40.0546333333,37.2677333333,80.9835333333,-13.6612,34.918,56.5792733332,7.34310148148,40.2186
188.67,29.5042933333,40.8204999999,39.2308333333,73.6410666667,-11.3846,39.1283,55.7641066667,9.8700822222,44.8204666667
189.05,27.3072622222,44.0196666666,34.4608,67.9410666667,-9.7058,39.1175666666,56.1568266667,11.4606214815,48.3334
189.43,24.1954577778,47.1793666667,28.718,57.4359333333,-3.44306666667,31.6117,45.9193866667,11.4016911111,41.6849333333
189.81,6.09371111112,28.9959,13.0120333333,46.2651333333,-25.7832,13.3332333333,26.24888,-5.83667037039,30.9236
190.19,7.00982666667,22.6401333333,14.6203333333,38.3498666667,-18.4818,12.9042,25.5841333334,1.10375555556,30.5609333333
190.57,10.8750755555,29.2012666667,16.4930666667,38.75,-11.6667333333,18.0904,29.1735733333,5.09188444444,39.0277333333
190.95,9.85899111113,32.9750333333,18.9606,36.1290666667,-10.681,17.0251,27.97136,6.84194814814,43.2974666667
191.33,16.7066666667,30.8666666667,29.8666666667,39.8666666667,-3.00000000001,26.5,33.1266666667,15.6851851852,47.2666666667
191.71,7.86662222223,20.9629333333,21.0741666667,34.8889333333,-14.8888666667,12.0000333333,24.89634,2.92593703703,38.9628666667
192.09,5.85111555556,20.9018333333,22.8235,34.3528666667,-17.4117333333,12.1569333334,25.1059066667,3.6906725926,37.2550666667
192.47,21.2707022222,34.5882,35.8041666667,46.1961333333,-2.27466666668,27.8431333333,39.655,18.275277037,51.1373333333
192.85,16.3028088889,39.8067,31.4009,52.0771999999,-10.9178,24.8791333333,38.7537266667,18.4575333333,51.208
193.23,16.2461777778,40.8718,36.4103333333,54.2565333333,-8.92313333332,33.6411,44.2974466667,21.7583511111,55.4869999999
193.61,11.7622799999,39.4573333333,48.5271999999,70.0774666667,-8.99213333333,36.5891,56.2480066668,32.3926822222,79.3799333333
193.99,68.5972222223,102.1875,102.1875,117.083333333,42.2916666667,83.0208333334,137.395833333,91.0810185186,143.125
194.37,185.111111111,222.291666667,210.208333333,270.833333333,107.083333333,195.833333333,283.958333333,220.185185185,319.166666667
