wavelength,Back_PooMelm,Belly_PooMelm,Breast_PooMelm,Crissum_PooMelm,Crown_PooMelm,DorTail_PooMelm,Patch10_PooMelm,Rump_PooMelm,Throat_PooMelm,WingTip_PooMelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,6.24999999998,14.1666666667,-45.8333333333,-11.25,2.91666666667,9.80908152737,-23.3333333333,16.6666666667,42.4999999999,10.0000000001
179.16,35.5555000001,53.3333333334,-31.1111333334,-2.22226666666,46.6668333334,27.5266452013,93.3335000001,226.666666667,117.777733333,-0.000133333199999
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,-24.2857666667,34.2858000001,-41.9047333333,-28.0951666667,13.8095333333,-18.8885122807,1.42856666668,-12.3809999999,-29.5238000001,-19.0476666666
180.31,20.3279333333,39.0164,0.54646666668,9.45350000001,38.9617666667,32.6152718266,26.3935,42.9508666667,21.4208,11.1474
180.69,20.7290666667,40.3124666667,-6.35433333332,6.40596666667,33.4374666667,31.174457998,24.2186,43.5416,19.0623333333,4.6874
181.07,28.8557,44.9751333334,3.383,18.4575666667,36.0697666667,34.8468493292,29.9998666667,50.7462666667,19.3034,12.7363333333
181.45,42.5491666667,51.1764,15.3922666666,29.0196666667,43.7745,43.3212125903,35.8336,55.1962,20.6863333333,23.2353333333
181.83,42.1544333333,44.7152666667,13.6585333333,27.5204333333,38.9836666667,39.1069327141,29.1464333333,50.2439333334,23.1706666667,22.5203999999
182.21,38.7265666667,35.6554,15.955,29.9251333333,34.7191333333,38.521893292,24.9063666667,48.3146,21.7978,24.9438
182.59,28.7111,23.2888666667,0.9778,18.8888666667,20.6666666667,29.6126132095,15.3333666667,41.7777333334,10.4,12.2667333333
182.97,26.8776,19.2406666667,-4.2194,15.443,17.3838333333,24.1277698659,11.7300666667,41.5189333333,3.1224,3.1224
183.35,21.2346,14.5679333333,-10.6172,7.98366666665,6.29636666666,19.3199909185,5.5143,37.2016,-6.0082,-0.82286666666
183.73,10.7179666667,1.23066666666,-23.4872,-3.53863333332,-3.28206666665,10.7099062951,-16.0513666667,34.2564666667,-22.7692666667,-7.79486666666
184.11,14.9463666667,6.98926666668,-13.4408,10.3762666667,-0.806500000014,17.8747851393,-6.45156666667,46.0215333334,-11.7203333333,-1.7206
184.49,31.9117,19.0196,9.50966666667,31.1272333333,13.4804666667,32.8692336429,11.2744666667,59.4118000001,10.4903333333,15.9804
184.87,27.3576666667,13.8211333334,14.3902666667,32.4390333333,14.3088333333,29.6415500516,12.7643333333,52.6828666667,11.3009333333,17.9674666667
185.25,9.27536666668,-12.3672,-5.12066666669,16.3286666667,-2.46386666666,16.0662850361,-0.869633333333,35.1692,-7.82613333336,-6.18353333332
185.63,2.72029999999,-9.50186666667,-4.75100000001,13.5632333333,-2.45216666667,14.0154138287,-0.306466666666,26.4367333333,-5.21086666667,-7.8926
186.01,-1.62590000001,-12.1951333333,-1.70739999999,15.6098333333,-5.65039999999,14.0908959752,1.78863333333,26.6666666667,-7.72359999998,-13.1707333333
186.39,15.7141666667,5.55553333333,12.619,30.7144,8.73013333333,30.7751556243,13.8095333333,37.3809333333,9.84126666666,-3.65073333334
186.77,32.3809666667,18.0952,26.5872666666,46.0715333333,23.0952,43.6284577915,27.8175,49.0477333333,25.7142,9.99993333334
187.15,26.2392333333,7.52140000001,23.1624,46.7521666667,14.4872,41.2058109391,24.4443666667,41.1965333333,22.4786666666,4.61546666668
187.53,18.6324666667,0.940133333326,19.3163333333,45.8118,7.13666666667,32.9036084623,20.2990666667,34.0170666667,20.2564,-2.30766666666
