wavelength,Back_PhrUnif,Belly_PhrUnif,Breast_PhrUnif,Crissum_PhrUnif,Crown_PhrUnif,DorTail_PhrUnif,Rump_PhrUnif,Throat_PhrUnif,WingTip_PhrUnif
207.63,62.3729000001,29.7176,59.0962,27.9096666667,39.7740666667,54.6892666667,1.92100000001,32.3162333333,7.68366666666
208.01,73.1371999999,29.2810666666,65.8823333333,29.6732666667,40.7843999999,60.5229333333,3.39873333334,37.1895333333,12.2874666667
208.39,69.5237,23.6734666667,61.4965333333,25.3061333333,36.7345999999,55.9184666667,-3.26526666669,30.2040666667,3.94553333326
208.77,67.6422666666,3.73993333342,57.7234666667,10.5690666667,22.1137333333,40.6503333334,-21.9511333333,20.3250666667,-14.9594000001
209.14,53.6805666667,0.138933333274,55.6943333333,10.6944666667,17.4999333333,33.3332666667,-21.6666666667,16.8055666667,-16.5278000001
209.52,45.8503,-3.26526666673,46.9387333333,3.4014,9.93213333334,33.3334,-25.9864,9.11559999999,-21.9047333333
209.90,55.8008333334,21.1255333333,53.2468,27.2728,29.1776,47.3593333333,10.0432,26.8831333333,11.0820666667
210.28,51.1852,19.9258,50.5926666667,31.9258666667,25.7037333333,45.7036666667,15.9259333333,29.1112666667,13.6296
210.66,42.0058666667,13.6283333333,42.006,27.1388,19.1148666667,35.6932,10.9143333333,24.5133,14.0412
211.03,43.6495,14.7125333333,44.4827333333,29.2528,22.5288,37.7586666666,13.5632666667,27.6723333333,13.3332
