wavelength,Back_ChrSalf,Belly_ChrSalf,Breast_ChrSalf,Crissum_ChrSalf,Crown_ChrSalf,DorTail_ChrSalf,Patch10_ChrSalf,Patch11_ChrSalf,Rump_ChrSalf,Throat_ChrSalf,WingTip_ChrSalf
624.62,12.0896666667,41.3346666667,34.908,41.6636666667,8.46,9.716,34.459,33.6023333333,15.1003333333,31.7343333333,10.951
624.95,12.0656666667,41.3543333333,35.0283333333,41.5096666667,8.45766666667,9.648,34.46,33.6033333333,15.0773333333,31.7203333333,11.035
625.28,12.0896666667,41.3836666667,35.0513333333,41.5496666667,8.48066666667,9.55,34.474,33.6736666667,15.0473333333,31.776,11.023
625.61,12.0896666667,41.3233333333,35.0713333333,41.5103333333,8.573,9.557,34.3936666667,33.7136666667,15.0953333333,31.7033333333,11.1135
625.95,12.067,41.3816666667,35.145,41.5493333333,8.58333333333,9.643,34.4223333333,33.709,15.0756666667,31.6786666667,11.251
626.28,12.0606666667,41.3536666667,35.1166666667,41.5513333333,8.626,9.593,34.3953333333,33.657,15.0496666667,31.628,11.3135
626.61,12.1226666667,41.2423333333,35.0733333333,41.45,8.684,9.681,34.382,33.5923333333,15.08,31.57,11.4045
626.94,12.1396666667,41.3206666667,35.1593333333,41.5336666667,8.73666666667,9.673,34.5336666667,33.6973333333,15.164,31.6433333333,11.5245
627.28,12.1196666667,41.321,35.17,41.3766666667,8.74366666667,9.746,34.584,33.673,15.105,31.675,11.596
627.61,12.0616666667,41.2996666667,35.1293333333,41.255,8.60033333333,9.547,34.5916666667,33.553,15.052,31.6036666667,11.5625
627.94,12.016,41.3223333333,35.064,41.123,8.53466666667,9.568,34.536,33.4903333333,15.0336666667,31.5443333333,11.5585
628.27,12.0136666667,41.303,35.0703333333,41.1966666667,8.50733333333,9.598,34.511,33.4856666667,14.978,31.4943333333,11.55
628.61,12.0073333333,41.259,34.9746666667,41.217,8.47566666667,9.596,34.4866666667,33.4863333333,14.9793333333,31.4676666667,11.453
628.94,11.9173333333,41.2186666667,34.902,41.2143333333,8.40066666667,9.628,34.4496666667,33.3583333333,14.817,31.417,11.4785
629.27,11.9833333333,41.2013333333,34.927,41.264,8.31366666667,9.616,34.532,33.3126666667,14.7613333333,31.472,11.5075
629.60,12.0086666667,41.2013333333,34.8683333333,41.2183333333,8.34466666667,9.648,34.4746666667,33.244,14.8143333333,31.4096666667,11.463
629.94,12.02,41.269,34.923,41.2763333333,8.31566666667,9.71,34.605,33.2876666667,14.7726666667,31.3513333333,11.4555
630.27,11.9566666667,41.31,34.855,41.244,8.252,9.528,34.607,33.316,14.693,31.3126666667,11.4085
630.60,12.0116666667,41.331,34.795,41.2063333333,8.21466666667,9.542,34.5706666667,33.226,14.7133333333,31.3376666667,11.3535
630.93,12.062,41.2706666667,34.823,41.2863333333,8.198,9.566,34.5266666667,33.2116666667,14.7926666667,31.3486666667,11.292
631.26,12.0983333333,41.276,34.7543333333,41.3583333333,8.201,9.637,34.481,33.216,14.7923333333,31.304,11.3275
631.60,12.106,41.294,34.823,41.552,8.19533333333,9.466,34.514,33.3023333333,14.8183333333,31.3743333333,11.3575
631.93,12.0683333333,41.4186666667,34.861,41.5246666667,8.22533333333,9.533,34.5533333333,33.375,14.8006666667,31.492,11.363
632.26,12.0783333333,41.446,34.8916666667,41.5986666667,8.28366666667,9.474,34.594,33.411,14.8583333333,31.4566666667,11.3805
632.59,12.103,41.5106666667,34.9153333333,41.544,8.32233333333,9.454,34.5813333333,33.486,14.9693333333,31.5183333333,11.3925
632.92,11.9956666667,41.5316666667,34.803,41.4333333333,8.25266666667,9.375,34.4276666667,33.4423333333,14.9423333333,31.4496666667,11.3115
633.26,11.8976666667,41.524,34.7963333333,41.3583333333,8.23966666667,9.284,34.494,33.4936666667,14.897,31.5313333333,11.3515
633.59,11.7733333333,41.5006666667,34.697,41.2216666667,8.22166666667,9.337,34.3276666667,33.4056666667,14.8933333333,31.471,11.3755
633.92,11.8523333333,41.6926666667,34.8313333333,41.3406666667,8.29966666667,9.461,34.4093333333,33.4756666667,15.0006666667,31.574,11.386
634.25,11.78,41.7833333333,34.8673333333,41.384,8.26566666667,9.608,34.3663333333,33.479,14.9616666667,31.5633333333,11.34
634.58,11.7646666667,41.8516666667,34.8566666667,41.3746666667,8.297,9.716,34.328,33.4063333333,14.886,31.5503333333,11.434
634.91,11.8086666667,41.9266666667,34.9173333333,41.4136666667,8.376,9.764,34.3833333333,33.4276666667,14.8823333333,31.6706666667,11.4445
635.25,11.8756666667,42.0646666667,34.9373333333,41.4173333333,8.42966666667,9.925,34.4773333333,33.36,14.936,31.777,11.448
635.58,11.9806666667,42.0336666667,34.967,41.4383333333,8.471,10.04,34.513,33.3706666667,14.9933333333,31.7293333333,11.505
635.91,11.9546666667,42.0143333333,34.9376666667,41.3963333333,8.448,10.041,34.4773333333,33.3363333333,14.9416666667,31.802,11.57
636.24,12.069,42.13,35.0263333333,41.4443333333,8.414,10.173,34.4753333333,33.3993333333,14.9836666667,31.861,11.605
636.57,12.2366666667,42.2463333333,35.1893333333,41.5783333333,8.54166666667,10.347,34.6886666667,33.4756666667,15.1156666667,32.056,11.6845
636.90,12.189,42.224,35.1696666667,41.6046666667,8.39366666667,10.321,34.582,33.4323333333,15.036,32.0273333333,11.594
