wavelength,Back_SchRuff,Belly_SchRuff,Breast_SchRuff,Crissum_SchRuff,Crown_SchRuff,DorTail_SchRuff,Patch10_SchRuff,Rump_SchRuff,Throat_SchRuff,WingTip_SchRuff
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,32.1428333333,23.8095,46.4286666667,27.381,55.9523333333,17.8571666667,22.619,0.0,24.9998333333,23.8096666667
179.16,8.3333333333,37.5,4.16666666666,-29.1666666667,-72.9166666667,-18.75,8.33333333332,29.1666666667,-3.125,-4.1666666667
179.54,222.222166667,211.111166667,161.111166667,133.333333333,33.3333333333,177.777833333,127.777833333,288.888833333,169.444583334,194.4445
179.93,266.666666667,550.0,483.333333333,400.0,-383.333333333,116.666666666,-99.9999999999,450.0,416.666666667,266.666666667
180.31,-70.115,-120.689666667,-77.5861666667,-13.2185,78.7356666668,-43.6781666667,31.0343333333,-156.8965,-60.63225,-85.0573333334
180.69,-217.708333333,-321.875,-248.958333334,-116.666666666,67.7083333332,-175.0,-34.3749999999,-368.75,-198.4375,-264.583333334
181.07,-638.889,-861.111166667,-727.778,-380.555333334,74.9998333335,-469.4445,-152.778,-1000.00016667,-601.389,-802.777833333
181.45,-616.666666667,-719.047666667,-633.333333334,-450.0,-9.5238333335,-459.523833333,-171.4285,-838.095,-573.809583335,-769.047666666
181.83,-386.666666666,-503.333333333,-435.0,-276.666666667,-8.33333333335,-236.666666667,-120.0,-548.333333334,-379.166666667,-503.333333333
182.21,-228.125,-303.125,-272.916666667,-128.125,-21.875,-142.708333333,-105.208333333,-347.916666666,-214.583333333,-323.958333333
182.59,-270.000166667,-344.444333334,-328.889,-174.444333333,-82.2221666667,-172.222166667,-167.778,-382.222166667,-264.4445,-372.222166667
182.97,-231.578833333,-276.315833333,-283.333333333,-193.859666667,-97.3683333331,-165.7895,-167.543833333,-305.263333333,-261.403416666,-311.4035
