wavelength,Back_TanSelm,Belly_TanSelm,Breast_TanSelm,Crissum_TanSelm,Crown_TanSelm,DorTail_TanSelm,Patch10_TanSelm,Patch11_TanSelm,Patch12_TanSelm,Patch13_TanSelm,Rump_TanSelm,Throat_TanSelm,WingTip_TanSelm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,66.6665555556,64.8146666667,12.9628888889,40.7405555555,120.370222222,112.037111111,65.2777361111,37.0370555556,42.5926666668,79.6295555555,85.1852222223,152.777444444,120.370333333
179.16,44.4446666667,68.5185555556,116.666666667,107.407444445,-5.55566666667,31.4815,81.0184722222,93.5184444444,81.4813333333,-3.70355555557,26.8519444446,-17.5926666667,62.9628333333
179.54,-7.40744444443,-151.851888889,-144.444333333,-155.555555555,-96.2962222224,-144.444611111,-164.814958333,-201.851722222,-11.1111111111,70.3703333332,27.777888889,16.6666111111,-53.7036666667
179.93,122.222222222,222.222222222,533.333333333,433.333333333,166.666666667,88.888888889,370.833333333,111.111111111,133.333333333,-122.222222222,133.333333334,72.2222222223,422.222222222
180.31,16.8724444444,-77.3662222222,-105.349666667,-104.526888889,11.934111111,-99.794388889,-119.907444444,-116.460833333,-13.1687777778,28.3952222222,-18.518611111,82.3045555557,-67.9011111112
180.69,23.8095555555,-41.7988888888,-60.3173333333,-56.0846666668,19.3123333334,-48.545,-68.8160833333,-70.7674444444,8.72999999997,34.3916666667,4.62977777777,69.709,-34.6561666666
181.07,17.4242222222,-44.9495555556,-55.303,-60.6061111112,3.53522222222,-60.6061666667,-71.1806805556,-77.1463888889,4.293,28.0304444444,-9.09061111111,49.6212222223,-58.8382222221
181.45,32.2851111111,-18.4486666667,-18.8681111111,-30.1886666667,18.2388888889,-39.413,-50.2881388889,-50.3142777778,21.803,38.1551111111,4.71694444445,55.9749444443,-38.1549444446
181.83,47.9797777779,13.8046666667,6.229,-0.842,40.9091111111,-18.0977222222,-21.8435138889,-12.1214444444,35.3534444445,47.9797777778,19.5287222222,61.7006666667,-7.8282777778
182.21,47.7955555554,16.2258888889,8.28911111113,-1.4108888889,42.5044444445,-34.8323333333,-26.5874027778,-25.3967777778,28.5714444444,42.1516666666,13.1393333333,58.7301111111,-9.9647222222
182.59,31.6940000001,4.55377777777,-3.6428888889,-11.4753333333,38.7977777778,-42.5317777778,-35.2686527778,-37.8870555556,13.4788888889,35.8833333333,5.28233333333,39.1622777778,-19.3076666667
182.97,28.3225555557,-1.74277777777,-10.0218888889,-21.7865555555,37.4725555555,-58.7142777778,-50.4629166667,-49.4553333333,3.92155555557,32.244,0.43561111111,34.3137777778,-22.1133888889
183.35,39.1414444443,12.3738888889,5.05066666668,-20.4544444443,50.5052222222,-54.0403333333,-46.5278194445,-43.0554444444,9.59588888887,45.2018888889,10.4798333333,45.8333888889,-3.78772222223
