wavelength,Back_DigAlbm,Belly_DigAlbm,Breast_DigAlbm,Crissum_DigAlbm,Crown_DigAlbm,DorTail_DigAlbm,Patch10_DigAlbm,Rump_DigAlbm,Throat_DigAlbm,WingTip_DigAlbm
220.85,378.888866667,247.777866667,247.777733333,423.333266667,423.333333333,574.444333333,224.4444,370.0,451.1112,386.6668
221.23,2320.0,2020.0,1980.0,2660.0,2466.66666667,3800.0,1753.33333334,2493.33333333,2920.0,2840.0
221.61,12.564,23.5896666667,26.1538,4.87180000001,14.8719333334,-51.5384666667,43.0769333334,4.61533333333,-6.92293333333,7.94866666665
221.98,43.9714666667,52.3404666667,57.7305333333,40.7092666667,49.0779333333,4.82273333332,64.2554000001,40.1418666667,37.7305333333,39.4325333333
222.36,71.0474666666,76.9523333333,80.9525333333,64.9523333334,63.4285999999,14.4762666667,96.1905333334,59.9999333333,67.4286,54.2857333333
222.74,107.719333333,106.315733333,105.087666667,91.2280666666,94.7366666665,40.0001333334,119.649133333,90.351,101.228,81.4035333333
223.11,118.703733333,122.222266667,120.925933334,93.7037999999,105.3704,46.8517999999,134.6296,102.037133333,103.333333333,91.1111333334
223.49,87.8666666666,99.8666666666,100.266666667,77.3333333333,82.2666666667,43.0666666667,107.866666666,84.0,83.5999999999,70.9333333333
223.87,74.1177333333,98.1699333335,93.2025999999,69.1503333333,77.647,35.9476666666,103.921533333,82.0915333333,81.9605999999,66.9280666667
224.24,68.7878666667,94.2423333333,91.6665999999,63.7878666666,75.1515333333,21.5152,100.151666667,76.9697333333,78.6363333333,68.7878
224.62,44.5752,68.3659999999,69.4117333334,45.3595333333,56.0784666667,15.6863333333,75.5555333333,58.9542666667,56.4707333333,50.1962
