wavelength,Back_TanCycf,Belly_TanCycf,Breast_TanCycf,Crissum_TanCycf,Crown_TanCycf,DorTail_TanCycf,Patch10_TanCycf,Patch11_TanCycf,Patch12_TanCycf,Patch13_TanCycf,Rump_TanCycf,Throat_TanCycf,WingTip_TanCycf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-466.666666667,-266.666666667,-162.5,-166.666666667,-87.5,-320.833333333,-212.5,-50.0000000002,-262.5,-408.333333333,-387.5,-400.0,-262.5
179.16,42.5926666667,54.6297500001,89.8149166667,19.4444166667,98.1481666666,46.2961666667,49.9999166667,57.4074166667,46.2962500001,25.9258333333,76.85175,35.1850833332,54.6296666667
179.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179.93,5.15883333334,11.5078333333,0.793499999993,11.1111666667,12.6984166667,10.71425,10.7143333333,9.52383333332,1.98416666666,8.33333325001e-05,4.76191666667,-7.14283333333,2.77783333332
180.31,10.663,25.26875,39.1578333333,20.8783333333,56.7203333333,19.2651666667,32.43725,43.45875,25.8064166667,22.9389166667,39.2473333333,1.07525000002,40.233
180.69,5.6395,20.2020833333,33.165,18.7710833333,55.1346666667,16.835,25.7575,39.1415833333,19.192,19.6971666667,34.4275833334,-3.95616666666,37.542
181.07,18.2241666666,32.7103333334,41.4329166667,28.1931666667,64.0964166667,28.66025,34.81325,45.0933333333,28.2710833333,35.0468333334,42.9128333333,11.05925,46.8068333333
181.45,21.6509166667,33.0995833333,40.7320833333,30.3738333333,64.6416666666,29.04975,38.62925,50.7009166667,32.5545833334,42.2119166666,44.0810833333,12.4611666667,50.3894166666
181.83,24.6468333333,36.1581666667,38.5591666667,27.4716666667,62.0056666667,28.0368333333,42.51425,50.565,34.11025,37.7118333333,43.7854166667,15.1835,49.1525
182.21,29.1665833333,41.6665833333,48.465,33.4795,69.0058333333,30.99425,50.731,61.6228333333,43.9328333333,49.8538333333,53.07025,22.58775,57.7485833333
182.59,29.2753333333,38.3335,47.1015,33.8405,70.4346666667,31.8115833333,49.2029166667,64.2029166666,45.7245833333,47.1739166667,48.6956666667,22.7536666667,57.826
