wavelength,Back_SalMulm,Belly_SalMulm,Breast_SalMulm,Crissum_SalMulm,Crown_SalMulm,DorTail_SalMulm,Patch10_SalMulm,Patch11_SalMulm,Patch12_SalMulm,Patch13_SalMulm,Rump_SalMulm,Throat_SalMulm,WingTip_SalMulm
187.53,48.1426666666,67.6126666666,32.0720666667,27.7476666667,22.072,34.9099166666,40.0,45.4052333333,13.3782666667,6.56962051283,47.297275,19.9999333333,19.7748
187.91,47.73451,63.2467000001,31.0822666667,31.2553333334,21.4718,37.7704166667,41.7316,49.6103333333,13.6795,9.15094871797,49.6861833333,23.2900666667,15.7143333333
188.29,31.7822222222,56.0666666667,6.13333333336,14.9333333334,-14.6666666667,33.0,24.1333333333,35.9333333333,-17.3333333333,-24.6564102564,43.45,4.4,-6.06666666666
188.67,20.3532755555,67.4999666667,-24.0476666667,-5.47613333334,-50.9523999999,31.2500833333,6.42853333334,39.4046333333,-57.5000333333,-69.2856820513,59.8513083333,-5.7142,-31.0715
189.05,7.86421000006,81.6665999999,-71.4814666667,-19.2592000001,-87.0368666669,6.48141666667,-9.62960000006,33.8888666667,-106.851966667,-125.64085641,90.972375,-17.0369333333,-39.4443666666
189.43,-18.1481922221,80.3703333334,-79.2591999999,-28.1482666666,-87.0371333334,-7.40741666665,-26.2962666667,30.7408333333,-127.407366667,-110.655353846,92.5462666667,4.81466666666,-79.8149666666
189.81,33.6727855556,81.7592666666,10.0001333333,35.0,4.81479999992,39.8146666667,27.4074,44.3517333333,-12.8704,-1.43866153846,96.0184166666,56.6666000001,-3.7964333334
190.19,35.7750799999,73.2518666667,17.5609333333,34.1464,6.82933333334,25.4064166667,29.1058,35.6099333333,-3.90239999999,7.65495384616,91.9714583333,55.2845999999,2.8455666666
190.57,28.9638888888,64.7499999999,17.3333333333,35.0000000001,1.50000000006,5.20833333332,19.6666666667,32.5,-7.41666666665,-6.58974358974,87.5416666667,45.1666666667,2.4166666666
190.95,5.95401777778,54.5977333333,12.414,23.6780666667,-36.3218666667,-32.4711666667,21.6092666667,3.10346666666,-26.6665666667,-43.7134923078,85.114875,43.4484000001,-28.3905666666
191.33,-53.1407500001,54.2221666667,10.2222,11.1111333333,-118.2222,-99.9998333332,23.5555333333,-18.6666,-112.8889,-128.170897436,119.499966667,45.3332666668,-128.666666667
191.71,-1.09483814805e+15,-6.1839199429e+13,-6.39715856162e+14,-4.98978367806e+14,-1.74855667351e+15,-1.43936067636e+15,-4.69124961186e+14,-7.12216986526e+14,-1.77841008013e+15,-1.90176041957e+15,5.10173395289e+14,-3.15593155706e+14,-1.86797029999e+15
192.09,-485.222238889,-20.0000999999,-191.111133333,-188.888866666,-866.666666667,-758.333166667,-186.666666666,-302.222233333,-734.444466667,-1023.24787692,225.833283333,-200.0,-826.6669
192.47,340.365066667,157.618866667,142.857066666,181.904733333,455.238133334,574.999833333,175.238066667,215.714366667,441.904933333,564.249005128,30.7142833333,179.047533333,527.142933333
192.85,432.158806667,317.142933334,215.2382,243.809466667,551.428733334,747.619083333,291.428533334,335.714166667,525.7142,655.970769231,152.976241667,277.142933333,653.809533333
193.23,224.938243333,206.296333334,164.814866667,158.888866667,290.740866667,358.333583333,179.259133333,211.851966667,257.9629,308.490189743,136.481525,167.407466667,333.703833333
193.61,232.444436667,239.122833333,192.982666667,175.087733333,312.982533333,372.368333333,189.4736,257.1928,261.754433333,324.156497436,176.578875,220.701733333,334.561466667
193.99,164.77779,166.587266667,149.206466667,138.888933333,199.206333333,231.15075,139.841266667,172.698633333,175.634933333,210.69594359,136.131033333,164.6032,203.492066667
194.37,150.469337778,148.2994,137.550933333,124.217666667,170.884333333,192.347,121.360533333,147.755233333,156.802666667,186.541102564,128.2482,150.204,188.4354
194.75,130.905571111,128.611033333,115.777933333,107.111,141.111133333,153.333333333,101.777733333,131.222233333,139.111066667,155.196538462,111.138866667,131.0,163.833266667
195.13,115.979411111,119.6666,110.190466667,101.618866667,126.095333334,135.23825,96.7619333335,120.619,130.809633333,137.531071795,101.368991667,124.285666667,149.142666667
195.51,145.856066666,148.743266667,143.060133333,132.459066667,155.300666667,164.071,127.103933333,157.595533333,157.0493,170.458194872,129.795066667,151.803266667,187.4864
195.89,143.139165556,139.155033333,136.713666666,121.220866667,147.6996,154.460166667,120.939133333,150.234666667,149.577533333,155.615661538,121.056275,132.488333333,180.469466667
196.27,137.665248889,128.755133333,128.514133333,113.333333334,136.7872,141.767083333,113.815333333,148.9961,141.405666667,143.126297436,114.558166667,121.445733333,162.449666667
196.65,135.824233333,127.5581,131.5504,115.968933333,133.4884,137.015416667,117.596933333,155.387566667,139.573666667,138.890769231,117.025091667,119.7674,163.023433333
197.03,134.579936667,122.967566667,130.406533333,113.5772,128.5368,130.995916666,111.219533333,156.2195,137.439166667,138.18008718,114.867816667,117.7236,164.837566667
197.40,159.650104445,136.2688,142.587133334,128.258666667,142.5872,146.268833333,128.756333333,176.268633333,156.716333333,158.576523077,126.641791667,131.940333334,181.6916
197.78,136.476185556,114.415733333,121.2986,111.774933333,118.528066667,123.701333333,107.619066667,146.233766667,132.5108,137.222871795,104.0152,106.2338,148.744466667
198.16,136.004248889,110.5984,116.495666667,106.837666667,117.435733333,117.521333333,102.3932,142.3505,131.923266667,134.47074359,106.74145,101.282133333,146.5384
198.54,133.808177778,102.683966667,111.428733333,99.5671333335,115.670933333,114.7185,100.1732,140.6061,126.5801,127.738835897,104.447975,93.5064666667,133.073466667
198.92,127.271651111,95.3086666667,109.794333333,92.7572000001,111.358,113.065916667,93.7447333333,131.6049,119.9178,119.411112821,101.203633333,85.1026666667,124.279966667
199.30,147.229016667,105.6924,121.1282,98.8717999999,125.4358,131.153916667,104.4102,150.923233333,134.461633333,133.633102564,108.679475,90.2563333333,135.948566667
199.68,113.383083333,79.6053333333,99.2105999999,75.7894666666,101.403466667,103.728166667,78.6842666666,120.526233333,106.710566667,106.349589744,80.6031250001,70.4386666665,105.9211
200.06,119.816356667,86.0386666667,105.217266667,87.2463999999,108.792333333,111.47325,87.3430666666,128.067666667,112.850166667,114.351646154,88.1521583333,79.8067333333,105.217533333
200.44,110.490913333,86.9819999999,105.135066667,88.7387333332,107.837866667,112.61275,84.6846666667,123.063033333,108.378466667,110.117784615,85.5743666667,80.0901333333,103.5586
200.82,116.718071111,90.3589666666,105.333333333,88.3077333334,115.7948,117.179583333,85.7436666668,126.615466667,110.923166667,114.70614359,82.9230416666,81.9488000001,108.2051
201.19,122.759038889,100.046933333,110.7042,97.6526000002,123.474066667,129.577416666,98.5915333332,134.225266667,118.168966667,119.530471795,94.4483666667,89.4836666666,111.737333333
201.57,104.61992,86.5964666667,93.9649333333,86.1052666665,106.315666667,112.89475,86.8771999999,118.385866667,101.543966667,101.927076923,84.2982333334,81.2632000001,103.999966667
201.95,104.881466667,85.1922666667,91.6667333333,85.3206000001,103.4616,110.496916666,86.7307333333,116.4424,99.5193000001,97.0266769232,84.4311666666,82.1794666667,105.993466667
202.33,104.917355556,86.4151333333,91.6980666665,86.6665999999,100.6288,113.12875,87.4212666667,111.258,96.6353333333,95.5248974359,81.5015333333,83.1445333333,107.0441
202.71,103.837621111,92.4358333333,91.218,86.7307333333,97.2435333332,113.54175,85.1923333333,113.6862,95.5128333334,94.2653230771,77.4279166667,85.4488000001,108.5256
203.09,108.863363333,98.5015333333,94.6787999999,95.6576000001,101.6514,117.35475,92.2324000001,115.7798,98.5932666667,99.6189641025,83.1422666667,90.3977333333,110.458733333
203.47,99.9864966665,90.5807999999,86.3637333333,90.7576666668,93.9898,108.522583333,84.9999333333,104.116433333,94.3938999999,91.806348718,82.0894916666,84.3939999999,102.626433333
203.85,107.481882222,98.2698333333,90.7888,99.3893333332,99.1857333333,116.09425,92.3664666667,110.788866667,104.249266667,98.8178051281,91.4822000001,89.9745333335,107.6337
204.22,100.074457778,91.8493666667,87.1827999999,92.2580666667,92.5593333333,107.258,84.7312,104.623633333,97.0322666667,92.4136512821,85.4947833333,84.4731333333,100.322666667
204.60,106.858371111,96.0179999999,89.0828000001,94.1835333334,95.5706000001,112.583916667,88.6801333333,108.814266667,101.319766667,96.8163179487,89.6364416667,87.5168,103.221566667
204.98,111.644736667,99.8464333333,92.8947999999,96.8858666666,99.0350666667,116.173,89.5175333333,112.851066667,105.701733333,102.746184615,94.8519499999,90.6138666666,106.6667
205.36,114.051735556,100.544766667,96.2090666667,98.5185333332,100.740733333,114.597,90.2396,114.7713,107.407466667,105.245625641,94.6351166667,91.6775333335,108.714533333
205.74,113.642594444,98.5715000001,95.7823333333,98.0498666667,98.7755333333,113.208583333,86.1223999999,115.1474,107.324333333,105.7074,93.6678750001,91.7006666667,108.072333333
206.12,116.765958889,104.107933333,100.281733333,101.220733333,102.394266667,117.312166666,88.4977333333,122.981233333,113.168966667,110.494620513,98.6736416667,96.2440666666,110.962533333
206.50,115.097511111,104.604333333,100.8154,101.151,100.671533333,114.268583333,88.6329333334,125.6116,113.8609,109.304666667,100.515608333,94.9640666665,109.016966667
206.87,114.880994444,103.567833333,101.455533333,101.690066667,104.694866667,114.260833333,91.4554666667,127.769933333,113.239533333,110.415271795,102.717158333,93.4742666666,112.723066667
207.25,115.685062222,104.686633333,103.258066667,99.2980666667,105.463666667,114.724416667,91.6290666667,131.278066667,114.486333333,111.551882051,104.536275,92.6816666665,119.849566667
207.63,129.393971111,117.1131,116.904666667,106.488266667,117.5,124.479333333,101.726133333,149.642766667,124.4346,127.632779487,116.993958333,103.511866667,136.011966667
208.01,126.438294444,113.363633333,110.121133333,95.1515999999,110.848466667,118.18175,92.7878666666,143.3938,117.878733333,121.07208718,109.3029,98.6058666667,134.060466667
208.39,145.88508,133.295466667,120.833266667,101.515266667,122.196933333,137.9735,104.3182,165.909133333,136.969666667,137.051261538,123.825916667,108.787933333,158.0682
208.77,160.850433333,141.154,130.341866667,108.718,130.683733333,149.786416667,111.111133333,179.957366667,148.7607,147.626553846,131.079025,112.906,173.8888
209.14,161.526297778,138.287,129.259333333,109.629533333,133.426,150.925833333,110.648133333,182.963166667,148.287,148.824825641,135.451408333,113.981466667,174.1668
209.52,176.09395,146.615466667,134.974266667,114.359066667,143.282,166.923,115.589733333,196.871833333,154.512533333,159.203128205,150.38445,120.923066667,188.564233333
209.90,176.205552222,146.722233333,132.1112,108.333266666,141.444333333,161.249833333,114.2222,188.5554,152.888866667,155.658020513,153.625,113.222133333,185.4998
210.28,211.957621111,178.7302,148.4128,111.904733333,166.031666667,190.47625,122.857066667,215.158766667,177.5397,184.456548718,183.988041667,123.1746,242.063633333
210.66,299.168726667,237.777833333,174.567933333,131.111066667,229.6296,264.814916667,142.963,301.8518,233.950566667,253.694210257,249.444558334,162.222333333,349.3827
211.03,253.618055555,196.666666667,141.875,113.75,184.166666667,223.697916667,117.708333333,256.979166667,201.979166667,212.996794872,216.328125,141.875,289.791666667
211.41,180.608537778,136.666733333,92.2726666666,83.6363333334,124.848466667,165.151333333,81.9696000001,188.106033333,144.848566667,146.352041026,152.234916667,94.8486000001,198.333333333
211.79,158.805545556,112.0834,65.9721999999,67.4999333334,96.6667333333,132.118166667,63.1944666667,152.638866667,116.874933333,112.809784615,120.104083333,70.5553999999,167.0833
212.17,236.641547778,170.4301,102.795733333,109.032266667,150.107466667,208.870916667,104.085933333,226.881833333,174.301033333,176.922979487,197.257991667,120.430133333,244.9462
212.55,241.069985556,161.481433333,102.716133333,116.049466667,163.456733333,209.876583333,99.5061999999,234.568,160.0,187.73034359,213.858008334,117.530866667,255.802533333
212.92,195.491154445,143.871,90.3226666668,106.236533333,135.268666666,156.451833333,79.5698666667,199.354833333,124.0862,158.345630769,186.935441667,106.021333333,225.806266667
213.30,312.248424444,228.4314,128.627466667,134.117533333,170.980266667,215.196083333,95.6862000001,303.725433333,186.862666667,223.830933333,269.264641667,143.529466667,361.176433333
213.68,220.206238889,168.571433333,86.3489999999,93.9681999999,123.1746,133.33325,61.2697999999,228.5715,152.857,167.27714359,191.230075,103.809533333,256.507933333
214.06,289.567185555,238.245533333,137.192933333,145.614066666,172.631466667,197.806833333,116.491133334,315.964733333,215.0877,229.743538461,250.701841666,142.456133333,311.7545
214.44,279.922835556,226.956633333,154.4926,171.5942,190.724666667,200.0,153.913,324.492533333,220.579733333,236.031164102,242.354941667,146.956466667,254.2027
214.81,186.15506,158.7596,127.441866667,138.449533333,140.155066667,146.5115,126.976733333,216.8217,152.325466667,166.261189744,169.903033333,113.488333333,168.915
215.19,158.27689,142.373033333,110.734466667,120.790933333,119.096133333,128.1075,114.8024,178.9831,130.565033333,136.9406,137.33055,104.1808,134.632866667
215.57,217.235384445,199.682366667,150.7936,160.4762,166.0318,167.0635,148.730133333,241.5872,179.206466667,190.170938461,181.864983334,149.999933333,177.619
215.95,206.539753333,196.0546,160.952533333,155.782266667,169.387733333,173.299416667,157.278866667,235.7823,175.5102,187.053928205,179.31985,148.707533333,165.3061
216.32,171.415957778,159.090866667,137.070733333,130.909,142.323466667,139.6465,128.484866667,195.909033333,146.818233333,149.736005128,146.780375,117.575866667,130.858466667
216.70,161.749955556,153.6843,133.771866666,124.649066666,135.2632,131.688416667,125.175466667,182.850933333,142.236833334,141.039076923,136.557033333,113.6842,118.465133333
217.08,144.593474444,139.294066667,117.568666667,113.097933333,123.451133333,120.980416667,115.529466667,165.372566667,130.431433334,125.242948718,123.088308333,103.058866667,105.3725
217.46,145.694723333,139.8467,123.5248,117.624466667,128.8122,136.686,123.908133333,170.383166667,133.869766667,132.620092308,127.797016667,109.9616,111.111
217.83,147.835485556,142.337733333,124.069266667,116.71,124.935,146.536916666,124.4156,172.4675,130.302966667,129.876866667,126.450166667,106.5802,108.744533333
218.21,131.759002222,126.1973,113.802866667,102.3474,108.638533333,133.803,107.6056,153.615033333,110.751266667,110.711441026,109.62455,92.0188,91.6431666666
218.59,138.508541111,130.2083,117.500133333,101.979066667,106.874866667,142.9685,107.7082,151.354133333,114.322866667,112.299497436,114.231608333,95.8332666666,104.687466667
218.97,181.868624444,182.7274,153.333466667,114.343533333,122.0202,198.232416667,129.090866667,203.737466667,149.697066667,128.142933333,136.868716667,111.7172,127.070633333
219.34,288.896836667,274.523733333,222.8572,158.5714,181.904866667,316.66675,166.666733333,334.285633333,239.285733333,181.575194872,205.000025,139.047666667,193.809266667
219.72,222.756653333,209.206166667,169.5238,147.619066667,160.952466667,246.825333333,159.365133333,257.1428,176.3492,162.857215385,179.365058333,130.476333334,170.476066667
220.10,234.340833333,225.777766667,164.8888,162.666733333,166.2222,321.11125,149.777733333,290.4446,193.5556,182.222282051,209.388825,136.4444,197.111266667
220.47,186.316231111,198.974433333,106.1538,114.358933333,110.2564,286.538333333,112.307666667,280.256566667,141.0258,135.936774359,175.384608333,90.7691333333,207.948733333
220.85,202.135753333,193.333333333,66.6668,113.333333333,80.7408666668,310.18525,79.9999333333,355.926066667,148.888733333,113.390451282,211.018533333,74.0742666666,322.2223
