wavelength,Back_TanParm,Belly_TanParm,Breast_TanParm,Crissum_TanParm,Crown_TanParm,DorTail_TanParm,Patch10_TanParm,Patch11_TanParm,Patch12_TanParm,Patch13_TanParm,Rump_TanParm,Throat_TanParm,WingTip_TanParm
211.79,-122.2808,-84.7368666666,-89.9999999999,-104.035133333,-129.298333333,-50.8771333333,-101.9298,-162.631533333,-125.438533333,-153.8596,-175.087666667,-119.122733333,-107.70870505
212.17,-149.714266667,-118.8572,-120.1906,-126.476066667,-157.333333333,-73.5237999999,-122.666733333,-190.4762,-151.809466667,-180.5714,-202.476133333,-147.428466667,-127.555577778
212.55,-159.7848,-138.494733333,-135.053666667,-133.118333333,-164.3012,-75.4838666667,-135.2688,-207.5268,-165.8064,-188.387,-224.9462,-164.731066667,-133.606979798
212.92,-231.666733333,-198.3332,-199.722266666,-187.222333333,-238.888866666,-103.888866667,-181.388666667,-289.722266667,-237.2222,-268.889066667,-321.666733333,-240.2778,-182.129654545
213.30,-119.4872,-98.2906000001,-99.8289999999,-83.2478666667,-127.350466667,-44.2734666667,-85.8118666667,-157.777733333,-134.700933333,-146.3248,-168.888933333,-128.376133333,-76.0632141415
213.68,-75.5555333333,-56.6666666666,-53.0556666667,-44.0277333333,-80.1390000001,-23.6110666667,-50.5555333333,-102.7778,-89.0279333333,-98.6110666665,-116.5278,-76.3888666667,-31.7171939393
214.06,-67.2956000001,-50.4403333333,-45.0314,-30.8176666666,-74.5910666666,-24.4028,-46.7925333333,-93.9622666667,-80.0000666667,-94.5912000001,-99.8742000001,-64.2767333334,-20.1905818182
214.44,-135.097933333,-107.843133333,-92.1569333333,-84.3136666666,-146.078333333,-71.5686666667,-97.2548666665,-179.019466667,-155.8824,-175.8822,-188.6276,-125.490133333,-56.1973737374
214.81,-142.353,-123.7256,-104.705733333,-92.3529333334,-151.764733333,-84.1176666667,-107.451,-184.5098,-165.686266667,-186.8628,-193.7254,-139.999933333,-70.4515797981
215.19,-182.758733333,-169.6552,-148.965666667,-130.574933333,-189.885066667,-131.0344,-155.402266666,-245.0576,-223.218333333,-244.367866667,-232.4138,-193.333266667,-102.403292929
215.57,-151.764733333,-146.8628,-133.333266666,-119.804,-163.921666667,-125.882333334,-138.0392,-204.901866667,-196.666666667,-211.568733333,-200.980466667,-175.6864,-87.1655454545
215.95,-263.3334,-244.722333333,-229.722266667,-215.833333333,-285.833333333,-234.166666667,-254.1666,-338.611,-320.5556,-337.500133333,-335.000066667,-285.8334,-177.129529293
216.32,-385.614133333,-346.666666667,-335.438466667,-319.6492,-404.561466667,-346.3158,-369.473733333,-478.5964,-451.93,-472.2808,-474.7368,-401.403666667,-260.871880808
216.70,-1309.52386666,-1228.57126667,-1188.57146667,-1153.33326667,-1362.85713333,-1247.61906667,-1297.143,-1551.42866667,-1504.76193333,-1566.66673333,-1520.00013334,-1358.09526667,-969.639175758
217.08,-1359.04766667,-1322.85706667,-1248.57133333,-1258.09526667,-1389.52366667,-1324.76186666,-1406.66666667,-1617.14293334,-1521.90473333,-1603.8096,-1559.0476,-1387.61893333,-1053.91045253
217.46,-2488.33333333,-2450.0,-2348.33333333,-2371.66666667,-2480.0,-2380.0,-2553.33333333,-2935.0,-2715.0,-2891.66666667,-2831.66666667,-2456.66666667,-1908.58585859
217.83,-10086.6666667,-9906.66666666,-10160.0,-9693.33333333,-10186.6666667,-9493.33333335,-10340.0,-11960.0,-10686.6666667,-11906.6666667,-11373.3333333,-9853.33333334,-8013.93939394
218.21,4990.0,5036.66666667,5083.33333334,4953.33333334,4993.33333333,4713.33333334,4973.33333333,5780.0,5113.33333333,5756.66666667,5743.33333333,4870.0,4222.32323232
218.59,-318.133333333,-320.8,-343.2,-316.533333333,-325.333333333,-292.0,-321.6,-381.333333333,-316.0,-387.733333333,-379.466666667,-322.133333333,-265.511111111
218.97,-290.4762,-279.047666667,-305.0,-294.999933333,-289.285733333,-266.9048,-287.381,-348.333266667,-275.2382,-351.904733333,-344.761733333,-286.666666667,-224.264127273
219.34,-202.631533333,-189.649066667,-212.280733334,-194.912266667,-200.8772,-168.070133333,-189.122866667,-237.368333333,-172.806933333,-244.912333333,-245.614,-189.8246,-140.877151515
219.72,-202.963,-187.407266667,-211.111066667,-179.074066667,-186.851933334,-148.889,-182.037066667,-237.777866667,-168.333266667,-239.444266667,-237.777866667,-172.407466667,-127.620666667
220.10,-128.296266667,-121.777666667,-146.074066667,-113.185133333,-119.1112,-89.1851333333,-105.185133333,-158.666666667,-111.703666667,-164.888866667,-154.370333333,-107.407333333,-70.3702848485
220.47,-118.730066667,-121.4286,-139.523933333,-111.9048,-112.698466667,-78.4128666667,-98.5714000001,-152.698466667,-102.063533333,-158.412733333,-149.841266667,-97.7776666667,-66.0222787878
220.85,-59.6078666667,-60.392,-80.3922666667,-58.1697333334,-52.1569333334,-23.3985333333,-40.0,-85.2288000001,-39.3464,-86.9280666668,-89.1502666666,-39.085,-15.1476686869
221.23,-52.4822666666,-60.7090666667,-79.4327333333,-45.9574666667,-42.6950666667,-18.4396,-31.4893333333,-77.0211999999,-28.9362,-78.4397333333,-87.5176666667,-34.1844,-2.37252323232
221.61,-95.862,-104.827466667,-145.747133333,-81.1493999999,-77.9311333333,-45.0574666667,-77.0115333334,-137.701133333,-65.5173333334,-138.1608,-165.287266667,-80.9194666668,-31.549959596
221.98,-158.333333333,-177.666666666,-220.666666667,-136.333333333,-123.666666667,-86.6666666666,-121.666666667,-224.666666667,-122.666666667,-208.666666667,-270.0,-144.666666667,-52.6464646463
222.36,-245.333333333,-259.555733333,-329.7778,-197.333466667,-210.2222,-149.3334,-210.222133333,-361.3334,-205.777666667,-310.2222,-388.4444,-233.333266667,-112.91579596
222.74,-972.0,-1096.0,-1282.66666667,-841.333333333,-850.666666667,-725.333333334,-901.333333333,-1377.33333333,-913.333333334,-1144.0,-1370.66666667,-920.0,-618.424242424
223.11,-413.939466667,-496.969666667,-568.484733333,-329.090933333,-328.484866667,-275.757533333,-383.030333334,-590.303066667,-413.939333333,-453.939466667,-590.909266667,-364.242466667,-259.155216162
223.49,-591.428533333,-736.190666667,-880.952400001,-456.190466667,-457.142866667,-403.809533333,-591.428733333,-880.000133333,-623.809466667,-628.571466667,-843.809600001,-515.2382,-397.86429697
223.87,-4086.66666667,-5193.33333333,-6213.33333333,-3380.0,-3120.0,-2940.0,-4226.66666667,-6246.66666667,-4226.66666667,-4120.0,-6073.33333333,-3600.0,-2956.96969697
224.24,347.450866667,387.0588,438.0392,288.627466667,265.097933334,253.725466667,347.451133333,460.3922,323.137333333,321.5686,445.098133333,299.2156,263.137268687
224.62,377.254933333,386.666666667,459.2156,298.0392,272.9412,268.2352,372.9412,494.509866667,347.058733333,350.196,449.804066667,330.588266667,275.805109091
225.00,263.466666667,269.866666667,317.066666667,190.133333333,190.933333333,191.466666667,261.866666667,357.333333333,252.8,270.666666667,315.2,229.866666667,188.024242424
225.38,415.7142,409.523866667,507.1428,288.095266667,279.047666667,261.9048,414.762,590.0,396.190533333,448.571466667,510.000133333,342.8572,288.0808
225.75,-566.666666667,-579.166666667,-713.333333333,-360.0,-371.666666667,-291.666666667,-511.666666667,-889.166666667,-540.833333333,-650.833333333,-735.0,-417.5,-333.585858586
226.13,-4006.66666667,-4606.66666667,-5566.66666667,-2653.33333333,-2700.0,-2140.0,-3746.66666667,-6893.33333333,-4226.66666667,-5080.0,-5606.66666667,-3220.0,-2591.11111111
226.51,553.333333333,674.285666667,832.380933333,436.190466667,357.142933333,297.142733333,578.0952,976.190466667,638.0952,782.857266667,836.190533333,474.285666667,352.61179798
226.88,164.2106,201.403466667,268.772,128.070333333,94.386,82.4562000001,163.5088,322.4562,186.315866667,274.736933333,297.543866667,132.982466667,85.1036343435
227.26,81.9047333333,100.408133333,127.755133333,69.2518,61.6326666666,58.2312666667,86.1224666668,149.5238,91.4286000001,136.190466667,141.0884,74.0135333333,55.7658767677
227.64,69.1891999999,86.4864666666,99.6396000001,67.8379333333,61.8919333333,57.2072,75.8559333333,117.7478,80.6304666666,114.0542,118.4686,64.9550666666,54.2834929293
228.01,63.4538666667,79.5180666666,93.8956666666,61.6064666667,61.7670666667,56.3856,68.1928,108.513933333,70.2810666667,108.835333333,108.514133333,61.2852,53.9662525252
228.39,54.3295333334,74.2529333333,87.6628000001,54.4827333333,53.7164,52.0307333333,63.8314,102.452133334,58.4673333333,102.3754,104.4444,55.2490666667,48.6334767677
228.76,41.824,59.7486,71.5722666667,42.5786666667,45.0944,44.654,52.8302666667,83.6478666666,45.6603333333,84.9686666667,89.4340666667,43.1446666667,39.1728606061
229.14,39.1869333333,54.3631333333,65.1491333333,43.7398666667,43.6854666667,42.9267333333,51.5988,75.4472666667,40.1084,74.5801333333,81.6802666667,41.1922666667,40.5780848485
229.52,32.5603333333,49.7584,56.7633333333,37.0531333333,38.5990666667,36.8598,45.8454,66.0386,32.5121333333,64.4443333333,73.3334,34.9274,34.5644626263
229.89,33.5700666667,49.2702,56.2918666667,38.6193333333,38.9348,40.1182,46.5089333333,62.0513333333,31.0453333333,62.7612666667,69.783,35.1479333333,36.4830969697
230.27,37.7778666667,49.3033333333,60.3389333333,41.7702666667,42.2222,42.7118666667,50.9227333333,64.0678,31.5632,64.2562,71.5254666667,36.9867333333,40.4633252525
230.65,33.6474,45.48,55.0435333333,38.1151333333,39.0574666667,39.0226,46.911,60.5934666667,25.9684666667,58.0105333333,65.9336666667,32.4958,37.3388767677
231.02,36.6666666667,48.0391333333,55.3921333333,40.2940666667,40.2614666666,40.0,48.6602666667,60.6862,28.0392666667,57.9740666667,64.7387333333,35.9148666666,39.2354949495
231.40,32.8333333333,44.9,53.3,37.4666666667,38.0,34.9333333333,45.2666666667,57.8333333333,24.1,54.1333333333,60.9666666667,31.3,37.3434343435
231.78,32.3104,42.6454666667,51.8519333333,33.4744,35.0970666667,32.8396,42.1869333333,57.0017333333,20.9876,52.2044,58.0952,29.0300666667,34.9837252525
232.15,30.7103333333,39.5264,47.4316666667,29.8726,30.929,29.8361333333,39.5264666667,53.8069333333,18.9798,49.5082,57.0854666667,25.5009333333,30.9079252525
232.53,28.0208,35.9722666667,43.6805333333,25.8334,28.0903333333,24.9305333333,34.9999333333,48.264,15.9374666667,44.4791333333,51.8749333333,23.4027333333,27.7072888889
232.90,25.6,34.5666666667,41.5,25.0666666667,25.5666666667,22.0,30.9,44.2333333333,14.0333333333,39.9666666667,48.0333333333,20.7666666666,25.9494949495
233.28,25.6194666667,35.9511333333,42.7922,25.829,25.2007333333,22.3735333333,30.576,45.1308666667,13.6126,42.0246,49.5637333334,19.8604,26.1568808081
