wavelength,Back_TanParm,Belly_TanParm,Breast_TanParm,Crissum_TanParm,Crown_TanParm,DorTail_TanParm,Patch10_TanParm,Patch11_TanParm,Patch12_TanParm,Patch13_TanParm,Rump_TanParm,Throat_TanParm,WingTip_TanParm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-99.2592666665,-51.8518666667,-109.629533333,-54.0740666666,-90.3704666667,-93.3333999999,-111.851866667,-75.5554666667,-106.666733333,-108.888933333,-89.6296000001,-94.0740666665,-110.437688889
179.16,813.333333334,720.0,893.333333334,820.000000001,726.666666667,746.666666667,933.333333333,860.000000001,973.333333333,879.999999999,593.333333334,706.666666666,967.272727272
179.54,-195.555533333,-181.111066667,-233.3332,-237.777866667,-164.444533333,-198.888866667,-201.111266667,-166.666666667,-186.6666,-190.0,-192.2222,-203.3334,-213.771046465
179.93,-283.333333333,-300.0,-493.333333333,-293.333333333,-293.333333333,-293.333333333,-363.333333333,-320.0,-376.666666667,-400.0,-256.666666667,-483.333333333,-349.595959596
180.31,-843.888933334,-658.888866667,-985.000000001,-803.888800001,-728.888733334,-804.444400001,-915.0,-772.777866667,-776.111133333,-825.555399999,-798.888866667,-857.777666665,-848.989921212
180.69,-728.75,-588.75,-845.0,-709.583333333,-646.25,-709.166666667,-784.166666667,-676.25,-682.083333333,-736.666666667,-717.5,-747.916666667,-734.684343434
181.07,-5980.0,-5040.0,-6900.0,-6090.0,-5293.33333333,-5863.33333333,-6516.66666667,-5650.0,-5633.33333333,-5930.0,-6020.0,-6223.33333333,-5964.04040404
181.45,-2107.77773333,-1793.33333333,-2416.66673333,-2133.3334,-1806.66666667,-2003.33326667,-2214.44446667,-1932.22226667,-1902.2222,-2024.44453333,-2144.44426667,-2137.77766667,-2069.12458182
181.83,3413.33333333,3038.33333333,3880.0,3366.66666667,2958.33333333,3246.66666667,3581.66666667,3203.33333333,3103.33333333,3228.33333333,3468.33333333,3416.66666667,3340.2020202
182.21,2346.6666,2142.22226667,2642.22233334,2338.88893333,2045.5554,2280.00006667,2454.4444,2254.44426667,2116.66673333,2207.7778,2418.88886667,2295.5556,2348.41750707
182.59,14880.0,13780.0,16806.6666667,14626.6666667,13400.0,14846.6666667,15466.6666667,14713.3333334,13720.0,14006.6666667,15166.6666667,14193.3333333,15013.1313131
182.97,-5093.3332,-4911.11106667,-5837.77773333,-5057.77793333,-4735.55546666,-5264.44446667,-5462.22233333,-5228.88886667,-4895.55566667,-4851.11106667,-5353.33326667,-5002.22233333,-5284.98324242
183.35,16100.0,15980.0,18306.6666667,16053.3333333,15260.0,16620.0,16906.6666667,16413.3333333,15686.6666667,15653.3333333,16913.3333333,16066.6666667,16964.2424242
183.73,-5320.00006667,-5431.1112,-6022.22226667,-5242.2222,-5122.2222,-5533.3334,-5537.7778,-5524.44453333,-5355.55566667,-5213.33333333,-5619.99993333,-5477.77773333,-5710.37028687
184.11,-907.8432,-965.098066668,-1063.1372,-897.647066667,-898.823466667,-971.764600001,-967.8432,-970.588133334,-919.215666665,-925.490133333,-973.725533333,-967.843133333,-1010.13665051
184.49,-600.2564,-654.359066666,-705.8974,-607.948666667,-597.948866667,-639.487133333,-655.128133333,-657.179533333,-607.6922,-630.256533333,-644.358933333,-650.256533333,-674.926226263
184.87,-651.9444,-705.8334,-763.0554,-646.944466667,-633.8888,-686.944466667,-710.555466667,-719.444466667,-655.833466667,-669.166666667,-680.833466667,-704.444533333,-730.429385859
185.25,-410.350933333,-443.508866667,-478.070133333,-405.0876,-395.438533333,-424.210533333,-434.386,-448.421,-410.175466667,-427.5438,-422.6316,-437.192866667,-462.062666667
185.63,-390.8772,-430.701866667,-469.8246,-389.824666667,-383.333266667,-421.5788,-423.157933333,-444.561466667,-397.543866667,-422.280666667,-406.4912,-431.579,-453.641670707
186.01,-362.631666667,-392.982533333,-431.403466667,-365.964866667,-349.1228,-388.947266667,-394.561466667,-417.193,-367.017533333,-402.982533333,-380.7018,-407.894666667,-429.686355556
186.39,-607.222266667,-638.889,-714.444466667,-611.3888,-586.388933333,-638.055666666,-666.9444,-689.722266667,-631.388866667,-694.722266667,-647.777866667,-680.555533333,-702.112844444
186.77,-2376.66673334,-2537.77786667,-2803.33326667,-2446.66673333,-2295.55553333,-2559.99993333,-2633.33326667,-2756.6666,-2531.1112,-2796.66653333,-2627.77786667,-2741.1112,-2803.43444445
187.15,1769.16666667,1847.5,2070.83333333,1831.66666667,1665.83333333,1865.0,1899.16666667,2041.66666667,1819.16666667,2087.5,1954.16666667,2044.16666667,2058.03030303
187.53,3253.33333333,3290.0,3870.0,3370.0,3025.0,3405.0,3531.66666667,3835.0,3295.0,3923.33333333,3656.66666667,3688.33333333,3763.43434343
187.91,12026.6666667,11740.0,14713.3333333,12273.3333333,10666.6666667,11953.3333333,13253.3333333,13906.6666667,11653.3333333,14766.6666667,13573.3333333,13053.3333333,13306.6666666
188.29,-1196.0,-1112.0,-1400.66666667,-1181.33333333,-970.666666665,-1137.33333333,-1279.33333333,-1363.33333333,-1139.33333333,-1476.66666667,-1378.66666667,-1233.33333333,-1254.12121212
188.67,-1272.59253333,-1168.88886667,-1480.0,-1211.11113333,-984.444266666,-1206.66646667,-1287.4074,-1413.3334,-1220.7408,-1557.77766667,-1487.40746667,-1274.074,-1287.81149091
189.05,-5413.33333333,-5016.66666667,-6306.66666667,-5080.0,-4093.33333333,-5016.66666667,-5366.66666667,-5910.0,-5106.66666667,-6806.66666667,-6383.33333333,-5260.0,-5295.25252525
189.43,816.923133333,780.000066665,958.974333334,774.358933333,632.307666667,771.795066667,837.435866667,930.256533333,767.179599999,1040.00013333,974.8718,792.307733333,784.770913131
189.81,436.5218,417.970866667,511.014533333,418.260866667,357.681266667,410.7246,464.927533333,508.115933333,428.116,579.7102,536.521933333,428.9856,404.734329293
190.19,592.8888,574.2222,712.444466667,566.666733333,506.222266667,563.111066667,622.222333333,716.444466666,586.6666,831.555333333,751.110933334,571.111066667,514.680208081
190.57,-2437.7778,-2411.11113333,-2968.88893333,-2326.66673333,-1926.66666667,-2286.6666,-2484.4444,-3048.88886667,-2260.0,-3446.66666667,-3139.99993333,-2273.33333333,-1928.14810505
190.95,-243.2,-245.333333333,-300.266666667,-227.733333333,-175.2,-194.133333333,-249.333333333,-310.933333333,-206.666666667,-357.066666667,-308.0,-213.333333333,-161.22020202
191.33,-124.504466666,-125.5856,-157.477466667,-105.405266667,-76.036,-88.6486666666,-134.234333333,-177.117266667,-105.585533333,-204.684733333,-164.324333333,-98.1980666667,-63.6254242423
191.71,-109.8246,-123.157866667,-130.7018,-85.9649333333,-60.5262666666,-79.6490666667,-121.228,-160.7018,-102.6314,-197.543733333,-145.614133333,-79.1227333333,-48.920769697
192.09,-128.420933333,-152.806933333,-144.912266667,-112.105266667,-87.8947333333,-118.9474,-140.1754,-190.7018,-132.6316,-229.649133333,-172.280733333,-108.596466666,-75.8586141416
192.47,-172.873466667,-213.333466667,-200.459866667,-147.126533333,-131.4942,-169.885,-194.712666667,-253.103466667,-182.0688,-306.206733333,-223.908,-152.413866667,-112.936290909
192.85,-93.3334,-124.058,-111.884133333,-76.3767999999,-73.3333333333,-98.6956666666,-121.014533333,-154.782666667,-100.869666667,-183.623266667,-127.536266667,-82.7535333332,-61.0496141414
193.23,-50.1538,-74.3588666667,-64.2050666666,-40.1026666667,-36.4102666667,-58.8719333333,-76.4101333333,-104.000133333,-61.2308,-116.8206,-80.4102666667,-44.7178666667,-33.7250282828
193.61,-30.5426,-46.3566,-40.3876666667,-20.5426666667,-18.2171333333,-37.907,-48.7598666667,-71.8604666666,-38.5272666667,-82.4805333333,-53.1783333333,-25.5813333333,-17.9821858586
193.99,-33.3333333333,-44.0666666667,-39.2666666667,-19.0,-20.8,-38.5333333333,-48.1333333333,-70.2000000001,-39.4666666667,-78.8,-52.8,-26.4666666667,-24.2464646465
194.37,-46.8,-52.4,-50.6,-28.3333333333,-35.5333333334,-50.9999999999,-61.4666666667,-83.1333333333,-53.0,-91.2666666665,-66.5333333333,-38.7333333333,-36.2424242424
194.75,-44.4654,-46.8552,-47.0441333333,-23.9620666667,-36.7922666667,-49.4967333333,-58.4907333333,-78.3645333333,-53.0817333333,-89.5596666667,-65.346,-36.8554,-37.6500969697
195.13,-56.6667333333,-55.2288,-54.1176666667,-30.915,-47.647,-63.6600666667,-68.1699333333,-88.4966666667,-65.6209333333,-104.5752,-80.3268666666,-46.7974666667,-47.1222040404
195.51,-67.5908,-62.4422,-64.0264,-40.4621333333,-56.2376666667,-72.9373333335,-72.4753333333,-95.7096666668,-73.4652666665,-114.191333333,-89.505,-54.7194,-56.6395575758
195.89,-61.7125333333,-52.2324,-59.8776,-38.104,-51.3151333333,-66.4832000001,-63.0581333333,-89.9694666665,-64.7705333333,-102.263,-82.6912,-53.4555333333,-50.5032525253
196.27,-68.5809333333,-55.9076666667,-62.0462666667,-42.1122,-54.9834,-70.8250000001,-68.6468,-98.6798666667,-68.3168,-110.099133333,-88.2508000001,-57.4918666666,-54.6414363636
196.65,-53.0863333333,-41.8518,-46.8518666667,-31.9135333333,-43.4568,-57.1605333334,-53.3332666667,-86.1111999999,-54.5679333333,-92.0369999998,-74.3826666667,-41.4815333333,-39.1768828283
197.03,-58.4560666667,-45.8948,-51.0877333333,-39.0176,-53.9648666667,-62.9474000001,-57.7544,-98.9474,-61.7544666667,-106.666733333,-89.8947333334,-46.6668,-44.4422545455
197.40,-71.1110666667,-52.8735333333,-62.2222666667,-50.3448,-69.2721333333,-74.3295333333,-67.9694666667,-115.862133333,-71.3410000001,-124.750933333,-105.747066666,-57.9312,-51.0670505051
197.78,-61.7777333333,-39.1109333333,-51.4814666667,-40.4444666667,-59.8519333333,-66.5186666666,-59.8518,-102.666733333,-60.6666,-112.444333334,-96.5926666667,-51.5556666667,-39.7351515151
198.16,-46.8864666667,-24.6152666667,-34.1392,-28.2785333333,-40.9524666666,-51.9414,-42.6373333333,-83.8828666667,-41.9780666667,-95.7509333333,-81.1721999999,-33.9926666667,-18.5993555556
198.54,-33.26,-10.9157333333,-21.0989333333,-14.6519333333,-22.0512,-33.9925999999,-27.6190666667,-67.2527333333,-26.2270666667,-82.5640666667,-66.8131333333,-18.4615333333,-3.68305050506
198.92,-36.9504666667,-13.2624666667,-24.4680666667,-19.3616666667,-24.3262666667,-33.3334,-27.8722666667,-70.4255333333,-27.5177333333,-81.0639333333,-64.1843333333,-22.1984666667,-2.01801010104
199.30,-19.1976666667,1.0494,-11.0492666667,-7.34559999999,-13.0864,-15.9876666667,-11.2962666667,-50.8024666667,-12.4074666667,-56.9753333333,-42.7778,-7.16046666666,9.59969090909
199.68,-23.2652666667,-3.80960000001,-13.8777333333,-11.8368666667,-21.7007333333,-19.7278666667,-18.5714,-60.3402,-17.5509333333,-65.7822666667,-48.5714666666,-12.9251333333,7.67052525253
200.06,-18.5622666667,-3.26786666667,-8.23520000002,-7.97380000002,-17.7125333334,-12.2222,-14.7058,-55.1633333333,-16.6666666667,-60.9802666667,-44.4444666667,-7.12413333332,9.44939595961
200.44,-5.84073333331,9.02673333332,0.235933333327,4.71966666667,-7.55166666667,0.767,-1.7698,-38.938,-7.55173333333,-43.8938,-29.6755333333,4.30679999999,20.4845777778
200.82,-6.72326666668,11.1298666667,3.27686666666,9.43506666667,-4.12446666666,6.10166666667,1.46893333333,-28.87,-5.87560000001,-37.2316666667,-24.0677333333,5.48013333334,23.0440646465
201.19,-2.41466666665,16.063,8.87146666667,16.1680666667,5.14433333331,12.7035333333,8.76633333333,-17.113,-0.419799999987,-27.2966666667,-11.3386666667,11.0762,27.9503070707
201.57,1.69166666667,19.7014666667,13.3831333333,20.9948666667,9.60206666668,15.4230666667,13.3831333333,-6.26873333332,3.13420000001,-21.1940666667,-5.82086666667,15.4228666667,30.2503878788
201.95,-2.57226666667,12.3360666667,8.92386666668,16.7454,-0.052466666654,14.1734,8.97633333335,-12.8084,-4.19939999999,-28.6613333333,-10.2360666667,11.1810666667,24.7323777778
202.33,-8.401,8.94326666665,4.878,13.5500666667,-8.29259999999,11.5448,4.87806666666,-19.187,-9.05153333335,-31.2736666667,-15.0136,4.76966666666,18.1374080808
202.71,-4.76213333332,9.41793333333,8.20100000001,15.9787333333,-6.29633333333,10.3704666667,7.46039999999,-16.5608,-8.46566666665,-27.7778,-10.2646,6.03173333334,19.0620727273
203.09,1.42486666666,11.3486666667,14.9618,19.2874666667,-0.8652,15.0128,11.8574666667,-9.82186666667,-0.916200000013,-21.1196666667,-5.49620000001,12.112,22.3671939394
203.47,-7.73806666668,1.66666666668,7.61900000001,11.9046666667,-9.5834,6.72613333333,3.74993333333,-21.4286666667,-9.94046666668,-35.4762,-18.9286666667,2.85713333333,16.0605454545
203.85,-3.1578,3.50859999999,8.82206666668,13.5337333333,-6.01506666666,7.76946666667,5.21306666667,-13.9348666667,-8.32079999999,-28.1702666667,-13.9348,6.8672,18.5813555555
204.22,-14.7657333333,-6.28106666667,0.771333333334,6.50146666666,-17.9613333333,-4.8486,-5.06880000002,-22.3140666667,-15.2065333334,-41.4876,-23.2506666667,-2.2038,11.8291474747
204.60,-16.3532666667,-10.9972,1.25359999998,3.9886,-20.9685333333,-10.8262,-8.71806666667,-25.6982,-14.5299333333,-44.7293333333,-27.0086,-4.55833333333,8.63333939394
204.98,-27.8205333333,-25.1283333333,-12.6922666667,-8.52560000001,-32.8206000001,-23.8462,-21.9230666667,-42.4358,-27.0512666667,-62.6282,-40.641,-15.5768666667,-2.81453939391
205.36,-41.2244,-37.9591333333,-26.3946666667,-21.6325333333,-47.8231999999,-33.6733333333,-38.4354,-58.7075333334,-40.3401333333,-78.1632000001,-57.4149333333,-29.3196666667,-15.1062727273
205.74,-69.2857333334,-66.1112000001,-52.6190666667,-44.6824,-79.1269333333,-55.4761333333,-67.1428666667,-91.8254666667,-67.4602666667,-110.793666667,-90.3969333333,-58.2539333334,-41.5152222222
206.12,-81.9166666667,-79.25,-66.0833333333,-57.0,-90.0833333334,-71.0833333333,-77.0833333333,-105.333333333,-79.6666666667,-125.083333333,-104.25,-69.9999999999,-52.196969697
206.50,-77.8031999999,-77.4999333333,-63.8635333333,-58.0304,-83.7122666667,-69.0908666666,-72.8788,-96.0605999999,-80.8334,-119.242533333,-96.8938666667,-66.5908666666,-47.0294222222
206.87,-81.6842666667,-80.3510000001,-69.0528,-64.4912,-87.7191999999,-71.0877333334,-78.5264666667,-97.5437999999,-81.4738666667,-119.648933333,-99.7193333333,-69.7544,-51.4343313131
207.25,-89.1305999999,-86.9564000001,-78.9856,-73.5507333334,-95.5072666667,-80.8696666665,-87.6810666667,-108.3334,-92.029,-134.347933333,-111.4494,-79.7825333334,-60.4258828283
207.63,-69.3826666667,-64.6296666667,-60.8024666667,-56.5432,-75.8023999999,-60.6789333333,-68.9506666666,-85.3085333333,-73.8270666667,-107.716066667,-90.9260000001,-62.2839333334,-44.8802888889
208.01,-72.0275333333,-64.055,-62.1305333334,-57.8694,-77.3883333333,-62.2682000001,-72.0962666667,-89.9655999999,-74.3643333333,-113.8832,-98.2817999999,-65.4295999999,-50.1114383838
208.39,-67.6389333334,-56.3887333333,-59.6527333333,-55.625,-75.6943333333,-56.3887999999,-68.5416666667,-89.4444,-73.8193333334,-109.444466667,-97.3611999999,-64.5139333333,-50.063220202
208.77,-76.8181999999,-60.4546666667,-68.5606666667,-65.2271333333,-85.2270666666,-61.2120666666,-75.0757333333,-98.4848666667,-88.7879333334,-119.8486,-105.606133333,-73.4089999999,-58.7648686869
209.14,-89.7368,-70.3507999999,-76.9298666667,-80.9649999999,-100.877266667,-70.0000666667,-88.9475333333,-114.473666666,-98.5964666666,-135.964866667,-124.210666666,-88.5086666666,-74.7501878789
209.52,-90.1333333333,-70.2222666667,-74.6667333333,-83.5556666667,-100.977666667,-67.1111333333,-86.9332666665,-115.200133333,-96.8889333334,-133.6,-121.422266667,-89.9556000001,-77.4491151515
209.90,-63.5341999999,-44.9798,-49.9599333333,-63.1323333333,-70.8431999999,-43.0522666666,-58.8754666667,-86.1044666667,-71.4056666667,-98.5542666666,-88.6748,-62.4097333333,-50.1861979798
210.28,-52.7906,-32.9456666666,-38.1394666666,-48.0619333334,-56.6666,-28.1394,-49.2248666667,-71.7828666667,-59.9999333333,-82.3254666666,-77.2093333334,-49.8450666667,-38.7666424242
210.66,-56.2161333333,-33.0630666667,-42.0720666667,-51.8017333334,-65.5855333333,-27.7477333333,-52.6124666667,-81.8917999999,-62.4324,-89.6395999999,-88.5584666666,-56.0360666667,-46.2299010101
211.03,-63.0687333334,-35.5554,-45.2909333333,-59.5767333334,-73.016,-28.7831999999,-55.1324,-93.8625333333,-70.8996666667,-94.9206666667,-107.407466667,-65.9259333334,-55.905080808
211.41,-96.0283999999,-55.8865999999,-67.0921999999,-80.5673333334,-109.078,-40.2837333333,-81.1347333333,-131.205533333,-100.425666667,-125.248333333,-150.496466667,-94.7518666667,-84.1822161616
