wavelength,Back_PhrFruf,Belly_PhrFruf,Breast_PhrFruf,Crissum_PhrFruf,Crown_PhrFruf,DorTail_PhrFruf,Patch10_PhrFruf,Patch11_PhrFruf,Rump_PhrFruf,Throat_PhrFruf,WingTip_PhrFruf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,59.0476,43.8095333333,32.8572333333,31.2682319135,43.8094666667,23.8095000001,42.8572000001,-8.57146666666,50.3492266667,70.9524333333,40.9525666667
179.16,226.666666667,223.333333333,360.0,255.824881677,253.333333333,273.333333333,243.333333333,126.666666667,121.333333333,348.333333333,205.0
179.54,210.0,296.666666667,76.6666666667,269.012846518,173.333333333,283.333333333,263.333333333,180.0,263.333333333,260.0,225.0
179.93,93.3333333335,98.3333333334,77.5,48.6325219743,131.666666667,94.9999999999,35.0,65.0000000001,80.7777777779,77.5,78.3333333332
180.31,110.145,91.3044000001,84.7824666667,88.604957539,95.6522000001,88.1161333333,100.144933333,62.1740000001,75.2269866667,120.797133333,69.0579666667
180.69,103.111133333,78.6666666667,76.7408,76.4816593644,88.7407333334,83.8517333334,91.7037333334,52.5925999999,64.375231111,111.629766667,54.5186333333
181.07,101.6666,76.5151333333,76.3635333333,73.6328624071,88.3332666667,90.9091666668,86.6666666667,55.6061333333,56.5757244445,110.151566667,51.4395333333
181.45,92.1428666665,70.5951333333,65.8332666667,67.9480281271,83.9285333333,85.2380999999,79.9999333333,58.9284666667,59.2381377778,98.9287666667,51.1904666667
181.83,108.805066667,71.8238,88.6792666667,78.2018315754,101.5094,98.1130333333,101.257866667,70.6917333334,63.9327777778,116.918266667,56.7294666667
182.21,113.793133333,74.7126666667,95.7470333333,86.2462684247,102.873466667,106.7241,105.632333333,83.2183333333,70.4367777778,120.5749,60.0574
182.59,140.666666667,86.8333333332,121.416666667,96.3561528059,129.833333333,128.916666667,133.5,107.666666667,77.4,147.666666667,58.0
182.97,110.8888,78.5556666666,103.722233333,85.508274645,106.000066667,106.055633333,110.4444,98.7778666667,71.0666888889,118.3333,58.2222
183.35,102.666733333,72.2051333333,97.8462,81.3902666667,104.615333334,107.2305,105.640933333,90.3590000001,68.1093466667,110.102566667,58.3591
183.73,121.264266667,84.2528666667,111.666533333,94.9113761326,127.931266667,128.505766667,118.046,107.126333333,79.8313511112,128.448266667,67.0114666667
184.11,114.4446,80.5051333333,107.323166667,95.4205228533,122.7272,124.7476,103.838333333,104.242533333,76.3703333333,119.646433333,64.495
184.49,128.888933333,87.3333999999,124.8334,106.990104395,140.333333333,138.666833333,116.333266667,124.7778,85.0667377777,131.666733333,70.2223
184.87,126.197266667,91.4554,123.2395,110.251474037,134.272333334,131.925,112.394466667,124.788666667,86.5914533333,125.727733333,75.8685666666
