wavelength,Back_SpoIntm,Belly_SpoIntm,Breast_SpoIntm,Crissum_SpoIntm,Crown_SpoIntm,DorTail_SpoIntm,Rump_SpoIntm,Throat_SpoIntm,WingTip_SpoIntm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,7.14283333335,5.95233333333,13.0951666667,7.14274999998,32.1428333333,-42.8570833333,50.0000833333,71.4283333334,-16.66675
179.16,43.0555833333,52.7779166667,52.7776666667,27.77775,45.139,72.2221666666,34.7220833333,9.72233333335,67.361
179.54,26.5151666667,46.96975,5.30308333332,23.4849166666,25.7575833333,27.2726666667,50.7574999999,51.51525,-2.27274999999
179.93,-3.03033333333,-1.51541666666,3.78783333334,3.78791666667,-2.27266666665,30.303,-62.8787500001,-15.1516666666,28.7878333333
180.31,94.4445000001,70.0292499999,106.725,89.4736666668,79.6783333332,127.923916666,43.2749166666,48.9766666667,125.0
180.69,87.0370833332,67.4603333334,101.58725,86.9048333333,75.0,123.544833333,39.4180833333,46.8253333334,115.740833333
181.07,78.4093333334,64.29925,92.5190000001,79.2613333333,75.0945833334,101.894,46.5909166667,53.0304166666,95.1704166665
181.45,93.6937500001,73.5360000001,103.941416667,96.17125,89.18925,117.117166667,51.4639999999,67.0045833333,108.220833333
181.83,81.1355,70.2381666666,88.6445833334,85.8056666665,82.9669999999,104.2125,47.5275,67.4907499999,96.0623333335
182.21,97.549,83.0392500001,102.64725,102.156833333,98.8236666666,115.58825,63.7255000001,82.353,105.980416667
182.59,122.265666667,105.9895,117.838416667,127.604,120.18225,135.546666667,68.7500000001,95.8333333332,130.078
182.97,144.618,125.52075,146.52775,149.131916667,139.930583333,149.479166667,67.5348333334,109.89575,144.965333333
183.35,98.8094999999,88.3599166667,100.793666667,107.539583333,100.0,103.042333333,36.9047500001,76.5874166666,97.7514166667
183.73,94.4028333333,90.9203333334,96.8904166667,102.23875,99.8754999999,96.1444166668,40.0498333332,78.7312500001,97.6366666665
184.11,90.90925,86.8685833334,84.5959166666,94.8232500001,89.8989166667,85.6060833332,29.0403333334,73.1060833332,87.7524999999
184.49,104.798,98.8637499999,100.378833333,111.237333333,100.126333333,96.2122499999,43.4344166666,89.6464166666,93.4344999999
184.87,117.512083334,107.004833333,107.125583333,116.06275,110.024083333,99.7583333334,52.1739166666,98.1882499998,96.4976666667
185.25,115.740666667,103.125,100.463083333,113.1945,102.662083333,101.62025,46.9906666666,94.9073333333,88.5416666667
185.63,95.4385833332,88.0701666667,89.0350833334,96.3159166666,88.1578333331,87.6315833331,47.5437500001,80.26325,75.3509166667
186.01,101.228166667,89.4735,94.3857499999,100.965083333,90.8771666666,96.5789166666,55.7018333333,84.1226666665,71.4909999999
186.39,113.553166667,96.9780833334,103.571333333,108.608083333,97.1613333332,109.157583333,62.4543333333,93.3149166668,79.945
186.77,109.229333333,95.9678333332,101.792,107.974916667,94.8925000001,108.781416667,63.6201666666,93.7275000001,77.1505000001
187.15,101.897666667,91.7490833333,93.5644999999,104.12525,89.7689166667,110.89125,65.3466666668,91.4190833331,70.7920000001
187.53,119.20725,110.569,115.6505,122.764166667,108.028416667,136.687,77.9472499999,106.7075,79.6748333334
187.91,120.942916667,108.443,115.021833333,126.4255,111.951833333,144.517416667,75.9868333334,106.579083333,75.8769166667
188.29,122.49,114.156666667,121.485916667,133.534166667,121.887583334,148.8955,84.3374166668,110.3415,83.1325000002
188.67,112.276083333,107.078833333,109.229416667,119.265166667,109.767,136.4695,78.1361666668,100.000083333,78.2259166666
189.05,114.912333333,109.978,111.842166667,126.864166667,114.144833333,143.75,73.1358333333,102.9605,78.7280833335
189.43,122.853666667,118.308083333,115.909166667,138.257583333,118.055333333,145.9595,79.7979999999,109.469583333,83.0809166667
189.81,131.284083333,116.939833333,116.12025,141.803333333,121.038416667,144.80875,82.6503333334,109.699416667,83.0601666667
190.19,132.786833333,123.7705,117.34975,148.224083334,123.633833333,137.8415,81.4206666667,106.42075,83.0599999999
190.57,100.604,95.1689999999,89.6134999999,117.51225,100.483166667,104.4685,67.7536666668,83.9371666666,59.6618333333
190.95,89.8147499999,82.20175,76.3375000001,101.44025,89.1974166666,90.6378333334,56.3786666667,75.5144166667,49.4855833333
191.33,98.3120833332,87.7637500002,83.2277500001,110.7595,97.78475,92.4050000001,60.1266666667,78.4809166665,52.0040833334
191.71,96.8864999999,86.3553333334,79.3040833333,104.944833333,89.0111666668,85.4395833334,60.2564166666,81.502,51.7398333334
192.09,109.302333334,101.162833333,93.02325,118.023333333,102.325666667,92.2480000001,70.5427500001,97.5775833334,63.75975
192.47,141.666583334,128.27375,116.517916667,157.142833333,133.1845,109.523666667,85.5653333334,130.952416666,65.9225833333
192.85,161.111,144.444583333,132.843083333,184.96725,154.7385,122.05875,98.0391666666,152.287583333,78.4312500001
193.23,163.030416667,153.181833334,139.242416667,187.272833333,155.303083333,131.96975,110.000083333,155.605916667,81.6665833333
193.61,180.381916667,176.388916667,158.159666667,209.722333333,180.381916667,152.777666667,122.743,185.9375,89.2362499999
193.99,244.252833333,256.8965,215.517083334,305.459833334,251.724166666,211.781583333,152.0115,272.413666667,90.5173333333
194.37,238.782,251.602583334,193.269416667,292.94875,242.30775,184.615416667,132.05125,259.615333333,65.7051666666
194.75,416.025666667,448.076916666,332.051333333,550.0,423.076916667,285.897333333,185.256333333,455.76925,44.2309166667
195.13,-494.047666666,-571.428583333,-348.8095,-783.3335,-513.095166667,-228.571416667,-127.380916666,-566.666666667,207.143
195.51,-509.72225,-687.499916667,-362.500083334,-861.11125,-570.83325,-195.833333333,-194.444500001,-659.722166668,215.277833334
195.89,-38.1409999999,-86.5384166668,7.69241666675,-115.705083333,-73.0768333333,36.5383333332,19.2308333334,-84.6152500001,106.089666666
196.27,10.4165,-31.2499166667,71.8749999999,-63.1944166667,-10.764,84.3749999998,74.3055000001,-35.4167499999,185.416583334
196.65,12.1212499999,-67.4243333333,165.909,-137.121083333,-6.06049999998,195.4545,140.1515,-70.4545833332,403.03025
197.03,93.3333333333,49.0,157.666666667,22.6666666666,81.6666666666,174.0,133.0,50.3333333333,253.666666666
197.40,123.456833334,69.1358333333,186.111083334,50.3085833333,112.654333333,190.1235,142.592583333,70.6790000001,244.13575
197.78,116.388916667,62.2222500001,172.499916667,50.8332499999,106.666666667,189.444416667,138.333416667,72.7776666667,208.333333333
198.16,81.0416666667,49.7916666668,133.541666667,43.9583333334,84.1666666667,149.791666666,107.5,51.6666666666,152.5
198.54,74.4152500001,49.5614166667,104.8245,42.8362500001,73.538,116.5205,85.8187499999,41.228,117.690083333
198.92,66.5365833332,33.3335,91.01575,34.11475,61.7188333333,98.4377500001,76.1719166667,27.2136666666,97.2657499999
199.30,49.7395833333,11.06775,68.4898333333,20.44275,46.6146666666,80.0780833334,57.5520833333,10.4166666667,75.3907500002
199.68,52.30925,24.8995833334,63.1525,28.0120833333,48.8955,78.3134166668,60.8434166667,17.6705833334,72.69075
200.06,52.91,21.164,63.7566666667,16.93125,48.8095,88.6244166668,63.7566666667,9.65608333335,83.0688333333
200.44,63.7499166668,26.52775,73.7500000001,28.6111666666,55.27775,102.22225,65.0000833333,17.9166666667,93.0555833332
200.82,62.0725833333,33.6540833333,67.8419166667,36.9659166667,54.0599166667,91.0255833332,57.1581666667,26.1753333333,77.9915000001
201.19,60.0,31.5625,63.0208333334,35.625,52.9166666667,82.7083333333,51.1458333333,20.5208333333,74.6875
201.57,61.3924166666,36.287,62.8693333333,39.5568333333,53.3756666667,89.2404166667,55.3797500001,22.67925,77.0042500001
201.95,53.7545833333,32.6924166667,53.1135,39.652,47.3444166667,76.55675,48.0768333333,18.3150833333,69.0475833334
202.33,58.6700833333,37.1211666667,52.6935833333,42.84525,50.084,73.2323333333,48.5689166667,22.3064166667,72.6430833333
202.71,58.57375,41.02575,53.6858333333,48.0769166667,53.1249166667,76.5224166667,51.6825833333,23.4774166667,70.3525
203.09,67.0833333333,48.75,60.0,59.4166666667,62.6666666667,87.9166666666,57.5833333333,34.75,81.8333333333
203.47,69.57925,50.971,62.5405,62.1359166666,63.1069166667,91.8285833333,61.3268333333,35.5988333333,85.5178333332
203.85,76.6666666667,55.873,73.3333333333,73.65075,68.1745,97.2220833334,66.5873333334,45.8728333333,91.5872499999
204.22,68.889,50.3086666666,66.2346666667,68.6420833334,64.2593333333,85.61725,59.9999166667,47.1604166667,80.0617499999
204.60,60.2246666667,42.1395,57.3878333333,60.8156666667,56.9148333333,77.0095,53.36875,40.7801666667,71.0401666666
204.98,64.6144166667,39.3035,60.3234166667,62.6243333333,55.908,76.8656666667,56.219,39.6768333333,75.6841666667
205.36,67.57825,40.1693333333,60.3516666666,65.4299166667,59.4401666667,81.1849166667,56.7708333333,40.2994166667,78.711
205.74,70.2215,45.8041666667,65.50125,70.4545,62.9954166667,79.0210833333,60.5479166667,46.7949166667,81.17725
206.12,81.7633333334,59.2390833334,78.1401666667,82.3066666667,75.0604166667,91.4855,71.0145,59.6015,95.4105000001
206.50,81.6665833333,58.58025,78.0865,82.3455833333,76.6049166667,93.2715833332,69.4444166666,61.358,95.3085833333
206.87,79.6498333333,54.7705833334,74.5169166667,79.0459166667,76.0266666667,89.55325,64.4321666667,63.0433333333,94.6255833335
207.25,76.9569166667,50.56825,71.21225,76.5150833334,73.3585833333,84.8484166667,61.3004166667,60.3535833333,89.2044999999
207.63,87.6364999999,60.041,79.0981666667,87.9097499999,85.4506666667,93.3744166666,68.8525,68.4426666667,95.8335000001
208.01,89.1521666667,62.7155833333,77.8015833333,91.5947500002,89.1525,91.3793333333,72.8448333334,67.8879166667,96.1924166666
208.39,93.7120000001,68.2575833333,81.1364166667,97.27275,92.3485000001,92.5,78.1817500001,71.1364166666,97.3483333334
208.77,98.103,72.561,84.7560833334,96.8834166667,96.27375,93.4281666667,81.84275,70.59625,97.2221666667
209.14,110.54575,83.2595833335,96.9763333334,113.643083334,115.04425,109.070916667,93.2890833334,83.7019999999,108.038416667
209.52,104.239833334,77.8508333333,92.544,107.52925,109.137333333,101.973666667,89.8391666666,83.6987499999,102.046916667
209.90,95.5015833335,64.528,78.3185833334,94.9115833333,101.474916667,92.9941666668,79.4986666666,74.9261666667,89.6756666667
210.28,87.3736666667,60.164,70.8965833334,87.5629999999,94.0656666666,85.7323333333,73.2954166667,72.2853333333,78.788
210.66,96.2499166666,65.0694166667,76.3194166667,95.5555833335,101.180583333,92.7081666667,81.7360833333,76.7360833334,78.40275
211.03,107.698416667,70.9523333333,86.9047499999,108.333416666,114.841333333,100.158666667,91.66675,84.2063333331,84.84125
