wavelength,Back_DonAlbm,Belly_DonAlbm,Breast_DonAlbm,Crissum_DonAlbm,Crown_DonAlbm,DorTail_DonAlbm,Patch10_DonAlbm,Patch11_DonAlbm,Patch12_DonAlbm,Rump_DonAlbm,Throat_DonAlbm,WingTip_DonAlbm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,119.555555556,164.0,104.586666667,5.33333333334,125.333333333,76.6666666666,100.0,106.666666667,62.6666666667,61.3333333333,96.0000000001,80.0
179.16,95.0168814815,106.060533334,88.1454,75.1515999999,90.9089333332,92.7273666667,107.954625,106.666666666,106.6666,99.3939666667,120.303,94.2425000001
179.54,39.9074074074,91.6666666667,88.5999999999,13.3333333333,18.3333333333,22.5,-60.4166666667,58.3333333334,73.3333333333,44.1666666666,49.1666666667,41.6666666667
179.93,32.8619962963,63.0302,25.6485333333,-7.87873333333,13.9394,13.6362,9.091,21.8180666667,-3.63633333327,22.7273333333,35.1515333333,26.0605333333
180.31,54.3224925926,89.8486,43.1363653333,13.2577333333,39.6213333333,45.2651,38.2577083333,46.0606666667,34.8486,21.3636666667,60.4923333333,51.3258
180.69,49.1249259259,88.0586666667,39.7391306667,4.54226666667,30.7693333334,39.2307666667,34.020125,38.5348666667,25.0549333333,11.7218,54.6885333333,42.1978
181.07,41.6647851852,80.6593333333,31.9649893333,-1.02559999999,24.4688,35.238,26.0531666667,27.7657333333,18.3883333333,6.70330000002,48.6447333333,37.2893
181.45,29.5348,73.4959333333,19.3495786667,-16.8292,8.29266666667,20.6503666667,8.48579166666,9.187,-0.894400000014,-14.7155,34.6748333333,24.6341666667
181.83,43.125,88.1666666667,27.5833333333,-7.91666666668,20.4166666667,34.4166666667,28.4895833334,21.4166666667,11.0,-4.37499999998,49.9166666667,39.375
182.21,48.8395444444,90.5926666667,34.0059493333,8.66679999999,30.3704,42.3333333333,40.60175,30.2222,24.5925333333,5.88893333333,52.7777333333,52.5555666667
182.59,52.3074074074,86.7333333334,40.56,16.3333333334,38.6666666667,44.6333333333,38.5833333333,32.4666666667,27.0,13.3666666667,54.6666666667,51.6333333333
182.97,55.1776962963,83.9731333333,42.3111973333,16.1617333333,43.2996666667,46.1279,39.2676666667,31.3131333333,28.2828666667,13.0975333333,57.1044,51.3467666667
183.35,47.9552814815,77.143,36.1306986667,12.925,41.5646,37.143,37.96775,23.8095333333,24.9658666667,9.65979999999,52.6870666667,49.1498333333
183.73,48.2416666667,78.035,32.463152,12.5614666667,38.5966,36.1754333333,36.5351666667,22.5263333333,22.9473333333,10.4211,49.6491666667,57.193
184.11,49.5297259259,76.0302,33.4532986667,8.76379999999,39.5506,33.1084666667,37.7809166667,18.8015333333,19.7752666667,14.7566666667,48.5019666667,58.0526
184.49,51.8236222222,69.2029333333,37.8260613333,15.1449333333,41.5942666667,29.4201666667,45.83325,22.1014,24.5651333333,17.7175,46.5580666667,60.2898666666
184.87,54.8288925926,65.1426666667,39.352352,21.3333333333,47.7461333333,31.6824666667,43.4919583333,29.5872666667,31.4288,23.9046333333,48.9207666667,65.0474999999
185.25,51.1288888889,60.5333333333,38.5493333333,20.8533333333,43.04,29.4133333333,43.2666666667,29.92,34.4,24.32,47.2,60.7200000001
185.63,48.3164185185,56.8764666667,39.3193546667,20.5128666667,43.1702,28.6479333333,43.3857083334,30.6294,36.69,27.0397,46.5501,56.0607
186.01,34.2519740741,43.2456666667,27.8755546666,8.50893333334,30.9648666667,16.9518,28.83775,17.7192,23.9472666667,15.0219,32.1928666667,42.9605666667
186.39,25.0977740741,32.7314666667,18.8220453333,-2.82406666666,23.8426,5.4631,17.79525,6.99086666669,16.0184666667,5.48616666666,23.1251333333,31.2037333333
186.77,12.3840851852,20.5602,5.32657333333,-17.703,12.213,-10.8402,2.59104166666,-7.05879999999,3.47333333333,-12.1288666667,8.87963333332,19.6080666667
187.15,9.18639629627,17.9235333333,3.15844533335,-16.7758666667,9.34433333332,-15.2732,-2.69799999999,-6.17486666669,2.18580000001,-14.0983333333,6.28406666666,15.7923
187.53,11.1235148148,18.2633333333,3.33668000001,-12.1569333333,9.63586666667,-14.0336,-1.43562499999,-3.92159999999,5.88226666667,-10.4762,9.27156666668,16.7228333333
187.91,13.8131074074,23.7101333333,7.88395466668,-6.66653333332,16.4057333333,-10.2897333333,3.29704166668,0.69566666668,13.5652,-6.37669999999,12.8114666667,17.5072666667
188.29,7.1190074074,19.3509333333,4.01635999999,-12.3304666667,12.3892666667,-12.2124666667,-0.110375000008,-4.30666666667,8.1416,-12.3894333333,9.58693333334,12.0353666667
