wavelength,Back_PieCinm,Belly_PieCinm,Breast_PieCinm,Crissum_PieCinm,Crown_PieCinm,DorTail_PieCinm,Patch10_PieCinm,Rump_PieCinm,Throat_PieCinm,WingTip_PieCinm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,26.8518333333,28.7036666667,13.8889166667,-2.77758333333,37.037,22.222,29.62975,16.66675,31.4815,41.6666666666
179.16,-294.4445,-202.777833334,-288.888833333,-408.333333333,-213.888916666,-286.111166666,-405.5555,-255.5555,-280.555583333,-194.444333333
179.54,408.333333333,370.833333333,408.333333333,391.666666667,312.5,341.666666667,408.333333333,327.083333334,310.416666667,304.166666666
179.93,247.916666667,335.416666666,268.75,308.333333333,237.5,220.833333333,300.0,279.166666667,279.166666667,264.583333333
180.31,-158.620666667,-137.356333333,-198.563166667,-235.057416667,-125.862,-130.172333333,-158.045916667,-162.643583333,-121.551666667,-131.609333333
180.69,-157.070583333,-132.070833333,-197.474833333,-237.37375,-130.5555,-135.605916667,-154.798083333,-166.161583333,-120.707,-130.808083333
181.07,-324.166666667,-275.0,-382.916666667,-443.333333333,-276.25,-286.666666667,-314.583333333,-337.5,-272.5,-283.75
181.45,-487.1795,-453.205,-599.359,-667.948666667,-439.1025,-458.33325,-461.538583334,-528.205083333,-408.333333333,-471.794833333
181.83,-596.296416667,-594.444500001,-764.814916666,-873.14825,-577.777750001,-566.666666667,-537.962916666,-699.074083333,-514.81475,-586.111000001
182.21,7.05819827964e+15,6.72767842062e+15,9.26521798338e+15,1.00755247345e+16,6.91959317747e+15,7.05819827963e+15,6.22656766664e+15,8.48689702506e+15,6.2478915285e+15,6.95157897027e+15
182.59,1155.0,1048.33333333,1488.33333333,1656.66666667,1085.0,1261.66666667,1063.33333333,1391.66666667,1120.0,1161.66666667
182.97,305.303,302.651583334,384.090833333,418.18175,287.5,319.696833333,280.68175,360.22725,285.606083333,306.43925
183.35,252.58625,257.758583333,313.793,335.0575,247.41375,268.965416667,248.563166666,295.689583333,243.965666667,256.60925
183.73,209.76175,204.523916667,251.428666667,270.238083333,198.333333333,222.380916667,216.6665,242.14275,193.809666667,203.095166667
184.11,184.95375,184.490583334,221.296416667,239.583333333,171.528,194.444333333,202.314916667,224.768583333,177.083333333,187.5
184.49,138.020916667,141.840416667,171.35425,169.097333333,129.861,147.743083333,157.986166667,164.583333333,138.020916667,144.4445
184.87,103.835916667,111.375666666,133.465583334,122.486916667,100.264583333,113.09525,126.190666667,126.322666667,109.9205,113.756583333
185.25,79.8523333334,90.5062500001,104.219416667,93.6709166667,79.1139166666,84.0715833333,99.0505,97.3628333333,84.1772500001,89.8733333333
185.63,75.5274166666,83.5443333334,93.7764166666,83.3333333334,72.5739166667,71.0970833333,90.0843333334,91.2448333335,79.6413333333,81.32925
186.01,81.7164166667,87.3134166668,101.36825,89.0547500001,76.7411666668,82.96025,102.363166667,102.736333333,86.8158333333,94.5274166667
186.39,74.8014166666,78.9682499999,95.0395833333,84.72225,63.889,69.0475833333,108.134916667,97.8174999999,75.1983333333,87.8967500001
