wavelength,Back_TiaObsm,Belly_TiaObsm,Breast_TiaObsm,Crissum_TiaObsm,Crown_TiaObsm,DorTail_TiaObsm,Rump_TiaObsm,Throat_TiaObsm,WingTip_TiaObsm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,113.888916667,86.1110833334,111.111083333,58.3333333332,72.2219999999,186.111083334,113.888916667,135.555633333,-11.1111666666
179.16,-87.4999999998,-4.16666666667,-20.8333333333,-37.5,66.6666666668,-79.1666666665,-45.8333333333,-175.833333333,-45.8333333335
179.54,97.9166666667,50.0,133.333333333,125.0,70.8333333335,135.416666667,41.6666666668,187.083333333,56.25
179.93,-130.303,86.36375,-88.6365833333,-15.9090833334,139.394083333,-131.060583333,-31.0605833334,-119.393983333,125.000083333
180.31,-165.1515,79.5453333332,-102.272916667,-46.2121666666,132.575666667,-146.969666667,-49.2423333333,-142.57585,111.363583333
180.69,-168.0555,84.7223333332,-77.7777500001,-29.8611666666,152.77775,-96.5279166666,3.47225,-99.4443166666,95.8334166666
181.07,-1750.0,1475.0,-724.999999999,-33.3333333325,2183.33333333,-941.666666668,499.999999998,-596.666666667,1500.0
181.45,358.33325,-205.5555,155.555583333,59.7223333332,-383.333333333,191.666583334,8.33333333342,141.11105,-194.4445
181.83,105.5555,-63.4259166668,31.0185,6.01849999992,-132.407333333,39.3519999998,-4.16658333333,62.3148000001,-58.3334166668
182.21,81.5216666668,-62.6811666666,12.6811666667,-13.7681666666,-102.536333333,24.6378333333,-31.88425,42.8986166667,-48.9130833334
182.59,61.25,-28.3333333334,21.6666666667,10.625,-35.8333333333,27.2916666667,-3.33333333334,35.4583333333,-8.54166666665
182.97,57.5759166667,-6.96975,27.8788333333,23.6363333333,-15.7576666666,28.7879166666,9.54558333333,47.5152666667,8.48508333333
183.35,53.7179166667,0.897499999993,34.359,31.2820833333,-4.61541666665,33.97425,15.8974166667,48.1281833334,17.1795
183.73,32.8948333334,-23.9766666667,19.0056666667,10.38,-27.6316666666,21.3450000001,-2.19300000002,34.5907833334,-1.31575000001
184.11,15.8164166667,-47.9591666667,2.04066666667,-2.21091666665,-48.29925,14.1156666666,-14.45575,30.5103833333,-23.1293333333
184.49,11.9659166667,-66.0256666666,-11.5385833333,-5.55558333332,-66.2394166667,9.61533333327,-23.2905000001,28.5897499999,-43.3760000001
184.87,3.10075,-62.5969166667,-18.9924166667,-18.99225,-54.6510833333,-2.90683333333,-33.721,9.03093333333,-45.93025
185.25,1.70066666665,-58.3333333333,-17.5169166667,-9.18358333333,-48.9795833333,-0.850416666675,-32.8230833333,9.14961666669,-39.6259166666
185.63,-10.9259166667,-72.7776666667,-37.4074166667,-11.66675,-63.7036666667,-8.14808333333,-42.9629166666,2.85183333324,-53.7037499999
186.01,-8.33324999999,-68.6595833333,-40.03625,-5.97816666668,-57.971,-0.724666666675,-38.5870833333,11.5942833333,-44.9275833334
186.39,-14.693,-89.91225,-61.6229166667,-21.2720833333,-69.73675,4.38599999999,-53.5087500001,-10.5702333333,-62.5000833333
186.77,-28.2050833334,-141.346166667,-108.65375,-48.0770000001,-112.499916667,3.52558333333,-77.5640000002,-24.1666333333,-110.576833334
187.15,4.375,-70.2083333334,-49.5833333333,-1.875,-53.75,20.8333333333,-30.2083333333,11.7083333333,-56.8750000001
187.53,9.41366666665,-46.605,-18.67275,10.9568333333,-29.9383333333,20.37025,-10.9569166667,19.1664,-25.3085833333
187.91,25.74775,-11.96575,13.7820833333,25.8545833333,-1.60258333333,31.4101666666,13.782,35.6412,6.73075
188.29,13.6363333333,-30.3031666667,1.13633333333,20.202,-21.5909166667,23.4848333333,3.15658333335,32.9545833334,-10.8585833333
188.67,-4.42175,-58.33325,-13.4351666667,4.7620000001,-51.5305833333,9.35366666666,-12.415,20.8504999999,-42.8570833333
189.05,-0.303166666675,-44.9999166667,3.03024999999,5.30308333335,-42.72725,13.7879166667,-2.12133333335,22.48495,-36.0606666667
189.43,-7.54716666665,-45.1258333333,8.49066666668,1.25775,-53.3020833333,6.60383333335,-5.03141666667,18.9623333333,-45.7549166666
189.81,-15.3595,-48.3660833333,-8.33333574997e-05,-4.73858333332,-66.1764999999,-7.67983333333,-11.4378333333,20.9803833333,-48.6928333334
190.19,-18.9716666667,-47.5176666667,-3.90075000001,-4.78716666665,-69.8582499999,-15.0709166667,-17.3758333333,25.78025,-50.5320000001
190.57,-4.00649999999,-30.7691666667,-0.160416666675,0.32033333335,-59.4551666667,-2.08333333332,-11.37825,33.7178166667,-36.53825
190.95,3.72325000001,-29.6100833334,-12.234,-9.39716666665,-76.4184166667,-8.68808333335,-19.5035,28.6878666667,-54.2553333333
191.33,-21.7593333333,-69.9075000001,-52.7779166666,-39.81475,-129.166666667,-37.0371666666,-63.6574166667,6.4814000001,-110.185166667
