wavelength,Back_HemPium,Belly_HemPium,Breast_HemPium,Crissum_HemPium,Crown_HemPium,DorTail_HemPium,Patch10_HemPium,Rump_HemPium,Throat_HemPium,WingTip_HemPium
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-54.6296666667,-33.3332222222,-18.5184444444,-21.2963333333,-69.4445555554,-37.0368888889,-16.6668888889,-11.5742777778,-56.4814444445,-27.7776666667
179.16,-118.888888889,-97.7777777777,-45.5555555555,-75.5555555555,-62.2222222222,-92.2222222222,-53.3333333333,-56.6666666666,-103.333333333,-86.6666666666
179.54,-419.444444445,-383.333333333,-319.444444444,-325.0,-402.777777778,-286.111111111,-250.0,-258.333333333,-380.555555555,-291.666666667
179.93,-177.777666667,-138.095222222,-146.031777778,-198.412444444,-112.698333333,-139.682555556,-109.523777778,-83.3332777779,-171.428444444,-165.079555555
180.31,-136.265444444,-109.876666667,-91.9753333334,-120.679111111,-108.487666667,-99.3826666667,-83.7963333333,-67.6698888889,-125.154222222,-117.284111111
180.69,-139.851777778,-111.259222222,-99.9999999999,-126.815,-113.185222222,-103.555666667,-91.1112222222,-72.9630000001,-131.555555555,-120.740777778
181.07,-144.600777778,-124.100222222,-113.302111111,-138.654111111,-118.622888889,-108.763777778,-101.721555556,-80.7509999999,-138.654,-130.829333333
181.45,-166.060444445,-144.040444445,-151.919,-179.192,-142.222222222,-125.252444445,-117.979777778,-94.7474444443,-166.666666667,-152.525333333
181.83,-148.484888889,-125.858444445,-145.454666667,-170.505,-125.252555556,-108.282777778,-110.505222222,-83.4344444446,-149.495111111,-140.202
182.21,-124.521111111,-93.4864444446,-116.475111111,-140.038333333,-98.0843333335,-79.1187777779,-86.5901111111,-63.4101666666,-115.517222222,-107.279555556
182.59,-117.348888889,-92.5923333332,-114.424888889,-129.044666667,-89.2787777779,-74.074,-82.846111111,-59.6489444444,-103.703666667,-94.931777778
182.97,-168.518444444,-141.005222222,-177.248888889,-172.222111111,-150.529,-116.402111111,-120.370333333,-86.507888889,-144.973555556,-126.190333333
183.35,-364.646555556,-331.818444444,-383.838333334,-376.767777778,-338.383888889,-264.646444444,-276.767777778,-227.777777778,-343.434222222,-257.575555556
