wavelength,Back_HemPium,Belly_HemPium,Breast_HemPium,Crissum_HemPium,Crown_HemPium,DorTail_HemPium,Patch10_HemPium,Rump_HemPium,Throat_HemPium,WingTip_HemPium
183.73,-234.866,-202.298666667,-263.984777778,-256.705,-227.203111111,-170.881222222,-146.743555555,-125.095944444,-219.540333333,-126.053888889
184.11,-486.666666667,-420.000111111,-537.036888889,-554.814888889,-489.629555556,-360.740666666,-313.333444444,-276.296222222,-451.111111111,-259.259333333
184.49,-490.476111111,-437.301666667,-563.492333333,-569.841222222,-530.15888889,-357.142888889,-327.777666667,-295.238055556,-475.396888889,-241.269888889
184.87,-409.722222222,-343.75,-465.972222222,-454.166666666,-441.666666666,-296.527777778,-258.333333333,-238.541666667,-381.25,-170.833333333
185.25,1033.33333333,690.277777779,1080.55555556,1047.22222222,1015.27777778,736.111111111,672.222222223,627.777777778,858.333333333,438.888888889
185.63,8855.55555555,5733.33333333,8355.55555555,8022.22222223,8555.55555556,6111.11111111,6222.22222221,5727.77777778,6933.33333333,3677.77777778
186.01,-3070.37022222,-1951.85188889,-2896.29611111,-2737.03722222,-2751.852,-2225.92588889,-2007.40744444,-1920.37027778,-2407.40722222,-1248.14811111
186.39,417.284222222,327.572,441.975333333,384.362333333,410.287777778,350.617444444,309.053555556,322.428,372.839555556,221.399222222
186.77,530.434777778,386.956666666,516.425111111,484.057888889,505.797222222,433.333333333,384.541,395.893722222,455.072333333,272.463777778
187.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
187.53,-1074.44444445,-678.88888889,-1062.22222222,-964.444444443,-998.88888889,-830.0,-718.888888889,-768.333333335,-834.444444444,-480.0
187.91,6072.22222222,3794.44444445,5822.22222222,5077.77777778,5311.11111111,4588.88888889,4166.66666667,4558.33333334,4483.33333333,2727.77777778
188.29,1073.14833333,687.963111111,1062.963,924.074000001,926.851888889,791.666666666,731.481555556,825.463055556,788.888888889,499.074111111
188.67,-13422.2222222,-8566.66666668,-13177.7777778,-11355.5555556,-11377.7777778,-9333.33333334,-9055.55555556,-9955.55555554,-9422.22222223,-6533.33333333
189.05,1801.38888889,1198.61111111,1740.27777778,1590.27777778,1523.61111111,1177.77777778,1190.27777778,1334.72222222,1231.94444444,877.777777779
189.43,-814.583333333,-563.888888889,-804.166666667,-725.694444445,-649.305555555,-487.5,-501.388888889,-607.986111111,-552.777777778,-338.194444445
189.81,-479.111111111,-343.555555556,-498.666666667,-425.333333333,-380.888888889,-275.111111111,-288.444444445,-345.333333334,-316.888888889,-182.222222222
190.19,-826.190444444,-611.111,-848.412777779,-722.222222222,-696.031888889,-483.333333333,-492.063555556,-633.333388889,-522.222333333,-290.476111111
190.57,-415.637777778,-288.065777778,-403.703777778,-385.596777778,-355.967111111,-220.987666667,-245.267444444,-302.469166667,-232.098555556,-139.094777778
190.95,-357.471333333,-242.528666667,-370.115111111,-334.099666666,-305.747222222,-176.245111111,-207.279666667,-251.915555555,-186.973111111,-95.7854444443
191.33,-350.574666667,-234.482888889,-370.881333333,-314.559333333,-282.375555555,-146.743222222,-201.149555556,-237.930888889,-173.180111111,-85.0574444444
191.71,-452.777666667,-324.537111111,-487.037111111,-411.574,-366.203666667,-215.277777778,-274.074111111,-314.814611111,-224.537,-128.240777778
192.09,-349.794222222,-258.024555556,-403.703555556,-352.263555556,-286.008111111,-146.090555556,-204.938333333,-234.362111111,-160.082333333,-97.5307777777
192.47,-161.352777778,-103.381444444,-189.855111111,-151.932222222,-121.980555555,-49.7584444444,-80.6762222222,-98.9129999999,-48.0677777778,-16.9081111111
192.85,-379.532,-257.309888889,-462.573222222,-387.134444444,-309.356777778,-149.707666667,-199.415222222,-259.941555556,-130.409333333,-57.8946666663
193.23,-583.333333333,-412.963,-755.555555556,-628.703666667,-492.592666667,-281.481444444,-327.777888889,-422.2225,-242.592555556,-127.777777778
193.61,-7088.88888889,-5388.8888889,-9544.44444446,-8188.88888888,-6688.88888889,-4122.22222222,-4244.44444444,-5272.22222222,-3044.44444444,-2066.66666667
193.99,-2614.81488889,-1925.92588889,-3418.51844444,-3088.88888889,-2537.037,-1600.0,-1566.66655555,-1987.03688889,-1151.85188889,-881.481555553
194.37,-474.074111111,-305.185111111,-649.629777778,-587.407444445,-427.407444444,-248.148111111,-291.852,-334.074277778,-200.740777778,-119.999888889
194.75,-218.055555556,-100.925777778,-324.537,-259.722333333,-166.666777778,-73.1481111111,-94.9075555553,-122.685222222,-49.537111111,-0.000111111100001
195.13,-234.503,-97.0760000001,-391.227888889,-312.865555556,-197.075888889,-71.9298888887,-112.280666667,-154.970833333,-65.4969999999,-3.50866666677
195.51,-226.900666666,-92.3974444443,-380.116888889,-338.596444445,-225.730888889,-82.4562222223,-138.011777778,-198.538055556,-79.532222222,-23.9765555556
195.89,-336.752333333,-146.153888889,-557.265,-490.598333333,-325.640888889,-111.965888889,-245.299111111,-304.700888889,-140.170888889,-61.5384444443
196.27,-263.580222222,-123.456777778,-419.753,-359.259111111,-264.814888889,-106.79,-216.049222222,-259.567777778,-120.987555556,-56.7901111113
196.65,-1519.44444444,-819.444444443,-2297.22222222,-2069.44444445,-1588.88888889,-780.555555557,-1305.55555555,-1527.77777778,-950.000000001,-577.777777778
197.03,-225.793777778,-112.698444444,-327.777777778,-281.746111111,-216.666666667,-102.381,-186.508,-224.404833333,-125.397111111,-73.8094444444
197.40,-105.555444445,-47.3178888889,-153.065222222,-127.011555556,-98.0844444444,-40.0385555555,-83.9082222223,-103.352555555,-46.9346666667,-34.0997777778
197.78,-84.38,-35.5877777778,-118.196444444,-97.9065555554,-78.5828888889,-31.562,-67.7937777777,-77.9388333333,-37.198,-30.9178888889
198.16,-102.508888889,-47.8494444444,-131.899666667,-112.903222222,-86.9174444443,-39.7848888889,-79.5697777778,-95.7886111111,-52.1505555556,-45.8782222222
198.54,-170.444444445,-108.0,-201.111111111,-169.555555556,-153.333333333,-87.3333333333,-146.888888889,-162.0,-104.444444445,-104.666666667
198.92,-240.171,-180.341888889,-289.458666667,-236.467333333,-222.792,-137.037111111,-219.088222222,-236.182277778,-161.538555556,-158.404444444
199.30,-231.436222222,-177.506777778,-278.590777778,-216.26,-203.251888889,-134.146222222,-204.607222222,-221.544666666,-141.734444444,-152.303444445
199.68,-191.435333333,-135.879555556,-228.009111111,-163.194333333,-146.296222222,-98.8426666664,-155.092555556,-174.768444444,-108.333222222,-113.888888889
200.06,-158.674555556,-105.458111111,-188.109222222,-131.578888889,-106.627666667,-78.7524444444,-120.273,-139.571277778,-80.8966666668,-92.3976666668
200.44,-165.656555556,-108.282777778,-189.697111111,-125.050555556,-100.202,-81.0102222222,-123.434333333,-146.262722222,-87.8786666667,-103.232333333
200.82,-168.774111111,-113.793,-186.015333333,-117.049777778,-97.8925555557,-85.8238888889,-135.249111111,-149.042166667,-83.1417777777,-112.835222222
201.19,-164.814888889,-109.074,-183.888888889,-119.629333334,-95.1852222223,-86.8518888889,-136.481555555,-149.629777778,-86.6665555556,-113.333333333
201.57,-153.107444444,-98.1166666667,-166.478333333,-99.4351111112,-80.4143333334,-75.1412222222,-131.073555556,-136.911555556,-71.1864444446,-99.4349999999
201.95,-197.505666667,-134.466888889,-229.025,-130.158666667,-109.750666667,-95.6916666668,-180.045333333,-186.167777778,-97.5058888891,-130.839
202.33,-436.444444444,-313.777777778,-506.222222222,-308.444444444,-273.777777778,-249.333333333,-432.0,-435.111111111,-246.666666667,-316.888888889
202.71,-327.777777778,-232.291666667,-394.444444445,-236.805555555,-202.777777778,-184.375,-327.777777778,-325.520833334,-164.583333334,-234.027777778
203.09,-310.158666667,-218.730333333,-370.158777778,-243.174666667,-201.269888889,-179.047444444,-315.555555555,-315.555444444,-175.873111111,-224.444555556
203.47,-462.820555556,-335.47,-545.726333333,-370.940222222,-305.982888889,-288.034111111,-453.418777778,-455.5555,-282.478666667,-333.760666667
203.85,-805.92588889,-606.666777778,-975.555444443,-677.777777778,-592.592555556,-541.481444444,-843.703777779,-805.925944444,-525.185111111,-617.777777778
204.22,-1370.37033333,-1070.37033333,-1648.14811111,-1192.59277778,-1125.926,-975.308666664,-1486.41988889,-1441.358,-983.950555556,-1116.04933333
204.60,6466.66666667,5033.33333333,7622.22222222,5705.55555556,5700.0,4627.77777778,7177.77777778,6922.22222222,4905.55555556,5261.11111111
204.98,3052.77777778,2447.22222222,3638.88888889,2633.33333333,2680.55555555,2130.55555556,3472.22222222,3370.83333334,2447.22222222,2497.22222222
205.36,2213.33333333,1795.55555556,2644.44444445,1762.22222222,1895.55555555,1473.33333333,2577.77777778,2473.33333333,1771.11111111,1753.33333333
205.74,1168.88888889,1007.77777778,1424.44444444,966.666666667,1058.88888889,817.777777777,1372.22222222,1356.66666667,1028.88888889,934.444444445
206.12,-1544.44444445,-1277.77755556,-1771.42844444,-1287.30144444,-1395.23811111,-1028.57133333,-1817.46033333,-1773.80961111,-1334.92055555,-1234.92077778
206.50,-291.919333333,-235.016777778,-337.373555556,-231.986555556,-259.932777778,-184.175,-343.097777778,-336.700555556,-255.892333333,-234.680222222
206.87,-251.746,-198.730222222,-274.920777778,-187.301666667,-219.999888889,-150.793666667,-298.095333333,-308.888888889,-225.714222222,-206.031777778
207.25,-177.777777778,-137.472444444,-178.431333333,-121.132888889,-153.594777778,-110.022,-211.328888889,-213.834333333,-159.259222222,-154.030333333
207.63,-135.016888889,-102.693777778,-126.262777778,-87.0368888889,-124.747333333,-85.3535555554,-174.579111111,-170.959666667,-123.400777778,-123.400777778
208.01,-122.814888889,-95.2593333332,-103.703666667,-72.1478888889,-110.370444445,-76.2963333332,-154.666666667,-155.4075,-108.592666667,-107.703777778
208.39,-124.925111111,-101.051,-107.507555556,-79.2793333336,-117.867888889,-77.7776666668,-163.963888889,-165.315277778,-112.312333334,-116.516555556
208.77,-108.785555556,-95.2196666667,-95.349,-69.2507777777,-97.8037777779,-68.4755555555,-139.534777778,-142.571,-94.185888889,-108.527
209.14,-107.446777778,-96.572111111,-92.5532222221,-78.1325555553,-100.945666667,-71.5132222222,-132.032888889,-132.210444444,-94.4444444443,-109.219888889
209.52,-147.186,-130.591666667,-121.500777778,-114.718666667,-139.105222222,-97.1141111109,-170.707111111,-175.541055556,-132.467555556,-154.256888889
209.90,-174.916,-150.336888889,-147.306555556,-138.215444445,-160.606111111,-112.963,-199.831777778,-202.188611111,-160.101111111,-192.087444444
210.28,-185.792444444,-160.473777778,-161.384333333,-141.894444444,-162.477111111,-121.857888889,-209.289555556,-221.220555555,-167.941777778,-202.914333333
210.66,-333.618333334,-299.145333333,-289.174,-252.991444444,-288.888888889,-233.618333333,-361.253666667,-380.341833333,-299.145222222,-352.421666667
211.03,-264.251333333,-241.787555556,-229.468555556,-198.792333333,-229.468666667,-187.681222222,-281.401,-301.087,-239.613555556,-279.468555556
211.41,-247.916777778,-228.472111111,-223.379555555,-182.407444444,-214.120444444,-171.759333333,-265.509222222,-289.467555556,-214.814888889,-253.240666667
211.79,-165.104444444,-159.201444445,-156.423666667,-125.694555556,-142.361222222,-107.638888889,-175.521,-201.996555555,-143.229333333,-175.347333333
212.17,-187.301555556,-188.293555555,-190.674555556,-149.404777778,-163.888777778,-126.984111111,-207.738111111,-231.746055555,-168.254,-210.714444444
212.55,-218.300666667,-220.479333333,-218.736444445,-159.912777778,-174.291888889,-153.812666667,-229.629555555,-254.792944444,-189.978333333,-239.215777778
212.92,-237.868444444,-227.664555556,-225.623666667,-170.975,-182.993333333,-165.759666667,-247.165555556,-258.8435,-198.865888889,-243.083888889
213.30,-173.952666667,-167.577555556,-162.295111111,-118.397111111,-121.493666667,-112.568333334,-186.703,-191.712111111,-138.069222222,-178.142111111
213.68,-90.4094444444,-90.0583333332,-87.8364444443,-59.4151111111,-59.1813333333,-57.544,-104.678444444,-106.549833333,-70.1753333333,-95.6724444444
214.06,-82.0514444443,-82.264888889,-73.3976666668,-50.3205555556,-52.4571111111,-53.0983333333,-94.4444444445,-100.534111111,-58.8676666667,-85.4701111111
214.44,-89.7691111111,-86.9086666667,-73.5971111112,-49.2848888889,-61.2763333333,-59.5158888889,-100.88,-105.280388889,-65.8966666666,-91.4192222221
214.81,-66.3023333333,-55.5556666667,-47.8142222222,-31.6941111111,-40.5281111111,-36.339,-72.0401111111,-76.2752222222,-41.9854444444,-61.9306666667
215.19,-74.2296666665,-58.17,-57.8898888889,-39.8694444444,-50.887,-45.6581111111,-83.1,-84.6871666667,-50.5134444444,-73.2961111111
215.57,-77.6758888889,-61.9775555556,-60.2447777778,-44.0366666667,-53.2111111111,-50.8665555556,-87.0542222223,-88.939888889,-55.0457777778,-83.1805555556
215.95,-93.0705555557,-78.0167777778,-75.1492222222,-55.7946666667,-61.2904444445,-64.3966666667,-103.464888889,-106.511333333,-69.8925555555,-100.477777778
216.32,-93.5374444444,-76.4173333333,-77.0974444445,-59.6371111111,-65.4196666667,-65.4195555554,-99.0929999999,-106.009111111,-72.6757777778,-98.5261111111
216.70,-83.3862222224,-63.9155555556,-66.3492222222,-53.4392222222,-61.5873333333,-59.365,-91.4286666665,-96.2962777778,-66.8783333333,-85.2908888889
217.08,-73.8737777779,-56.7565555555,-58.5585555556,-47.7476666667,-58.4584444444,-51.2512222222,-83.283111111,-88.1381111111,-58.4584444444,-77.1771111111
217.46,-69.9285555556,-48.828,-52.9053333333,-40.9785555556,-59.2253333333,-49.1335555555,-78.8991111112,-87.8695555556,-56.473,-73.2925555555
217.83,-96.2962222222,-69.772888889,-72.282,-61.1708888889,-83.1542222223,-76.105111111,-105.854111111,-114.814666667,-79.4504444444,-102.27
218.21,-95.5314444444,-73.7923333334,-72.343,-62.0773333333,-88.6474444445,-80.6762222223,-106.038666667,-111.352611111,-83.4542222222,-103.623222222
218.59,-94.8626666668,-74.790888889,-76.4637777778,-70.7286666667,-90.3225555557,-83.3932222223,-107.765666667,-115.949777778,-83.1542222223,-106.332111111
218.97,-92.4648888889,-84.802111111,-84.8019999999,-79.3103333333,-102.171111111,-91.443111111,-116.475111111,-121.072888889,-87.7394444443,-120.051
219.34,-104.861111111,-100.416666667,-92.6388888888,-91.3888888889,-107.083333333,-92.5000000001,-128.611111111,-126.597222222,-99.7222222224,-131.666666666
219.72,-132.864,-128.481888889,-121.126888889,-122.848222222,-139.593111111,-123.317555556,-161.345777778,-158.763777778,-127.699333333,-164.162888889
220.10,-168.783111111,-154.144444444,-135.626,-152.733666667,-176.896,-153.262888889,-195.767111111,-193.209888889,-154.850222222,-202.998333333
220.47,-218.589666667,-197.435888889,-168.162333334,-189.53,-214.316222222,-191.453,-248.504333333,-235.363111111,-189.316222222,-257.692333333
220.85,-225.111111111,-209.333333333,-182.0,-191.555555556,-219.111111111,-188.888888889,-246.444444445,-236.111111111,-192.444444445,-267.111111111
221.23,-232.638888889,-224.768555556,-194.212888889,-194.907333334,-228.472111111,-201.388777778,-263.657444445,-259.837944445,-211.805666667,-283.333444444
221.61,-228.571444444,-232.879666667,-198.639555555,-193.197333333,-226.757444444,-202.721111111,-263.038555556,-255.2155,-212.471666667,-278.911555556
221.98,-162.841444444,-171.038444445,-141.894333333,-130.054555556,-160.655777778,-135.154777778,-187.796111111,-182.149333333,-144.990888889,-194.717777778
222.36,-120.444333333,-124.296555555,-107.852,-99.4074444443,-120.148222222,-95.110888889,-147.555444445,-144.4445,-110.518444444,-147.111111111
222.74,-126.211,-132.621,-116.381666667,-107.122555556,-127.065444444,-98.2907777778,-150.427333334,-139.529944444,-122.079777778,-149.002888889
223.11,-126.301,-136.287,-119.971888889,-105.625777778,-129.535888889,-100.140555556,-154.289777778,-140.787611111,-129.254555556,-146.132222222
223.49,-122.916666667,-135.277777778,-120.555555555,-103.888888889,-137.083333333,-104.861111111,-155.972222222,-148.263888889,-128.888888889,-143.888888889
223.87,-97.1014444444,-106.280222222,-89.4927777778,-75.9663333333,-108.575,-74.5168888889,-122.947,-116.545777778,-97.9468888888,-114.009444444
224.24,-65.5754444444,-70.238,-61.3094444445,-44.8412222222,-73.5118888889,-47.3212222222,-86.2102222222,-80.9027777778,-67.262,-76.9841111111
224.62,-64.6824444444,-68.1547777778,-58.2342222222,-44.9403333333,-78.2738888889,-49.3055555556,-86.0117777778,-84.4246666668,-69.3451111111,-76.1904444445
225.00,-55.814,-53.7467777778,-44.2721111111,-38.3288888889,-63.0492222222,-38.6734444444,-73.2127777778,-70.8010555556,-57.1058888889,-62.963
225.38,-61.0294444444,-53.7581111111,-46.3233333333,-46.2418888889,-65.4412222222,-40.5228888889,-71.7321111111,-64.4606111111,-55.8822222222,-63.317
225.75,-58.7837777778,-49.5494444444,-45.1202222222,-46.1711111111,-61.6366666666,-38.5885555555,-65.0148888889,-56.982,-50.3754444445,-57.9578888889
226.13,-83.4186666667,-71.2821111111,-69.0596666667,-72.8205555556,-90.7692222222,-61.1965555555,-90.5128888889,-81.0682222222,-75.3845555555,-84.0168888889
226.51,-100.455444445,-84.5171111111,-82.8778888889,-84.6083333333,-101.730333333,-74.3166666667,-101.730222222,-88.1147222222,-85.2458888889,-98.8161111111
226.88,-109.551666667,-91.033,-90.7407777776,-92.300111111,-111.988333334,-81.578888889,-114.425,-101.023444444,-95.2242222223,-108.187111111
227.26,-96.1199999999,-75.1322222222,-77.6012222222,-78.3951111111,-95.1501111112,-69.136,-97.9717777778,-86.8167222222,-80.3352222222,-91.0934444444
227.64,-88.8888888889,-69.8652222222,-72.3905555556,-76.0941111111,-87.5422222222,-64.8991111111,-89.8147777778,-81.1868333333,-77.1886666667,-88.2154444444
228.01,-71.2463333333,-52.9281111111,-61.9371111111,-61.2611111111,-68.5437777778,-50.5255555555,-75.6757777778,-63.4384444444,-61.7867777778,-69.0688888889
228.39,-95.052111111,-72.5695555556,-83.941,-84.6354444445,-90.5383333332,-67.014,-100.260444444,-83.2465555556,-84.7224444444,-90.1911111111
228.76,-89.8695555556,-69.8531111111,-81.4543333333,-83.9051111111,-86.6014444444,-62.5815555556,-93.8726666665,-78.7174444444,-82.4346666667,-86.6011111111
229.14,-91.9510000001,-72.7907777778,-88.0139999999,-88.7138888889,-95.1880000001,-70.1664444444,-100.087444444,-86.0893888889,-89.2387777778,-91.8635555555
229.52,-90.0825555556,-72.5435555556,-86.9606666668,-85.6748888889,-95.3167777778,-70.9826666667,-99.999888889,-88.9346666667,-91.2764444446,-92.1945555556
229.89,-88.3190000001,-73.789,-82.1463333333,-85.1852222221,-93.2574444444,-67.1414444444,-99.0503333334,-90.9781111111,-91.833,-94.1118888888
230.27,-74.7394444444,-58.6806666667,-65.7117777778,-67.1006666667,-74.132,-53.5591111111,-82.5522222222,-76.1284444444,-75.8681111111,-75.0001111111
230.65,-75.0,-61.111,-63.2615555555,-65.7706666667,-76.2546666667,-56.362,-84.2294444445,-83.3332222222,-77.688,-71.4158888889
231.02,-62.68,-54.0288888889,-52.2476666667,-54.7923333333,-66.3273333333,-49.5335555556,-69.2961111111,-71.5438333333,-64.7158888889,-62.0016666666
231.40,-58.2088888889,-47.2636666667,-45.6882222222,-48.9221111111,-57.6283333333,-43.864,-60.3648888889,-62.6037777778,-57.7943333333,-58.6233333334
231.78,-57.3017777778,-41.9841111111,-42.6984444444,-45.3174444444,-56.1905555555,-42.0633333333,-59.0475555556,-58.4522222222,-55.2381111111,-52.0635555555
232.15,-71.4157777778,-56.5413333333,-53.6738888889,-55.3765555556,-72.1324444444,-56.2724444444,-71.7741111111,-75.2241111111,-69.9822222222,-63.7096666666
232.53,-68.2782222222,-56.1492222222,-52.3325555555,-54.877,-69.4656666667,-56.0644444445,-68.7024444445,-73.6640555556,-63.7827777778,-60.4751111111
232.90,-63.3332222222,-51.9843333333,-47.6983333333,-48.7301111111,-59.4444444444,-50.3173333333,-63.254,-66.1903333333,-53.5715555556,-50.3968888889
233.28,-74.4856666667,-64.9383333333,-56.2138888889,-54.321,-66.9134444444,-56.2962222222,-70.1234444444,-72.2222777778,-56.6254444444,-55.7203333333
233.66,-46.6108888889,-38.3647777778,-33.1935555556,-31.8658888889,-42.2782222222,-32.9838888889,-43.3262222222,-46.4360555555,-34.4516666667,-32.0755555556
234.03,-57.3301111111,-49.3053333333,-45.9875555555,-40.6635555556,-56.25,-43.4413333334,-56.3272222222,-57.0602222222,-43.6728888889,-41.7437777778
234.41,-61.1111111111,-58.2944444445,-53.2082222222,-45.3052222222,-61.9716666667,-49.1393333334,-60.6416666667,-62.7932777778,-48.8262222222,-46.3223333333
234.78,-62.0244444444,-59.1324444444,-56.7731111111,-49.1628888889,-63.0897777778,-49.7716666667,-60.8067777778,-60.6165,-50.7608888889,-49.7716666667
235.16,-57.6616666667,-54.1758888889,-52.9411111111,-45.3158888889,-54.3936666667,-42.7014444445,-57.008,-56.1365,-45.8968888889,-45.5336666666
235.54,-67.7546666667,-63.3255555556,-62.3154444444,-54.0792222222,-67.0551111111,-50.039,-69.5416666667,-67.1719444444,-55.8664444444,-54.6231111111
235.91,-64.9631111111,-62.5926666667,-58.7407777778,-51.6296666667,-61.5556666667,-46.3703333333,-64.4445555556,-64.4816666667,-50.2963333333,-51.3333333333
236.29,-65.269,-61.705,-56.2543333333,-50.9434444444,-58.0014444444,-43.9554444445,-60.657,-60.4122777778,-50.2446666667,-49.9648888889
236.66,-64.081,-63.0325555556,-58.141,-50.2447777778,-57.8615555555,-43.6058888889,-58.281,-56.7784444445,-51.3626666667,-50.8735555556
237.04,-59.9858888889,-58.0872222222,-55.0633333334,-49.1561111111,-57.7356666667,-44.8662222222,-54.7821111111,-53.1997222222,-51.4062222222,-51.3361111111
237.41,-49.7042222222,-46.1537777778,-45.6278888889,-41.6174444444,-49.5067777778,-36.292,-46.4167777778,-42.8007777778,-45.5621111111,-41.946
237.79,-61.4105555556,-58.217,-60.0797777778,-51.8962222222,-59.7471111111,-46.3073333333,-58.5495555555,-51.9627777778,-55.5556666666,-50.6318888889
238.17,-56.1052222222,-50.7325555556,-57.1427777778,-49.1452222222,-55.3723333333,-44.0782222222,-52.6251111111,-47.1307222222,-53.663,-46.8863333333
238.54,-58.9505555555,-51.2964444444,-59.6296666667,-53.7036666667,-58.21,-44.0125555556,-57.0988888889,-48.1483333333,-59.2592222222,-49.6914444445
238.92,-45.2033333333,-37.6693333333,-44.9324444444,-41.7343333333,-47.1545555556,-31.057,-45.5827777778,-34.8509444444,-46.1246666667,-37.6693333333
239.29,-47.826,-38.2178888889,-44.6593333333,-43.1025555555,-49.0604444445,-32.9038888889,-48.3627777778,-34.4068888889,-47.5578888889,-38.8083333334
239.67,-40.6638888889,-33.1488888889,-39.2808888889,-35.8227777778,-41.6321111111,-26.7403333333,-41.4015555556,-28.1696666667,-40.4795555555,-33.2413333333
240.04,-35.9375555556,-30.9463333334,-37.3696666667,-32.2046666667,-38.8456666667,-25.304,-38.3247777778,-25.6077222222,-37.8906666667,-30.7291111111
240.42,-25.1577777778,-20.2527777778,-28.3165555555,-23.077,-29.1342222222,-16.388,-29.0226666667,-17.4098333333,-28.5395555556,-21.8134444444
240.79,-20.5687777778,-15.0791111111,-23.0158888889,-17.725,-24.3053333333,-11.1111111111,-24.7354444445,-13.6738888889,-24.6031111111,-15.9061111111
241.17,-22.5936666667,-16.5891111111,-25.0077777778,-18.3535555555,-26.6171111111,-10.5232222222,-26.8957777778,-15.0883333333,-25.6576666667,-16.775
241.54,-21.567,-16.7804444444,-25.0143333333,-19.4871111111,-25.8975555555,-10.5414444444,-26.2678888889,-15.8973333333,-25.0711111111,-16.8945555556
241.92,-19.1635555556,-16.0524444445,-22.353,-17.3856666666,-24.1828888889,-9.38544444446,-23.7386666667,-14.9673333333,-22.3268888889,-15.1112222222
242.29,-17.1386666667,-15.6618888889,-19.5594444444,-15.0085555556,-21.254,-6.82644444444,-21.7863333333,-13.6285,-18.5184444444,-11.4501111111
242.67,-14.9055555556,-14.633,-17.1776666667,-12.9741111111,-19.3817777778,-5.43055555556,-18.9501111111,-12.213,-15.4053333333,-9.38411111112
243.05,-18.113,-18.3654444444,-21.2351111111,-15.7253333333,-21.6251111111,-8.51700000001,-21.4646666667,-15.7138333333,-18.9165555555,-12.0982222222
243.42,-16.6666666666,-17.4666666667,-20.5555555555,-14.5111111111,-21.0,-7.4,-20.2666666667,-15.6222222222,-18.5111111111,-11.3777777778
243.80,-15.4714444444,-16.2241111111,-18.8577777778,-14.5862222222,-19.522,-5.88766666667,-19.0348888889,-15.1836666667,-18.3045555555,-9.98222222221
244.17,-18.671,-18.4963333333,-21.0021111111,-17.3203333334,-21.5032222222,-6.92811111111,-21.1331111111,-17.2985,-20.523,-12.7668888889
244.55,-19.7271111111,-19.8548888889,-21.1346666667,-18.1063333333,-21.4544444445,-7.93344444446,-21.4332222222,-18.4581666667,-20.2815555555,-13.2224444444
244.92,-17.7855555556,-18.6806666667,-18.8753333333,-16.7738888889,-19.1087777778,-7.02477777778,-19.42,-17.6104444444,-17.7465555555,-12.0061111111
245.30,-13.69,-15.0053333333,-15.0744444444,-12.5647777778,-13.6725555555,-3.65166666667,-14.7108888889,-14.01,-13.8628888889,-7.92677777778
245.67,-10.2402222222,-10.7956666667,-10.7056666667,-8.213,-9.7298888889,-0.510444444446,-10.6007777778,-10.2853888889,-10.2701111111,-4.69966666667
246.05,-10.1443333333,-10.7188888889,-10.6346666667,-8.91133333334,-9.3738888889,0.532555555557,-10.7606666667,-10.5856111111,-10.6347777778,-4.60977777778
246.42,-9.11433333333,-8.85833333334,-9.30611111111,-7.97488888889,-8.20522222222,1.229,-9.8311111111,-9.78627777778,-10.1766666667,-4.045
