wavelength,Back_HemGoem,Belly_HemGoem,Breast_HemGoem,Crissum_HemGoem,Crown_HemGoem,DorTail_HemGoem,Patch10_HemGoem,Rump_HemGoem,Throat_HemGoem,WingTip_HemGoem
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-126.666666667,-160.666666667,-154.666666667,-97.3333333333,-104.666666667,-113.333333333,-129.333333333,-144.0,-102.666666667,-127.333333333
179.16,313.333333333,247.7778,282.222266667,153.333333333,233.333366667,268.888866667,277.7778,304.444333333,206.6666,267.777766667
179.54,175.0,132.5,125.833333333,115.0,91.6666666666,151.666666667,151.666666667,206.666666667,138.333333333,89.1666666666
179.93,28.0,-1.99996463834e-11,25.6666666667,14.6666666667,-14.0,18.0,41.9999999999,30.0,26.6666666667,5.33333333333
180.31,-121.481466667,-57.5926333333,-88.8889666667,2.59273333328,-17.7777999999,-62.5924666666,-102.2222,-181.481533333,-38.5185333333,-17.7777333334
180.69,-98.9333333334,-38.5333333333,-73.3333333333,4.53333333328,-26.6666666666,-60.8,-81.8666666665,-150.133333333,-28.5333333333,-21.4666666667
181.07,-67.7333333335,-4.79999999998,-36.4,19.1999999999,-12.6666666666,-36.5333333333,-58.9333333333,-132.8,0.533333333274,13.0666666667
181.45,-35.4954666667,15.5856,-11.6216333333,17.4776666666,-0.360266666674,-14.9548666667,-26.1260666667,-71.1710666667,9.72966666669,22.5224666666
181.83,2.64546666667,32.0635666667,13.8624333333,31.1111333334,20.7935333333,13.0158,10.1587333333,-13.9683333334,27.619,30.4762666666
182.21,6.82353333333,27.5686,13.6078333333,27.8432666667,14.3922,12.3137333333,12.1568666667,-4.94113333332,28.8628,26.1960666667
182.59,8.26993333334,25.2743,15.2742333333,28.2702666667,15.8228333333,9.95766666667,9.53593333334,-7.9324,29.2828,23.9663333333
182.97,0.085399999994,18.5899,8.93159999999,18.6324,7.69226666666,1.19659999999,-2.22213333333,-10.4272666667,21.3676,13.6325333333
183.35,2.14819999999,20.6297,2.99999999999,18.0741333333,7.51850000001,2.51860000001,-0.666599999986,-4.07413333334,19.7778666667,16.4814666667
183.73,3.76813333334,23.9494,0.652133333334,17.2464,11.087,5.79720000001,1.30426666667,4.13046666666,23.8406,17.2102333333
184.11,7.87226666665,29.9290666667,6.52476666666,23.0496,15.1419666667,12.0566666667,6.87966666666,11.1348,31.2766,21.7376
184.49,-6.96080000001,19.4607666667,-12.7450666667,13.7255333333,-4.55886666667,-1.86279999999,-9.21580000001,-4.80393333336,22.451,8.23533333334
184.87,-10.7483333333,17.0067666667,-29.5239666667,10.2039999999,-13.1972666667,-3.40140000001,-24.2177333333,-12.653,21.3605333333,2.85713333334
185.25,-38.0701999999,-6.66666739978e-05,-63.9472999999,-0.526266666746,-34.9998999999,-22.9826000001,-53.5088666667,-36.6667333334,2.45606666668,-6.14029999993
185.63,-13.5484666667,10.9678000001,-55.0537666667,18.4946,-20.6451333333,-7.09680000002,-44.9462000001,-26.4516666667,23.4409333333,24.0859333334
186.01,11.1110000002,38.0555666667,-139.1666,57.2221999999,-50.2777999999,11.1111333333,-142.2224,-62.2223333335,64.4445333333,77.2222333334
186.39,70.6666666666,94.9999999999,-126.666666667,108.0,0.666666666674,76.6666666668,-98.0,-19.9999999999,76.6666666666,128.666666667
186.77,51.4942,57.1264333335,-25.2873333333,45.2873333333,19.0804,49.4253333333,-5.05739999998,20.2298,29.8851333333,53.1034999999
187.15,54.4444666668,52.4073333334,-12.4074,44.2592666667,32.7777333333,46.4813999999,12.9629333333,24.4445333333,29.2592666666,52.1294666667
187.53,74.1025333332,73.4616333333,3.46156666672,49.7435333333,52.8205333333,63.3333333333,13.0769333333,33.0769333333,39.7434,52.9488000001
