wavelength,Back_AniMelf,Belly_AniMelf,Breast_AniMelf,Crissum_AniMelf,Crown_AniMelf,DorTail_AniMelf,Patch10_AniMelf,Patch11_AniMelf,Patch12_AniMelf,Patch13_AniMelf,Patch14_AniMelf,Rump_AniMelf,Throat_AniMelf,WingTip_AniMelf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,266.666666667,-66.6666666667,833.333333333,100.0,366.666666667,733.333333333,1333.33333333,866.666666667,466.666666667,1033.33333333,100.0,266.666666667,500.0,666.666666667
179.16,666.666666667,533.333333333,-366.666666667,466.666666667,500.0,400.0,-400.0,-33.3333333333,133.333333333,66.6666666667,366.666666667,533.333333333,533.333333333,600.0
179.54,126.666666667,56.6666666667,56.6666666667,166.666666667,60.0,73.3333333333,96.6666666667,50.0,96.6666666667,73.3333333333,143.333333333,113.333333333,113.333333333,113.333333333
179.93,366.666666667,288.888666667,288.889,211.111333333,188.889,200.000333333,33.3336666667,77.7776666667,288.889,55.5556666667,299.999666667,255.555666667,177.778,133.333333333
180.31,-322.222333333,-147.222,130.555333333,-252.777666667,-163.889,36.111,319.444333333,250.0,50.0,197.222,-75.0,-261.111333333,-13.889,-63.8886666667
180.69,-587.5,-308.333333333,129.166666667,-420.833333333,-375.0,70.8333333333,437.5,370.833333333,66.6666666667,262.5,-191.666666667,-491.666666667,-25.0,-125.0
181.07,-348.889,-184.444666667,6.66633333333,-222.222333333,-224.444333333,-37.7776666667,222.222333333,155.555333333,-11.111,80.0,-117.777666667,-328.888666667,-84.4443333333,-135.555666667
181.45,-340.0,-151.111,-51.111,-193.333333333,-193.333333333,-31.111,248.888666667,160.0,-13.3336666667,120.0,-97.7776666667,-286.666333333,-84.4443333333,-142.222333333
181.83,-133.333333333,-46.2363333333,-9.67766666667,-38.71,-67.7416666667,21.5053333333,173.118333333,113.978666667,54.8386666667,104.301,15.0536666667,-96.7743333333,4.301,-52.688
182.21,-47.4073333333,5.926,32.5923333333,5.926,-10.3703333333,48.1483333333,159.259333333,114.074,94.074,117.037,65.926,-27.4076666667,47.4076666667,-2.963
182.59,-22.414,21.8393333333,31.6093333333,9.19533333333,-1.14933333333,53.4483333333,126.436666667,90.805,92.5286666667,108.045666667,63.2183333333,-15.5173333333,55.747,21.2646666667
182.97,-9.69733333333,27.2726666667,29.697,11.515,1.212,64.8483333333,146.666666667,107.272666667,113.939,124.848666667,72.7273333333,-12.1213333333,63.6363333333,29.697
183.35,0.546666666667,30.0543333333,8.74333333333,20.765,6.011,61.2023333333,140.983666667,106.011,113.661333333,116.393333333,69.399,-4.918,62.8416666667,29.508
183.73,21.212,29.2933333333,1.01033333333,21.7173333333,8.08066666667,65.6566666667,139.899333333,100.0,91.919,113.131333333,63.131,2.52533333333,50.5053333333,41.4143333333
184.11,26.6666666667,27.879,8.485,27.8786666667,1.818,63.0303333333,147.879,118.787666667,103.030666667,138.788,66.6663333333,-14.5456666667,57.576,50.909
184.49,38.8886666667,43.2096666667,24.074,32.0986666667,5.55533333333,55.5556666667,161.111,127.777666667,95.0616666667,148.765333333,72.2223333333,-2.46933333333,72.8393333333,63.58
184.87,52.8206666667,54.359,29.7436666667,29.231,25.1283333333,43.5896666667,154.872,111.795,84.1023333333,139.487,74.8716666667,14.359,67.6923333333,67.1793333333
185.25,64.55,73.0156666667,37.037,30.6876666667,23.8096666667,58.201,162.433666667,125.396666667,99.4706666667,157.143,83.0686666667,31.217,85.1853333333,87.3016666667
185.63,62.6506666667,71.486,42.9716666667,26.5056666667,25.301,59.4376666667,124.498333333,111.646333333,89.1566666667,126.907666667,82.3293333333,33.3333333333,84.7386666667,97.992
186.01,70.8813333333,75.4793333333,47.1263333333,25.6703333333,29.8853333333,57.088,127.203,109.195666667,79.3106666667,123.371666667,82.3753333333,34.4826666667,82.7586666667,110.728
186.39,65.2923333333,74.5703333333,46.7356666667,27.835,32.646,56.0136666667,118.556666667,101.718,71.1343333333,109.278333333,73.1956666667,29.2096666667,70.7906666667,103.436666667
186.77,68.7073333333,79.2513333333,51.3603333333,30.272,32.653,53.4013333333,118.367333333,99.3196666667,70.7486666667,103.401666667,70.7483333333,36.7346666667,67.347,101.020333333
187.15,67.816,90.038,43.678,26.8196666667,28.3523333333,50.5746666667,118.007666667,85.824,68.199,110.728,73.9463333333,39.847,65.1343333333,105.364333333
187.53,71.2873333333,95.0496666667,49.175,27.723,37.624,54.4553333333,117.822,84.8186666667,63.3666666667,108.581,76.898,44.8843333333,65.0166666667,109.901
187.91,67.9866666667,100.329666667,48.1846666667,29.373,45.5443333333,52.8053333333,122.442333333,86.799,78.218,109.571,78.5476666667,44.5546666667,70.627,111.881333333
188.29,63.2273333333,95.5026666667,43.6506666667,29.1003333333,44.18,47.8836666667,112.433666667,71.693,78.5716666667,93.9153333333,69.8413333333,51.5873333333,66.402,97.3546666667
188.67,66.2036666667,93.75,48.1483333333,37.0373333333,47.6853333333,50.926,113.194,74.3053333333,85.8796666667,91.8983333333,75.0,58.7963333333,68.287,98.3796666667
189.05,67.7633333333,94.079,51.316,41.0086666667,48.684,53.947,111.842,75.6576666667,89.9126666667,91.009,78.9473333333,66.4473333333,67.544,98.0263333333
189.43,74.8826666667,101.643,56.5726666667,44.601,57.5116666667,60.5633333333,117.136,81.6903333333,97.418,94.601,89.202,73.9436666667,72.5353333333,107.276666667
189.81,80.5163333333,107.277333333,60.5636666667,47.8873333333,59.155,61.2673333333,117.840333333,79.8123333333,96.9483333333,99.7653333333,85.681,75.8216666667,72.3003333333,108.216333333
190.19,79.2543333333,107.692333333,60.839,44.755,55.2446666667,62.704,110.722333333,79.254,101.865,98.8346666667,86.2473333333,75.5243333333,70.396,103.729333333
190.57,84.3913333333,110.317333333,62.4336666667,40.2116666667,49.2063333333,58.7303333333,116.402,78.836,104.762,103.968333333,89.947,84.1273333333,73.8093333333,111.640333333
190.95,81.934,110.432333333,61.323,46.565,48.6006666667,58.2696666667,118.829333333,81.9336666667,102.544333333,99.2363333333,93.639,86.2593333333,76.0813333333,109.923333333
191.33,82.014,99.7603333333,67.1463333333,47.0023333333,53.4773333333,58.753,111.750666667,86.571,101.199,93.2853333333,91.367,81.535,76.259,111.031333333
191.71,77.6923333333,102.051,70.7693333333,40.2563333333,53.077,55.6413333333,102.307666667,85.3846666667,103.333333333,92.3076666667,93.846,83.5896666667,75.3846666667,105.384333333
192.09,75.5866666667,99.765,71.5963333333,36.385,51.4086666667,52.582,92.958,86.8543333333,93.1926666667,89.2016666667,91.5493333333,82.864,71.5963333333,102.817
192.47,86.226,108.264333333,80.7163333333,44.9036666667,60.8816666667,60.3306666667,101.377666667,95.868,98.6226666667,96.419,101.653,92.011,77.4103333333,121.487666667
192.85,84.9556666667,107.67,79.3513333333,37.758,63.422,51.3273333333,97.6403333333,90.2656666667,86.7256666667,93.2153333333,94.3953333333,84.0706666667,71.9766666667,125.663666667
193.23,99.3936666667,118.485,87.5756666667,49.091,71.818,56.9696666667,99.394,103.03,93.03,101.515,98.182,85.7576666667,80.909,134.545333333
193.61,94.1666666667,105.833666667,75.5556666667,43.611,59.1666666667,39.4443333333,78.0556666667,89.1666666667,85.5556666667,89.7223333333,84.167,75.2776666667,71.3886666667,115.0
193.99,91.7433333333,96.9416666667,67.8896666667,39.7553333333,58.104,30.581,75.535,87.156,91.7433333333,79.205,83.1803333333,73.7003333333,67.584,119.266
194.37,100.0,101.785666667,70.8333333333,55.3573333333,62.7973333333,28.5713333333,83.9283333333,88.3926666667,94.3453333333,78.5713333333,81.8453333333,76.1906666667,76.1903333333,131.845333333
