wavelength,Back_TanChif,Belly_TanChif,Breast_TanChif,Crissum_TanChif,Crown_TanChif,DorTail_TanChif,Patch10_TanChif,Patch11_TanChif,Rump_TanChif,Throat_TanChif,WingTip_TanChif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,277.083333333,390.0,363.333333333,183.333333333,406.666666667,220.0,513.333333333,336.666666667,263.333333333,500.0,320.952380952
179.16,48.4721749999,4.44446666667,-2.2222,30.0000000001,-24.4444,58.8887333333,1.11113333335,8.88893333334,63.3331999999,-32.2222,-19.4444809524
179.54,57.777825,32.5926666667,60.0000000001,86.6667333333,39.2592666667,37.7777333333,14.8148666667,45.9258,69.6296,0.740799999994,56.0316809523
179.93,110.833333333,296.666666667,213.333333333,30.0000000001,210.0,251.666666667,283.333333333,200.0,3.3333333336,386.666666667,173.333333333
180.31,-434.791666667,-895.0,-810.0,-346.666666665,-780.0,-546.666666666,-1126.66666667,-703.333333334,-168.333333333,-1708.33333333,-705.357142857
180.69,929.583333333,1866.66666667,1636.66666666,683.333333331,1700.0,1255.0,2436.66666667,1390.0,313.333333333,3576.66666667,1501.66666667
181.07,-326.875,-748.333333333,-588.333333334,-171.666666668,-581.666666666,-506.666666667,-953.333333334,-470.000000001,41.6666666666,-1561.66666667,-567.976190476
181.45,330.138958333,633.333333334,477.777733333,229.999933333,468.8888,473.8889,766.666733333,356.666666667,71.1111333334,1140.00013333,450.635004761
181.83,154.44435,251.4814,214.814933333,140.740866667,187.036933333,192.222133333,295.1852,152.592533333,79.6295999998,429.2592,198.174728572
182.21,136.777858333,177.7778,163.777666667,135.333333333,148.6666,154.777833333,211.3334,126.444466667,98.8889333332,300.222266667,161.238038095
182.59,156.566666667,182.4,176.0,140.0,169.066666667,169.733333333,243.466666667,145.066666667,100.0,329.066666667,175.295238095
182.97,622.222233333,696.666599999,647.777733333,558.8888,665.5556,683.888899999,1009.99986667,633.333333333,354.4444,1366.66666667,742.063385714
183.35,340.944483333,351.555533333,336.888866667,287.555466667,327.555533333,350.0,480.888933333,350.6666,230.222266667,648.444466666,397.269776191
183.73,276.25,276.0,258.666666667,231.0,272.0,295.333333333,386.666666667,280.666666667,200.666666667,504.666666667,309.857142857
184.11,347.5,358.3334,328.3334,287.222266667,352.222266667,421.944366667,526.666666667,357.222266667,234.4444,726.111133333,393.928523809
184.49,194.708333333,213.666666667,190.333333333,175.666666667,180.0,242.166666667,301.666666666,193.0,128.333333333,411.333333333,223.571428571
184.87,205.530308333,215.151533333,194.848533333,197.575733333,178.7878,232.7272,296.9698,210.0002,143.6364,409.394,244.740328571
185.25,209.673916667,223.188466667,198.8406,222.608666667,190.4348,239.565266667,308.405733333,215.362333333,164.058,424.927466667,265.507304762
185.63,232.878691667,231.5152,217.5758,235.151533333,193.636466667,275.302966667,327.575733333,243.636533333,198.181866667,453.939333333,288.960942857
186.01,197.113266667,197.857133333,189.285733333,184.761933333,166.666733333,239.761833333,288.333466667,215.952466667,164.285666667,360.714333333,248.46942381
186.39,266.470533333,288.235266667,276.4706,241.960733333,215.294133333,351.960966667,426.274533334,318.823466667,223.9216,522.353,359.747990476
186.77,212.596116667,232.820533333,217.6922,209.2308,177.436,276.666733333,326.923066667,242.820466666,192.051266667,376.153733333,284.92672381
