wavelength,Back_PooBolm,Belly_PooBolm,Breast_PooBolm,Crissum_PooBolm,Crown_PooBolm,DorTail_PooBolm,Patch10_PooBolm,Patch11_PooBolm,Rump_PooBolm,Throat_PooBolm,WingTip_PooBolm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,56.6666666666,51.25,46.25,43.75,43.75,25.8333333333,35.8333333333,51.6666666667,33.6111111111,58.3333333333,44.1666666667
179.16,86.6666666667,53.3333333334,35.0,68.3333333333,51.6666666667,33.3333333334,15.8333333333,97.5,45.0,54.1666666667,69.1666666667
179.54,22.0833333333,7.49999999998,22.9166666667,17.9166666667,18.75,13.75,0.833333333334,17.5,0.833333333348,29.1666666667,19.1666666667
179.93,-21.1111333333,-66.6666666667,-18.8888666667,-96.6666666668,-38.8889333333,-95.5554666667,-71.111,-76.6666666666,-73.7037111111,-101.111066667,-98.8888000001
180.31,47.7460666667,38.1586666667,41.27,25.2697333333,46.9841333333,27.746,21.7142666667,48.0632666667,19.0474,34.4762,27.7461333333
180.69,49.7222000001,40.9445333333,42.7777333333,28.8332666667,50.3332666667,32.2222666667,24.5000666667,49.9444666667,20.4998888889,41.1664666667,30.8334
181.07,55.3516000001,44.3426,45.6878666667,31.5596,54.7400666667,39.266,28.3792666667,54.0673333333,22.9767333333,43.6083333333,32.4159333333
181.45,61.8314666667,50.3296666667,52.8204,31.7216,63.2234,47.6922666667,36.5568,56.0439999999,22.2465111111,48.4981333333,30.6959333333
181.83,79.8311333333,67.2573333334,65.1478,39.5779999999,81.4345333334,60.3375333334,50.1265333333,72.4893333333,32.2081333333,60.3374666667,40.8438666667
182.21,93.0666666667,82.2224,73.8665333334,52.4445333333,94.5777999999,76.8888666667,62.3999333333,91.911,46.6371111111,79.3778666665,56.4445333333
182.59,99.3606000001,88.9497333333,75.1598666667,60.0914000001,105.844733333,84.2922,72.1462666666,101.095933333,57.0776222223,92.9681333333,66.3013333333
182.97,92.4561999999,77.6315333334,63.772,52.7194666666,93.3333333333,75.0877999999,64.1228,93.8595333333,52.9822888889,90.8771999999,59.9999333334
183.35,106.6666,82.0951333332,68.8571333333,63.4285333333,101.4286,88.4760666667,70.3810666666,103.428466667,62.2856888889,102.190533333,68.2857333333
183.73,133.9506,93.0863333332,72.7161999999,70.0000666666,119.5062,103.086466667,86.6667333332,114.938466667,74.3211111111,126.172733333,75.6788666667
184.11,146.8056,101.666666667,75.2778666665,75.5556666667,127.083266667,115.4166,99.7222666667,111.6666,79.4906444444,142.6388,82.6387333333
184.49,168.6486,131.171266667,97.1172666668,96.0360000001,154.234266667,142.883066667,117.837866667,126.126266667,102.402288889,165.5856,97.1171333333
184.87,217.435866667,186.922933333,122.051133333,126.410333333,202.051133333,206.6668,153.589733333,151.282133333,144.017155556,209.743466667,137.179533333
185.25,189.382666667,161.481333333,113.580466667,119.7532,190.123466667,200.9878,137.7778,132.592666667,139.670777778,207.9012,134.567933333
185.63,140.9008,114.594733333,84.6848666667,90.6306666668,142.7026,156.576666667,95.1350666668,105.044933333,112.492466667,164.504466666,107.747666667
186.01,122.807,104.385933333,79.6491999999,84.5614000001,127.543933333,153.6842,86.1403333333,89.4737999999,112.5146,151.228,105.7894
186.39,119.797866667,103.232333333,69.6969333332,91.9193333332,121.212066667,163.434266667,76.9698,73.9394000001,105.791177778,155.757333333,107.4748
186.77,123.733333333,113.866666667,74.4000000001,113.333333333,127.733333333,196.533333333,66.1333333335,71.2,102.844444445,173.333333333,117.066666667
187.15,-2460.0,-2646.66666667,-2180.0,-2480.0,-2840.0,-4466.66666667,-1213.33333333,-1106.66666667,-1711.11111111,-3800.0,-2426.66666667
187.53,-2146.66666667,-2880.0,-1840.0,-2213.33333333,-2746.66666667,-4540.0,-980.000000001,-1166.66666667,-1648.88888889,-3660.0,-2526.66666667
187.91,153.333333333,660.000000001,166.666666666,376.666666666,406.666666665,1560.0,-283.333333332,-90.0000000001,85.5555555554,1073.33333333,646.666666668
188.29,-17.1428000001,145.7142,11.4285333334,76.1904,62.8572666664,364.762066666,-139.047666667,-43.8094666667,11.7460888887,212.380866667,138.095266667
188.67,-46.666666666,573.333333335,-366.666666667,33.3333333328,-99.9999999994,2220.0,-1233.33333333,-353.333333333,-217.777777777,973.333333334,660.0
189.05,132.5926,120.740733333,201.481466667,157.037133333,188.148066667,-43.7036666666,282.222066667,168.148333333,173.580266667,52.5925333334,102.222133333
189.43,126.666733333,105.238133333,172.857266667,159.5238,184.285933333,33.3332666667,227.619066667,154.2856,175.714177778,119.523666666,128.0952
189.81,167.272733333,80.0000666666,193.3334,187.2726,233.9394,67.2728666667,296.3636,203.0302,222.020155555,165.4546,167.272733333
190.19,104.1024,19.4869333333,130.769066667,112.307533333,177.435866667,36.4101999999,218.974266667,114.359066667,160.854688889,95.8974000002,134.359
190.57,79.9999999993,1180.0,-200.000000001,-506.666666667,-793.333333333,606.666666668,-1346.66666667,-286.666666667,-755.555555554,-73.333333332,-706.666666667
190.95,71.7647333333,5.49026666672,100.392066667,126.2746,135.686266667,45.0979333333,160.392333333,113.333266667,121.699422222,65.8824666667,123.529533333
191.33,135.384666667,41.5384000002,213.845933333,205.641,235.384533333,130.2564,236.923066667,194.359,169.914577778,148.718,197.948733333
191.71,82.6263333333,49.6968666666,105.8586,111.717266666,129.899,91.7172666667,121.0102,114.3434,97.6430000001,98.9898,110.707066667
192.09,51.6666666667,14.6666666667,59.0,59.3333333335,85.6666666666,53.6666666666,73.6666666666,85.9999999999,60.7777777778,67.1666666667,66.8333333334
192.47,41.2120666666,-2.2726666668,51.5150666666,43.7878666667,72.8787333333,32.5758666667,51.3635999999,73.182,48.1818666667,46.9697333333,52.5758
192.85,48.2992666667,2.72106666661,49.1157999999,40.4081333333,62.9930666668,32.7892,51.1564666666,78.0950666667,51.7914,43.6734666666,49.3876666667
193.23,36.8993333333,-23.4108666667,31.3179333333,23.2558666667,46.3566666667,9.14719999998,37.6744,68.6822000001,36.4341333334,30.0775333333,34.5735333333
193.61,27.3504666667,-43.9315999999,29.5727333333,20.8546666667,31.1112666666,6.32506666666,39.3163333333,61.8804666666,25.1852444445,15.8974,29.5725333333
193.99,48.7501333333,-15.2776666666,53.4721999999,31.25,41.9445333333,21.5277333333,45.6944666667,76.2500666666,36.7129777778,36.8055333333,38.0556
194.37,70.3955333333,21.0168666667,70.9605333334,51.5255333333,60.4518666667,49.9434666668,63.7288666667,101.694866667,57.1750888889,57.1751333333,62.4859333333
194.75,83.2323333333,42.9292666667,81.1110000001,55.5555999999,68.9898666667,56.3636,75.3535333334,108.080733333,65.7576000001,66.8685333333,70.3031333333
195.13,92.9485999999,39.8716666666,85.7691999999,47.6922666667,70.2563999999,53.8462666667,80.7691333334,120.769266667,64.3162666667,76.4101999999,74.8719333333
195.51,91.3476666668,31.6311333333,75.4610000001,27.8014,58.7234666667,37.8723333333,74.3262666667,121.4186,56.5011777778,69.3617333333,65.8156
195.89,109.431066667,31.3821333335,88.6177999999,30.2439333333,75.9349999999,38.8618666666,88.6178000001,142.601666667,64.2818000001,70.2437333333,77.5609333333
196.27,116.434066667,37.8294666667,92.0931333333,48.3722,85.4264,47.2867999999,108.372133333,145.891466667,65.7881111111,75.969,83.7208666668
196.65,104.577066667,56.8159333334,85.9700666665,58.7065333334,87.4627333334,61.8906000001,112.835933333,125.870666666,73.9635555555,78.0100000001,79.801
197.03,110.8994,56.1905333333,93.1217333333,60.6347333334,93.8623333333,72.2749999999,119.788266667,137.1428,77.9894222223,80.9523333333,86.8782666667
197.40,115.586733333,67.7932666667,95.9625333333,73.3334,104.600866667,87.0423333334,120.6574,139.999866667,84.6948000001,93.4271333333,94.6477999999
197.78,108.8372,69.9224666667,89.3024666665,70.8526666667,101.3178,79.8450666666,112.092933333,128.449533333,81.2144444445,94.2636,86.4340666667
198.16,106.425666667,65.6224,78.3133333333,68.7551333333,100.8032,79.8392666667,110.6828,126.827266667,79.9197111112,91.3252666666,83.8554
198.54,108.740733333,64.1481999999,83.0368,73.0371333332,102.666666667,79.1851999999,109.259266667,121.925933333,80.5431555556,92.5184,82.4444666667
