wavelength,Back_LopPusf,Belly_LopPusf,Breast_LopPusf,Crissum_LopPusf,Crown_LopPusf,DorTail_LopPusf,Patch10_LopPusf,Patch11_LopPusf,Rump_LopPusf,Throat_LopPusf,WingTip_LopPusf
238.17,-220.659047619,-198.164855556,-227.525166667,-226.599222222,-218.686666667,-200.673444444,-201.683444444,-193.771,-228.451166667,-210.605888889,-214.492639847
238.54,-161.576349206,-144.572166667,-165.709,-166.666777778,-160.408666667,-145.977,-144.189,-135.121222222,-164.431611111,-154.789222222,-153.298524904
238.92,-177.723063492,-161.915711111,-175.478833334,-178.033333333,-175.095777778,-158.876,-160.664111111,-150.447111111,-175.542777778,-164.240222222,-164.363360153
239.29,-147.428571428,-137.833333333,-142.5,-145.555555555,-145.333333333,-133.666666667,-133.555555556,-123.888888889,-144.388888889,-140.0,-130.80651341
239.67,-98.5267936507,-91.0150666668,-93.1655,-94.4044444443,-97.602,-86.5707777778,-92.4061111112,-79.1366666666,-96.2028888889,-91.6067777778,-84.2346417623
240.04,-72.4242698413,-70.1314111111,-66.7653333334,-73.044,-72.058,-63.6423333333,-69.5595555555,-55.0952222222,-74.7205555556,-68.5075555556,-60.8550996169
240.42,-54.1928253968,-54.3035888889,-52.1951666667,-54.4716666667,-52.8996666667,-47.0462222222,-54.0381111111,-40.8131111111,-57.3712222222,-51.3278888889,-41.5289501916
240.79,-54.4549047619,-55.7630888889,-53.1853333334,-55.1111111111,-53.2345555555,-48.3951111111,-56.7407777778,-43.0123333333,-59.1606111111,-55.259,-41.9650153257
241.17,-45.670984127,-48.0261,-44.5706666667,-47.5588888889,-46.0437777778,-40.8248888889,-49.9156666667,-34.5536666667,-48.3796666667,-48.2324444444,-35.2949176245
241.54,-33.7890634921,-36.1324888889,-34.8386666667,-37.0251111111,-36.6307777778,-29.6773333333,-38.6737777778,-24.7671111111,-38.7633888889,-37.7062222222,-26.1525038314
