wavelength,Back_AniIgnm,Belly_AniIgnm,Breast_AniIgnm,Crissum_AniIgnm,Crown_AniIgnm,DorTail_AniIgnm,Patch10_AniIgnm,Patch11_AniIgnm,Rump_AniIgnm,Throat_AniIgnm,WingTip_AniIgnm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,1633.33333333,1446.66666667,1300.0,1372.22222222,1466.66666667,1600.0,1646.66666667,1380.0,1560.0,1400.0,1546.66666667
179.16,-1646.66666667,-1633.33333333,-1526.66666667,-1685.33333333,-1610.0,-1760.0,-2073.33333333,-1540.0,-1806.66666667,-1686.66666667,-1673.33333333
179.54,237.916666667,263.333333333,265.0,249.444444444,250.833333333,283.333333333,271.666666667,256.666666667,281.666666667,281.666666667,255.0
179.93,695.0,716.666666667,673.333333333,819.777777778,775.000000001,736.666666667,839.999999999,736.666666667,826.666666666,870.000000001,800.0
180.31,2406.1111,2267.77773333,2282.22226667,2392.11111111,2290.0,2511.11106667,2751.11113333,2234.4444,2616.66673333,2685.55573333,2437.77773333
180.69,1975.41666667,1862.5,1840.0,1985.22222222,1907.91666666,2078.33333333,2278.33333333,1862.5,2140.0,2228.33333333,2007.5
181.07,4880.00006667,4635.55546667,4504.4444,5028.81482444,4758.88893333,5291.111,5813.3334,4633.33333333,5384.44446667,5704.44453333,4966.66666667
181.45,1036.19046667,973.809533333,936.666600001,1066.52385556,995.476233333,1105.71426667,1219.52366667,959.523866665,1127.61913333,1217.14293334,1033.8094
181.83,877.499999999,812.5,769.166666667,905.930555555,838.333333335,927.083333333,1033.33333333,795.0,945.833333333,1014.16666667,872.916666666
182.21,1083.05546667,998.888866667,942.777866665,1110.75922222,1023.88906667,1181.6666,1298.88893333,973.888933335,1186.11113333,1266.11126667,1081.1112
182.59,557.0834,526.666666667,491.388866666,576.518662222,527.222266667,623.3334,671.388866667,500.000066667,604.999933333,652.500066666,557.7778
182.97,327.886133333,320.975733333,292.845533333,342.000055556,309.024333333,372.357666667,393.658466667,295.934933333,363.739733333,391.057,329.756066667
183.35,363.2381,361.714333334,326.6666,385.79684,348.285766667,418.666666667,443.809666667,334.857066667,410.857133333,443.047533333,372.381
183.73,478.7181,487.435933334,427.1794,512.769382222,463.461433333,547.692266667,587.948733333,447.179333333,548.974266667,570.769333334,500.7692
