wavelength,Back_TanCucm,Belly_TanCucm,Breast_TanCucm,Crissum_TanCucm,Crown_TanCucm,DorTail_TanCucm,Patch10_TanCucm,Patch11_TanCucm,Rump_TanCucm,Throat_TanCucm,WingTip_TanCucm
206.87,69.0727999999,71.1278,84.9122,64.1604666667,77.0927333333,59.2481,81.0524666666,82.3057333334,68.6216,62.4561666667,56.6164666667
207.25,65.9487333333,70.8205333333,87.8461333333,64.6667333333,77.2306666667,56.3333666667,82.3589333333,83.4871333333,66.9231333333,58.0513,52.8461666667
207.63,64.9869333333,69.3963333333,88.9764,62.6247333333,78.0577333333,51.8634333333,83.5170666667,82.6246666667,64.7769333333,55.8266666667,53.7270333333
208.01,63.8933333333,70.88,92.8,59.8933333333,79.1466666666,50.2933333333,81.8666666666,81.9733333334,62.56,53.3333333333,53.2
208.39,62.1668,74.9444,99.3888666666,59.7778,79.8889333333,49.0277666667,83.7777999999,84.2778000001,65.0556,52.1944,54.0555
208.77,59.708,69.3432,91.5815999999,57.9562666667,75.2798,50.2188666667,77.0316666666,75.8638000001,60.1947333333,50.5596,56.5206333333
209.14,54.4363333334,63.9328666667,84.3165999999,50.2638,68.777,42.2062666667,70.3599333334,68.2974,53.2373333333,46.2108666667,51.6547333333
209.52,54.2030666667,62.9952666667,85.8453999999,51.3526666666,69.6135333333,41.6424,72.4638,67.8260666667,53.0434,49.5409333333,53.0677
209.90,57.1059333333,60.4134666667,84.2377333334,50.5426666667,69.2506,40.1034,74.1086,69.1988,52.1446666667,49.5607,55.8139666667
210.28,57.0928,56.3409333333,82.2056666667,46.7168666667,65.5137333333,38.5965333333,71.7292666666,68.0700666667,51.7794,45.9148666667,58.6967666667
210.66,56.0513333333,54.5640666667,79.3333333333,43.0257333333,64.359,37.3592,70.7690666667,69.8462666667,50.8718666666,41.5898,58.9743666667
211.03,59.3073333333,55.368,73.2468,48.8742666667,65.4979333333,43.0735333333,69.8700666667,69.1775333333,52.7705333333,45.1082666667,60.974
211.41,57.66,52.1854,67.0640666666,44.0176666667,63.0905333333,41.6114333333,66.2694000001,66.8434,47.8146,43.9733333333,58.2781
211.79,56.9737333333,54.8246,66.0526666666,44.9562666667,63.6842666667,44.4955,65.7017333334,66.6668,50.1315333333,45.4823666667,55.3069666667
212.17,51.9444,51.3425333333,63.7964000001,40.5555333333,59.3982,43.3333333333,64.0277333333,63.7501333333,48.6109333333,41.3426,53.0093
212.55,52.32,48.9066666667,62.5066666667,35.7866666667,60.0,43.1733333333,64.64,62.2933333333,45.8133333333,38.8266666667,51.2266666667
212.92,54.7578666667,50.8832666667,67.0085333333,37.7207333333,61.4246,45.6126666667,65.2991333333,68.0342,48.4900666667,42.0228333333,52.9914666667
213.30,68.3646666667,61.4465333333,79.9371333334,51.4465333333,70.6288,59.8113,76.9181333333,84.2768,59.6225999999,55.2515666667,61.0692
