wavelength,Back_TanMexf,Belly_TanMexf,Breast_TanMexf,Crissum_TanMexf,Crown_TanMexf,DorTail_TanMexf,Patch10_TanMexf,Patch11_TanMexf,Rump_TanMexf,Throat_TanMexf,WingTip_TanMexf
199.30,-50.5296666667,-45.6697333333,-44.7975333333,-23.3644000001,-50.7165999999,-39.0654666666,-48.1620666667,-62.6168,-30.5296000001,-32.2739999999,-37.1962666667
199.68,-56.6996666667,-52.1452666666,-47.9866666666,-30.1650666666,-56.5677333334,-44.2903333333,-56.8978000001,-68.9768666666,-38.4818,-38.0856666666,-43.2341999999
200.06,-34.6109333334,-27.8889333333,-25.8888666667,-12.8333333333,-32.8889333333,-23.5554666667,-32.1110666667,-43.3889333335,-15.7222000001,-20.3332666666,-23.6111999999
200.44,-54.9494666666,-49.5623333333,-44.8485333334,-27.138,-55.5555333333,-41.4813333333,-55.0167333333,-67.7440666666,-30.2357333334,-40.7407333333,-42.4242666666
200.82,-85.6097333334,-72.6829333333,-68.8618000001,-51.9512,-81.7885999999,-69.1870666666,-82.6016666667,-92.6830000001,-48.6178,-61.7072666666,-60.4065333334
201.19,-86.3529999999,-71.9216000001,-70.5096666667,-59.4508,-80.3921333333,-72.3921999999,-86.5881333333,-93.7254666667,-50.0391333333,-62.3529333334,-58.1960666667
201.57,-118.083333333,-97.4999999999,-93.5,-82.5833333333,-107.583333333,-102.583333333,-111.333333333,-119.75,-74.3333333332,-87.75,-79.5833333334
201.95,-126.403533333,-100.7894,-99.2983333334,-91.8420666667,-114.2106,-107.456066667,-119.473666667,-127.719466667,-78.9474000001,-95.9648666668,-85.9648666667
202.33,-225.2564,-188.333266667,-181.794933333,-174.102533333,-204.743666667,-204.4872,-217.179533333,-232.1796,-160.641,-185.897333333,-163.974266667
202.71,-332.820466667,-278.803533333,-276.2394,-266.153733333,-306.154,-308.034266667,-319.829066666,-347.863266667,-250.9402,-278.632466667,-254.188133333
203.09,-398.476333333,-340.381,-331.8096,-322.095133333,-368.000066667,-369.523733333,-369.9048,-409.142933333,-307.809533333,-340.1906,-307.047666667
203.47,-750.793733333,-653.968133334,-640.634933333,-622.222200001,-695.555399999,-727.936533333,-703.174600001,-774.285733335,-606.984199999,-658.095333334,-596.507999999
203.85,-1054.66666667,-923.555600001,-902.666666667,-879.555466667,-977.777866667,-1038.6668,-975.110999999,-1092.44446667,-858.222199999,-934.666666667,-847.5556
204.22,1814.81466667,1667.4074,1588.14806667,1577.0372,1740.0002,1828.1482,1730.3704,1918.51846667,1565.9258,1648.8888,1491.11113333
204.60,1409.4444,1277.77773333,1192.77766667,1223.8888,1302.7778,1368.3334,1294.99986667,1455.55546667,1246.11113333,1267.77786667,1154.99993333
204.98,2749.99993333,2507.7776,2316.66666667,2364.44446667,2560.0,2693.33333333,2484.44433333,2851.11113333,2416.66673333,2522.22226667,2320.00006667
205.36,1018.43146667,947.058866666,877.647066667,880.000066667,952.156866667,989.019733333,940.784333334,1044.31366667,927.843,949.019599999,882.352933334
