wavelength,Back_TacCorf,Belly_TacCorf,Breast_TacCorf,Crissum_TacCorf,Crown_TacCorf,DorTail_TacCorf,Patch10_TacCorf,Rump_TacCorf,Throat_TacCorf,WingTip_TacCorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,84.9734666665,26.3491333333,68.2407333333,15.4497333333,22.1427999999,14.3915333333,55.8333333333,35.5026,25.6084000001,44.2328000001
179.16,85.3333333331,-198.666666667,2.47620000006,-147.333333333,-249.5238,-57.3333333333,39.9999333333,52.4761999999,-30.0000000001,-232.666666667
179.54,140.5556,60.5556000001,84.7222333333,6.11113333332,-22.7778000001,95.5556666667,-80.0000666666,55.0,44.4443999999,41.1110000001
179.93,30.6666666667,5.33333333333,15.2222,22.6666666667,10.0,-17.3333333333,35.5556666667,19.3333333333,41.3333333333,35.3333333333
180.31,-6.21486666672,332.561200001,-148.783233334,133.333266667,620.773866667,157.307066667,47.2164666667,237.881133333,359.943466666,580.998066667
180.69,64.9311333334,-19.3440000001,94.9785,24.6243333332,-87.7644666667,2.5503333334,52.5155333333,-0.315866666674,-1.67193333341,-55.0369999999
181.07,68.5638,-5.47433333326,108.4056,49.6418666667,-84.4665333333,16.9104666667,53.4941333333,0.0575333334,23.1276666667,-42.8266666666
181.45,16.4783999999,-44.5010000001,97.9137666666,20.9134666667,-141.510666667,-30.0752000001,53.7300666667,-64.1296,-29.7928666666,-83.7946666666
181.83,-3.35306666668,-113.467133333,141.087566667,5.7771333334,-258.100733333,-84.1478666667,62.8383333333,-164.3184,-95.5450666667,-163.164066667
182.21,-54.3428666668,-152.018933333,73.1954999999,-58.5906,-278.185133333,-145.941733333,67.4144,-198.614933333,-141.0298,-189.966066667
182.59,39.3100000001,-16.9576666667,90.1040999999,19.097,-40.7865333333,-4.72379999992,68.5470666667,-17.8750666667,13.9010666668,-2.62793333332
182.97,52.9954,-8.19893333338,102.0647,12.8731333333,-64.0694666668,-14.9814666666,63.6692,-24.8787333334,5.4530666666,9.3128
