wavelength,Back_SpoRuff,Belly_SpoRuff,Breast_SpoRuff,Crissum_SpoRuff,Crown_SpoRuff,DorTail_SpoRuff,Patch10_SpoRuff,Rump_SpoRuff,Throat_SpoRuff,WingTip_SpoRuff
200.44,216.8056,48.9815333333,116.8518,127.129566667,87.3611333333,-21.0416999999,231.388866667,131.6204,26.6204000002,173.3796
200.82,695.555533333,386.666733334,736.666666666,446.388899999,458.888866667,257.5,695.555533333,586.111200001,262.777800001,584.444466666
201.19,56.1539333338,-170.897466667,-222.692333333,17.9487999999,-187.6924,-387.948766667,187.435866667,-163.076933334,-277.179400001,78.2051333334
201.57,-99.3651333334,-312.380866667,-330.634866667,17.3016,-316.031666666,-531.428633333,88.8888,-348.253933332,-369.365000001,-5.5556
201.95,412.0,462.0,556.0,269.0,450.666666667,515.166666667,274.666666667,569.333333333,370.666666667,364.666666667
202.33,-1349.21553333,-1858.43146667,-1919.6078,-1160.9804,-1614.11766667,-2075.88233333,-554.901933333,-2093.33333333,-1749.99993333,-846.862666667
202.71,200.120666667,208.3662,262.401266667,191.874966666,184.967066667,209.073333333,151.6338,255.471466667,185.778466667,188.168866666
203.09,152.421533333,165.9018,195.152,154.4656,155.131666667,166.714866667,130.506666667,200.010133333,153.535933334,151.236133333
203.47,284.077933333,298.632066667,356.5974,301.272633333,266.710066667,355.441633333,223.852733333,381.7316,301.9914,255.385266667
203.85,-83.8918666667,-85.8739333333,-105.216133333,-96.5089333332,-61.1531999998,-131.1487,-39.3783333333,-125.2342,-107.819866667,-39.0630666668
204.22,-385.926066667,-387.036933333,-518.333399999,-429.629533334,-272.2222,-522.1295,-241.2964,-528.148200001,-464.444599999,-267.500133333
204.60,-68.7872666668,-78.5965333333,-93.8368666667,-86.5561333335,-20.9725333333,-123.2895,-17.1358666666,-113.707,-106.346266667,-18.3066666667
204.98,1.2495783057e+15,1.56090668903e+15,1.82105780387e+15,1.62914304702e+15,6.26921539038e+14,1.92554472704e+15,8.9133742625e+14,2.0001782436e+15,1.65473168127e+15,7.9324766164e+14
205.36,-337.147799999,-455.240533333,-505.824666665,-460.807533333,-38.4192666668,-567.010166667,-180.7904,-576.683866667,-442.2852,-162.628933333
205.74,183.074866667,210.657466667,230.108733333,240.830066667,113.0748,222.816233333,131.945533333,236.258466667,211.7324,137.4784
206.12,180.005933333,222.021933333,237.8898,253.141733333,94.0407333334,225.620366667,137.135266667,246.159733333,228.0988,131.653333333
206.50,108.550466667,129.310333333,137.341533333,146.2309,89.0169333333,124.193,102.444133333,153.937733333,122.5148,98.8821333333
206.87,95.9961333332,112.033066667,110.509333333,123.434266667,79.2864666666,109.970966667,91.0273333333,136.5808,117.070666667,84.9194666667
207.25,107.987333333,120.317866667,119.1658,149.231166667,66.8162666667,111.9547,103.7636,152.5664,145.361066667,81.5114666667
207.63,76.7046666666,109.485733333,96.6475333333,154.507966667,64.6412666667,75.5048,94.4826000002,138.6032,133.136466667,55.4603333333
208.01,50.0228000001,92.1946000001,74.0689999999,132.746333333,90.7130666665,20.2041,113.832133333,118.972066667,101.4966,45.7847333333
208.39,48.6446666668,81.6751333335,92.2442666667,132.0855,117.553266667,-8.3345,138.334466667,126.061066667,113.680066667,49.4700666667
208.77,-24.6508666667,18.6030666668,67.6984000001,95.0316666666,115.1588,-94.0794333332,136.650733333,94.3969333334,111.047466667,-30.5396
209.14,-7.59019999993,19.2642000002,51.3275999999,64.1703333333,104.531133333,-80.2813666666,145.5412,66.1183999999,126.479,-24.0981333335
209.52,-910.634933334,-645.555466665,-384.761866667,-377.5133,-38.0952000001,-1299.3651,198.201066666,-270.634933334,175.661333334,-877.036999999
209.90,379.119466667,313.270333333,206.5724,225.377366667,138.1132,385.573833333,85.4245333334,227.877266667,62.1068666666,303.003133333
210.28,-138.807066667,-49.5875333335,-20.1226666667,-7.2964333334,15.0947333334,-164.5819,49.3980666669,-41.0256000001,158.7736,-96.7447999999
210.66,-431.159399999,-217.004866667,-184.058066667,-135.5556,-99.2270666667,-450.4589,-26.8116666666,-230.2898,311.8358,-257.294666666
211.03,1532.11113333,1073.0,952.888933333,884.388933333,673.111133333,1235.38886667,645.444466666,956.333333334,-6.8888666668,856.111066666
211.41,-791.859666666,-437.333466667,-361.614,-359.017433333,-242.771866667,-605.035066668,-229.719333333,-342.070133333,163.719333333,-360.175466666
211.79,-284.017133333,-147.1794,-100.726466667,-110.3205,-52.4359333333,-230.769266667,-58.6750666667,-87.3077333334,120.811933333,-100.0854
212.17,-16.9558666667,32.4561333335,30.9102,37.2310333335,65.3627333332,-19.0541666667,43.6225333333,55.0259999999,127.667133333,23.0157333332
212.55,43.3998000001,87.4929333335,54.8812,74.6390333333,92.5736,16.5622333333,59.6201333333,89.1928666667,142.811,32.4312
212.92,41.9744666667,77.7863333334,43.812,67.4173333333,76.4644,20.5085333333,61.792,78.1966666666,117.786333333,39.3076
213.30,66.0795999999,125.737266667,73.9203333333,105.569433333,105.401733333,25.9959666667,93.4102,142.2012,183.116733333,37.5681333334
213.68,45.1736666667,98.993,65.3819333332,70.4861,82.3610666667,31.0415,83.9581999999,121.6666,149.722266667,34.0276666666
214.06,44.4384666667,105.001666667,65.3488666665,51.3895333333,80.1678,19.8114666667,97.8017333334,136.484066667,154.705133333,31.1230666667
214.44,14.1907333331,79.0037333334,48.4577999999,34.8276,56.8869999999,8.6375333334,63.204,97.1982000001,120.9482,27.6676
214.81,60.3475999999,114.9334,86.5095333332,77.9190666667,83.6476666667,32.2881666667,99.5523999999,134.2904,158.576133333,52.6190666666
215.19,61.6620000001,126.883666667,97.8356,73.1535333334,90.7721333335,27.3612000001,117.048066667,146.9706,180.148866667,62.7907333334
215.57,256.066199999,357.681133334,286.749533333,301.200766667,306.542466667,118.0124,382.774466666,490.807533333,589.0682,171.5528
215.95,21.1852,273.4074,191.7778,100.5186,177.703733333,-43.2221666666,154.518466667,330.518466667,499.703800001,21.1110666667
216.32,144.380933333,462.666666667,359.238066667,270.190466666,281.523733333,-78.0952,306.095199999,623.809533332,835.809533334,37.7142666675
216.70,398.089733333,241.9494,281.091666667,420.4679,267.524333334,194.7954,381.988266667,376.296266666,429.629666667,177.271
217.08,-76.8765333332,-116.130466667,-140.605933333,-161.7248,-95.5943333335,3.0185666666,-125.198066667,-249.1142,-315.757733333,-12.2610666665
217.46,320.956466667,262.058,291.884133333,378.1304,277.797133333,198.188333333,329.768133334,396.000066667,429.217533333,194.289933333
217.83,354.509866667,300.4314,319.960733333,422.183,329.3334,234.503233333,366.719,430.797400001,446.601266666,241.830066667
218.21,311.096533333,234.298266667,246.6448,328.432,263.530733333,219.5504,288.5308,338.530733334,304.6052,204.2324
218.59,312.162466667,262.051333333,267.7406,356.468366667,287.2956,210.894833333,299.835533333,360.329,341.519133333,186.434466667
218.97,236.727666667,194.549266667,191.018866667,255.216066667,213.0704,170.769966667,212.737066667,262.206666666,241.3756,140.225466667
219.34,420.4,352.666666667,305.066666667,445.0,368.266666667,287.2,338.0,432.133333334,423.333333333,212.4
219.72,389.1228,271.319533333,288.1922,333.432466667,271.044933333,296.5218,290.251666667,323.463066666,262.8984,207.2922
220.10,-127.485333333,-250.116933333,-131.462,-355.555500001,-298.713466667,-56.7544,-194.970733334,-375.731000001,-463.742799999,-25.9063333332
220.47,19.1034666666,-65.1641333335,17.6768666666,-92.4368666669,-77.8281999999,19.6843333332,-20.5051333332,-88.7626,-147.7526,37.0075333334
220.85,137.791666667,29.9256000001,129.3134,44.9296,19.8676666666,112.791366667,87.4028000001,43.3002666666,-29.3300666667,85.1198666667
221.23,-303.205133333,-468.076933333,-135.5128,-450.9614,-460.897333334,-168.9102,-316.025533333,-669.615466667,-593.589666666,-26.6667333335
221.61,258.968266667,38.2142000001,230.3572,64.0277333333,-1.11113333334,191.845266667,119.008,51.4285999999,-54.9602666667,73.5318
221.98,163.909266667,63.0013333333,163.143666667,62.7844333334,17.5067333334,139.8475,96.4295333334,59.3834666667,-4.16666666659,61.9580666667
222.36,156.605666667,53.5773999999,149.316333333,60.4395,9.62140000001,127.7471,97.9730666667,41.2575333333,-14.1146666667,58.8400666666
222.74,87.4910666666,17.5687333333,98.7394666666,33.8441333333,-12.5867333334,88.4050333334,63.6977333332,1.58899999986,-23.0764666667,39.2830666667
223.11,106.738066667,-7.91426666654,109.59,24.7593000001,-40.1068666666,96.0961333334,56.524,-3.85026666674,-34.0819333333,21.8893999999
223.49,87.3920000001,29.4155333334,94.1833333333,39.5541666667,11.55,96.8029,57.1079333333,18.8772666666,15.6156666666,55.0751333334
223.87,77.9999999999,30.0231333335,99.2637333333,50.3535666667,36.9914000001,92.0898333334,64.9334000001,28.6377333333,35.6057999999,61.3854666666
224.24,90.4846000001,37.9700666667,118.011533333,70.6683333334,45.7894,117.126133333,82.9824,42.5313333333,53.6844000001,74.0183333333
224.62,127.880133333,56.5350666668,186.476666667,109.810033333,65.3362666667,208.3627,103.538066667,47.1492000002,80.3947333333,103.8304
225.00,-128.095200001,-143.511866667,11.4582666668,-150.7142,-82.7975999999,104.3304,-111.398733333,-234.315533334,-160.297599999,-34.1071333335
225.38,104.253,49.5976666666,120.392866667,61.1638333331,43.7356,177.686833333,72.4618000001,50.0479999998,69.0324666667,75.5457999999
225.75,49.3576,12.6166666667,106.058133333,35.3886999999,15.578,145.760533333,48.9789999999,-5.1926666666,32.3867333334,41.2710666666
226.13,25.1111333332,-7.77766666674,99.1110666667,20.4957999999,5.31626666672,135.282033333,20.3932000001,-19.760666667,12.3418666667,20.2735333333
226.51,-9.4999999998,4.00000000006,54.3333333333,5.66666666666,-1.83333333332,81.4166666668,-10.1666666665,-15.8333333334,0.8333333334,0.83333333326
226.88,58.8794666667,38.7725333334,87.0719999999,44.7523333334,22.4776,105.977033333,33.3559333333,34.6903333333,32.4999333333,24.8535333332
227.26,158.364933333,91.1780666667,159.108266667,113.359266667,60.4014,174.626633333,86.0273999999,96.0831999999,91.9211333333,62.5938000001
227.64,159.960066667,65.5060666666,137.272666667,100.8176,34.0766000001,162.933166667,87.9074666667,74.5284,90.8174666667,41.4464666667
228.01,151.003866667,67.6625333333,117.359666667,93.4253999999,20.9170666667,151.588866667,79.0514000001,67.9683999999,69.4229333334,21.3596666666
228.39,87.4949333333,36.3131333334,80.0808,53.2575999999,-2.30299999994,90.7373666667,46.6870666667,24.2222666667,28.2929333333,-5.50486666674
228.76,48.5952666666,23.3142,51.6348000001,33.196,-3.35559999999,55.2396333333,35.1192666667,13.3685333334,12.1565333333,-0.253133333334
229.14,59.3288666665,14.1332,67.8447333333,37.7597333333,-8.39513333334,59.4326666667,45.3598,20.2336000001,11.5058666667,1.58799999998
229.52,44.1446666667,23.2248,56.1567333333,35.0876,-5.13366666665,50.8859,38.9458666667,21.7080666667,15.3318,8.73433333332
229.89,38.9189333333,30.1802666667,44.1887333333,33.4544,1.74073333334,43.5053333333,35.308,19.6269333333,16.8022,16.2562666667
230.27,35.0115333333,22.0562,34.5617333334,28.6055333333,-3.9458,39.6740333333,29.9251333333,9.45573333332,5.89433333333,10.6614666667
230.65,46.7215333334,23.6812666667,47.6118666667,32.6736666667,3.47753333331,50.0046333333,37.2025333334,16.6714,13.5728666667,12.2064666666
231.02,42.1772666667,25.2682,47.3778666667,38.29,9.35693333332,45.9703666667,32.6119333333,21.8340666667,13.8722,14.4318666667
231.40,29.25,14.4444666667,31.7778,23.3889333333,-0.861066666662,30.7083,24.5833333334,18.4444666667,1.50000000001,5.72226666666
231.78,11.9717333333,-1.41093333332,23.1104,10.5566666667,-16.2074666667,18.4603333333,7.43986666667,7.87573333335,-19.3933333334,-5.13686666666
232.15,13.6486666667,3.74593333331,24.761,12.3719666667,-9.50753333333,20.3773666667,11.6948,10.877,-8.39786666668,3.703
232.53,18.5571333333,5.2058,25.4657333333,15.6726333333,-2.80899999999,18.5844,16.6691333333,15.9250666667,-6.32973333333,3.72359999999
232.90,19.384,4.45986666668,26.7077333333,19.5315,-7.30059999999,12.7315,18.2468,15.122,-6.17606666667,3.5522
233.28,18.2458,4.96346666667,20.3477333333,19.6471,-8.30453333333,13.1314666667,15.6183333333,4.86799999999,-6.2732,-0.772533333346
233.66,15.7524666667,1.5014,17.7068666667,18.1256,-10.4399333333,5.2342,12.8686,4.30019999999,-14.503,-3.62440000001
234.03,7.07053333333,-17.9741333333,15.7843333333,5.64613333332,-26.9706666667,-9.3953,1.76239999999,0.182866666666,-30.4826666667,-20.8674
234.41,11.8834,-12.3192,21.4556666667,10.4877666667,-21.1304,-5.3787,8.75906666668,7.17026666666,-20.6009333333,-12.1538
234.78,-7.44393333334,-34.3836666667,2.626,-8.32103333333,-45.4726666667,-29.3751,-10.8472,-14.979,-43.8760666667,-35.7214666667
235.16,-9.46166666668,-41.7664,0.77013333334,-16.2708,-46.4325333333,-36.1631,-13.1092,-20.4130666667,-40.7330666667,-38.8004
235.54,-9.63653333332,-36.9104,-3.8656,-9.88790000001,-42.0941333334,-33.6551333333,-15.3620666667,-25.4173333333,-32.2305333333,-34.3113333333
235.91,0.63273333334,-22.5732666667,-0.65313333334,-0.058200000006,-30.0342,-26.0618333333,-5.33906666669,-16.6545333333,-18.4128666667,-20.8559333333
236.29,-3.33786666668,-29.1609333333,-8.32166666668,-5.01866666666,-40.8623333333,-33.0513,-10.2050666667,-23.4405333333,-24.8158666667,-29.9021333333
236.66,-17.238,-40.5985333333,-18.5508,-17.8684333333,-56.8776,-45.4219333333,-18.9296666667,-33.6053333333,-38.5760666667,-36.3310666667
237.04,-15.4757333333,-28.9913333333,-17.1967333333,-15.3675666667,-43.4644,-33.8805,-17.8463333333,-28.6380666667,-34.735,-29.9487333333
237.41,-10.1596,-20.2890666667,-9.17506666667,-7.05323333333,-36.3894,-25.2964,-12.5991333333,-12.2968,-29.5967333333,-22.8999333333
237.79,-0.370933333326,-7.53319999999,0.120133333326,7.88076666666,-20.178,-9.07666666667,1.97133333334,-4.95493333334,-10.5064,-7.44333333334
238.17,5.50526666666,-1.5536,6.31426666668,15.6251333333,-11.2824666667,2.78473333334,8.89566666668,3.28253333333,3.84840000001,1.58739999999
238.54,-3.54940000001,-7.37033333333,-3.76726666667,9.86699999999,-17.6298666667,-0.8382,0.923466666666,-4.27146666667,-2.13080000002,-4.532
238.92,-0.183466666674,-3.10773333333,-1.87633333333,14.3085333333,-14.4680666667,5.58886666667,4.96819999999,0.41526666666,-0.28706666666,0.903200000001
239.29,-10.7191333333,-10.8932666667,-16.0565333333,5.14163333333,-25.5992666667,-2.45096666667,-4.379,-9.36819999999,-11.7864666667,-10.1308666667
239.67,-23.1630666667,-21.8628666667,-22.3817333333,-3.70026666667,-32.3056666667,-5.9225,-15.0454,-18.7440666667,-21.8679333333,-20.5254666667
240.04,-7.42186666667,-8.43159999999,-9.43760000001,8.43066666666,-15.8422666667,4.08876666667,-1.58620000002,-6.25966666665,-10.833,-5.42186666666
240.42,-9.08733333332,-9.58566666667,-9.49586666666,6.35076666667,-15.4326,1.67053333334,-3.67553333333,-6.36013333333,-13.5437333334,-4.33760000001
240.79,0.146266666674,-1.81326666667,-1.39660000002,12.1540333333,-7.65946666666,8.36076666667,2.92446666667,-0.251,-5.03353333333,3.37806666667
241.17,-2.07493333332,-5.17220000001,-3.19426666667,9.55306666667,-9.75539999999,6.27503333333,2.05206666666,-2.65353333334,-6.18893333333,1.5946
241.54,-3.77786666667,-6.91206666666,-4.32546666667,7.46713333333,-10.9707333333,4.09833333333,0.526666666674,-3.68266666668,-7.47799999999,0.244800000014
241.92,-5.6962,-7.92686666667,-4.71846666667,4.77563333333,-11.3454,3.03680000001,-1.34793333334,-4.12026666667,-7.73953333333,-1.25806666667
242.29,-7.87446666667,-8.60373333333,-6.16286666666,3.04226666667,-12.7273333333,0.9287,-2.70440000001,-6.72473333334,-10.8988666667,-3.77246666667
242.67,-10.7017333333,-11.0923333333,-7.52186666666,0.628433333334,-15.2529333333,-1.44749999999,-3.40366666665,-9.0962,-14.3140666667,-5.5468
243.05,-8.84140000002,-10.6870666667,-6.07393333333,1.21056666666,-12.8480666667,-0.999933333326,-1.83673333333,-8.08859999999,-12.191,-3.92966666667
243.42,-6.31913333334,-9.49513333333,-3.04233333333,3.04143333333,-10.0338,1.79703333333,0.43193333334,-6.07206666665,-10.1736666667,-1.43559999999
243.80,-2.09253333333,-6.32566666667,-1.04653333332,7.12683333333,-7.29960000001,4.4102,4.69219999999,-3.14746666667,-6.0552,2.55793333333
244.17,-6.47099999999,-10.2543333333,-4.277,3.87576666667,-11.0350666667,1.67350000001,2.61293333334,-5.98413333333,-9.11093333333,-0.781333333326
244.55,-7.98253333335,-11.3308666667,-5.41053333333,2.56136666667,-12.0223333333,0.898300000006,2.57819999999,-7.64246666667,-10.4952666667,-2.3248
244.92,-9.22493333333,-11.1988666667,-6.73166666667,0.819966666666,-12.2895333333,0.41653333334,1.62646666665,-7.76586666667,-10.4012666667,-3.4234
245.30,-3.90946666666,-5.28046666667,-2.56293333334,5.56106666667,-7.07726666667,5.22043333334,5.03106666667,-3.62173333334,-6.00766666667,1.24706666666
245.67,-2.20853333333,-3.30473333333,-1.95853333333,5.75276666667,-5.28986666666,6.0838,6.08353333333,-3.51260000001,-4.66166666667,2.68713333333
246.05,-1.57953333333,-3.5996,-2.5494,5.05540000001,-5.3556,5.48293333333,5.92440000001,-4.47386666666,-6.39100000001,2.06566666667
246.42,0.338533333333,-2.322,-0.912133333335,5.90693333333,-2.92826666667,6.67123333333,7.1534,-2.85619999999,-4.55846666667,3.316
246.79,2.34953333333,-0.320399999999,0.134866666667,7.34686666667,-0.579933333331,7.76536666666,8.13326666668,-0.880999999998,-1.9102,5.15826666667
247.17,3.13293333333,1.0436,1.3376,8.3745,0.100933333334,8.18850000001,9.187,-0.0737333333254,-0.916400000002,5.66826666667
247.54,4.08033333333,2.39186666667,1.91926666667,9.05446666667,0.735200000001,8.73016666667,10.1199333333,0.769933333334,-0.643800000001,6.39966666667
247.92,2.99206666667,2.01546666667,1.50806666667,7.54366666667,0.337866666668,7.85976666666,9.18479999999,-0.009266666666,-1.3284,5.05559999999
248.29,3.45666666667,2.15833333333,1.57166666667,7.2373,0.246533333334,8.25926666667,8.7732,-0.266733333334,-1.20933333334,4.8916
248.67,4.74453333333,3.48773333333,3.037,8.4922,1.77693333333,9.50469999999,9.44866666666,0.8406,0.531333333334,6.047
249.04,4.07980000001,2.4646,2.2242,7.78703333334,0.873999999999,8.96799999999,8.61773333333,-0.1076,-0.26,5.14753333333
249.42,2.99566666667,1.5664,1.45473333333,6.29943333333,-0.192133333336,8.04856666667,8.0966,-0.895066666659,-1.23893333333,3.678
249.79,3.01113333334,1.4242,1.23733333333,6.3106,-0.648333333334,7.63320000001,8.3182,-0.963466666674,-1.80006666667,3.1344
