wavelength,Back_ThrCyam,Belly_ThrCyam,Breast_ThrCyam,Crissum_ThrCyam,Crown_ThrCyam,DorTail_ThrCyam,Patch10_ThrCyam,Patch11_ThrCyam,Rump_ThrCyam,Throat_ThrCyam,WingTip_ThrCyam
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,252.222133333,193.333333333,249.999933333,261.1112,228.3333,206.725532263,210.000133333,192.222266667,171.99996,246.6668,229.444466667
179.16,523.333333334,446.666666667,466.666666667,596.666666667,511.666666667,429.325586694,473.333333333,403.333333333,433.333333333,610.0,618.333333333
179.54,-198.333333333,-133.333333334,-180.0,-211.666666667,-134.166666667,-121.078548644,-128.333333333,-47.5000000001,-123.333333333,-126.666666667,-216.666666667
179.93,-536.666666667,-600.0,-430.0,-633.333333333,-365.0,-479.170653907,-410.0,-410.0,-359.333333333,-436.666666667,-483.333333333
180.31,226.892666667,236.3842,233.898333333,244.971666666,201.468833333,221.7238027,212.316266667,192.824766667,214.214813333,214.350333333,248.587533333
180.69,216.190466667,226.349133333,224.021333333,238.095333333,189.365133333,210.884719298,198.835933333,184.3916,203.978733333,204.656066667,240.264433333
181.07,204.153066667,221.967266667,218.0328,227.9782,175.956166667,206.027572636,189.2896,175.4645,199.366093333,195.628333333,234.4262
181.45,212.8396,237.7778,233.580333333,239.876533333,177.901233333,222.329572966,195.431933333,181.9755,211.555466667,200.246933333,246.357933333
181.83,184.3716,213.442733334,207.868933333,211.8032,157.486366667,197.204911563,171.2568,165.082,191.47552,180.109266667,211.202133333
182.21,148.523133333,165.9072,170.464266667,168.691933333,130.042166667,161.94386571,141.3502,133.713066666,158.0252,149.0296,170.7595
182.59,138.6508,151.9048,165.1588,161.5872,120.515933333,154.303235202,133.0954,124.007866667,146.872813333,140.476266667,159.206533333
182.97,147.5106,159.915466667,176.455733333,176.455666667,129.1983,168.095796936,142.869133333,132.7849,156.438786667,150.126533333,168.8607
183.35,130.946533333,142.3868,156.460733333,160.411333333,113.168666667,153.212709114,127.2428,120.9876,137.036946667,134.320866667,155.720133333
183.73,115.7018,123.6842,142.8068,150.526333333,97.0613666667,141.051473582,109.561266667,104.2543,122.140373333,118.421066667,141.9298
184.11,108.3982,114.718533333,136.103866667,148.5714,90.8658333333,133.748593689,103.3766,98.8744999999,112.554146667,111.168866667,135.844166667
184.49,104.4,113.733333333,157.066666667,173.866666667,82.8,143.407564365,105.733333333,90.5333333332,120.08,118.0,148.2
184.87,94.9091333333,105.454666667,150.666666667,162.060533333,80.3637666667,131.785516268,105.454533333,85.6970666667,120.460586667,109.696933333,132.666733333
185.25,102.820533333,122.179466666,165.256466667,184.358933333,93.5897666667,145.094796696,120.897533333,100.641,134.307586667,118.846133333,146.602633333
185.63,92.9292666666,112.323133333,146.5656,167.070666667,92.1213666666,129.304620324,112.727333333,101.969666667,121.57584,105.3534,133.6363
186.01,96.8687333335,116.6666,150.707,174.4444,98.9393999999,137.976109831,121.7172,108.030366667,127.111093333,106.969666667,143.131533333
186.39,120.915066667,159.869333333,192.4182,230.980466667,124.771166667,177.102519526,152.6796,139.9346,164.86272,128.627533333,186.4053
186.77,151.623933333,210.598266667,236.7522,290.940133334,150.7692,221.117830166,183.9316,175.470033333,206.01708,148.547066666,232.307766667
187.15,122.272866666,183.9394,200.606133333,251.363866667,125.1515,182.67489607,153.0304,151.742366667,176.878826667,127.727333333,199.6212
187.53,132.4,181.466666667,199.333333333,248.533333333,133.333333333,180.722624744,151.466666666,158.133333333,179.546666667,137.333333333,191.533333333
187.91,148.205,194.615466667,210.641,258.3334,149.0384,189.020148656,166.410266667,175.448666667,195.61544,153.3334,202.628166667
188.29,146.3946,196.326466667,206.530466667,258.2312,141.224466667,192.280590169,159.727933333,174.557833333,197.932013333,144.217666667,196.598766667
188.67,147.909466667,192.203333333,190.734533333,234.689266667,141.299366667,186.335052711,146.5538,171.186433333,188.70052,139.322,184.632733333
189.05,183.9456,238.367266667,228.9796,285.17,170.9523,232.784599408,176.734733334,208.299366666,228.516973333,169.115533333,232.1089
189.43,223.4108,273.643466667,262.790666667,327.441866667,198.139633333,266.310418341,209.457466667,245.271233333,273.79848,195.814,270.542633333
189.81,239.459466667,294.954866667,283.783866667,343.964133333,204.234166667,280.229992151,221.441266667,261.351333333,297.765813333,207.207266667,283.7838
190.19,322.564133333,395.128133333,390.2564,464.615333333,264.230833333,370.195483903,282.820533333,358.204966667,404.000093333,276.153933333,386.282
190.57,318.550733334,384.6376,397.681266667,456.811533333,244.202866667,355.107374117,272.753733333,362.753633333,394.666733333,258.5506,387.391133333
190.95,1121.33333333,1442.66666667,1533.33333333,1820.0,809.333333333,1322.44588745,1004.0,1397.33333333,1548.53333333,934.666666666,1480.0
191.33,316.140266667,392.280933333,411.228066667,486.315733333,234.9123,367.674122123,278.947333333,384.2105,433.754333333,258.2456,385.614066667
191.71,251.666666666,328.0,328.333333333,388.0,173.0,286.548644338,229.333333333,298.5,363.8,186.0,319.666666667
