wavelength,Back_ChlSpif,Belly_ChlSpif,Breast_ChlSpif,Crissum_ChlSpif,Crown_ChlSpif,DorTail_ChlSpif,Rump_ChlSpif,Throat_ChlSpif,WingTip_ChlSpif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,23.0555555555,-12.5000000001,8.33333333327,-24.1666666667,25.8333333333,57.5,-4.16666666667,19.1666666666,6.66666666667
179.16,-166.666677778,-328.8888,-313.333333333,-266.666733333,-242.222266667,-131.111,-271.1112,-297.777866667,-193.3332
179.54,-1.29628888888,-23.3334666667,-28.8888666665,-6.66668000008e-05,-11.1111333333,28.8888666667,3.33326666668,-31.1110666667,24.4444
179.93,39.1111111111,76.0,-33.3333333333,36.0000000001,8.0,65.3333333333,46.6666666667,41.3333333333,45.3333333334
180.31,-65.3215222221,-157.543933333,-122.1054,-127.7194,-90.8770666666,36.4912000001,-59.6490666666,-142.456133333,-79.2982666667
180.69,-40.9195000001,-104.8276,-69.6552666665,-78.6206666667,-55.6322,40.9194666667,-36.0919333333,-91.7242666666,-45.7470000001
181.07,-35.3763,-102.150666667,-62.7958000001,-70.5377333334,-40.2150666667,29.0322666666,-29.0322,-90.9677333335,-39.9999333333
181.45,-36.7024,-92.6880666667,-52.0430666667,-63.2259333334,-28.8172,46.0215333333,-8.60220000002,-78.7095999999,-48.6021333333
181.83,-36.1388888888,-82.6666666667,-34.5000000001,-48.3333333333,-19.6666666667,32.0000000001,-5.0,-59.0,-52.5000000001
182.21,-78.7847222223,-151.666666667,-66.4583333334,-88.3333333334,-53.7500000001,21.2499999999,-33.5416666667,-107.083333333,-91.8750000001
182.59,-102.103211111,-180.238266667,-99.7618666666,-106.428533333,-69.5237333333,0.238066666674,-54.9999333334,-141.428466667,-115.238066667
182.97,-61.0582,-121.587333333,-66.5080000001,-57.4604,-49.0476666666,6.34920000006,-36.1904666667,-93.0158666666,-78.4126000001
183.35,-50.4444444444,-104.0,-47.1999999999,-44.4,-40.9333333333,10.4,-26.1333333333,-71.4666666666,-56.2666666667
183.73,-68.0555555555,-131.833333333,-57.6666666666,-70.3333333334,-51.8333333334,14.9999999999,-30.6666666667,-93.8333333331,-64.6666666666
184.11,-41.6573222222,-79.2090666667,-35.2542666667,-39.209,-24.4066666667,21.4689333334,-11.8644,-56.1580666667,-37.7402666667
184.49,-23.2374,-51.2758,-16.9548,-14.5678666667,-4.27993333334,28.0658666667,-1.81066666668,-26.0904,-17.6956
184.87,-17.9055888889,-42.2221333333,-13.8697333333,-8.88886666664,0.996333333326,30.7280666667,2.75866666667,-18.7741333333,-12.6436
185.25,-27.2670222222,-44.5976666667,-23.3717333333,-13.9464666667,-9.34866666667,28.0459333333,-2.68199999998,-22.4520666667,-20.2299333333
185.63,-10.3203888889,-27.7564666667,-4.93573333331,0.705199999992,4.61540000001,31.8588666667,6.73086666668,-9.42313333335,-3.26926666667
186.01,-1.09192222223,-16.092,2.35633333334,6.72426666665,8.79306666667,36.5517333333,13.6781333333,-5.862,5.51713333333
186.39,9.78964444446,-0.180199999994,15.3604666667,15.045,18.1532,38.3782666667,21.3965333333,6.39646666667,12.3423333333
186.77,14.2286,5.5618,20.9524666667,18.3998666667,22.7807333333,38.7047333333,23.8094666667,10.8571333333,14.8190666667
187.15,15.4020666667,8.72913333333,23.5356666667,20.5892,24.8987333333,37.3113333333,25.4144666667,14.07,16.8692
187.53,17.3699222222,12.2341333333,24.1844,23.5106,27.8014,36.4538666667,26.3830666667,14.9646,17.3404666667
187.91,17.1435777778,15.0504,24.9158,26.9698,28.6867333333,35.3534666666,28.2154666667,15.9596,20.707
188.29,16.3677111111,12.7242666667,23.6209333333,25.3807333334,26.5651333333,32.8935333334,27.3773333333,16.1422,19.8308
188.67,12.9441555556,8.92653333333,21.4689333333,23.5028,21.9586,31.2993333333,23.3145333333,12.4293333333,14.5386
189.05,14.6804333333,10.6145333333,20.7076,25.3258666667,22.2719333333,29.1619333333,23.9106,13.6312666667,16.3872666667
189.43,17.4330222222,13.583,23.5294666667,28.5204,26.1318666667,31.0516666667,26.1674666667,16.221,19.4296666667
189.81,16.2365888889,15.7347333333,21.7921333333,31.0036666667,25.5196666667,29.785,26.344,19.8566,20.1432666666
190.19,15.2080777778,15.6426,21.3034666667,31.7690666667,26.8901333334,29.0876666667,25.2514666667,24.3948,21.3036666667
