wavelength,Back_HemTrif,Belly_HemTrif,Breast_HemTrif,Crissum_HemTrif,Crown_HemTrif,DorTail_HemTrif,Patch10_HemTrif,Patch11_HemTrif,Rump_HemTrif,Throat_HemTrif,WingTip_HemTrif
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,112.0,154.666666667,54.6666666666,92.0000000001,96.0,108.0,86.6666666667,144.0,114.666666667,101.333333333,121.333333333
179.16,29.6295333333,25.1851333333,21.4813333333,-0.740666666666,34.0742,14.8148,19.2591333333,48.1481333333,37.0370666667,14.0740666667,34.8148666667
179.54,226.666666667,226.666666667,113.333333333,6.6666666666,-160.0,-73.3333333335,40.0000000001,300.0,213.333333333,-2.00009253604e-10,233.333333333
179.93,11.6666666667,75.0000000001,73.3333333334,106.666666667,118.333333333,86.6666666667,-8.33333333334,30.0000000001,56.6666666667,73.3333333333,150.0
180.31,61.7543333334,58.2455999999,-68.4209333333,-54.7367333335,-31.2281333334,-69.1228,21.7543333333,74.0351333333,44.2106000001,-3.85966666672,-23.1580000001
180.69,67.8261333333,59.9999333333,-67.5362666667,-40.0000666665,-15.942,-53.9131999999,17.6812666667,70.1449333333,46.9565333332,-1.73913333328,-17.1014666667
181.07,31.282,19.2308000001,-84.1025999999,-61.282,-43.5897333333,-77.1795333333,-2.56419999992,30.2563333333,15.6409333334,-32.3077333334,-51.0256666668
181.45,30.3333333333,5.33333333334,-129.0,-85.0,-74.3333333333,-108.666666667,-23.6666666667,10.6666666667,-2.0,-50.6666666667,-91.0
181.83,-54.8147333334,-111.8518,-398.5186,-277.036933333,-245.925866666,-345.925866667,-164.444333333,-99.2592666668,-102.963,-224.444466667,-340.000066667
182.21,-4.9122666668,-18.9473333332,-164.5614,-77.5438000001,-76.8419999999,-134.035,-58.9474666667,-25.6140666668,-1.40353333334,-79.2983333333,-117.8948
182.59,52.8204666666,40.0000666667,-65.1282666667,12.0513333333,7.43586666666,-39.9999999999,9.74366666666,31.0255333334,53.0768666667,-5.64100000001,-30.2562666667
182.97,52.1428666666,55.7142666665,-39.0476,34.7619333334,30.7142000001,-19.0476666667,22.1427999999,47.1428000001,75.2382000001,9.76186666669,-10.7142666667
183.35,46.0604666667,60.6059999999,-56.3635999999,41.5151999999,38.4847999999,-51.5150666667,27.5758000001,47.5757333333,105.1516,-0.60606666668,-30.3028666667
183.73,59.6296666667,60.0000666667,-3.1482,50.5553999999,48.7037333334,-1.1111333334,40.9258,57.5926000001,99.0741333333,30.5556,14.8148666667
184.11,60.1852000001,62.9628666665,-7.40720000002,48.7036666665,43.5184666666,-6.85179999993,35.1851333333,52.2222666667,96.1111999999,23.5186,17.7778666667
184.49,57.5509333333,61.2244666667,7.483,48.1632666667,50.4762,14.558,37.0067333333,52.2448666667,80.8163333332,29.1156,24.4898666667
184.87,45.606,58.7880000001,3.78793333332,46.9696666667,38.7879333334,-1.96953333339,34.6968666667,43.7879333333,80.7575333335,28.7878666667,15.1514666667
185.25,48.2828666668,80.4040666666,-6.46473333334,59.7980666667,51.1109999999,-7.2728,28.0807333333,46.2626,100.201866667,27.2727333333,17.9796
185.63,27.2000000001,91.4666666667,-50.4,31.4666666667,34.9333333333,-55.1999999999,8.79999999992,33.0666666667,109.333333333,1.59999999995,-15.2
186.01,68.2666666667,141.6,-16.8000000001,58.6666666666,67.9999999999,-18.9333333334,54.9333333333,68.0,137.333333333,36.8,19.4666666667
186.39,82.8571333332,181.904666667,-9.20626666661,67.9365333333,91.1110666667,-3.17453333326,72.0634666667,93.0157999998,172.380933333,49.5237999999,33.6507333333
186.77,18.8889333333,145.925933333,-85.9259999999,3.70379999993,25.1852666666,-63.7037333331,23.3333999999,22.9630000001,133.703666667,-22.9629999999,-23.3333333334
187.15,-41.9608,108.235333333,-129.804,-37.6471333333,-22.3529333334,-103.137333333,-23.9214666667,-31.3726666666,81.1764666666,-75.2941333334,-63.1372666667
187.53,-50.5882,88.6274666666,-148.235333333,-64.3136666666,-37.6471333335,-117.254933333,-78.8234666669,-55.2941999999,57.2549333333,-106.6666,-63.5294666666
187.91,-75.7142666667,113.3332,-203.333266667,-92.8571333335,-82.8570666668,-168.095266667,-133.8094,-95.2380000001,35.2381333331,-168.095266667,-100.952333333
188.29,8.51860000012,157.037133333,-85.5554666667,-13.7036000001,-7.77793333321,-60.7408,-45.1850666667,-17.4074666667,90.7407333334,-70.0001333334,-5.92593333346
188.67,-87.2727333334,184.2424,-238.787866667,-92.1211333334,-98.7878666667,-207.878866667,-125.454666667,-110.3032,81.2120666668,-203.6364,-103.636333333
189.05,-26.6667333333,248.8888,-154.444533333,-38.3333333333,-22.7778000001,-100.555466667,-58.8887333335,-42.2222666667,119.999933333,-158.888933333,-18.8888666668
189.43,37.8494666667,138.494666667,-9.67746666659,25.1612666667,34.6236,1.0752,29.8924666665,28.6022,86.8817333333,-15.6990666667,36.3441333333
189.81,49.5934,113.983733333,12.0325333333,50.5692,50.8942,30.2438666667,40.8131333332,38.2114666667,75.4471333333,2.76426666666,60.8130000001
190.19,42.9457333333,105.5814,10.8528000001,53.0232666667,54.1084666667,28.2170666667,34.2635333333,37.0543333333,71.7828666667,2.32560000001,69.3022000001
190.57,28.889,105.128266667,1.53833333327,41.8804,40.0,-0.85466666666,24.4444000001,17.9486666666,51.9657333333,-16.5812,58.6325333334
190.95,36.0000666667,113.7778,22.3703333333,53.9259333333,57.926,13.9259333333,38.8147999999,34.3702,54.9630666667,-0.88886666668,71.1111333334
191.33,58.156,129.3616,36.8795333333,72.3404666667,73.0496666667,37.163,49.9291333333,53.1914666667,75.1772666666,17.1632,90.6382000001
191.71,61.0666666667,133.333333333,49.0666666667,83.7333333335,82.5333333333,51.3333333333,63.0666666667,59.3333333333,85.0666666667,33.2,102.933333333
192.09,45.7406666665,150.925866667,42.4074666666,95.9259333332,87.7778666666,45.5554666667,56.6666000001,53.8888000001,87.7777333335,20.9260000001,111.2962
192.47,-2.5642000002,134.1026,1.02560000008,90.2564000001,77.9486000001,12.0512666666,33.8462,13.8461999999,61.5384,-28.2050000001,100.512866667
192.85,24.7310666668,134.1936,37.6344,97.4193999999,96.7742000001,53.9784666667,44.9462666665,24.3011333333,76.9892666667,-3.44100000006,112.9032
193.23,22.9823999999,110.701733333,33.6841333333,77.1929999999,89.4735999999,53.8595999999,44.2104666667,18.9474,70.8772666666,2.80693333334,97.0175333333
193.61,-2.14279999994,120.9524,11.9047333334,81.4286,83.0952666665,52.8570666667,34.0475333331,1.6668,74.9999999999,-19.5238,107.381
193.99,-4.93833333334,137.530933334,20.2470000001,86.1727333333,87.1604000001,47.9013333333,35.0616666667,1.72839999994,85.6791333333,-15.0617333332,97.5308666667
194.37,-13.8596000001,84.2105333333,0.3508666666,55.2630666666,44.5613333333,21.5790000001,5.96506666652,-19.9998666667,48.4210666667,-21.9298666667,49.6490666667
194.75,-4.71539999994,77.7236666666,6.01613333325,66.8292666667,55.2846,42.4389333333,17.0733333334,-9.91859999994,52.195,-7.47959999999,59.3495333333
