wavelength,Back_ConTamf,Belly_ConTamf,Breast_ConTamf,Crissum_ConTamf,Crown_ConTamf,DorTail_ConTamf,Patch10_ConTamf,Rump_ConTamf,Throat_ConTamf,WingTip_ConTamf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-172.083333333,-74.9999999999,-79.1666666666,-62.5,-250.0,-225.0,-304.166666667,-16.6666666668,-66.6666666667,-133.333333333
179.16,44.166675,40.9091666667,24.5791944445,78.03025,15.1515833333,28.7879166667,18.18175,57.5758333333,39.3939166667,32.5758333333
179.54,41.0186833333,47.6851666666,39.609074074,43.0555833333,44.9074166667,49.074,36.1110833334,55.5555,38.426,49.0741666667
179.93,57.5000166667,70.83325,77.4689907408,62.5,47.2222499999,80.5556666666,74.9999166667,106.944416667,48.6110833333,52.77775
180.31,0.902841666675,12.9629166667,4.12809259258,19.6759166667,-3.00933333332,-9.83783333333,-6.36566666667,39.2360833333,-2.08333333332,-12.9628333333
180.69,-3.706825,5.26808333333,0.0638981481575,13.1225,-8.90808333333,-13.4100833333,-13.1225,31.89675,-8.23758333333,-16.475
181.07,-2.0789,5.24050000001,-0.0764166666675,14.17525,-0.687166666675,-7.56016666668,-8.41925,30.92775,-9.53608333332,-14.0035
181.45,-3.55277499999,4.03508333333,0.08786111111,10.7018333333,1.40333333332,-9.47366666667,-7.45599999999,32.3685,-13.5965,-14.3858333333
181.83,-17.0166416667,-12.34575,-17.5240648148,-2.05749999999,-14.7119166667,-29.321,-21.60475,21.3991666667,-31.893,-33.2305
182.21,-22.4573083333,-18.483,-24.9881203703,-6.19666666669,-19.5514166667,-42.0939999999,-30.342,19.4444166667,-34.6153333332,-36.0044166667
182.59,-16.775775,-12.8968333333,-18.2431111111,-0.99208333334,-14.4840833333,-36.8055833333,-25.496,22.123,-24.00775,-25.9919166667
182.97,-15.46875,-14.1666666666,-17.5462962963,1.45833333332,-13.9583333333,-38.6458333333,-26.3541666666,21.7708333334,-26.5625,-27.2916666666
183.35,-0.045725,-0.915750000008,-4.62966666665,14.8351666667,4.8535,-21.2453333333,-11.1720833333,34.4323333333,-14.6519166667,-9.52375000001
183.73,-14.4583333333,-11.9791666667,-16.9560185185,10.4166666666,-0.729166666675,-34.375,-23.125,29.1666666667,-27.1875,-18.6458333333
184.11,-25.8592333333,-23.1769166667,-24.1462685185,8.98450000001,-5.72891666667,-45.18225,-34.8956666667,31.5105833333,-44.4008333333,-20.1821666667
184.49,-39.9666666666,-27.5,-26.8148148148,7.5,-9.49999999992,-54.9999999999,-46.6666666666,34.3333333333,-55.8333333334,-22.1666666667
184.87,-29.3605,-11.2400833333,-15.7837407408,29.8447499999,17.2481666668,-45.9303333334,-36.4341666667,62.20925,-43.9923333333,1.7441666667
185.25,-45.7207083334,-21.6216666668,-36.1860833333,21.6215833333,2.70275,-71.3963333334,-57.20725,59.0089999999,-57.4324166667,-6.98183333334
185.63,-54.3467916666,-27.0269999999,-47.9979722222,15.5404166667,-11.0360833334,-75.4505833332,-74.5495833332,48.6485,-65.5403333333,-27.027
186.01,-43.046875,0.260416666575,-18.6921296297,52.6041666667,25.2604166666,-50.2604166668,-60.4166666668,96.3541666668,-44.2708333333,-3.125
186.39,-34.3888083333,20.0000000001,-9.56783333333,73.3335,40.0001666667,-24.4444999999,-56.6665833333,114.4445,-44.7221666667,-1.66666666667
186.77,-52.1296083333,36.5740833334,-9.4136111111,126.851666666,78.2407500003,-18.5185833334,-97.6851666667,213.425916667,-81.9443333334,10.6482500001
187.15,-1624.16666667,341.666666668,-631.48148148,1600.0,1141.66666667,-1000.0,-2683.33333333,3433.33333333,-2258.33333333,-325.000000002
187.53,167.500091667,-16.6665833332,56.2500555555,-117.361083333,-113.194416667,115.972333333,276.388916667,-259.027666667,186.8055,69.4443333334
187.91,36.1110333333,872.222249999,482.407435185,1094.44441667,1161.11108334,294.444333333,-474.999916666,1597.22225,-61.1110833333,333.33325
188.29,48.3333333325,2300.0,1346.2962963,2941.66666667,3341.66666666,633.333333332,-1791.66666667,4525.0,-416.666666666,541.666666668
188.67,210.3125,406.25,323.726851852,525.0,593.749999999,235.416666667,-69.7916666667,755.208333333,83.3333333333,215.625
189.05,-675.555458333,-1083.33333333,-972.839592593,-1347.22216667,-1622.22241667,-722.222249999,113.888999998,-1977.77775,-244.444500001,-583.33325
189.43,-248.4524,-297.023833333,-302.314925926,-333.928666667,-426.1905,-251.190583333,-50.0000000001,-484.523916666,-132.142916667,-187.500083333
189.81,-110.134433333,-128.7635,-147.072962963,-141.128833333,-199.731166667,-105.914083333,-19.8925,-206.98925,-65.3225000002,-84.6775833332
190.19,-82.4999000002,-81.5892499999,-96.2102777779,-83.5271666666,-137.403166667,-61.6278333333,1.55033333325,-133.1395,-36.8215833334,-55.0388333333
