wavelength,Back_CyiCyim,Belly_CyiCyim,Breast_CyiCyim,Crissum_CyiCyim,Crown_CyiCyim,DorTail_CyiCyim,Patch10_CyiCyim,Rump_CyiCyim,Throat_CyiCyim,WingTip_CyiCyim
192.09,-242.307666667,-179.615216667,70.5126666665,-270.512583334,61.5386666667,-233.333333333,-110.2565,-146.154,67.9485000002,14.1028333333
192.47,-294.444333334,-226.250183333,-36.1111666665,-359.722166667,79.1665000001,-308.333333334,-174.999833334,-166.666666667,25.0,-8.3335
192.85,-352.083333334,-243.125,-37.5,-413.541666667,195.833333333,-366.666666667,-164.583333333,-127.083333333,58.3333333333,-33.3333333335
193.23,-783.333333334,-574.444366665,-66.6666666665,-958.333333335,538.888833333,-894.444333335,-338.888833334,-105.555333334,72.2223333335,-11.111
193.61,-429.166666667,-445.416666667,20.8333333335,-645.833333335,441.666666667,-758.333333331,-195.833333333,-12.5,91.6666666665,-112.5
193.99,1333.33333333,2043.33333333,200.0,2566.66666666,-1533.33333334,3033.33333334,333.333333333,233.333333335,-300.0,350.0
194.37,133.3335,198.055533333,-147.222166667,273.611,-286.111,419.444333334,-38.889,-16.6666666665,-158.3335,-100.000166667
194.75,31.1111666668,51.1112666665,-66.6668333333,34.4446666665,-141.111,105.555833333,-20.0,-37.7776666665,-97.7778333334,-117.777833333
195.13,10.784333333,65.0001166665,-105.8825,40.1958333335,-107.843166667,96.0785,-8.82383333335,-50.9803333335,-89.2158333333,-122.549166666
195.51,45.3705000002,83.7038166666,-66.6668333333,50.463,-80.5555,125.926,21.296,-36.1113333335,-50.0,-97.2221666665
195.89,66.6666666665,102.395833333,-9.375,82.2916666665,-32.2916666667,162.5,52.0833333335,-13.541666667,15.625,-45.8333333332
196.27,46.6668333332,94.66655,0.0,62.2220833335,-53.3333333333,122.222166667,-3.33316666665,-59.9998333333,-14.4443333335,-47.7778333333
196.65,2.3808333335,65.23835,-64.2856666667,-16.6666666665,-48.8093333333,64.2856666669,-64.2856666665,-100.0,-40.4761666665,-126.190666667
197.03,-516.666666665,46.666666667,-2516.66666666,-725.0,-1216.66666666,316.666666669,-1666.66666667,-2333.33333333,-1500.0,-2416.66666666
197.40,3.3331666665,29.5557333333,173.333333334,25.5558333335,45.5555,-21.1111666666,97.7775000001,119.999833333,60.0,134.4445
197.78,8.0248333335,32.71625,84.5676666666,29.6296666666,25.9258333333,17.9011666666,53.7038333333,74.0740000002,35.1853333331,100.617166666
198.16,24.4445,56.0372166666,68.889,40.92575,36.2961666667,37.7778333333,57.4076666666,74.4445,55.926,94.4445000002
198.54,29.514,51.6319833333,63.889,44.792,36.1111666666,37.5,60.7636666666,75.0,48.2638333333,92.0138333335
198.92,26.5431666667,45.0001,58.6421666666,39.3516666667,21.6051666666,27.1603333333,53.3953333334,66.6668333331,32.4075,83.0246666667
199.30,30.6818333334,58.7121833333,60.6061666666,75.9469166666,14.394,18.9395,64.3941666668,67.803,15.909,112.121166667
199.68,48.0951666665,104.9524,83.3331666667,132.381,31.9048333334,41.4286666667,110.952,97.1426666668,33.8095000001,167.142833333
200.06,53.4483333332,135.28715,111.494,168.678333333,55.1723333334,71.2645,136.781833333,111.494333333,41.9538333334,216.666833333
200.44,32.716,132.962883333,97.5308333333,152.77775,34.5678333334,44.4445,125.308666667,92.5926666665,25.9258333332,216.666333334
200.82,24.4791666667,136.458333334,110.416666667,147.135416667,45.8333333333,52.0833333333,128.125,98.9583333332,32.8125,183.854166667
201.19,36.8055,187.152833333,165.972333333,199.652916667,49.3055,75.6945,173.611166666,120.833333333,24.3055,232.638833334
201.57,175.0,601.041666667,639.583333333,713.541666666,245.833333334,320.833333334,660.416666667,458.333333333,172.916666667,760.416666667
201.95,230.303,592.272633333,636.3635,648.484583334,260.605833334,349.999833334,678.787666666,416.666666667,227.2725,660.605833333
202.33,-3116.66666666,-6741.66666666,-7633.33333334,-7266.66666666,-2500.0,-3666.66666666,-7133.33333334,-4400.0,-2066.66666667,-6816.66666666
202.71,4033.33333334,8426.66666667,8233.33333334,7691.66666666,3466.66666666,4533.33333334,8466.66666665,5450.0,3233.33333333,7600.0
203.09,1600.00016667,3266.11123334,3022.22216667,2761.11116666,1472.22216667,1827.77766666,3261.11116666,2133.33316667,1422.22216667,2811.111
203.47,389.215666666,695.686533333,632.352833333,557.843083333,352.941166666,465.686166667,645.098,492.157,350.9805,549.019666667
203.85,441.111166667,792.66655,712.222333333,609.444416667,365.555666667,476.6665,695.5555,524.444333333,347.777833333,570.0
204.22,441.666666667,791.979166667,737.5,638.541666666,377.083333334,454.166666666,706.25,551.041666667,369.791666667,572.916666667
204.60,316.666833333,538.461483333,488.461166666,436.218,260.897333334,310.8975,466.6665,376.923,257.051333333,391.666666666
204.98,363.194333334,594.652733334,509.7225,456.944333334,263.888833333,315.277666666,502.083333333,396.527666667,272.916833333,413.888666667
205.36,327.586166666,496.551666667,397.701166667,393.67825,231.609166667,242.528666667,429.885,344.253,233.908166666,345.977166667
205.74,249.224833333,354.418483333,258.914833334,282.17075,172.480666667,179.844833333,306.9765,238.372,177.519333333,254.263333333
206.12,332.258,463.978566667,322.043,360.483916666,215.5915,202.688166666,382.258166666,316.666833333,213.441,329.032333333
206.50,323.655833333,458.494633334,327.957166667,369.354916667,221.505333333,209.14,396.774333333,332.795833334,215.5915,331.183
206.87,316.666666666,428.541666667,326.5625,373.697916666,185.416666667,196.875,369.791666666,316.666666667,193.75,311.458333334
207.25,232.954666667,297.992316666,236.363666666,274.242583334,133.712166666,147.727333334,269.318333333,222.727333333,148.106,202.651333333
207.63,186.478166666,239.6543,200.314666667,230.50325,112.893166667,114.779666667,219.496666667,172.0125,136.478,165.408666667
208.01,164.150833333,209.056633334,186.792666667,210.691833333,94.0251666668,110.692,196.541,155.031333333,124.528166667,157.547333334
208.39,152.046666666,189.883033333,170.760166667,204.970833334,90.9356666667,99.7076666666,188.011666667,138.304,115.789333333,152.924
208.77,189.393833333,240.606233334,231.4395,270.454583334,109.091,141.287833334,238.6365,160.985,139.393833333,184.8485
209.14,158.012833333,197.788383334,201.282,226.282,93.5896666665,128.5255,190.064,122.115333333,109.935833333,160.897333334
209.52,177.6315,250.745633333,275.000333334,276.096416666,92.1051666665,166.666833333,239.4735,135.965,128.508833333,196.491166667
209.90,195.098,287.9412,327.451,313.4805,88.7254999999,182.352833334,263.235166666,160.294166667,148.039166666,217.156666667
210.28,160.0,251.0,304.166666667,268.333333333,85.8333333335,170.416666667,230.416666667,133.333333333,138.75,176.666666667
210.66,162.790666666,249.922366667,295.736666667,278.68225,107.751833333,159.302333333,237.597,137.209333333,150.000166667,181.007333333
211.03,145.678833333,221.636,254.012166667,241.97525,114.197666666,147.8395,212.963,134.876333333,140.1235,168.518666667
211.41,149.712666667,224.97135,254.5975,238.792916666,117.528666667,147.126333333,214.655333334,143.9655,137.068833333,171.551666667
211.79,147.618833333,230.476,244.643,240.476166667,117.262,141.666833333,228.571166667,150.892666667,131.5475,176.190333334
212.17,133.333666666,196.98185,200.900833333,199.77475,111.937,126.5765,196.171166667,133.108166666,119.369166667,147.522333333
212.55,128.538833333,194.3609,186.758166667,178.652833333,103.652833333,119.4065,190.867666666,134.475,116.666666666,135.616166667
212.92,133.064333334,196.344066666,194.3545,185.752666667,104.838666666,112.096666667,205.645,145.161333333,123.1185,132.258166667
213.30,159.876333333,226.57385,232.407666667,232.716333333,130.246666667,137.654333333,248.457,185.185333333,154.321,154.0125
213.68,165.847,203.606483334,203.0055,226.366083334,138.5245,130.601166667,225.136666667,174.863333334,152.185666666,153.825
