wavelength,Back_DigAlbf,Belly_DigAlbf,Breast_DigAlbf,Crissum_DigAlbf,Crown_DigAlbf,DorTail_DigAlbf,Patch10_DigAlbf,Rump_DigAlbf,Throat_DigAlbf,WingTip_DigAlbf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-100.0,-270.0,-251.666666667,-120.0,-53.3333333333,-170.0,-180.0,-220.0,-200.0,-166.666666667
179.16,7.40753333334,-36.2963333333,-14.0739333333,4.44426666665,40.7406666666,29.6296,2.963,-31.8518000001,-8.88886666666,15.5554
179.54,-1.48146666666,-62.2222,-54.8148333333,-20.7408666667,8.88886666666,2.22233333334,-38.5184,-52.5925333333,-33.3332,-20.7408
179.93,-6.66666799997e-05,-61.9047333334,-47.6189333333,-28.5714666667,9.52373333332,5.7144,-30.4763333333,-22.8570666667,-21.9046666668,-11.4286
180.31,-68.8461333333,-108.333466667,-104.422966667,-73.4616,-12.1796,-31.1538,-88.9743333334,-96.6667333333,-78.3332666666,-63.7179333334
180.69,-86.5384000001,-129.743466667,-128.0769,-89.4872,-26.4103333333,-47.9487333333,-102.3076,-112.051266667,-96.4103333334,-83.2050666666
181.07,-99.8716666666,-135.640933333,-142.500133333,-96.7946666667,-35.5129333333,-55.0,-109.358933333,-116.4102,-102.564133333,-95.3846666667
181.45,-125.652133333,-161.8842,-178.0435,-121.014533333,-54.9276000001,-71.4491999999,-136.956466667,-136.6666,-122.608666667,-116.086933333
181.83,-227.957,-261.720466667,-291.612833333,-205.8064,-108.602266667,-131.3978,-232.903266667,-224.516133333,-206.6668,-198.924733333
182.21,-199.8148,-217.036933333,-255.555533333,-172.2222,-91.6665999999,-111.111066667,-200.370333334,-194.444333333,-174.0742,-170.3704
182.59,-228.761733334,-239.047666667,-290.381033333,-198.857133333,-120.0,-140.190466667,-224.952466667,-230.476133333,-198.476266667,-201.333266667
182.97,-269.583333334,-276.666666667,-321.5625,-226.25,-145.416666667,-155.416666667,-252.708333334,-265.0,-217.5,-234.375
183.35,-359.743666667,-363.333266667,-426.923166667,-311.538466667,-216.153933333,-224.102533333,-327.179466667,-351.282066667,-293.076933333,-311.282
183.73,-410.434666666,-411.594266667,-483.478133333,-351.8842,-247.826066667,-266.666666667,-363.1884,-405.217333333,-328.6956,-355.652266667
184.11,-335.238066667,-331.1904,-382.500066667,-277.142866667,-189.047533334,-209.285733333,-293.5714,-311.666666667,-259.2856,-279.761866667
184.49,-197.519466667,-194.4186,-224.4962,-161.240266667,-103.100666667,-118.294733333,-171.0078,-187.286933333,-145.116266667,-157.364333333
184.87,-161.333333333,-150.266666667,-180.733333333,-128.4,-74.2666666667,-86.7999999999,-138.666666667,-152.266666667,-107.333333333,-119.866666667
185.25,-145.621,-127.7124,-155.294066667,-114.3792,-55.1633333333,-71.1110666667,-119.2158,-133.464,-83.6601333333,-95.4248666667
185.63,-156.933333333,-127.333333333,-156.0,-125.6,-56.5333333333,-83.8666666667,-121.066666667,-139.2,-84.5333333334,-104.133333333
