wavelength,Back_TanCypm,Belly_TanCypm,Breast_TanCypm,Crissum_TanCypm,Crown_TanCypm,DorTail_TanCypm,Patch10_TanCypm,Rump_TanCypm,Throat_TanCypm,WingTip_TanCypm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,91.6666666667,20.8333333332,95.8333333334,4.16666666665,8.33333333332,68.7499999999,112.5,-47.2222222222,25.0,-137.5
179.16,-175.0,-183.333333333,-33.3333333333,-233.333333333,-358.333333333,-116.666666667,-450.0,-266.666666667,-33.3333333333,-233.333333333
179.54,36.6666666667,30.0000000001,26.6666666667,46.6666666667,-66.6666666667,35.8333333333,-43.3333333333,-41.1111111111,70.0,-9.99999999992
179.93,38.4259166667,31.0185,45.3704166667,40.2776666666,25.0000833333,47.4535833333,25.926,16.0494722222,47.2221666667,8.79633333333
180.31,57.08975,57.5870833333,64.0548333333,64.8010833333,20.5224166667,61.5672083333,31.3433333333,15.2984722222,68.9055833333,18.0348333333
180.69,62.09675,66.1290000001,74.8656666668,75.5375000001,20.9675833333,70.9005416668,39.3815833333,19.1755833333,80.10775,17.6076666667
181.07,54.9296666667,66.3145833333,64.9060833333,71.0095,22.53525,64.436875,35.0939166667,26.9170277778,79.9295833333,24.4131666666
181.45,60.7844166667,75.4901666666,67.7451666667,74.5098333334,35.7843333333,72.7942083334,50.098,42.3202777778,83.4313333333,39.2155833333
181.83,64.6875,82.5000000001,70.8333333333,75.6250000001,40.5208333333,79.4270833334,60.625,47.2569444444,86.1458333335,41.25
182.21,69.0789166667,92.9825833334,73.7938333333,81.57875,51.4253333334,81.4693749999,69.9561666667,57.4561666666,93.0920833334,50.10975
182.59,62.44725,85.4431666668,68.1434166666,73.4176666667,49.5781666667,83.5971666666,63.8185,59.7749722222,90.1900000001,48.9450833333
182.97,73.1011666667,95.2532500001,79.3248333333,82.2785,64.4514166667,94.6201666666,75.0000000002,76.4064166666,98.3123333334,64.4515833333
183.35,69.75,86.6666666668,74.0,69.6666666667,65.0,87.3333333334,67.5833333333,69.1944444444,87.1666666667,69.4166666667
183.73,76.8601666666,90.9970000001,80.1340833333,76.7859166667,76.4882500001,93.8245,72.0238333333,77.3809722222,91.29475,77.60425
184.11,80.2239166667,91.2935833332,80.8459166666,78.8556666666,79.0422499999,91.4802083333,76.4925833334,81.2189166667,87.4999166666,79.6640833334
184.49,79.2977500001,86.6352499999,75.9434166666,76.2578333333,78.5113333333,86.7399583334,76.8343333334,80.6778611111,83.1236666667,77.6205833333
184.87,75.248,82.0436666667,69.0475833333,70.8334166667,74.7024166667,80.505875,70.48625,75.2646666667,77.0336666667,76.0914166667
185.25,74.4185833333,78.4399166667,67.92625,69.7189166667,73.1105833334,79.7965416667,68.07175,71.6891944445,75.1937500001,75.1938333333
185.63,71.0814166667,75.9921666666,66.5674166667,68.8988333333,71.5774166667,77.5297083333,65.5754166667,66.2202222222,73.4623333334,72.8174166667
186.01,67.8765,74.0591666667,64.4715833333,68.1450833334,70.96775,73.7903333333,62.90325,65.3821944444,70.29575,70.0269166667
186.39,69.21675,74.2258333334,64.0254166667,68.989,69.0799166667,75.250375,62.9325833333,65.589,71.4480000001,70.765
186.77,72.0109166667,76.4943333333,66.1231666667,71.3315,72.2824166667,76.7435416667,64.3116666666,67.24025,73.6865833332,73.4148333333
187.15,69.0475,73.4431666667,62.7289166667,70.1923333333,70.0091666667,74.5192083333,61.67575,63.5073611111,71.6118333334,69.5055
187.53,60.7953333333,69.6969166666,57.4811666667,66.5718333333,65.53025,68.2291666667,57.8598333333,59.6273888889,65.6249166667,60.4165833333
187.91,55.303,64.293,50.7575,58.4848333333,58.6364166666,63.6109166667,53.3334166667,52.9293055556,61.86875,54.5960833333
188.29,49.8310833334,57.4886666667,43.4120833333,54.2230833333,52.8716666667,60.1350833333,47.5224166667,44.5759166667,59.96625,52.6464166667
188.67,50.4596666667,62.0115,47.0115833334,59.71275,55.6321666667,61.8389166667,48.8506666667,46.3601388889,65.2300833333,55.51725
189.05,47.0198333334,57.5054166667,45.4745,57.56075,54.5254166667,56.9812916667,46.0265833333,45.1803611111,64.1831666667,53.9735
189.43,47.08025,60.64475,47.0801666667,60.3406666667,56.8735,56.6909583334,48.9051666666,46.9790277778,66.1801666666,54.5621666667
189.81,49.9328333333,62.5,45.5643333333,61.492,60.28225,59.9462083333,51.1425,52.1280833333,66.0618333333,58.80375
190.19,48.76025,61.0880833333,43.5950833334,61.6391666667,59.43525,57.1625833333,48.6226666666,49.2425555555,64.6005,63.3608333333
190.57,33.63375,49.1741666667,32.3574166667,50.8259166667,51.3513333333,44.8572916667,35.28525,37.1870833333,51.877,55.7055
190.95,17.8441666667,36.7753333333,13.5868333334,39.6739166667,37.9529166667,27.8532916667,23.3696666667,22.8864166667,36.9565833333,49.3660833333
191.33,10.1373333333,31.9589166667,6.95875,31.2715,32.38825,18.2129583333,16.6666666667,19.2726944444,30.0686666666,45.9623333334
191.71,-1.46399999997,20.3829166667,-11.0359166667,30.7433333334,24.0990833333,4.56070833332,2.13966666666,6.94449999999,27.7026666667,53.8289166667
192.09,-13.3879166666,18.8524166667,-23.3605833334,40.16375,21.9945,-3.00541666665,-7.51366666669,-3.05094444446,22.4043333333,57.3770833333
192.47,-12.22225,24.1665833333,-21.1110833333,39.3056666667,23.0555833333,-2.50008333332,-5.27783333334,2.54622222222,21.1110833333,50.9721666667
192.85,-28.592,8.90816666667,-33.9079166667,20.2586666667,11.06325,-6.17825,-13.93675,-11.3026666667,7.18391666666,39.6554166667
193.23,-6.90116666665,18.35925,-23.047,29.94775,18.2289166667,12.3694583333,2.47383333332,-2.21375000001,16.9269166667,46.0936666667
193.61,1.34816666665,21.5685833333,-19.7303333333,32.5980833333,23.1618333333,24.1420416667,5.14700000001,5.67811111111,19.6078333334,53.1863333333
193.99,15.3454166667,24.5935,-5.08124999999,38.8211666667,30.5895,26.575125,10.1625833333,17.5474166666,29.6749166666,49.7968333333
194.37,8.96233333334,17.2956666667,-28.7736666667,43.8680833333,27.8301666667,29.8740416667,2.51566666668,16.03775,28.1445,53.3018333333
194.75,40.1235000001,44.1358333332,-5.55566666666,69.4445833332,49.8455833334,61.1881249998,31.9443333333,39.5575833333,47.8394166667,85.1851666667
195.13,45.7107499999,49.2648333333,14.9509166667,70.8331666667,62.7450000001,72.1813333333,40.441,51.3888888889,59.31375,86.3970833332
195.51,50.6945000001,49.8264166666,7.81266666668,90.1041666667,67.8819166667,94.3577083332,42.0138333334,54.5139444445,68.9235833332,104.34025
195.89,58.1195833332,53.4187500001,-1.49575,99.5726666667,73.0769166666,112.1795,51.9230833333,63.6753333334,71.3675,117.094083333
196.27,70.3430833334,52.4508333333,-1.71574999985,100.9805,86.5196666666,117.769541667,67.1569166668,83.2515833332,69.3627500002,134.558583333
196.65,95.8332499998,19.4443333333,-143.750083333,167.361166667,153.47225,195.138833333,59.0278333333,141.435055555,46.5278333333,293.749916666
197.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197.40,-3.70374999993,138.889,324.074083333,-123.14825,-124.074083333,-123.148166667,61.1110833334,-91.3578055555,118.5185,-327.77775
197.78,109.52375,303.5715,525.000000001,-34.5238333332,-83.3334999999,-22.6190833335,175.0,4.36502777793,250.000083333,-316.666666667
198.16,85.1562499998,121.614583333,171.09375,40.3645833333,35.4166666667,50.0000000002,94.53125,66.1458333332,113.020833333,-16.1458333333
198.54,88.5134166667,123.874,154.5045,57.2071666667,34.6846666667,55.7432083334,95.7208333334,72.2222222222,103.378416667,-1.12616666665
198.92,229.62975,289.814833333,335.185166667,158.796333333,91.6665833333,159.722291667,213.888916667,159.259194444,250.925833334,32.4073333333
199.30,215.833333333,286.666666667,325.833333333,170.0,120.0,182.708333334,208.75,178.888888889,258.75,44.1666666667
199.68,218.9395,284.848416667,331.060666667,182.196916667,126.1365,185.227333333,210.22725,182.323305555,268.939416667,54.1666666668
200.06,279.166583334,326.388916667,397.68525,216.203666667,136.574333333,194.676041667,247.222166667,215.123527778,323.148166667,46.7590833333
200.44,236.231916667,268.840666666,325.36225,169.565166667,117.029083333,155.25375,202.173916667,184.541027778,261.59425,55.4348333332
200.82,308.823583333,343.6275,401.4705,194.117666667,138.7255,169.362666666,235.294166667,221.568583333,303.9215,36.7648333333
201.19,394.791666667,423.958333333,496.875,271.875,204.6875,228.90625,294.270833333,285.590277778,392.1875,108.333333333
201.57,263.690416667,269.642833333,312.797666667,187.797666667,157.440416666,156.399,194.940333334,185.714194444,251.488083334,105.35725
201.95,204.364916667,208.135083333,233.730083333,144.246083333,128.968166667,128.075291666,147.222083333,148.412722222,202.777666667,94.0475833335
202.33,222.008583333,224.78625,258.333416667,172.008583333,152.136583333,144.658083333,152.991333333,164.814777778,226.709333333,102.350166667
202.71,382.19675,395.454583334,465.909083334,306.060583333,285.606,266.288041667,277.6515,297.222138889,408.712,164.772833334
203.09,275.308666667,306.790166667,372.530916666,234.259333333,205.246833334,193.209833333,215.123416667,228.395027778,303.395166667,111.7285
203.47,255.654833333,280.952333333,350.000083333,200.297583333,186.309583333,155.059541667,186.011916667,195.138888889,281.845333333,97.9166666665
203.85,207.843166667,233.088333333,282.352833333,150.73525,140.686166667,127.696083333,146.3235,155.3105,229.656833334,66.9118333334
204.22,238.505666667,283.333416667,327.298916667,173.850416667,152.298916667,159.770083333,174.4255,188.122527778,269.827583334,79.0230833332
204.60,381.140333333,461.403666666,517.543916667,311.4035,244.736916667,261.184166667,285.087666667,303.070166667,446.052666667,128.508833334
204.98,283.03575,341.666666666,377.380916667,246.42875,192.26175,206.845291667,210.118833333,249.007972222,350.297833333,127.083333333
205.36,234.72225,295.27775,325.833333333,191.666833333,146.388833333,174.583375,166.111166667,216.018527778,302.500083334,88.611
205.74,190.5405,241.666583333,267.5675,149.774833333,102.702833333,147.297208333,131.30625,178.678527778,245.495583333,56.0810833334
206.12,190.333333333,268.0,333.333333333,137.666666667,71.3333333333,138.666666666,122.333333333,188.666666667,279.666666667,-11.3333333333
206.50,184.523916667,268.253916667,355.158833333,101.1905,23.0159166666,107.142916667,112.6985,173.809555555,280.952416667,-40.4763333332
206.87,117.47325,165.59125,208.064583333,47.8495833333,-9.13983333333,57.1235833332,57.5270833333,98.1183611112,184.139666667,-40.3225833333
207.25,74.8676666666,94.8411666667,114.682583333,37.3016666667,12.6984166667,41.2698333334,52.9100000001,67.8131111111,107.275083333,0.132166666675
207.63,64.364,80.5921666667,100.438666667,40.0218333333,17.7631666667,46.1074583334,48.7938333333,66.6665833334,96.16225,6.03058333335
208.01,62.7315833334,80.9026666667,103.240666667,48.9583333334,18.0555,48.9582499999,44.6760833333,66.6666944444,97.6851666665,13.0785833334
208.39,56.9264166667,73.1602499999,96.6449166669,47.7273333333,18.3983333333,47.3485416667,38.4200833333,58.4416666667,88.7444166667,12.6623333333
208.77,51.7441666667,59.7867499999,86.531,42.0540833333,18.8954166667,39.1474166667,33.2365,48.2233888889,74.6125,11.0464166666
209.14,47.7776666666,58.3330833332,91.6666666667,42.66675,14.0,40.8889166666,32.6665833333,46.3332222222,75.0,8.33333249997e-05
209.52,49.8874166667,55.8558333332,91.8918333334,52.2521666666,15.76575,42.9054583334,34.3468333333,46.2088611111,76.1261666666,1.80183333335
209.90,56.8841666666,58.8164166666,101.207666667,62.9227499999,25.8455,50.6641249999,44.9276666666,54.267388889,84.1787500001,13.0434166666
210.28,59.9804166667,65.1164166666,85.6590000001,67.5389166667,35.3681666667,54.5055833333,47.1899166667,55.5555555556,76.9379166667,30.5230833333
210.66,61.2359166666,67.2285,80.7116666667,71.2546666667,38.20225,54.26025,44.0075,55.5242222222,77.2473333332,25.37475
211.03,66.1035833334,75.1126666666,95.0450000002,74.3244166667,37.72525,50.1127083332,45.2703333332,60.3229166667,82.7702500001,21.509
211.41,62.2617499999,76.3095833334,99.4045833335,70.4762500001,35.0000833333,51.4285000001,36.1904166667,60.7141944445,79.0476666666,17.7381666667
211.79,70.3570833333,84.2856666666,103.6905,76.6665833334,38.5714166667,50.4167083332,41.4285833333,63.6904166667,76.6667499999,22.8571666667
212.17,72.4576666666,79.51975,103.107333333,74.8588333334,32.9095833333,44.7035,39.2655833333,66.3841944446,76.1299166667,9.74575
212.55,64.0740833333,72.7779166667,101.4815,70.7407499999,10.5555833333,26.2963749999,24.4445833333,58.7038611112,72.9630833332,-15.0
212.92,58.0881666667,85.53925,113.480583333,70.5881666667,-13.2351666667,18.2597916666,14.9509166667,72.3855277779,72.5488333334,-43.6275
213.30,53.6585,72.35775,89.0243333334,57.9270000001,-11.3820833333,-3.15045833325,8.13016666657,52.5068333334,50.4063333333,-37.1951666667
213.68,35.5555,52.7777500001,67.7777500001,34.8149166667,-21.2963333333,-19.6297500001,-3.148,32.2840555555,31.1110833333,-41.8516666667
214.06,1.11108333332,36.6666666666,63.0555,12.7779166667,-73.8889166666,-87.7778333333,-48.8889166665,3.2407777779,4.4445,-97.7777499999
214.44,3.66666666667,27.6666666666,82.6666666666,8.33333333335,-100.666666667,-115.0,-65.9999999998,-0.444444444425,8.33333333333,-143.333333333
214.81,15.8045833333,31.8965833334,86.4941666669,15.8045000001,-84.7701666665,-85.0574166668,-38.7930833332,15.9004444445,8.90808333335,-121.839
215.19,2.20583333333,11.0294166667,54.6569166667,7.353,-85.0490833333,-69.9754583333,-52.9411666668,-2.53277777773,-20.343,-116.421583333
215.57,0.26041666665,-8.33333333332,29.4270833332,-3.64583333335,-107.291666667,-93.0989583334,-72.9166666667,-11.3715277778,-38.5416666667,-141.145833333
215.95,-33.3333333333,-49.9999166667,-9.34341666668,-43.6869166666,-145.202,-115.908958334,-95.4547500001,-43.3502222222,-65.9090833333,-171.969666666
216.32,-20.8333333333,-27.0833333334,10.8333333333,-29.375,-113.541666667,-93.2291666668,-60.4166666667,-16.5972222222,-46.4583333333,-130.833333333
216.70,-24.1871666667,-26.2195,16.0569166667,-28.0488333334,-103.048833333,-90.2438749999,-45.5284166666,-7.72358333328,-49.5935,-123.170916667
217.08,0.972166666682,-4.72216666665,22.361,-2.22233333331,-46.3888333333,-37.4999999999,-9.16666666665,12.9628611111,-14.1666666667,-66.9444166666
217.46,8.93716666666,2.29483333335,26.6909166667,3.26083333333,-33.6956666667,-23.0675,2.41566666665,24.2753055555,-5.43475000001,-46.7391666667
217.83,18.2901666666,10.4978333333,33.0085833333,11.68825,-19.697,-11.5260833333,10.0649166667,32.9364722222,4.97841666667,-31.385
218.21,30.1471666667,25.89875,35.7026666667,21.0784166667,0.490166666675,6.20904166668,20.9149166667,40.4410555556,18.2188333333,-10.86625
218.59,30.9940833333,29.6783333333,34.5029166667,21.8569166667,6.50583333334,10.4532083334,27.70475,41.5693611111,22.0761666667,-3.80099999999
218.97,25.9173333334,26.4525,28.28725,16.9724166667,5.81033333333,6.72779166666,26.9878333333,39.2965555555,19.419,-7.79808333333
219.34,33.7088333333,33.25825,35.3604166666,27.32725,14.1140833334,13.9265833333,37.68775,47.4975277778,28.3784166667,-0.150083333343
219.72,32.57575,34.9243333333,35.8334166666,25.53025,16.96975,11.8181666667,37.57575,42.5505,26.6666666667,-1.36375000002
220.10,37.4214166667,45.5974999999,42.45275,32.94025,23.2704166667,15.9197916667,42.6100833333,47.6154444445,31.99675,4.79566666665
220.47,42.0138333334,49.0279999999,42.15275,36.9444166667,27.2221666667,23.2986666667,41.3195,45.50925,36.5971666667,11.9444166667
220.85,50.2100833333,55.0419166667,46.9188333334,43.0671666667,31.0223333333,31.6177083333,42.0168333333,49.4865,42.0166666667,16.87675
221.23,44.4968333334,50.7860833333,38.28625,35.8490833333,20.8334166667,20.9511666667,29.1665833333,40.8803888889,30.89625,6.525
221.61,42.5724166666,50.2718333333,33.3333333334,32.5180833334,15.8515833333,21.6032083333,21.4674166667,37.1076666667,28.0796666666,-2.89833333335
221.98,51.2658333334,61.9197499999,40.50625,42.0886666667,21.097,31.2235833333,27.7426666667,46.4487777778,29.9579166667,-3.90283333333
222.36,47.4179166667,56.2205833333,40.1409166666,39.7885833333,13.2629166667,31.3967916667,23.1220833333,40.0234166667,25.3521666666,-10.9155
222.74,33.046,39.0804999999,24.7128333333,23.1322500001,-9.91366666667,13.5058333333,8.33333249997e-05,24.0899722222,1.72416666667,-31.3218333333
223.11,39.7798333333,44.8113333334,38.2075833334,29.2451666666,-4.55975,23.82075,-0.471666666675,33.2285,8.49049999999,-23.1130833333
223.49,48.4616666667,52.4358333333,51.4100833334,38.3334166667,12.0511666667,33.3974583333,16.5385833334,46.7949722222,27.3076666667,8.07708333332
223.87,60.74575,58.0043333333,60.4165833333,50.9868333332,26.6448333334,49.12275,26.7544166667,57.49275,42.4341666667,28.9474166666
224.24,70.5285,59.5528333334,68.496,58.5366666667,42.3780833333,64.3293333333,36.89025,69.0378888889,53.6585833334,39.5325
224.62,62.3239166666,49.0609166667,61.5023333333,55.2817500001,39.9060833333,55.5164583334,25.3520833333,66.9013888889,45.7746666667,29.46
225.00,54.5098333333,43.03925,57.2550833333,48.5294999999,40.2940833334,46.9117916667,26.9608333333,62.4837777778,41.7645833333,30.3921666666
225.38,52.70275,44.0313333333,66.3289166667,45.1575833332,41.6664166667,46.0022916667,30.518,67.6425833333,42.2295,34.1215833334
225.75,43.2835833333,38.184,67.5373333333,37.5622499999,36.94025,38.6193333333,30.7214166667,64.7180277777,36.44275,31.9651666667
226.13,33.2125833333,30.5555833333,50.9661666667,27.05325,26.9325,26.9324583333,18.8406666667,49.7585277778,26.20775,18.47825
226.51,29.5699166667,28.3601666667,43.1451666666,24.5966666666,21.9085833333,16.8009166667,12.5000833334,49.3280833332,17.6074166667,10.2149166666
226.88,46.3383333334,45.32825,61.2374166666,47.3485,43.9395,34.9746666667,31.3130833333,70.5807222222,37.37375,29.798
227.26,46.96075,41.0783333333,53.23525,48.0393333333,38.03925,31.3235416667,30.3921666666,61.8626388889,34.50975,32.6469166667
227.64,36.5450833333,33.941,41.0590833334,36.8056666666,30.2083333333,21.007,20.4860833333,45.45725,23.4375833333,21.70125
228.01,23.4210833333,24.5614166667,26.228,27.63175,15.87725,5.52645833332,9.56133333335,33.2748055555,10.7894166667,9.64916666666
