wavelength,Back_OryCram,Belly_OryCram,Breast_OryCram,Crissum_OryCram,Crown_OryCram,DorTail_OryCram,Patch10_OryCram,Rump_OryCram,Throat_OryCram,WingTip_OryCram
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-376.666666667,-256.666666667,-216.666666667,-286.666666667,-150.0,29.9999999999,-60.0,-216.666666667,-28.6666666667,-48.3333333333
179.16,102.666666667,92.0000000001,80.6666666668,122.666666667,176.666666667,141.333333333,142.666666667,160.0,174.933333333,136.0
179.54,-13.8888,12.7776666667,19.1665666667,-13.8889333333,16.1110666667,-3.88886666665,11.6666,13.3332666667,20.2776,0.8334
179.93,-2.2222,-8.14826666667,-14.0740666667,-22.9628666667,-36.2962000001,-1.11096666669,-14.8148,13.3334666667,-5.85168,-38.5184333334
180.31,-43.7427333333,-28.8888,-18.8887666667,-46.6666666666,-42.7486,-22.924,-15.0878,-4.79526666667,4.49134666667,-40.4677
180.69,-59.6492,-43.6256666667,-34.6783666666,-60.3508666667,-61.0526999999,-36.7251,-27.2515333333,-14.8538666667,-6.35094,-52.2222
181.07,-93.0370666666,-77.4816666666,-63.1851666666,-90.5185999999,-102.444433333,-81.4815000001,-61.6295999999,-36.8889333334,-32.6518866667,-86.4446666666
181.45,-147.407533333,-136.111066667,-108.240566667,-151.666666667,-173.981333333,-151.574,-122.962866667,-92.0370666666,-85.77768,-152.962966667
181.83,-196.0,-197.333333333,-161.866666667,-204.533333333,-258.933333333,-212.8,-176.533333333,-127.2,-125.306666667,-225.6
182.21,-518.7878,-529.697066666,-439.697,-490.303,-640.606100001,-605.151666667,-453.939533334,-369.697133333,-346.969653333,-560.909133333
182.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182.97,6720.0,6933.33333333,5923.33333333,5940.0,8330.00000001,7630.0,6366.66666667,5040.0,4484.66666667,7193.33333334
183.35,-443.809533333,-484.762066667,-396.190433333,-378.5714,-552.857066667,-516.428666667,-381.428533333,-353.809533333,-289.381046667,-472.857233333
183.73,-711.111133333,-768.148133332,-633.7039,-617.037,-899.259166668,-827.037033333,-622.963,-577.037,-466.888773333,-710.3705
184.11,-312.280733333,-342.4562,-254.035066667,-227.0176,-378.947266667,-373.6842,-242.4562,-237.192933334,-194.63164,-292.806933333
184.49,-670.666666667,-771.333333333,-606.333333333,-543.999999999,-817.0,-837.333333334,-584.0,-599.333333333,-496.6,-672.666666666
184.87,-485.000066666,-594.4444,-420.0001,-382.7778,-606.666533333,-638.333366667,-424.999866667,-464.4444,-348.2223,-501.666466667
185.25,-122.626266667,-173.131333333,-111.515033333,-99.1919333332,-172.323133333,-190.7073,-108.282866667,-130.5052,-86.7676466667,-149.1919
185.63,-83.8333333332,-124.333333333,-73.25,-59.1666666666,-125.5,-134.916666667,-67.6666666667,-85.8333333332,-49.6833333333,-104.666666667
186.01,-116.842133333,-152.631466667,-98.5965000002,-73.8595999999,-145.877233333,-168.947333333,-81.5789333333,-105.614,-72.8420399999,-126.0525
186.39,-98.0951333334,-132.222133333,-73.7302666666,-64.6031999999,-125.793733333,-140.158733333,-72.8572666667,-90.7935333333,-56.4919666667,-106.746166667
186.77,-47.7382,-78.6905333333,-37.6786,-28.4522666667,-75.8928,-83.9880999999,-32.5000666667,-43.8095333333,-23.0595066667,-54.7026666666
187.15,-28.5380666667,-58.4796666667,-18.3625666667,-12.5146666667,-56.5499,-64.9122333334,-16.0234,-30.7602,-7.68409333332,-41.1110666666
187.53,-30.8474666667,-57.1752,-17.0622333333,-9.60453333333,-55.8757333334,-65.8757333334,-21.3559333333,-27.0055333333,-7.11868000001,-35.3673333333
187.91,-32.8814666667,-69.3785333334,-19.7174,-7.23173333334,-57.2316333333,-69.5480333334,-29.1525333333,-32.3162666666,-10.8814066667,-49.0396000001
188.29,-111.182666667,-172.473133333,-82.3656,-61.9354666667,-156.559233333,-180.3225,-109.2472,-107.3118,-68.7096133333,-139.032233333
188.67,-106.060666667,-199.090866667,-60.6060666667,-31.5152,-168.030233333,-219.090966667,-105.151533333,-106.666733333,-50.9697733333,-151.818166667
189.05,-260.5128,-419.4872,-212.3078,-141.538533333,-367.6923,-462.0513,-287.692333333,-260.512866667,-176.4614,-366.922966667
189.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
189.81,555.238066666,846.666533333,438.095433333,323.809533333,758.095166667,884.761933332,600.9524,497.142866667,394.952453333,709.047633333
190.19,241.428533333,420.476333333,201.904833333,164.285733333,378.0953,416.666666667,332.8572,279.523733333,181.619033333,324.047733333
190.57,178.888866667,303.333333333,125.555466667,108.1482,265.000133333,307.0369,236.296466667,210.740733333,140.62962,240.925866667
190.95,158.787866667,259.697066667,98.9392333334,93.0303333332,209.545433333,264.242366667,199.999933333,188.181866667,132.393886667,206.9696
191.33,279.1112,445.333333333,198.666733333,175.555466667,338.888933333,454.4444,340.4444,323.111066667,238.400006667,333.3334
191.71,123.958333333,211.458333333,99.5833333334,87.9166666667,163.333333333,206.770833333,173.958333333,164.166666667,113.145833333,149.791666667
192.09,99.6078666667,166.862733333,76.6666333332,67.6470666668,122.254833333,171.764933333,135.098066667,138.4314,90.4705333333,99.9999333334
192.47,84.4443999999,167.654266666,57.6544,56.5432666666,107.407366667,185.3086,136.296333333,147.160466667,77.9507933333,95.6791333334
192.85,101.481466667,160.493666667,60.4938999999,83.9506666667,109.1358,183.827133333,146.419666667,156.5432,101.901333333,83.4567
193.23,59.5236666667,114.523866667,6.54770000006,40.0001333333,63.8095,132.857133333,92.3809333333,120.476133333,56.4999066667,31.3094999999
193.61,108.055666667,152.500066667,45.9721333333,76.6668,94.4444666667,184.4444,136.9446,171.666666667,98.1389066667,54.4444666667
193.99,72.1839333334,109.425266667,19.8851333333,49.4252666666,77.0115666666,142.413833333,105.977,136.551733334,76.7816733333,38.0459333333
194.37,76.3220000001,100.9196,21.1494333334,55.4021333333,74.7126666667,143.3333,105.0576,131.494333333,90.98852,41.3792666667
194.75,73.3332666666,108.717933333,34.7435333333,57.1795333333,80.5127333333,138.717966667,113.589733333,137.179466666,92.0513066667,43.2050999999
195.13,94.7126666667,124.827666667,66.0920333333,81.6092,100.115,155.402433333,135.861933333,161.839066667,100.390833333,83.1033666666
195.51,58.9187333333,76.9370666667,47.0270666667,66.1260666666,65.0449000001,109.009133333,89.7297333334,111.351333333,71.9459733333,50.9008333333
195.89,47.7419333333,55.9140666667,21.5052999999,50.3226666667,32.9032666667,101.720566667,67.5268000001,98.4947999999,67.8924266667,38.7095333333
