wavelength,Back_TanGutm,Belly_TanGutm,Breast_TanGutm,Crissum_TanGutm,Crown_TanGutm,DorTail_TanGutm,Patch10_TanGutm,Patch11_TanGutm,Patch12_TanGutm,Patch13_TanGutm,Rump_TanGutm,Throat_TanGutm,WingTip_TanGutm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,157.5,121.666666667,38.3333333333,118.333333333,90.0,25.0,136.666666667,110.0,71.6666666665,31.6666666666,128.333333334,100.0,195.0
179.16,85.0000000001,123.333333333,203.333333333,185.0,296.666666667,210.0,146.666666667,260.0,280.0,190.0,96.6666666667,190.0,125.0
179.54,54.0000000001,2.66666666667,-16.0,-5.33333333339,5.3333333334,10.6666666667,4.00000000014,33.3333333333,22.6666666667,32.0,11.9999999999,-16.0,52.6666666666
179.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.31,104.386033333,89.4736666667,75.0877999999,42.5437666667,91.9297999999,47.5439333333,97.1929333333,79.8245999999,-3.5088,51.7542666666,90.3509333334,70.0000666666,125.789233333
180.69,113.1481,94.6296666665,82.4074000001,47.2222000001,102.777733333,49.2591333333,106.6666,83.8889333333,-7.77766666668,56.6665999999,94.6297333333,86.4815333333,133.981333333
181.07,109.1667,89.2591999999,89.4444000001,37.0370666667,105.3704,49.9999333333,106.481533333,86.4814666667,-7.59246666666,64.0741333333,92.4074000001,90.0000000001,131.0185
181.45,102.418333333,84.3136666666,83.5294,46.5359,102.4836,58.039,97.9084000001,94.3790666665,18.0392,70.5882,84.183,85.4901999999,106.6012
181.83,99.2949666667,82.0514000001,81.1537999999,43.9101,98.8461999999,53.4614666667,91.6665333333,93.9743333333,17.3075999999,63.5897333333,82.5642000001,83.5896666667,96.6025666667
182.21,78.9696666665,65.8181333333,58.4242,29.7578,76.8486,36.8484666667,77.0910666667,78.4242666667,6.0606,40.7271333333,60.6061333333,68.6061333334,74.3029666667
182.59,80.2525,64.7474666667,57.3736666667,25.1514,70.5050666666,41.3132666667,73.7373333334,78.4848000001,13.9394,42.0202666667,56.8686666666,65.0505333334,64.7475666667
182.97,70.1588333333,54.0476,52.143,25.9126333333,60.7937333334,40.5556,64.9206666667,69.0474,16.8254,38.1745333333,55.0794,55.5555999999,58.2541333333
183.35,74.1666,55.7896,48.772,22.9385333333,59.6490666667,40.4386,66.1404000001,65.9648,14.9123333333,30.7018,56.2280666666,54.9999333333,53.3772333333
183.73,75.5691333333,56.8292666667,51.1382666667,29.1056666667,64.3088666666,44.878,63.4960666667,71.5448,19.3496666667,33.5774,59.5122,56.0977333333,54.2276
184.11,72.645,53.6232666667,47.9710666667,33.9856,60.7246,45.8695333333,58.0435333333,66.6668,24.5653333333,32.7537333333,56.0145333333,56.9565333333,53.0436
184.49,61.1634666667,43.3962666667,39.7484,29.3080666667,49.3710666667,33.5220666667,45.0314,55.4717333333,21.5722666667,27.7987333333,43.7736,49.1195333333,39.7799666667
184.87,61.0145333333,43.1305333333,39.5362666667,26.2897666667,46.6666666667,34.5506,45.8550666667,53.5653333333,24.1739333333,27.0725333333,42.8405333333,45.913,41.5362
185.25,56.5141666667,39.6436,36.336,27.2265333333,41.4759333333,31.9083333333,44.3766666667,48.0406,24.6820666667,24.3256,38.9313333333,40.4070666667,36.2848666667
185.63,54.6282333333,38.8968,37.458,29.4724333333,42.8297333333,32.7098666667,44.6042666667,45.8992666667,25.3237333333,23.8369333333,39.9520666667,42.3501333333,44.1007333333
186.01,53.9864333333,40.9459333333,40.0000666667,31.9818666667,44.1440666667,35.0451333333,47.5225333333,44.9099333333,25.1802666667,26.7117333333,39.9099333333,43.5586,47.1396666667
186.39,53.7908333333,42.1351333333,40.9149333333,31.438,43.5728666667,33.8562666667,45.5774,43.8782,24.8801333333,28.1916666667,40.1307333333,44.7929333333,46.9934
186.77,50.6881333333,40.4300666666,39.7848666667,32.8386333333,43.0107333333,32.9461333333,46.7956666667,41.1614,23.1397333333,27.0537333334,40.0861333333,44.9892,46.6883
187.15,45.1949,37.1861333333,35.8874666667,31.4935666667,39.8267333333,28.6580666667,43.5931333333,38.9610666667,21.3854,25.1947333333,37.0994,43.0302,46.3852666667
187.53,40.4879333333,33.5773333333,32.6014666667,30.2235333333,36.5040666667,25.4066666667,40.3658666667,36.6260666666,19.4309333333,24.187,34.6748,40.1626666667,43.1096333333
