wavelength,Back_TanInom,Belly_TanInom,Breast_TanInom,Crissum_TanInom,Crown_TanInom,DorTail_TanInom,Patch10_TanInom,Patch11_TanInom,Rump_TanInom,Throat_TanInom,WingTip_TanInom
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,2.77777777777,1.18423789293e-15,-62.5,-27.7777777778,-1.18423789293e-15,20.8333333333,-22.2222222222,-8.33333333333,-48.6111111111,31.9444444443,-17.3611111111
179.16,113.888888889,33.3333333333,161.111111111,169.444444445,16.6666666667,44.4444444445,66.6666666667,122.222222222,213.888888889,-13.888888889,98.611111111
179.54,-22.2222222223,-144.444444444,-116.666666667,-250.0,16.6666666667,-105.555555556,-83.3333333333,-55.5555555557,-338.888888889,-83.3333333333,11.111111111
179.93,-48.1481111111,-16.6666666667,-35.1850000001,-90.7407777778,42.5925555556,38.8886666665,5.55566666667,-31.4814444443,-53.7036666667,-31.4814444444,37.037
180.31,13.5501111111,-13.2792222222,-66.6666666667,-56.6395555556,53.9296666664,49.8643333333,20.3251111111,-19.5122222221,-112.195222222,-2.71022222223,41.3278888889
180.69,3.133888889,-26.7805555556,-92.3077777778,-84.9002222222,47.0085555556,47.0086666666,19.0885555555,-38.1766666666,-138.461555556,-17.0938888889,41.8802222222
181.07,-84.9672222223,-156.862555556,-289.542444444,-284.967444445,20.2615555553,14.379111111,-34.6406666666,-188.235222222,-416.993555556,-150.326777778,12.0915
181.45,-73.3335555553,-204.444444444,-351.851666667,-331.852,-2.962888889,-15.5554444444,-22.2223333333,-221.481444444,-471.111,-208.148333333,22.9629444444
181.83,-125.926,-298.148111111,-504.629666667,-466.666666667,-45.3704444447,-52.7777777777,-68.5185555557,-322.222111111,-647.222222222,-293.518444445,-4.62955555557
182.21,-192.592666667,-640.74088889,-1085.18522222,-937.037,-129.629777778,-164.814555556,-144.444444444,-620.370444443,-1312.96311111,-568.518444444,-33.3333333333
182.59,-283.333333333,-980.555555555,-1672.22222222,-1475.0,-225.0,-252.777777778,-208.333333333,-913.888888889,-1927.77777778,-886.111111112,-40.2777777777
182.97,-315.555555555,-753.333333333,-1344.44444444,-1315.55555555,-335.555555557,-253.333333334,-206.666666667,-768.88888889,-1484.44444444,-828.888888889,-146.666666667
183.35,561.111111111,1000.0,1800.0,1777.77777778,674.999999999,561.111111111,377.777777778,1116.66666667,1913.88888889,1194.44444444,293.055555556
183.73,-204.761888889,-471.428333332,-957.142777777,-950.793777777,-323.809555556,-217.460222222,-134.920888889,-584.127000001,-957.142777778,-476.190444445,-79.3650555557
184.11,8.17414705095e+14,1.87649984474e+15,4.42114736146e+15,4.42825531542e+15,1.53531805479e+15,1.22967603462e+15,4.33585191399e+14,2.58018728651e+15,4.08707352547e+15,1.9831191541e+15,3.12749974124e+14
184.49,91.358,300.000111111,692.592555557,737.037,251.851888889,225.926,64.1974444447,392.592555556,672.839555556,283.950666667,-9.25916666667
184.87,0.000222222233335,340.740777779,942.592666667,1007.40744444,316.666555555,320.370444445,31.4814444446,514.814666667,896.296333333,279.629444445,-150.925944444
185.25,114.492555556,14.975888889,-149.275333333,-169.565333333,1.44922222233,23.1882222223,81.6423333335,-31.4008888889,-128.019222222,22.2223333333,156.038611111
185.63,116.858111111,45.9771111109,-85.8237777777,-111.877333333,19.1571111111,58.6206666667,80.4598888891,1.53266666653,-65.5173333335,57.8543333333,154.597833333
186.01,102.721111111,70.9751111113,-7.709777778,-32.4262222222,42.4035555556,78.0046666666,86.3946666666,30.1588888889,9.75055555557,68.2540000001,135.8275
186.39,106.753777778,85.6208888889,6.10033333333,-24.8366666667,48.8017777777,83.0066666667,90.6318888889,27.8866666667,16.9935555556,77.1241111112,149.673055556
186.77,100.505222222,82.8283333333,25.9257777777,-6.90244444443,55.219,79.7979999999,84.511888889,33.6701111111,29.9661111111,78.2829999999,137.963
187.15,92.6388888888,80.4166666667,27.5,6.52777777779,57.3611111111,70.4166666667,79.8611111111,37.3611111111,34.4444444445,75.0,130.833333333
187.53,101.978777778,92.9985555556,35.0076666668,9.589,71.3851111111,83.5616666669,94.2159999999,47.3362222222,43.0744444443,85.844777778,155.631833333
187.91,87.818,84.3372222222,30.9237777778,12.5837777778,69.7455555553,78.3132222221,89.8259999999,47.6573333333,45.3815555555,74.9665555557,147.590222222
188.29,87.1692222222,82.0106666666,23.9418888889,14.6826666667,64.9469999999,78.8361111111,84.5238888888,43.6507777778,41.4021111112,68.2541111112,144.113611111
188.67,72.2221111111,68.2537777779,18.0272222222,15.8731111111,58.8435555556,64.966111111,74.9432222222,33.3332222222,34.4671111111,53.9682222222,121.0885
189.05,60.2445555555,58.3079999999,18.1446666667,12.844,51.9876666666,58.6137777778,67.0743333334,29.358,30.8867777778,42.7114444445,103.211111111
189.43,52.6784444445,56.4484444446,21.3293333333,11.9048888889,54.0675555556,51.389,69.3452222222,29.5635555555,34.3252222222,44.345,101.537611111
189.81,48.3607777778,54.3714444444,23.6792222222,16.5756666667,56.5573333333,50.9107777778,67.0308888889,32.1493333333,35.0635555555,41.3477777778,99.9543333333
190.19,36.6946666667,40.056,12.1382222222,4.76177777777,48.8327777778,37.535,56.3025555556,20.4482222222,22.7825555556,30.7188888889,88.7022222223
190.57,32.1533333333,36.9714444444,10.5212222222,-3.3432222222,47.1976666667,36.9715555556,54.0805555556,19.8623333333,23.6971111111,24.7787777778,84.4150555557
190.95,27.3015555556,36.8254444445,7.30144444444,-3.17466666667,50.3704444444,32.1695555556,55.9788888889,17.4603333333,23.492,26.6665555555,88.8886666667
191.33,32.6263333333,36.4645555555,16.5656666667,4.24233333333,51.5153333333,35.3535555556,59.2928888889,20.5051111111,28.2828888889,29.0907777778,92.0704444443
191.71,27.2988888889,33.8121111111,14.8467777778,1.05377777778,42.7203333333,29.6933333334,51.7241111111,16.3793333333,23.5632222222,27.9691111111,81.944611111
192.09,18.743,28.3948888889,8.97866666664,-12.1211111111,32.4355555556,18.1817777778,48.2603333333,5.83622222223,12.9067777778,18.8552222222,77.7778333333
192.47,11.3287777778,26.9063333333,15.7953333333,-13.9434444444,29.9564444444,17.2113333333,47.6035555556,7.7343333333,22.6577777778,17.6472222222,74.0742222222
192.85,11.2267777778,26.7361111111,19.56,-13.8887777778,31.9444444445,24.6526666667,50.2314444444,12.2685555555,29.5137777778,21.6436666667,83.6229444443
193.23,13.21,33.3333333333,27.1605555555,-7.28388888887,37.9012222222,30.3703333333,53.0863333333,19.5061111111,38.5183333333,24.4444444444,95.3703333333
193.61,22.2222222222,45.1304444445,34.4307777778,6.30988888889,47.8736666667,48.011,60.4938888889,24.5542222222,54.7326666667,31.4127777778,105.281166667
193.99,17.8082222222,43.2267777778,34.5508888889,6.24044444446,46.2708888889,42.4657777778,61.7961111111,19.3304444444,57.6863333333,29.6804444444,104.185833333
194.37,20.5827777778,54.6449999999,40.073,16.0291111111,53.9164444444,41.3481111111,75.7741111111,24.7722222222,78.6886666667,30.0546666668,121.311555556
194.75,16.5981111111,37.3113333334,31.5501111111,23.4568888889,38.8202222222,31.4126666667,58.299,21.1248888889,58.4361111111,24.1426666667,94.5127777778
195.13,9.34355555558,33.207,27.7776666667,19.4445555556,25.5052222222,25.3786666667,48.2323333333,18.0555555556,50.1261111111,10.4797777778,78.5986666667
195.51,1.32844444444,24.034,19.4444444445,12.0771111111,20.0483333333,17.8744444445,36.5941111111,14.2513333333,42.3913333333,8.21244444443,66.5460555556
195.89,0.419333333323,15.8281111111,18.4485555556,12.0545555556,15.9327777778,15.1993333333,30.3984444445,12.8928888889,38.5744444444,4.82188888887,59.6961666667
196.27,0.75522222221,16.8283333333,22.8697777778,18.3388888889,20.0646666667,12.082,30.097,14.671,41.316,3.66755555557,61.2728333333
196.65,3.57833333332,17.985,20.9982222222,20.339,23.1636666667,10.4521111111,27.4011111111,14.6893333333,35.5933333333,7.5328888889,54.9433888889
197.03,8.64211111112,24.3055555555,23.611,23.6883333333,23.9197777778,10.1852222222,24.9226666667,17.2838888889,34.6451111111,14.4291111111,46.7593333333
