wavelength,Back_ConSpmm,Belly_ConSpmm,Breast_ConSpmm,Crissum_ConSpmm,Crown_ConSpmm,DorTail_ConSpmm,Rump_ConSpmm,Throat_ConSpmm,WingTip_ConSpmm
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-21.7778,-4.00006666668,-7.99999999999,-15.1112666667,-0.888999999993,1.33340000002,-2.66666666667,-8.44446666665,-4.44439999999
179.16,2.85726666667,76.1905333333,11.4284666667,31.4285333334,99.0476,40.9522666667,40.0000666667,10.4762666667,14.2856666667
179.54,-420.000000001,-460.0,-473.333333334,-293.333333333,-180.0,-533.333333333,-326.666666667,-646.666666667,-939.999999999
179.93,-16.0,-13.3333333333,0.66666666666,-5.3333333334,-15.3333333333,7.33333333333,-12.0,-29.3333333333,-29.3333333333
180.31,-2.47186666667,21.1985333333,13.2584,11.5357333333,22.0973333333,15.5806,-1.04873333332,-7.11606666667,-7.04133333333
180.69,1.69933333333,24.7058666667,16.4053333333,15.9476666667,25.4903333333,23.4641333333,2.87579999999,-2.54913333332,-2.48366666666
181.07,-5.06319999999,29.3672,14.0928666667,19.6625333333,25.8228666667,23.6286,-5.73853333334,-11.2235333333,-10.2109333333
181.45,-3.3756,27.7638,16.2869333333,20.5062666667,24.2194666667,24.4726,-7.67926666666,-6.24473333333,-5.90713333333
181.83,-3.92693333332,39.8173999999,24.9315333333,28.5845333333,32.1460666667,33.9726666666,-3.92713333332,3.47039999999,3.92699999999
182.21,3.02086666666,57.2917333333,31.4584666667,41.0418,53.0209333333,41.3542,1.45846666666,12.6042666667,9.0626
182.59,-20.3845333333,52.3077333334,20.7691333333,28.2052,53.2051333333,26.7948000001,-18.2050666666,-0.897333333327,-4.10246666667
182.97,-51.5872,43.8094666667,13.3333333333,10.4761333333,51.5873333333,14.6032666666,-38.0952666666,-18.4127333333,-23.8095333333
183.35,-140.8334,21.9445333334,-2.22226666666,-18.0555999999,50.2778000002,3.3334666666,-93.8887999999,-80.8334,-76.3888666669
183.73,-344.4444,-101.3334,-128.888933333,-96.8889333334,-24.4444666667,-123.111133333,-285.777933333,-260.444333334,-256.888933334
184.11,400.476133333,161.904866667,187.142866667,100.476266666,36.1905333333,137.6192,319.523733333,262.380933334,296.666666667
184.49,282.608733333,95.9420666667,132.7536,75.6521333335,31.5942666667,113.333333333,212.4638,185.2174,188.115866667
184.87,241.111,95.1109999999,110.2222,77.5555999999,44.2221333333,132.666666667,186.8888,162.444466667,155.111
185.25,294.203,115.3624,132.173866667,101.4492,48.6956666667,164.347866667,230.4348,198.260933333,197.970933333
185.63,242.795666667,115.053733333,107.742,91.3978666666,65.8065333334,125.161266667,187.527066667,175.699,167.957066667
186.01,224.9524,126.4762,103.238,100.1906,82.8570666665,122.6666,186.857266667,172.1904,153.5238
186.39,246.306266667,141.4414,111.711666667,113.333466667,102.7026,140.720733333,199.2792,177.117066667,154.7748
186.77,401.333333333,247.2,197.6,194.666666666,216.533333334,251.2,318.133333333,301.066666667,256.0
187.15,444.074,267.4074,206.666733333,160.740866667,222.592666666,254.444533333,341.851933333,315.555533333,248.518466667
187.53,365.797066667,216.231733333,184.057933333,129.565333333,173.043333333,219.709933333,284.057933333,247.536333333,206.956533333
187.91,387.333333333,179.333333333,168.666666667,138.666666667,153.666666667,203.666666666,282.666666667,217.666666667,195.0
188.29,-3590.0,-1473.33333333,-1353.33333333,-1290.0,-1330.0,-1830.0,-2536.66666667,-2350.0,-1363.33333333
188.67,1199.04766667,659.047666667,538.095066666,513.3334,605.714200001,661.904800001,869.523733333,784.761866666,532.381066666
189.05,309.166666667,204.791666667,173.958333333,173.541666667,184.791666667,179.166666667,247.291666667,232.291666667,170.833333333
189.43,342.9886,242.758666667,187.356333333,208.275933333,197.931066667,202.758733333,274.9426,262.2988,191.954
