wavelength,Back_ThlSorf,Belly_ThlSorf,Breast_ThlSorf,Crissum_ThlSorf,Crown_ThlSorf,DorTail_ThlSorf,Rump_ThlSorf,Throat_ThlSorf,WingTip_ThlSorf
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,106.666666667,221.481481482,186.666666667,182.028985507,339.999999999,306.666666667,320.0,-213.333333333,126.666666667
179.16,-16.0,19.4074074074,6.66666666666,27.7681159421,0.0,-26.6666666667,30.0000000001,59.9999999999,41.3333333334
179.54,178.666666667,133.481481482,134.0,172.52173913,180.0,200.0,138.666666667,141.333333333,126.666666667
179.93,54.8718,44.0454962963,61.7949666667,49.7882,42.5640666667,55.3846666667,52.5640333333,37.9488,41.5384
180.31,312.5,261.388888889,215.833333333,163.75,280.0,297.5,188.125,177.5,150.416666667
180.69,890.000066666,657.901207407,546.666666666,439.806852175,686.666666667,808.888866667,440.000033333,446.666466666,363.3334
181.07,-1052.0,-773.481481482,-625.333333333,-442.086956522,-793.333333333,-1013.33333333,-512.666666667,-646.666666667,-386.666666667
181.45,1826.66673333,1395.3086963,1126.66663333,893.623142027,1511.11113333,1795.5556,1031.111,1264.4446,799.999999997
181.83,-579.047600001,-477.777844444,-357.619066666,-194.989605797,-493.3332,-614.285666666,-280.4763,-407.619066667,-232.380933333
182.21,-79.6077333334,-70.4574296297,-36.0784999999,-2.44662608683,-73.5293333333,-100.196133333,-21.7647,-52.3529333333,-12.5489999999
182.59,-54.3333333334,-54.2777777779,-24.5,5.37681159427,-57.5,-81.8333333334,-15.8333333333,-39.8333333333,-8.00000000014
182.97,-141.4034,-135.087859259,-64.9122666667,-20.7780811593,-168.0702,-202.807066667,-70.8773666667,-98.2456666667,-43.5087333334
183.35,-150.7408,-128.888822222,-62.0370999999,-39.3398144928,-170.000066667,-228.148133333,-91.8519666667,-113.703666667,-50.7408
183.73,-94.8483333333,-91.1448074074,-51.9697333333,-28.1291710144,-125.454533333,-165.454466667,-73.6362999999,-93.6363333333,-28.4847333333
184.11,-280.000066667,-283.838362963,-174.545533333,-151.67326087,-356.969666667,-449.090933333,-252.1213,-327.272733333,-190.303066667
184.49,-3760.0,-3634.81481481,-2776.66666667,-2353.04347826,-4766.66666667,-5740.0,-3700.0,-4446.66666667,-3113.33333333
184.87,467.333333333,489.851851852,469.666666667,361.304347826,653.333333333,705.333333333,547.666666667,573.333333333,445.333333334
185.25,199.466666667,207.792592593,206.4,173.495652174,271.2,282.133333333,218.933333333,230.4,203.466666667
185.63,203.5556,211.777733333,206.111033333,182.94673913,257.777666667,269.5556,209.222166667,236.666533333,215.333333333
186.01,206.274466667,197.124177778,195.588233333,176.351330435,241.7648,251.176533333,198.1373,228.431333333,209.607866667
186.39,202.280666667,182.865518519,192.0176,180.22891884,225.614,232.2806,194.6492,220.701733333,210.877066667
186.77,214.141333333,188.821422222,201.9192,186.789582609,244.444466667,243.636333333,202.424233333,227.4748,218.787866667
187.15,841.904799999,717.566125926,793.333199999,740.082724638,955.238066667,1023.8096,804.761866667,882.857133334,914.285666667
187.53,-734.285733333,-671.746007408,-736.190433334,-691.883936231,-918.0952,-924.761866667,-738.095233333,-767.619133333,-866.666666667
187.91,-156.410333333,-135.555555556,-147.179533333,-159.275295652,-195.128333333,-198.717866667,-151.410133334,-151.025666667,-191.0256
188.29,-94.4999999999,-76.7037037037,-94.4166666668,-94.1884057972,-110.666666667,-108.5,-94.8333333332,-84.3333333332,-115.833333333
188.67,-59.5403333334,-47.6755185185,-61.7241666666,-61.1394376812,-70.8046000001,-62.9886,-59.5977666666,-48.6208,-74.138
189.05,-22.5353333333,-14.8669555555,-15.8216333333,-22.0207188406,-27.8872666667,-24.0375333333,-20.939,-16.6196666666,-38.7794
189.43,-19.6444666667,-8.5727037037,-6.4444,-17.5188782609,-21.5111333333,-16.1778,-18.3554666667,-12.2667333334,-32.4444
189.81,-6.34160000001,2.0054,3.21133333335,-4.18531014494,-9.26833333335,-1.95139999997,-11.5041333333,4.06500000003,-16.4228
190.19,6.03933333334,6.98026666668,10.3921,2.70751884057,-0.313666666666,9.49013333334,-4.15666666667,14.6668666667,-6.43126666666
190.57,8.13966666666,7.82948888886,13.9923333333,5.57443188404,0.23246666666,13.8760666667,-2.82946666665,16.4340666667,-1.78306666668
190.95,8.14033333332,6.28457777778,13.1929666667,3.5056521739,-1.614,13.3333333333,-4.42106666667,17.4036,-3.64906666665
191.33,18.6814,15.5800074074,21.0255666667,9.3900927536,5.20146666666,28.4248,6.44686666667,27.326,7.3994
191.71,18.2374666667,17.3265777778,23.4484666667,8.79896231882,5.97693333333,31.4176,8.23753333331,31.1112,9.27193333333
192.09,21.5998666667,19.5752592593,28.6666,11.1343101449,5.51106666667,34.5776,4.17780000001,32.3555333333,7.55546666667
192.47,26.4978666667,29.1514444445,35.4008333333,16.8923333333,11.9830666667,39.578,12.1941666667,40.0844,12.7426666667
192.85,30.4165333333,31.9674444444,38.4372666667,16.5260231884,12.8123333333,42.7082,10.0518666667,41.979,9.47906666666
193.23,23.8889333333,27.3457925926,35.2777333333,0.211440579714,-4.8612,40.6944666667,-7.63896666668,44.8611333334,-4.30539999993
193.61,3.33326666666,-2.18851851853,3.78773333332,-32.0948637682,-38.3333333335,17.4243333333,-44.4697333333,18.4848,-38.0302666667
193.99,12.4184,14.045,11.0456666667,-20.3466318841,-18.5620000001,29.5426,-27.1241666667,26.536,-20.1306666666
194.37,3.27053333336,22.2641037037,14.4654,-22.0071333333,-18.9936666667,31.6981333333,-28.1131666667,25.4086666666,-16.8553999999
194.75,-1.15393333335,18.0484074074,-0.512733333334,-32.552884058,-31.4102000001,27.0513333333,-32.9487333333,22.4358666667,-29.7436666667
195.13,4.697,28.9731407407,0.2273,-34.9933536232,-26.5152666667,36.9697333333,-35.1515,19.3939333333,-31.2122
195.51,-23.3332666667,-2.04688888888,-29.3860000001,-71.4567855072,-62.2806666666,12.4561333333,-82.8070333333,-9.12286666665,-65.7893999999
195.89,-10.2666666667,0.770370370358,-18.6,-48.8753623189,-39.7333333332,19.7333333333,-61.0666666667,-4.0,-41.4666666666
196.27,-35.4544666667,-19.4444296296,-43.1062,-80.8695884058,-67.7271333334,3.7878,-90.0757666667,-28.0304666666,-60.7574666667
196.65,-46.6666666666,-35.795837037,-59.8198333334,-100.642382609,-92.7928666667,1.98213333333,-117.927833333,-52.6126666667,-74.2342000001
197.03,-59.0740666666,-42.757237037,-77.6852999999,-121.65855942,-107.777866667,-12.7778666666,-135.648033333,-59.4446000001,-90.3702666667
197.40,-44.5832,-35.5247555556,-60.6249000001,-96.0808260869,-79.4443999999,-8.61106666665,-101.1113,-45.4166000001,-65.6944000001
197.78,-1.82653333334,9.77170370371,-6.30136666667,-28.0205304348,-22.9223333333,25.2968,-32.4658,1.09600000001,-9.22359999999
198.16,1.28200000002,8.94593333332,-4.44446666667,-21.5606782609,-21.2819333333,25.641,-25.4273666667,-1.70939999999,-3.41879999999
198.54,-2.58333333332,-1.10185185187,-13.2916666667,-27.9456521739,-29.9166666667,14.1666666667,-31.625,-10.4166666667,-9.91666666666
198.92,6.20359999999,7.30454814814,-1.94436666667,-14.879368116,-19.5370666667,23.0555333334,-23.3333666667,-2.68513333333,1.11113333334
199.30,-0.410200000006,4.60401481481,-6.41016666666,-22.8627478261,-29.2307333334,19.8973333333,-30.0512333333,-5.94873333335,-6.15386666668
199.68,-1.93553333333,7.99279999999,-13.6559666667,-24.0158144927,-27.0968666667,22.258,-29.3548666666,-9.24726666666,-9.35493333332
200.06,-31.7459333333,-11.6578296296,-46.2697,-61.9185652174,-72.3808666665,0.15866666666,-63.0158333333,-49.2062666667,-50.0000666667
200.44,-9.46666666669,-0.844444444426,-30.1333333333,-37.3797101449,-45.3333333333,12.6666666667,-32.2,-28.6666666667,-41.7333333333
200.82,11.9608666667,19.0850296296,-5.24503333334,-10.4304811594,-10.5882666667,25.1961333333,-3.38249999999,1.66666666669,-14.1176
201.19,20.9950666667,23.8364370371,7.21390000001,2.59998260869,2.5872,38.6070666667,6.26863333333,9.45286666668,-4.47759999999
201.57,39.178,39.3506,26.3470666667,23.5973855073,20.2739333333,57.5342,24.3378666667,26.6668666667,9.04106666667
201.95,34.152,36.4262,10.2924,11.0451275362,13.0994,56.3742,15.2045666667,17.661,-10.2924666667
202.33,32.766,38.4869925926,4.25539999999,8.1960463768,12.3405333333,61.5603999999,12.9079,12.4822666667,-25.1064666667
202.71,35.9748666667,34.9824962963,5.2201,8.12131014492,19.7484,65.6602666666,7.73583333333,15.4716666667,-22.5157333334
203.09,5.86666666668,11.8074074074,-17.4666666667,-24.1275362319,-9.06666666664,43.7333333333,-28.6666666667,-11.3333333334,-54.6666666667
203.47,15.3333333333,22.1333333333,-8.0,-10.3768115942,7.46666666672,63.3333333333,-13.6666666667,4.66666666666,-40.2666666667
203.85,17.9166,33.8580444444,8.19433333333,-1.11715072467,8.88893333334,69.0277333334,-8.61110000001,8.05560000002,-35.0000666667
204.22,18.9655333333,39.3741777778,17.4139666667,16.5365913044,25.6322,65.2874000001,2.01136666667,18.0459333333,-18.3906666667
204.60,20.3279333333,39.7085259259,19.4536666667,19.0448115942,26.0110000001,62.4043333333,0.218666666672,19.7816,-11.8031333333
204.98,28.3908666667,46.5133851852,27.4713333333,29.8750550725,33.2184,79.6551333334,6.95413333335,28.7357333333,0.9196
205.36,19.8830666667,44.6913333333,18.304,24.1495072464,26.5495999999,72.7485333334,3.27476666667,19.4152,-5.0292
205.74,-8.28846666666,32.4924296296,-11.5315333333,5.29575942031,11.5315333334,76.5766,-23.8739,-2.52260000006,-29.9100666667
