wavelength,Back_IncLaef,Belly_IncLaef,Breast_IncLaef,Crissum_IncLaef,Crown_IncLaef,DorTail_IncLaef,Patch10_IncLaef,Patch11_IncLaef,Rump_IncLaef,Throat_IncLaef,WingTip_IncLaef
178.40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178.78,-32.1428333333,-16.6666666667,-15.4761666666,-27.3810833333,-36.905,-19.0475833333,19.04775,42.8571666667,13.0953333333,-9.52375000001,-11.9046666667
179.16,54.4443333333,55.5555,68.8888333333,52.7778333333,41.1111666667,61.6666666667,72.2223333333,51.66675,58.33325,36.1111666667,57.2221666667
179.54,79.1665833333,56.9445,38.8889166667,65.2778333333,36.1111666668,98.6111666667,61.11125,70.8334166667,48.6110833332,59.7221666667,56.9444166666
179.93,250.0,70.8333333333,87.5,112.5,70.8333333333,216.666666667,99.9999999998,200.0,104.166666667,58.3333333333,166.666666667
180.31,42.0605,29.5275,40.81375,33.071,26.0498333333,41.0104166667,38.71375,49.8686666667,35.3673333333,30.44625,27.88725
180.69,44.6115833333,31.8923333333,42.2306666667,31.70425,29.8245,41.416,40.0375833333,51.31575,36.5915,31.2656666667,27.0049166667
181.07,51.3158333333,36.5289166667,47.1178333333,36.5915,34.148,44.3606666667,42.48125,54.762,37.0300833333,36.7795,28.8846666667
181.45,50.3759166667,31.89225,43.3583333333,33.1453333333,35.0250833333,42.4185,40.4136666667,55.827,35.4009166666,38.8470833333,26.6916666667
181.83,43.7338333333,26.3565833333,38.5658333333,25.4520833333,31.8475,35.46525,36.2400833334,52.8421666667,30.42625,32.8165,18.54025
182.21,42.3260833333,27.9976666667,39.3285,26.4388333333,34.4724166667,33.39325,38.3691666667,52.81775,34.1126666667,34.9520833333,18.1655
182.59,37.8676666667,24.6323333333,34.2524166667,23.6518333333,30.5146666667,27.2058333333,37.5000833333,49.571,31.1273333333,30.3306666667,13.66425
182.97,34.7655833333,24.2838333333,32.8125833333,20.508,28.51575,22.33075,39.6484166667,47.396,26.1718333334,28.7109166667,10.2865833333
183.35,30.3879166667,22.8449166667,32.3993333333,19.3966666667,26.7241666667,18.6780833333,40.2298333333,48.9223333334,22.9885,25.5746666667,9.91383333332
183.73,30.22725,17.1970833333,30.3789166667,15.5303333333,25.1515833334,14.5453333333,35.1515,52.1214166666,23.18175,21.9695833333,5.985
184.11,17.6708333334,5.02016666666,16.3655,-2.20883333335,14.95975,-4.016,24.3975833334,47.8915,13.9556666666,5.723,-15.763
184.49,3.25508333332,-11.1980833333,5.59875,-11.198,3.12483333335,-18.48975,16.4060833333,50.6509166666,4.29666666668,-0.260666666675,-33.8544166667
184.87,-14.6970833333,-34.0908333333,-2.72733333333,-22.7271666666,-12.57575,-35.9090833333,8.63633333333,47.87875,-3.93933333333,-10.7576666667,-47.4243333333
